t, affine_elevL, affine_elevR, affine_throttle
0,-0.00013062,0.00021183,2.9665e-06
0.01,0.0038531,-0.0049661,-6.4484e-05
0.02,0.0043702,-0.0072469,-9.4045e-05
0.03,0.0023655,-0.005004,-7.1703e-05
0.04,0.00019719,-0.00052904,-9.1821e-06
0.05,-0.00088828,0.002322,3.8722e-05
0.06,-0.0013602,0.0030305,3.9525e-05
0.07,-0.0010904,0.0021913,2.1314e-05
0.08,-0.00023976,0.00045228,3.5939e-06
0.09,0.00048359,-0.00086369,-4.4374e-06
0.1,0.00071609,-0.0011766,-3.7351e-06
0.11,0.00056404,-0.00084162,-9.5187e-07
0.12,0.00018228,-0.00023985,4.267e-08
0.13,-0.0002205,0.00026633,-6.2611e-07
0.14,-0.00039598,0.00043712,-1.3644e-06
0.15,-0.00035156,0.00035324,-1.5828e-06
0.16,-0.0001449,0.00013001,-9.1488e-07
0.17,0.00010374,-8.8037e-05,4.1358e-07
0.18,0.00014236,-0.00013738,4.6222e-07
0.19,4.8521e-05,-7.5079e-05,-2.9466e-07
0.2,-3.0744e-05,-1.7595e-06,-7.1687e-07
0.21,3.4671e-05,-1.3539e-05,2.3536e-07
0.22,5.0467e-05,-8.5949e-06,4.1875e-07
0.23,-2.5141e-06,2.6251e-05,-2.3581e-07
0.24,-4.153e-05,4.1711e-05,-7.1267e-07
0.25,2.048e-05,-1.6998e-05,8.7357e-08
0.26,5.0278e-05,-3.7924e-05,5.3733e-07
0.27,1.1267e-05,-7.2439e-08,9.0908e-08
0.28,-2.7989e-05,3.269e-05,-4.5592e-07
0.29,4.4192e-06,-4.0548e-06,-1.2173e-07
0.3,3.3397e-05,-3.155e-05,2.652e-07
0.31,4.5584e-06,-3.6455e-07,-5.7538e-08
0.32,-2.7053e-05,3.1183e-05,-4.5816e-07
0.33,-6.1635e-06,6.8163e-06,-2.4829e-07
0.34,2.8668e-05,-3.0448e-05,1.4617e-07
0.35,1.0317e-05,-1.1254e-05,-7.6491e-08
0.36,-1.7054e-05,1.7603e-05,-3.7683e-07
0.37,-1.0838e-05,1.1382e-05,-2.943e-07
0.38,1.9616e-05,-2.088e-05,2.4257e-09
0.39,1.0911e-05,-1.2797e-05,-1.2728e-07
0.4,-8.4933e-06,7.2671e-06,-3.0624e-07
0.41,-1.0088e-05,9.9083e-06,-2.8004e-07
0.42,1.1023e-05,-1.13e-05,-9.856e-08
0.43,9.1481e-06,-1.031e-05,-1.6077e-07
0.44,-2.0786e-06,6.6706e-07,-2.5226e-07
0.45,-6.3181e-06,5.6247e-06,-2.428e-07
0.46,3.6742e-06,-3.6283e-06,-1.6396e-07
0.47,5.1215e-06,-5.5249e-06,-1.8978e-07
0.48,8.299e-07,-1.6915e-06,-2.2247e-07
0.49,-2.5801e-06,1.8542e-06,-2.1364e-07
0.5,-5.8819e-07,3.9267e-07,-1.9164e-07
0.51,1.4502e-06,-1.67e-06,-2.014e-07
0.52,1.9311e-06,-2.2989e-06,-2.0139e-07
0.53,6.8773e-07,-1.1623e-06,-1.9351e-07
0.54,-2.2179e-06,1.6617e-06,-1.9829e-07
0.55,-1.3479e-06,8.3497e-07,-2.0601e-07
0.56,1.7585e-06,-2.0414e-06,-1.9543e-07
0.57,2.8413e-06,-3.0666e-06,-1.8366e-07
0.58,-1.8087e-06,1.0451e-06,-1.949e-07
0.59,-2.876e-06,1.893e-06,-2.0271e-07
0.6,1.2507e-06,-1.8013e-06,-1.9044e-07
0.61,4.0582e-06,-4.2449e-06,-1.7881e-07
0.62,-5.3626e-07,-2.7066e-07,-1.9066e-07
0.63,-3.5255e-06,2.1772e-06,-1.9882e-07
0.64,4.217e-07,-1.3543e-06,-1.8638e-07
0.65,4.3376e-06,-4.7429e-06,-1.7564e-07
0.66,1.4997e-06,-2.2192e-06,-1.8575e-07
0.67,-2.993e-06,1.4335e-06,-1.9463e-07
0.68,1.0181e-07,-1.5123e-06,-1.7986e-07
0.69,4.0763e-06,-4.9411e-06,-1.6931e-07
0.7,2.6942e-06,-3.4828e-06,-1.823e-07
0.71,-1.8141e-06,3.6495e-07,-1.9643e-07
0.72,5.5826e-08,-1.7844e-06,-1.755e-07
0.73,3.785e-06,-5.2824e-06,-1.5501e-07
0.74,3.4127e-06,-4.4859e-06,-1.7417e-07
0.75,-7.09e-07,-3.8955e-07,-2.1003e-07
0.76,-1.7081e-07,-1.6586e-06,-1.802e-07
0.77,2.5539e-06,-4.8888e-06,-1.3612e-07
0.78,3.3492e-06,-5.1141e-06,-1.5174e-07
0.79,5.3479e-07,-1.0233e-06,-2.3531e-07
0.8,-4.808e-08,-1.4779e-06,-1.9972e-07
0.81,1.1212e-06,-4.3073e-06,-1.1249e-07
0.82,2.1979e-06,-5.2988e-06,-1.0236e-07
0.83,1.7299e-06,-1.8255e-06,-2.5283e-07
0.84,5.2464e-07,-1.4799e-06,-2.2894e-07
0.85,-2.9962e-07,-3.8775e-06,-7.4896e-08
0.86,9.4174e-08,-5.1722e-06,-1.7953e-08
0.87,2.273e-06,-2.1358e-06,-2.6572e-07
0.88,1.1491e-06,-9.5226e-07,-2.8611e-07
0.89,-2.2035e-06,-2.7668e-06,-4.3429e-08
0.9,-3.3099e-06,-4.2897e-06,9.9908e-08
0.91,1.4953e-06,-2.2416e-06,-2.2387e-07
