t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.096215,-0.12648,-0.074245,0.24539,1.0266,-1.2609,-0.0042824,-0.084155,-0.04432,0.060933,0.021121,-0.078513,0.096218,0.12648,-0.074229,-0.24539,1.0264,1.2608,-0.0042653,0.084154,-0.044315,-0.060934,0.02112,0.078511,-0.039191,-7.6524e-07,-0.10056,-1.1227e-06,0.92786,-1.5031e-05,-0.095038,-1.1054e-06,-0.034142,1.8627e-07,0.0048107,-5.268e-07
0.01,0.09855,-0.12832,-0.07756,0.25888,1.0727,-1.2817,-0.0065407,-0.085759,-0.046218,0.062349,0.021768,-0.078615,0.098553,0.12831,-0.077544,-0.25889,1.0725,1.2816,-0.0065238,0.085758,-0.046213,-0.062349,0.021767,0.078613,-0.038931,-7.9921e-07,-0.10055,-1.1354e-06,0.9243,-1.5301e-05,-0.094963,-1.123e-06,-0.034892,1.8033e-07,0.004834,-5.2289e-07
0.02,0.10044,-0.12976,-0.080583,0.27009,1.115,-1.2988,-0.0088888,-0.087173,-0.047943,0.063589,0.02235,-0.078665,0.10044,0.12976,-0.080567,-0.2701,1.1149,1.2988,-0.0088722,0.087172,-0.047937,-0.063589,0.022349,0.078663,-0.038685,-8.3325e-07,-0.1006,-1.1642e-06,0.92138,-1.5572e-05,-0.094995,-1.1385e-06,-0.035531,1.743e-07,0.0048658,-5.1611e-07
0.03,0.10191,-0.13085,-0.083349,0.27907,1.154,-1.3126,-0.011321,-0.088415,-0.049505,0.064663,0.022873,-0.078686,0.10191,0.13085,-0.083334,-0.27907,1.1538,1.3126,-0.011305,0.088413,-0.0495,-0.064663,0.022872,0.078684,-0.038452,-8.6715e-07,-0.10072,-1.2086e-06,0.91907,-1.5841e-05,-0.095129,-1.1519e-06,-0.036068,1.6819e-07,0.0049058,-5.0673e-07
0.04,0.10297,-0.13162,-0.085869,0.28588,1.1895,-1.3233,-0.013817,-0.089495,-0.050907,0.065578,0.023338,-0.078692,0.10297,0.13161,-0.085854,-0.28588,1.1894,1.3232,-0.013801,0.089493,-0.050902,-0.065578,0.023337,0.07869,-0.038232,-9.0071e-07,-0.10089,-1.2679e-06,0.91732,-1.6107e-05,-0.095359,-1.163e-06,-0.03651,1.6202e-07,0.0049535,-4.9496e-07
0.05,0.10363,-0.13207,-0.088142,0.29057,1.2216,-1.3308,-0.016348,-0.090415,-0.052143,0.066331,0.023743,-0.078687,0.10364,0.13207,-0.088128,-0.29058,1.2215,1.3308,-0.016333,0.090413,-0.052138,-0.066331,0.023742,0.078685,-0.038023,-9.3364e-07,-0.10112,-1.341e-06,0.91608,-1.6366e-05,-0.095675,-1.1717e-06,-0.036861,1.5579e-07,0.0050084,-4.8094e-07
0.06,0.10392,-0.13223,-0.090153,0.29323,1.25,-1.3353,-0.018878,-0.091169,-0.053204,0.066914,0.024084,-0.078665,0.10392,0.13223,-0.09014,-0.29323,1.2498,1.3353,-0.018864,0.091167,-0.0532,-0.066914,0.024083,0.078663,-0.037825,-9.6569e-07,-0.10139,-1.4267e-06,0.9153,-1.6615e-05,-0.096068,-1.178e-06,-0.037126,1.4948e-07,0.0050695,-4.6487e-07
0.07,0.10383,-0.13209,-0.091873,0.2939,1.2742,-1.3367,-0.021359,-0.091748,-0.054076,0.06732,0.024355,-0.078618,0.10383,0.13209,-0.091861,-0.29391,1.274,1.3367,-0.021346,0.091746,-0.054072,-0.06732,0.024354,0.078616,-0.037635,-9.9654e-07,-0.10171,-1.5234e-06,0.91491,-1.685e-05,-0.09653,-1.1816e-06,-0.037311,1.4306e-07,0.0051357,-4.4689e-07
0.08,0.10338,-0.13165,-0.093277,0.29271,1.2939,-1.3349,-0.023744,-0.092144,-0.054748,0.06754,0.024552,-0.078536,0.10338,0.13165,-0.093266,-0.29271,1.2938,1.3348,-0.023731,0.092142,-0.054744,-0.067539,0.024551,0.078534,-0.037454,-1.0259e-06,-0.10207,-1.6294e-06,0.91486,-1.707e-05,-0.097049,-1.1823e-06,-0.037419,1.3657e-07,0.0052056,-4.2709e-07
0.09,0.10261,-0.13093,-0.094339,0.28976,1.3089,-1.3299,-0.02598,-0.092349,-0.055212,0.067565,0.024672,-0.078409,0.10261,0.13093,-0.094329,-0.28977,1.3088,1.3299,-0.025968,0.092347,-0.055209,-0.067565,0.024671,0.078407,-0.037281,-1.0537e-06,-0.10245,-1.7429e-06,0.91506,-1.727e-05,-0.097616,-1.1803e-06,-0.037453,1.2994e-07,0.0052778,-4.0564e-07
