t, affine_elevL, affine_elevR, affine_throttle
0,-4.6916e-05,0.00049753,-1.7514e-05
0.01,-0.0050973,0.0098721,-0.00041707
0.02,-0.0095163,0.016796,-0.00076173
0.03,-0.013055,0.021082,-0.0010341
0.04,-0.015501,0.022753,-0.0012191
0.05,-0.016691,0.021977,-0.001302
0.06,-0.016517,0.019207,-0.0012764
0.07,-0.014994,0.01514,-0.0011495
0.08,-0.012195,0.010465,-0.00092962
0.09,-0.0083303,0.0059204,-0.00063353
0.1,-0.0037162,0.0021292,-0.00028285
0.11,0.0012311,-0.00055658,9.6122e-05
0.12,0.005224,-0.0027934,0.00039786
0.13,0.0079102,-0.0045062,0.0005977
0.14,0.0094582,-0.0056735,0.00070856
0.15,0.01001,-0.0062277,0.00074266
0.16,0.0096842,-0.0061579,0.00071212
0.17,0.0086221,-0.0055353,0.00062924
0.18,0.0070073,-0.00449,0.00050774
0.19,0.0050295,-0.0031918,0.00036164
0.2,0.0028908,-0.0018123,0.0002059
0.21,0.00081727,-0.00050602,5.722e-05
0.22,-0.00094019,0.00055889,-6.7068e-05
0.23,-0.002228,0.0012906,-0.00015804
0.24,-0.0030506,0.0017109,-0.00021657
0.25,-0.0034642,0.0018724,-0.00024634
0.26,-0.0035199,0.0018298,-0.00025061
0.27,-0.0032771,0.0016345,-0.0002333
0.28,-0.0028044,0.0013343,-0.0001993
0.29,-0.0021729,0.00097981,-0.00015364
0.3,-0.0014643,0.00061781,-0.00010254
0.31,-0.00076706,0.00029387,-5.2934e-05
0.32,-0.00017595,5.3159e-05,-1.242e-05
0.33,0.00023433,-0.00010128,1.2238e-05
0.34,0.00048746,-0.00022803,2.2749e-05
0.35,0.00062271,-0.00033754,2.3633e-05
0.36,0.00067067,-0.00043143,1.8547e-05
0.37,0.00065918,-0.00050906,1.082e-05
0.38,0.00060381,-0.00056158,2.507e-06
0.39,0.00051683,-0.00057812,-4.6991e-06
0.4,0.00040743,-0.00054586,-9.4372e-06
0.41,0.00027631,-0.00044671,-1.1192e-05
0.42,0.00011634,-0.00025075,-9.5589e-06
0.43,-5.7805e-05,2.9456e-05,-4.7277e-06
0.44,-0.00018479,0.0002906,2.2408e-06
0.45,-0.00022294,0.00043534,9.36e-06
0.46,-0.00019667,0.00047985,1.5304e-05
0.47,-0.00013115,0.00044359,1.8896e-05
0.48,-4.6649e-05,0.00034947,1.9833e-05
0.49,3.8427e-05,0.00022213,1.818e-05
0.5,0.00010618,8.7051e-05,1.4127e-05
0.51,0.00014265,-2.7499e-05,8.6088e-06
0.52,0.00013524,-9.2208e-05,2.8311e-06
0.53,7.1946e-05,-7.712e-05,-1.864e-06
0.54,-4.7729e-05,3.6509e-05,-3.8217e-06
0.55,-0.00011951,0.00011478,-3.7542e-06
0.56,-0.00013529,0.00013612,-2.8752e-06
0.57,-0.0001127,0.00011552,-1.852e-06
0.58,-6.72e-05,6.7728e-05,-1.0806e-06
0.59,-1.1403e-05,6.6339e-06,-6.4664e-07
0.6,4.2311e-05,-5.3824e-05,-6.0378e-07
0.61,8.3103e-05,-0.00010047,-8.7104e-07
0.62,0.00010157,-0.00012189,-1.3574e-06
0.63,8.8242e-05,-0.00010683,-1.9959e-06
0.64,3.3567e-05,-4.4823e-05,-2.8004e-06
0.65,-5.161e-05,4.6245e-05,-4.2731e-06
0.66,-0.000112,9.5316e-05,-7.0331e-06
0.67,-0.00014538,0.00010697,-1.0244e-05
0.68,-0.00015542,9.3185e-05,-1.3031e-05
0.69,-0.00014644,6.3953e-05,-1.4869e-05
0.7,-0.00012303,2.8542e-05,-1.5374e-05
0.71,-9.0303e-05,-4.8934e-06,-1.4382e-05
0.72,-5.4406e-05,-3.0292e-05,-1.2138e-05
0.73,-2.1996e-05,-4.1405e-05,-8.9514e-06
0.74,-6.3054e-07,-3.4643e-05,-5.574e-06
0.75,2.7688e-06,-1.1094e-05,-3.1445e-06
