t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.067825,-0.22552,-0.04658,-0.22907,-0.1332,-2.7371,-0.017444,-0.21515,0.023496,0.041491,0.006838,-0.16766,0.33835,0.35268,-0.27204,-0.15695,4.1171,4.2056,0.26313,0.33116,-0.23248,-0.13175,0.10012,0.22935,-0.051808,-0.023523,-0.0081517,-0.025966,-0.035152,-0.24159,-0.033582,-0.018088,0.0073386,0.0031008,-0.0035601,-0.0085633
0.01,0.063502,-0.2336,-0.040286,-0.22337,-0.24994,-2.8381,-0.02424,-0.22249,0.032127,0.043388,0.005587,-0.17494,0.33685,0.34812,-0.28652,-0.19203,4.2478,4.1373,0.26631,0.32754,-0.23993,-0.13164,0.10019,0.22705,-0.052799,-0.0251,-0.0067141,-0.025741,-0.053469,-0.25787,-0.034481,-0.019402,0.0083681,0.0034107,-0.0037653,-0.0092814
0.02,0.057993,-0.24153,-0.032514,-0.2139,-0.37852,-2.9344,-0.031482,-0.22946,0.041147,0.045489,0.0043154,-0.18172,0.33051,0.33883,-0.29596,-0.22486,4.3038,4.0118,0.26509,0.31959,-0.24276,-0.12981,0.09831,0.22184,-0.053771,-0.026673,-0.0052433,-0.025294,-0.071712,-0.27382,-0.035381,-0.020698,0.0093674,0.0037094,-0.0039432,-0.0099793
0.03,0.05157,-0.24905,-0.023563,-0.20125,-0.51425,-3.0226,-0.038907,-0.23584,0.050199,0.047647,0.0030996,-0.18778,0.31857,0.32418,-0.29904,-0.25236,4.2706,3.8226,0.25867,0.30674,-0.2402,-0.12585,0.094327,0.21324,-0.054679,-0.0282,-0.003787,-0.02469,-0.089225,-0.28897,-0.036242,-0.021937,0.010298,0.003979,-0.0040777,-0.010632
0.04,0.044574,-0.2557,-0.013827,-0.18604,-0.6512,-3.0973,-0.046168,-0.24124,0.058856,0.049676,0.0020253,-0.1928,0.30064,0.30389,-0.29479,-0.27173,4.1386,3.5676,0.24661,0.28868,-0.23187,-0.11953,0.088245,0.20099,-0.055475,-0.029638,-0.0023991,-0.024011,-0.10531,-0.30282,-0.03702,-0.023083,0.011119,0.0042007,-0.0041543,-0.011214
0.05,0.037398,-0.26093,-0.0037603,-0.16888,-0.78263,-3.1519,-0.05286,-0.2452,0.066647,0.051371,0.0011783,-0.19642,0.27671,0.27802,-0.28264,-0.28085,3.9041,3.2487,0.22882,0.26541,-0.21768,-0.11079,0.080202,0.18506,-0.056109,-0.030941,-0.0011394,-0.023351,-0.1192,-0.31483,-0.037669,-0.024091,0.011787,0.0043547,-0.0041587,-0.011693
0.06,0.030448,-0.26406,0.0061087,-0.15054,-0.90102,-3.1789,-0.05854,-0.24713,0.073071,0.052507,0.00062989,-0.19819,0.24741,0.24726,-0.26268,-0.2784,3.5728,2.8751,0.20583,0.23748,-0.19811,-0.099796,0.070563,0.16579,-0.056549,-0.032073,-5.6663e-05,-0.022803,-0.13034,-0.32463,-0.038157,-0.02493,0.012271,0.0044267,-0.0040849,-0.012048
0.07,0.024041,-0.26446,0.015285,-0.13179,-0.99959,-3.1715,-0.062842,-0.24653,0.077699,0.052894,0.0004074,-0.19771,0.21403,0.21287,-0.23581,-0.26431,3.1606,2.4625,0.17879,0.20595,-0.17421,-0.087013,0.05989,0.14392,-0.056792,-0.033026,0.00082926,-0.02243,-0.13854,-0.33216,-0.038478,-0.025591,0.01256,0.0044135,-0.0039373,-0.012272
0.08,0.018452,-0.26157,0.023303,-0.11333,-1.0724,-3.1236,-0.065455,-0.24292,0.080179,0.052379,0.00050545,-0.19464,0.17803,0.17631,-0.2033,-0.23934,2.6871,2.0288,0.14903,0.17208,-0.14718,-0.072988,0.04875,0.12036,-0.05684,-0.033798,0.0015054,-0.022287,-0.14376,-0.33743,-0.038631,-0.026071,0.012652,0.0043147,-0.0037233,-0.012362
0.09,0.013834,-0.25515,0.029836,-0.095845,-1.116,-3.0334,-0.066254,-0.23613,0.080362,0.050909,0.00087214,-0.18888,0.14149,0.13965,-0.16733,-0.20584,2.1831,1.5982,0.11851,0.13771,-0.11881,-0.058556,0.037842,0.09641,-0.056721,-0.034405,0.0019849,-0.022391,-0.14624,-0.34066,-0.038639,-0.026383,0.012561,0.0041391,-0.0034573,-0.012329
0.1,0.010224,-0.24535,0.034715,-0.079917,-1.1302,-2.9037,-0.065312,-0.22634,0.078332,0.048542,0.0014267,-0.18063,0.10674,0.10518,-0.13069,-0.1674,1.6849,1.197,0.089353,0.10495,-0.091131,-0.044676,0.027854,0.073576,-0.056473,-0.034876,0.002301,-0.022726,-0.14651,-0.34225,-0.038538,-0.026555,0.012316,0.0039016,-0.0031575,-0.012192
0.11,0.0078577,-0.23541,0.03812,-0.067108,-1.1279,-2.7733,-0.063506,-0.21652,0.075125,0.045921,0.0021593,-0.17231,0.083778,0.082038,-0.10623,-0.14138,1.3527,0.92813,0.069862,0.083025,-0.072682,-0.035428,0.021339,0.058265,-0.056143,-0.035251,0.0024985,-0.023252,-0.14518,-0.34264,-0.038368,-0.026622,0.011949,0.0036207,-0.0028423,-0.011977
0.12,0.0070863,-0.23736,0.041953,-0.060754,-1.1671,-2.7839,-0.06436,-0.21766,0.074641,0.045434,0.0032498,-0.17269,0.096977,0.090958,-0.1276,-0.17622,1.5915,1.0224,0.079537,0.094101,-0.084616,-0.04088,0.024261,0.065772,-0.055834,-0.035653,0.0027132,-0.023808,-0.14409,-0.34328,-0.038246,-0.026704,0.011547,0.0033552,-0.002544,-0.011774
0.13,0.0061444,-0.23808,0.045865,-0.054406,-1.2024,-2.7798,-0.06511,-0.21778,0.073496,0.044813,0.004258,-0.1721,0.10292,0.092527,-0.14058,-0.20099,1.7206,1.0331,0.083175,0.098252,-0.090445,-0.04355,0.025387,0.068513,-0.055574,-0.036116,0.0029851,-0.024352,-0.14372,-0.34453,-0.038198,-0.026834,0.011134,0.0031202,-0.0022684,-0.011609
0.14,0.0052976,-0.23974,0.050029,-0.048971,-1.2423,-2.7867,-0.066237,-0.21887,0.072284,0.044434,0.0052618,-0.17214,0.10845,0.092968,-0.1538,-0.22694,1.8481,1.0308,0.086318,0.10188,-0.095964,-0.046222,0.026483,0.070917,-0.055354,-0.03663,0.0033092,-0.024894,-0.14399,-0.34629,-0.038216,-0.027003,0.010706,0.0029115,-0.0020123,-0.011472
0.15,0.0045487,-0.24201,0.054429,-0.044324,-1.2859,-2.8008,-0.067645,-0.22063,0.070911,0.044233,0.0062606,-0.17259,0.11306,0.091905,-0.16646,-0.25276,1.9648,1.0115,0.088564,0.10457,-0.10074,-0.048697,0.02744,0.072718,-0.055168,-0.037187,0.0036796,-0.025447,-0.1448,-0.34845,-0.038292,-0.027201,0.010259,0.0027251,-0.0017725,-0.011357
0.16,0.0039026,-0.24442,0.059003,-0.040326,-1.331,-2.8167,-0.069191,-0.22262,0.069253,0.044125,0.0072434,-0.17309,0.11608,0.088849,-0.17747,-0.27669,2.0588,0.96998,0.089387,0.10576,-0.1042,-0.050701,0.028122,0.073529,-0.055008,-0.037779,0.0040906,-0.026021,-0.14604,-0.35092,-0.038419,-0.027419,0.0097913,0.0025573,-0.0015464,-0.011258
0.17,0.0033824,-0.24667,0.063679,-0.036923,-1.376,-2.8308,-0.070772,-0.22456,0.067238,0.044058,0.0082022,-0.17347,0.11733,0.083774,-0.18636,-0.29787,2.1255,0.90646,0.088663,0.10529,-0.10619,-0.052152,0.028512,0.073271,-0.054867,-0.038399,0.0045364,-0.026627,-0.14763,-0.3536,-0.038588,-0.027649,0.0092986,0.0024053,-0.001332,-0.011168
0.18,0.0030205,-0.24878,0.068435,-0.034147,-1.4209,-2.8435,-0.072371,-0.22647,0.064882,0.044033,0.0091408,-0.17373,0.11726,0.077174,-0.19356,-0.3167,2.1712,0.82666,0.086748,0.10363,-0.10712,-0.053209,0.02872,0.072262,-0.054741,-0.039041,0.0050114,-0.027271,-0.14949,-0.35644,-0.038795,-0.027882,0.0087795,0.0022664,-0.0011273,-0.011082
0.19,0.0028473,-0.2508,0.073259,-0.032025,-1.4657,-2.8555,-0.073982,-0.22837,0.062211,0.044057,0.010065,-0.17393,0.11627,0.069506,-0.19953,-0.33375,2.202,0.73579,0.083977,0.10119,-0.10737,-0.054026,0.02884,0.070806,-0.054624,-0.039699,0.0055105,-0.027958,-0.15153,-0.35938,-0.039034,-0.028112,0.0082323,0.0021387,-0.00093078,-0.010997
0.2,0.0028819,-0.25272,0.078131,-0.030551,-1.5103,-2.8667,-0.075585,-0.23023,0.059239,0.044126,0.010977,-0.17404,0.11463,0.061092,-0.20454,-0.34929,2.2216,0.63755,0.080564,0.098267,-0.10716,-0.054689,0.02892,0.069111,-0.05451,-0.040369,0.0060286,-0.028692,-0.1537,-0.36236,-0.0393,-0.02833,0.0076567,0.0020201,-0.00074117,-0.010908
0.21,0.0031229,-0.25431,0.082973,-0.029638,-1.5531,-2.8744,-0.077102,-0.23183,0.055943,0.044198,0.011866,-0.17393,0.11233,0.05206,-0.20842,-0.36297,2.229,0.53353,0.076523,0.094901,-0.1065,-0.055167,0.028943,0.067205,-0.054398,-0.041047,0.0065619,-0.029472,-0.15593,-0.36536,-0.039589,-0.028533,0.0070534,0.0019093,-0.00055731,-0.010812
0.22,0.0035703,-0.25542,0.087712,-0.029211,-1.5931,-2.877,-0.078472,-0.23301,0.052325,0.044246,0.012725,-0.17347,0.10939,0.042567,-0.2111,-0.37464,2.2241,0.42555,0.071909,0.091152,-0.10542,-0.055449,0.028905,0.065134,-0.054283,-0.041729,0.0071058,-0.030292,-0.15816,-0.36832,-0.039897,-0.028714,0.0064234,0.0018048,-0.00037825,-0.010706
0.23,0.0042303,-0.2561,0.092317,-0.029236,-1.6301,-2.8752,-0.07969,-0.23379,0.048421,0.044271,0.013556,-0.17272,0.10603,0.032818,-0.21283,-0.38466,2.2099,0.31592,0.066873,0.0872,-0.10408,-0.055593,0.028838,0.06302,-0.054163,-0.042413,0.0076555,-0.031149,-0.16034,-0.37122,-0.040219,-0.028866,0.0057679,0.0017052,-0.00020315,-0.010587
0.24,0.0051027,-0.25644,0.096783,-0.029664,-1.6645,-2.87,-0.080769,-0.23424,0.044283,0.044282,0.014366,-0.17172,0.10238,0.022957,-0.2138,-0.39334,2.1889,0.20622,0.061534,0.083178,-0.10263,-0.055648,0.028767,0.060953,-0.054035,-0.043094,0.0082079,-0.032033,-0.16242,-0.37403,-0.040554,-0.028985,0.0050895,0.0016094,-3.1442e-05,-0.010453
0.25,0.0061841,-0.25649,0.1011,-0.030427,-1.6963,-2.862,-0.081719,-0.23437,0.039961,0.044285,0.015157,-0.17053,0.098537,0.01308,-0.21414,-0.40093,2.1627,0.097511,0.055971,0.079167,-0.10115,-0.05564,0.028706,0.058985,-0.053897,-0.043773,0.0087608,-0.032936,-0.16438,-0.37673,-0.040898,-0.02907,0.0043915,0.0015171,0.00013712,-0.010303
0.26,0.0074713,-0.25631,0.10528,-0.031456,-1.7257,-2.8519,-0.082552,-0.23424,0.0355,0.044284,0.015932,-0.16917,0.094589,0.0032586,-0.21395,-0.40761,2.1325,-0.0094576,0.05025,0.07523,-0.099706,-0.055592,0.028665,0.057154,-0.05375,-0.044447,0.0093123,-0.033846,-0.16619,-0.37933,-0.041249,-0.029116,0.0036777,0.0014276,0.00030272,-0.010137
0.27,0.0089604,-0.25593,0.10929,-0.032678,-1.7529,-2.8401,-0.08327,-0.23385,0.030936,0.044283,0.016691,-0.16767,0.090588,-0.006446,-0.21333,-0.4135,2.0995,-0.11405,0.044422,0.071417,-0.098333,-0.055516,0.028649,0.055487,-0.053591,-0.045116,0.0098607,-0.034755,-0.16784,-0.38182,-0.041607,-0.029124,0.002952,0.0013406,0.00046534,-0.0099548
0.28,0.010647,-0.25533,0.11314,-0.034008,-1.7776,-2.8265,-0.083869,-0.23319,0.026303,0.044278,0.017431,-0.16603,0.086578,-0.01598,-0.21234,-0.41866,2.0644,-0.21571,0.038533,0.067767,-0.097059,-0.055419,0.02866,0.054,-0.05342,-0.045779,0.010405,-0.035651,-0.16931,-0.3842,-0.041969,-0.029091,0.002218,0.001256,0.0006248,-0.009757
0.29,0.012527,-0.25451,0.11679,-0.035367,-1.7998,-2.8112,-0.084344,-0.23225,0.021634,0.044268,0.018151,-0.16426,0.082591,-0.025296,-0.21101,-0.42313,2.0277,-0.314,0.032621,0.064313,-0.095895,-0.055305,0.028696,0.052703,-0.053237,-0.046436,0.010944,-0.036526,-0.1706,-0.38646,-0.042334,-0.029017,0.0014797,0.0011736,0.00078087,-0.009544
