t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.13438,-0.17841,-0.10855,0.24408,1.2926,-1.6164,0.0023213,-0.10902,-0.056996,0.068593,0.027232,-0.089635,0.13439,0.17841,-0.10852,-0.24409,1.2924,1.6164,0.0023448,0.10902,-0.056989,-0.068593,0.027231,0.089633,-0.069418,-1.0843e-06,-0.15966,-1.8424e-06,1.4454,-2.1975e-05,-0.14971,-1.6248e-06,-0.053064,2.4974e-07,0.0072395,-7.4952e-07
0.01,0.13739,-0.18093,-0.1137,0.26008,1.3554,-1.6425,-0.00086642,-0.11103,-0.059526,0.070091,0.028059,-0.089771,0.1374,0.18093,-0.11368,-0.26009,1.3552,1.6425,-0.00084303,0.11102,-0.059518,-0.070091,0.028058,0.089769,-0.069008,-1.1497e-06,-0.15966,-1.8698e-06,1.4396,-2.2475e-05,-0.14958,-1.6579e-06,-0.05424,2.4221e-07,0.0072732,-7.4687e-07
0.02,0.13979,-0.18292,-0.11848,0.27339,1.4141,-1.6641,-0.0042488,-0.11278,-0.061873,0.071401,0.02881,-0.089859,0.1398,0.18292,-0.11846,-0.27339,1.4139,1.6641,-0.0042257,0.11278,-0.061866,-0.071401,0.028808,0.089857,-0.06862,-1.216e-06,-0.15977,-1.9186e-06,1.4348,-2.2982e-05,-0.14962,-1.688e-06,-0.055244,2.3477e-07,0.0073202,-7.3982e-07
0.03,0.14161,-0.18441,-0.12294,0.28405,1.4691,-1.6816,-0.0078206,-0.11432,-0.064051,0.072536,0.02949,-0.089922,0.14161,0.18441,-0.12291,-0.28406,1.4689,1.6816,-0.007798,0.11432,-0.064044,-0.072536,0.029488,0.089919,-0.068253,-1.2823e-06,-0.15998,-1.9888e-06,1.4311,-2.3488e-05,-0.14981,-1.7149e-06,-0.056088,2.2723e-07,0.0073802,-7.287e-07
0.04,0.14286,-0.18545,-0.12708,0.29213,1.5203,-1.6951,-0.011552,-0.11564,-0.066058,0.073501,0.0301,-0.089972,0.14286,0.18544,-0.12706,-0.29214,1.5201,1.6951,-0.01153,0.11564,-0.066051,-0.073501,0.030098,0.089969,-0.067903,-1.348e-06,-0.1603,-2.0803e-06,1.4282,-2.3987e-05,-0.15016,-1.7382e-06,-0.056783,2.1948e-07,0.0074529,-7.1377e-07
0.05,0.14356,-0.18606,-0.1309,0.29772,1.5677,-1.7049,-0.015405,-0.11675,-0.067885,0.074296,0.030638,-0.090013,0.14357,0.18606,-0.13088,-0.29773,1.5675,1.7048,-0.015384,0.11675,-0.067878,-0.074295,0.030637,0.09001,-0.067568,-1.4124e-06,-0.1607,-2.192e-06,1.4262,-2.4474e-05,-0.15064,-1.7576e-06,-0.057338,2.1155e-07,0.0075376,-6.952e-07
0.06,0.14375,-0.18627,-0.13439,0.3009,1.6109,-1.7109,-0.019328,-0.11766,-0.069519,0.074914,0.031102,-0.090041,0.14375,0.18627,-0.13437,-0.30091,1.6107,1.7108,-0.019308,0.11766,-0.069513,-0.074914,0.0311,0.090038,-0.067246,-1.475e-06,-0.16119,-2.322e-06,1.425,-2.4942e-05,-0.15125,-1.7729e-06,-0.057762,2.0345e-07,0.0076327,-6.7323e-07
0.07,0.14342,-0.18609,-0.1375,0.30178,1.6493,-1.7131,-0.023252,-0.11835,-0.070937,0.075349,0.031483,-0.090047,0.14343,0.18609,-0.13748,-0.30179,1.6491,1.713,-0.023233,0.11835,-0.070931,-0.075349,0.031481,0.090044,-0.066935,-1.5354e-06,-0.16176,-2.4686e-06,1.4245,-2.5387e-05,-0.15197,-1.7838e-06,-0.058061,1.9518e-07,0.007737,-6.481e-07
0.08,0.14261,-0.18551,-0.14017,0.30046,1.6822,-1.7114,-0.027099,-0.11881,-0.072109,0.075587,0.031772,-0.090014,0.14261,0.1855,-0.14016,-0.30046,1.682,1.7113,-0.027081,0.11881,-0.072104,-0.075586,0.031771,0.090011,-0.066632,-1.5929e-06,-0.16239,-2.6291e-06,1.4245,-2.5803e-05,-0.15278,-1.7902e-06,-0.058243,1.867e-07,0.0078485,-6.2008e-07
0.09,0.14133,-0.18451,-0.14233,0.29703,1.7087,-1.7055,-0.030778,-0.11901,-0.073003,0.075604,0.031958,-0.089914,0.14133,0.1845,-0.14232,-0.29704,1.7086,1.7054,-0.030762,0.11901,-0.072999,-0.075603,0.031957,0.089911,-0.066336,-1.6474e-06,-0.16307,-2.8006e-06,1.4251,-2.6188e-05,-0.15367,-1.792e-06,-0.058312,1.7801e-07,0.007965,-5.8944e-07
