t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.22915,0.13576,5.1039
0.02,0.26689,0.080104,5.1282
0.03,0.30464,0.024452,5.1524
0.04,0.34238,-0.0312,5.1767
0.05,0.38012,-0.086852,5.2009
0.06,0.41786,-0.1425,5.2252
0.07,0.45561,-0.19816,5.2494
0.08,0.49335,-0.25381,5.2737
0.09,0.53109,-0.30946,5.2979
0.1,0.56884,-0.36511,5.3222
0.11,0.59366,-0.40026,5.3398
0.12,0.58451,-0.38147,5.3398
0.13,0.57537,-0.36269,5.3398
0.14,0.56622,-0.34391,5.3398
0.15,0.55707,-0.32512,5.3398
0.16,0.54792,-0.30634,5.3398
0.17,0.53877,-0.28755,5.3398
0.18,0.52963,-0.26877,5.3398
0.19,0.52048,-0.24999,5.3398
0.2,0.51133,-0.2312,5.3398
0.21,0.50218,-0.21242,5.3398
0.22,0.49423,-0.19451,5.3398
0.23,0.48724,-0.17731,5.3398
0.24,0.48025,-0.16012,5.3398
0.25,0.47326,-0.14292,5.3398
0.26,0.46627,-0.12572,5.3398
0.27,0.45928,-0.10853,5.3398
0.28,0.4523,-0.091331,5.3398
0.29,0.44531,-0.074135,5.3398
0.3,0.43832,-0.056939,5.3398
0.31,0.43133,-0.039743,5.3398
0.32,0.42434,-0.022547,5.3398
0.33,0.41727,-0.0074817,5.3398
0.34,0.41018,0.0071355,5.3398
0.35,0.40308,0.021753,5.3398
0.36,0.39599,0.03637,5.3398
0.37,0.3889,0.050987,5.3398
0.38,0.3818,0.065604,5.3398
0.39,0.37471,0.080222,5.3398
0.4,0.36762,0.094839,5.3398
0.41,0.36053,0.10946,5.3398
0.42,0.35343,0.12407,5.3398
0.43,0.34654,0.13809,5.3398
0.44,0.34142,0.14685,5.3398
0.45,0.3363,0.15561,5.3398
0.46,0.33118,0.16436,5.3398
0.47,0.32606,0.17312,5.3398
0.48,0.32094,0.18188,5.3398
0.49,0.31582,0.19063,5.3398
0.5,0.3107,0.19939,5.3398
0.51,0.30558,0.20815,5.3398
0.52,0.30047,0.2169,5.3398
0.53,0.29535,0.22566,5.3398
0.54,0.29122,0.23285,5.3398
0.55,0.28872,0.23744,5.3398
0.56,0.28622,0.24203,5.3398
0.57,0.28372,0.24663,5.3398
0.58,0.28122,0.25122,5.3398
0.59,0.27872,0.25581,5.3398
0.6,0.27622,0.26041,5.3398
0.61,0.27372,0.265,5.3398
0.62,0.27122,0.2696,5.3398
0.63,0.26873,0.27419,5.3398
0.64,0.26623,0.27878,5.3398
0.65,0.2647,0.28186,5.3398
0.66,0.2637,0.28413,5.3398
0.67,0.26269,0.2864,5.3398
0.68,0.26168,0.28866,5.3398
0.69,0.26068,0.29093,5.3398
0.7,0.25967,0.2932,5.3398
0.71,0.25866,0.29547,5.3398
0.72,0.25766,0.29774,5.3398
0.73,0.25665,0.3,5.3398
0.74,0.25565,0.30227,5.3398
0.75,0.25464,0.30454,5.3398
0.76,0.25385,0.30581,5.3398
0.77,0.25308,0.307,5.3398
0.78,0.25231,0.3082,5.3398
0.79,0.25154,0.30939,5.3398
0.8,0.25077,0.31059,5.3398
0.81,0.25,0.31178,5.3398
0.82,0.24923,0.31297,5.3398
0.83,0.24846,0.31417,5.3398
0.84,0.2477,0.31536,5.3398
0.85,0.24693,0.31655,5.3398
0.86,0.2461,0.31764,5.3398
0.87,0.24505,0.31831,5.3398
0.88,0.244,0.31898,5.3398
0.89,0.24295,0.31965,5.3398
0.9,0.2419,0.32031,5.3398
0.91,0.24085,0.32098,5.3398
0.92,0.2398,0.32165,5.3398
0.93,0.23874,0.32232,5.3398
0.94,0.23769,0.32299,5.3398
0.95,0.23664,0.32365,5.3398
0.96,0.23559,0.32432,5.3398
0.97,0.23448,0.32478,5.3398
0.98,0.23331,0.32502,5.3398
0.99,0.23214,0.32526,5.3398
1,0.23097,0.3255,5.3398
1.01,0.22979,0.32574,5.3398
1.02,0.22862,0.32598,5.3398
1.03,0.22745,0.32622,5.3398
1.04,0.22627,0.32646,5.3398
1.05,0.2251,0.3267,5.3398
1.06,0.22393,0.32693,5.3398
1.07,0.22276,0.32717,5.3398
1.08,0.22188,0.32709,5.3398
1.09,0.2211,0.3269,5.3398
1.1,0.22032,0.32671,5.3398
1.11,0.21954,0.32652,5.3398
1.12,0.21876,0.32633,5.3398
1.13,0.21798,0.32614,5.3398
1.14,0.2172,0.32595,5.3398
1.15,0.21642,0.32575,5.3398
