t, affine_elevL, affine_elevR, affine_throttle
0,0.00015372,-8.3553e-05,2.2982e-06
0.01,-0.005068,0.0039304,-6.5366e-05
0.02,-0.0072519,0.0043506,-9.4827e-05
0.03,-0.0050986,0.0024194,-7.25e-05
0.04,-0.0005546,0.00019351,-1.0021e-05
0.05,0.0024321,-0.000975,3.846e-05
0.06,0.0031091,-0.0014221,3.9264e-05
0.07,0.0021534,-0.0010667,2.1041e-05
0.08,0.00044444,-0.00022977,3.1032e-06
0.09,-0.00086579,0.00048507,-4.4038e-06
0.1,-0.0011739,0.00071673,-3.6035e-06
0.11,-0.00084396,0.00056511,-9.5189e-07
0.12,-0.00023582,0.00017329,-5.5756e-08
0.13,0.00026705,-0.00022199,-6.4075e-07
0.14,0.00043713,-0.00039613,-1.3654e-06
0.15,0.00035403,-0.00035313,-1.5966e-06
0.16,0.00013133,-0.00014757,-9.4073e-07
0.17,-8.7303e-05,0.00010223,3.9848e-07
0.18,-0.00013686,0.00014112,4.5272e-07
0.19,-7.4139e-05,4.6755e-05,-3.1525e-07
0.2,-9.1782e-07,-3.2371e-05,-7.3433e-07
0.21,-1.3052e-05,3.365e-05,2.2412e-07
0.22,-9.3525e-06,5.1384e-05,4.2786e-07
0.23,2.6089e-05,-2.3468e-06,-2.3542e-07
0.24,4.121e-05,-4.0916e-05,-7.0606e-07
0.25,-1.7277e-05,2.0822e-05,9.0663e-08
0.26,-3.8447e-05,5.1558e-05,5.7721e-07
0.27,-5.6053e-07,1.2391e-05,1.2372e-07
0.28,3.2353e-05,-2.7622e-05,-4.5321e-07
0.29,-4.4743e-06,4.9071e-06,-1.1681e-07
0.3,-3.2013e-05,3.4038e-05,2.7397e-07
0.31,-8.8534e-07,5.1865e-06,-5.0401e-08
0.32,3.063e-05,-2.6415e-05,-4.5203e-07
0.33,5.7295e-06,-4.9966e-06,-2.3581e-07
0.34,-3.0306e-05,2.865e-05,1.4391e-07
0.35,-1.1206e-05,1.0381e-05,-7.4432e-08
0.36,1.7723e-05,-1.7059e-05,-3.778e-07
0.37,1.0785e-05,-1.0148e-05,-2.8856e-07
0.38,-2.1335e-05,2.0176e-05,6.6216e-09
0.39,-1.3284e-05,1.1525e-05,-1.2087e-07
0.4,6.7785e-06,-7.8783e-06,-3.0083e-07
0.41,9.4214e-06,-9.4813e-06,-2.7623e-07
0.42,-1.1544e-05,1.1391e-05,-9.7245e-08
0.43,-1.0559e-05,9.5239e-06,-1.5959e-07
0.44,4.1349e-07,-1.6957e-06,-2.512e-07
0.45,5.365e-06,-5.926e-06,-2.4184e-07
0.46,-3.9417e-06,4.1255e-06,-1.6273e-07
0.47,-5.841e-06,5.5784e-06,-1.8876e-07
0.48,-2.0092e-06,1.2898e-06,-2.2181e-07
0.49,1.3327e-06,-1.885e-06,-2.1213e-07
0.5,-4.7338e-08,2.5935e-08,-1.9013e-07
0.51,-2.0954e-06,2.1023e-06,-1.9529e-07
0.52,-2.7432e-06,2.5448e-06,-2.0181e-07
0.53,-1.6004e-06,1.3121e-06,-1.9276e-07
0.54,1.1948e-06,-1.5583e-06,-1.9752e-07
0.55,3.267e-07,-6.451e-07,-2.0564e-07
