t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.11997,-0.22615,-0.068802,-0.1238,0.57172,-2.4567,-0.032005,-0.1673,0.0010492,0.053375,0.023847,-0.17004,0.12966,0.18582,-0.20509,-0.33641,2.017,1.5008,0.058204,0.1046,-0.10625,-0.084616,0.038904,0.11794,-0.031062,-0.016598,-0.017484,-0.024045,0.10423,-0.12996,-0.020438,-0.0094291,-0.0012524,0.00090126,0.00018958,-0.0030393
0.01,0.13071,-0.25094,-0.069429,-0.12275,0.57137,-2.708,-0.036919,-0.18326,0.0068048,0.060574,0.026658,-0.18593,0.11065,0.15951,-0.1859,-0.31925,1.8078,1.274,0.04865,0.089139,-0.095593,-0.075469,0.033331,0.10206,-0.030622,-0.016847,-0.017117,-0.023823,0.10103,-0.13062,-0.020165,-0.0094725,-0.0011581,0.00090826,0.00024286,-0.0030574
0.02,0.12614,-0.24665,-0.060341,-0.1025,0.49271,-2.6417,-0.035743,-0.17773,0.011183,0.060978,0.026116,-0.17993,0.083629,0.12435,-0.14914,-0.26764,1.4367,0.98792,0.035702,0.069482,-0.076342,-0.06045,0.025171,0.080308,-0.030144,-0.016958,-0.016847,-0.023629,0.09889,-0.13003,-0.019839,-0.009417,-0.0011591,0.00086422,0.00030747,-0.0029778
0.03,0.10867,-0.21552,-0.045609,-0.07204,0.37058,-2.2903,-0.029255,-0.15327,0.012228,0.054364,0.022575,-0.15473,0.055494,0.086719,-0.1049,-0.19649,1.003,0.68813,0.022643,0.048728,-0.053583,-0.042851,0.016611,0.056493,-0.029648,-0.016918,-0.016669,-0.023503,0.097722,-0.12802,-0.019472,-0.0092499,-0.0012551,0.00076175,0.00037578,-0.0027924
0.04,0.075607,-0.15258,-0.025638,-0.035377,0.20743,-1.6074,-0.018382,-0.10709,0.0097894,0.039274,0.015452,-0.10789,0.025614,0.045679,-0.051488,-0.10138,0.49229,0.36788,0.010518,0.02617,-0.026744,-0.022141,0.0075398,0.02995,-0.029158,-0.016748,-0.016565,-0.023448,0.097283,-0.1248,-0.019085,-0.0089823,-0.0014306,0.00060892,0.00044011,-0.0025182
0.05,0.0764,-0.15112,-0.024259,-0.028278,0.19838,-1.5858,-0.015789,-0.10512,0.0080299,0.038665,0.015651,-0.10518,0.03118,0.049822,-0.064576,-0.12987,0.60828,0.38869,0.0096969,0.028269,-0.032199,-0.025711,0.0091689,0.032957,-0.028681,-0.016544,-0.016491,-0.023398,0.097117,-0.12123,-0.018717,-0.0086734,-0.0016452,0.00044412,0.00049629,-0.0022218
0.06,0.082052,-0.15836,-0.024917,-0.02368,0.20617,-1.6567,-0.014179,-0.10925,0.0062418,0.040278,0.016859,-0.10846,0.039763,0.056431,-0.084458,-0.17237,0.78506,0.42406,0.0087483,0.031886,-0.040579,-0.031317,0.011715,0.037961,-0.028219,-0.016385,-0.016408,-0.023276,0.096836,-0.11808,-0.018386,-0.0083729,-0.0018626,0.00030104,0.00054331,-0.0019572
0.07,0.087579,-0.16511,-0.025127,-0.018041,0.21019,-1.7219,-0.012434,-0.11299,0.0042218,0.041911,0.017982,-0.11129,0.047148,0.060487,-0.1026,-0.21183,0.94377,0.43787,0.0067684,0.034411,-0.047873,-0.036052,0.013924,0.041694,-0.027771,-0.016267,-0.016318,-0.023093,0.096465,-0.11527,-0.018087,-0.0080766,-0.0020804,0.00017644,0.00058272,-0.0017196
0.08,0.093078,-0.17156,-0.024921,-0.011476,0.21069,-1.7836,-0.010594,-0.11648,0.0020225,0.043622,0.019031,-0.11382,0.053558,0.062703,-0.11919,-0.24807,1.087,0.43677,0.0040907,0.036322,-0.054269,-0.040141,0.015866,0.044625,-0.027332,-0.016182,-0.016223,-0.022852,0.09603,-0.11276,-0.017816,-0.0077806,-0.0022972,6.7298e-05,0.00061576,-0.0015045
0.09,0.095963,-0.17327,-0.023336,-0.0032747,0.19954,-1.7955,-0.0083976,-0.11675,-0.00020146,0.044336,0.019448,-0.11319,0.05874,0.063234,-0.1334,-0.27899,1.2078,0.42331,0.00097032,0.037733,-0.05946,-0.043442,0.017459,0.04679,-0.026903,-0.016122,-0.016125,-0.022558,0.095547,-0.11046,-0.017566,-0.0074811,-0.0025114,-2.9487e-05,0.00064314,-0.0013066
0.1,0.097371,-0.17234,-0.021027,0.0055895,0.18217,-1.78,-0.0060736,-0.11528,-0.0024425,0.044503,0.019484,-0.11093,0.063055,0.062642,-0.14565,-0.30526,1.3106,0.4021,-0.0023655,0.038932,-0.06367,-0.046152,0.018799,0.048501,-0.026483,-0.016077,-0.016023,-0.022212,0.095026,-0.10828,-0.017333,-0.0071739,-0.0027215,-0.00011718,0.00066509,-0.0011205
0.11,0.099161,-0.17195,-0.018727,0.014482,0.16481,-1.7704,-0.0038091,-0.11422,-0.0047647,0.04487,0.019542,-0.1091,0.066859,0.061458,-0.15654,-0.32798,1.4013,0.37719,-0.0057626,0.040191,-0.067191,-0.048504,0.01998,0.050068,-0.02607,-0.01604,-0.015919,-0.021819,0.094475,-0.10619,-0.017113,-0.0068584,-0.002925,-0.00019727,0.00068218,-0.00094444
0.12,0.10089,-0.1713,-0.016292,0.02343,0.14626,-1.7587,-0.0015561,-0.11306,-0.00711,0.045237,0.019534,-0.10725,0.070236,0.059925,-0.16614,-0.34726,1.4807,0.35064,-0.0091131,0.041605,-0.070073,-0.050552,0.02102,0.051593,-0.025664,-0.016009,-0.015812,-0.021385,0.093904,-0.10414,-0.016902,-0.0065348,-0.0031194,-0.00027099,0.00069501,-0.00077732
0.13,0.10278,-0.17079,-0.013795,0.032331,0.12712,-1.7488,0.00066766,-0.11204,-0.0094648,0.04569,0.019511,-0.10563,0.073368,0.058306,-0.17483,-0.36378,1.5522,0.32433,-0.012349,0.043289,-0.072477,-0.052423,0.021971,0.053232,-0.025263,-0.015982,-0.015704,-0.020915,0.093311,-0.10214,-0.0167,-0.006204,-0.0033015,-0.0003389,0.00070409,-0.00061892
0.14,0.10504,-0.17073,-0.011265,0.041169,0.10765,-1.7441,0.0028514,-0.11139,-0.011817,0.04631,0.019518,-0.10445,0.076316,0.056761,-0.18276,-0.3778,1.6174,0.29947,-0.015407,0.045298,-0.074468,-0.054171,0.022851,0.055069,-0.024868,-0.015958,-0.015594,-0.020413,0.092689,-0.10018,-0.016503,-0.0058676,-0.0034679,-0.00040114,0.00070986,-0.00046949
