t, affine_elevL, affine_elevR, affine_throttle
0,2.153e-05,2.152e-05,-5.4432e-06
0.01,0.0020758,0.0020758,-0.00040054
0.02,0.0031748,0.0031749,-0.00062814
0.03,0.0034799,0.00348,-0.00071024
0.04,0.0031734,0.0031735,-0.00067076
0.05,0.0024397,0.0024397,-0.00053747
0.06,0.0014544,0.0014544,-0.00033812
0.07,0.00040467,0.00040465,-9.8266e-05
0.08,-0.00054071,-0.00054068,0.00013666
0.09,-0.0011203,-0.0011203,0.00028723
0.1,-0.0013712,-0.0013711,0.00035267
0.11,-0.0013202,-0.0013201,0.00034536
0.12,-0.0010548,-0.0010548,0.00028173
0.13,-0.00067531,-0.00067526,0.00018099
0.14,-0.00026505,-0.00026502,6.9661e-05
0.15,8.2417e-05,8.2409e-05,-2.4506e-05
0.16,0.00029607,0.00029603,-8.1986e-05
0.17,0.00039331,0.00039325,-0.00010724
0.18,0.00040314,0.00040307,-0.0001076
0.19,0.00035162,0.00035155,-9.0304e-05
0.2,0.00025883,0.00025877,-6.2643e-05
0.21,0.00014118,0.00014114,-3.2176e-05
0.22,1.986e-05,1.9855e-05,-6.1768e-06
0.23,-7.4426e-05,-7.4397e-05,9.0332e-06
0.24,-0.00012108,-0.00012103,1.4472e-05
0.25,-0.00012849,-0.00012841,1.403e-05
0.26,-0.00010861,-0.00010852,1.0904e-05
0.27,-7.3037e-05,-7.295e-05,6.7264e-06
0.28,-3.3869e-05,-3.38e-05,2.5825e-06
0.29,-3.874e-06,-3.8433e-06,-1.1182e-06
0.3,8.3081e-06,8.2839e-06,-4.74e-06
0.31,1.5094e-05,1.5025e-05,-7.853e-06
0.32,1.9798e-05,1.9699e-05,-9.7075e-06
0.33,2.2396e-05,2.2283e-05,-9.9995e-06
0.34,2.2597e-05,2.2487e-05,-8.8487e-06
0.35,1.9796e-05,1.9705e-05,-6.752e-06
0.36,1.2496e-05,1.2446e-05,-4.4339e-06
0.37,1.8714e-06,1.8773e-06,-2.6905e-06
0.38,-6.2471e-06,-6.1913e-06,-1.7927e-06
0.39,-8.2122e-06,-8.1272e-06,-1.583e-06
0.4,-5.8148e-06,-5.7197e-06,-1.64e-06
0.41,-1.1552e-06,-1.0659e-06,-1.8412e-06
0.42,3.5972e-06,3.668e-06,-2.0644e-06
0.43,6.233e-06,6.2761e-06,-2.2297e-06
0.44,4.2982e-06,4.3084e-06,-2.4897e-06
0.45,2.1614e-07,1.9153e-07,-2.824e-06
0.46,1.5474e-07,9.6007e-08,-2.9889e-06
0.47,2.9409e-06,2.853e-06,-2.9749e-06
0.48,6.8203e-06,6.7131e-06,-2.828e-06
0.49,1.0052e-05,9.9409e-06,-2.617e-06
0.5,1.0948e-05,1.0854e-05,-2.4373e-06
0.51,6.9688e-06,6.9231e-06,-2.4307e-06
0.52,1.5887e-07,1.8477e-07,-2.555e-06
0.53,-2.9925e-06,-2.8991e-06,-2.5694e-06
0.54,-9.8803e-07,-8.4615e-07,-2.3971e-06
0.55,3.8307e-06,3.9993e-06,-2.135e-06
0.56,9.0855e-06,9.2567e-06,-1.8881e-06
0.57,1.2342e-05,1.2488e-05,-1.7625e-06
0.58,1.1167e-05,1.1258e-05,-1.8878e-06
0.59,3.1969e-06,3.1996e-06,-2.4001e-06
0.6,-4.1951e-06,-4.2845e-06,-2.9933e-06
0.61,-4.1064e-06,-4.2583e-06,-3.2844e-06
0.62,7.1655e-07,5.3162e-07,-3.3063e-06
0.63,7.3755e-06,7.1863e-06,-3.1357e-06
0.64,1.2901e-05,1.2735e-05,-2.8508e-06
0.65,1.425e-05,1.4135e-05,-2.5385e-06
0.66,7.976e-06,7.9375e-06,-2.3432e-06
0.67,-2.5072e-06,-2.4549e-06,-2.1196e-06
0.68,-1.8272e-06,-1.7011e-06,-1.2701e-06
0.69,7.4544e-06,7.6311e-06,-4.961e-08
0.7,2.0092e-05,2.0293e-05,1.1263e-06
0.71,3.0709e-05,3.0905e-05,1.8347e-06
0.72,3.3832e-05,3.3991e-05,1.6516e-06
0.73,2.3745e-05,2.3829e-05,1.1519e-07
0.74,-3.878e-06,-3.9064e-06,-3.1976e-06
0.75,-2.3094e-05,-2.3208e-05,-6.9924e-06
0.76,-2.6192e-05,-2.6344e-05,-1.0219e-05
0.77,-1.848e-05,-1.8633e-05,-1.2405e-05
0.78,-5.3963e-06,-5.5235e-06,-1.3088e-05
0.79,7.1931e-06,7.1073e-06,-1.1901e-05
0.8,1.3347e-05,1.3306e-05,-8.5961e-06
0.81,7.1051e-06,7.1003e-06,-2.9265e-06
0.82,1.0279e-05,1.0294e-05,6.2161e-06
0.83,5.2072e-05,5.2095e-05,1.8439e-05
0.84,0.00011058,0.0001106,3.0542e-05
0.85,0.00016323,0.00016325,3.9296e-05
0.86,0.00018882,0.00018882,4.151e-05
0.87,0.00016726,0.00016725,3.4026e-05
0.88,8.0016e-05,8.001e-05,1.3739e-05
0.89,-8.2004e-05,-8.2005e-05,-2.4622e-05
0.9,-0.00027007,-0.00027009,-8.667e-05
0.91,-0.00043047,-0.00043053,-0.00015656
0.92,-0.00052475,-0.00052484,-0.00021465
0.93,-0.00053126,-0.00053139,-0.00024289
0.94,-0.00043397,-0.0004341,-0.00022344
0.95,-0.00023483,-0.00023492,-0.00013946
0.96,4.5875e-05,4.5887e-05,2.3445e-05
0.97,0.00026489,0.000265,0.00018753
0.98,0.000362,0.0003622,0.00029991
0.99,0.00036596,0.00036619,0.00035904
1,0.00030593,0.00030617,0.00036406
1.01,0.00021058,0.00021079,0.00031409
1.02,0.00010628,0.00010642,0.00020716
1.03,1.8307e-05,1.8337e-05,4.3082e-05
1.04,-2.2063e-05,-2.2156e-05,-0.00012881
1.05,-1.0889e-05,-1.1061e-05,-0.00022378
1.06,1.6268e-05,1.6057e-05,-0.00025148
