t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.2117,-0.31901,-0.19953,-0.48278,2.2761,-4.258,0.13372,-0.35142,-0.12093,0.057203,0.058696,-0.18224,0.2117,0.31901,-0.19954,0.48278,2.2762,4.258,0.13372,0.35142,-0.12094,-0.057205,0.058697,0.18224,-0.069152,5.4592e-08,0.00336,1.4104e-07,-0.064407,9.6757e-07,-0.04046,9.5646e-08,0.011035,-1.1274e-08,-0.0039707,1.6098e-08
0.01,0.19408,-0.29911,-0.19411,-0.45871,2.193,-3.992,0.12445,-0.32977,-0.11549,0.0501,0.05533,-0.17215,0.19408,0.29911,-0.19411,0.45871,2.1931,3.9921,0.12445,0.32978,-0.1155,-0.050101,0.055332,0.17215,-0.069556,5.207e-08,0.004481,1.5682e-07,-0.072962,9.2073e-07,-0.040738,9.0426e-08,0.011524,-6.3055e-09,-0.0039193,1.6122e-08
0.02,0.17459,-0.27407,-0.18567,-0.41737,2.0778,-3.6582,0.11366,-0.30233,-0.10828,0.04312,0.051264,-0.15892,0.17459,0.27407,-0.18567,0.41737,2.0779,3.6582,0.11366,0.30233,-0.10829,-0.043121,0.051265,0.15892,-0.069829,5.2435e-08,0.0055008,1.7207e-07,-0.079987,9.1506e-07,-0.040938,8.8676e-08,0.011862,-2.4475e-09,-0.0038252,1.7967e-08
0.03,0.15414,-0.24565,-0.17478,-0.36447,1.9379,-3.2802,0.1019,-0.27108,-0.099821,0.036578,0.046731,-0.14357,0.15414,0.24565,-0.17479,0.36447,1.9379,3.2802,0.1019,0.27108,-0.099824,-0.036578,0.046732,0.14357,-0.06997,5.6432e-08,0.0064043,1.8762e-07,-0.085378,9.6035e-07,-0.041059,9.1196e-08,0.012053,2.0769e-10,-0.0036891,2.2146e-08
0.04,0.13353,-0.21556,-0.16203,-0.30567,1.7804,-2.8812,0.089667,-0.23799,-0.090588,0.030681,0.041943,-0.1271,0.13353,0.21556,-0.16203,0.30566,1.7804,2.8811,0.089665,0.23799,-0.090591,-0.030681,0.041944,0.1271,-0.069985,6.4077e-08,0.0071802,2.0282e-07,-0.089083,1.0567e-06,-0.041099,9.7976e-08,0.012104,1.6731e-09,-0.0035133,2.8737e-08
0.05,0.11295,-0.18474,-0.14731,-0.24527,1.605,-2.4731,0.077072,-0.2041,-0.080656,0.025438,0.036928,-0.11004,0.11294,0.18473,-0.14731,0.24526,1.605,2.473,0.077069,0.2041,-0.080657,-0.025438,0.036928,0.11004,-0.069889,7.3524e-08,0.0078296,2.1423e-07,-0.091185,1.1795e-06,-0.041065,1.0697e-07,0.012029,2.2239e-09,-0.0033036,3.6688e-08
0.06,0.092562,-0.15384,-0.13045,-0.18678,1.4101,-2.0645,0.06422,-0.17015,-0.070021,0.020791,0.031689,-0.092725,0.092559,0.15383,-0.13045,0.18677,1.4101,2.0644,0.064217,0.17015,-0.070021,-0.020791,0.031688,0.092722,-0.069697,8.2505e-08,0.0083588,2.1828e-07,-0.091821,1.2985e-06,-0.040968,1.1568e-07,0.011843,2.1841e-09,-0.0030675,4.4723e-08
0.07,0.075477,-0.12763,-0.11583,-0.1376,1.2431,-1.7189,0.053298,-0.14143,-0.061048,0.017219,0.027295,-0.078009,0.075472,0.12762,-0.11583,0.13759,1.243,1.7188,0.053295,0.14142,-0.061047,-0.017219,0.027294,0.078006,-0.06943,9.0139e-08,0.0087787,2.1416e-07,-0.091166,1.4018e-06,-0.040817,1.2311e-07,0.011563,1.6534e-09,-0.002813,5.2316e-08
0.08,0.065283,-0.1117,-0.11036,-0.10276,1.1763,-1.5119,0.047046,-0.12413,-0.057172,0.015327,0.025263,-0.06941,0.065279,0.1117,-0.11036,0.10275,1.1762,1.5118,0.047042,0.12412,-0.057171,-0.015327,0.025262,0.069406,-0.069117,9.5875e-08,0.0091264,2.0245e-07,-0.089671,1.482e-06,-0.040636,1.2856e-07,0.011214,8.3875e-10,-0.0025542,5.9075e-08
0.09,0.060475,-0.1041,-0.11419,-0.076894,1.2093,-1.4184,0.044747,-0.11615,-0.058124,0.014837,0.025454,-0.065983,0.060472,0.10409,-0.11419,0.076885,1.2093,1.4183,0.044744,0.11615,-0.058123,-0.014837,0.025453,0.065979,-0.068804,9.828e-08,0.009478,1.838e-07,-0.088175,1.5198e-06,-0.04047,1.3024e-07,0.010835,1.802e-10,-0.0023118,6.3982e-08
0.1,0.055772,-0.097214,-0.11915,-0.051958,1.2547,-1.3361,0.042679,-0.10908,-0.059612,0.01468,0.025943,-0.06307,0.055769,0.097207,-0.11915,0.051949,1.2547,1.336,0.042676,0.10908,-0.059611,-0.01468,0.025942,0.063067,-0.068489,9.7958e-08,0.0098351,1.6042e-07,-0.086709,1.523e-06,-0.040313,1.2881e-07,0.010433,-3.5232e-10,-0.0020872,6.7317e-08
0.11,0.049784,-0.088762,-0.12229,-0.026924,1.2817,-1.2337,0.039769,-0.10038,-0.060186,0.014508,0.026092,-0.059181,0.049781,0.088756,-0.12229,0.026917,1.2817,1.2336,0.039767,0.10037,-0.060185,-0.014508,0.026091,0.059178,-0.068164,9.5612e-08,0.01019,1.3424e-07,-0.085212,1.5008e-06,-0.040157,1.2507e-07,0.010012,-8.5021e-10,-0.0018793,6.9454e-08
0.12,0.043279,-0.079917,-0.12471,-0.0033341,1.302,-1.1267,0.036539,-0.091316,-0.060435,0.014422,0.026155,-0.054997,0.043277,0.079911,-0.12471,0.0033272,1.3019,1.1266,0.036537,0.09131,-0.060434,-0.014422,0.026154,0.054994,-0.067826,9.1769e-08,0.010538,1.0667e-07,-0.083634,1.4601e-06,-0.039995,1.1962e-07,0.009574,-1.3724e-09,-0.0016873,7.0675e-08
0.13,0.036712,-0.071491,-0.12713,0.018071,1.3231,-1.0257,0.033303,-0.082778,-0.06074,0.014473,0.026286,-0.050997,0.03671,0.071485,-0.12713,-0.018077,1.3231,1.0257,0.033302,0.082773,-0.060739,-0.014473,0.026285,0.050994,-0.067469,8.6892e-08,0.010871,7.8852e-08,-0.081932,1.4071e-06,-0.03982,1.1303e-07,0.0091239,-1.9491e-09,-0.0015105,7.1243e-08
0.14,0.030125,-0.063592,-0.12943,0.037112,1.3438,-0.93178,0.030062,-0.074854,-0.061051,0.014615,0.026451,-0.047217,0.030123,0.063586,-0.12943,-0.037117,1.3437,0.93169,0.030061,0.074848,-0.06105,-0.014615,0.026451,0.047214,-0.067092,8.1254e-08,0.011186,5.1706e-08,-0.080075,1.345e-06,-0.03963,1.0562e-07,0.0086651,-2.5666e-09,-0.0013478,7.1299e-08
0.15,0.023537,-0.056218,-0.13135,0.053699,1.3613,-0.84438,0.026792,-0.067513,-0.061262,0.014797,0.026597,-0.04363,0.023536,0.056211,-0.13135,-0.053704,1.3613,0.8443,0.02679,0.067507,-0.061261,-0.014797,0.026596,0.043627,-0.066694,7.5087e-08,0.011478,2.6032e-08,-0.07804,1.2766e-06,-0.039422,9.7668e-08,0.0082013,-3.2011e-09,-0.0011977,7.0952e-08
0.16,0.016991,-0.049363,-0.13272,0.067811,1.3739,-0.7632,0.023485,-0.060729,-0.061299,0.014976,0.026682,-0.040221,0.01699,0.049356,-0.13272,-0.067815,1.3739,0.76311,0.023483,0.060724,-0.061298,-0.014976,0.026681,0.040218,-0.066273,6.8566e-08,0.011744,2.6054e-09,-0.075803,1.2035e-06,-0.039192,8.934e-08,0.0077361,-3.8152e-09,-0.0010586,7.0261e-08
