t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0.61087,-0.23431,-0.15051,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.01,0.11316,-0.0003273,5.5267e-12,0.61087,-0.23431,-0.1563,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.02,0.22631,-0.0013092,2.3279e-09,0.61087,-0.23431,-0.16208,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.03,0.33946,-0.0029456,9.1295e-09,0.61087,-0.23431,-0.16787,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.04,0.45259,-0.0052365,1.2241e-08,0.61087,-0.23431,-0.17365,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.05,0.56572,-0.0081819,8.983e-09,0.61087,-0.23431,-0.17944,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.06,0.67882,-0.011782,8.9784e-10,0.61087,-0.23431,-0.18522,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.07,0.7919,-0.016035,-3.8201e-09,0.61087,-0.23431,-0.19101,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.08,0.90495,-0.020943,8.6899e-10,0.61087,-0.23431,-0.19679,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.09,1.018,-0.026505,6.8226e-09,0.61087,-0.23431,-0.20258,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.1,1.131,-0.032721,6.9109e-09,0.61087,-0.23431,-0.20836,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.11,1.2439,-0.03959,1.366e-09,0.61087,-0.23431,-0.21415,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.12,1.3568,-0.047112,-4.6232e-09,0.61087,-0.23431,-0.21993,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.13,1.4697,-0.055287,-2.6129e-09,0.61087,-0.23431,-0.22572,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.14,1.5825,-0.064115,4.1621e-09,0.61087,-0.23431,-0.2315,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.15,1.6953,-0.073596,6.6842e-09,0.61087,-0.23431,-0.23729,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.16,1.808,-0.083728,3.1513e-09,0.61087,-0.23431,-0.24307,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
0.17,1.9206,-0.094513,-3.708e-09,0.61087,-0.23431,-0.24886,10.882,-0.099963,-3.101,-0.13431,-0.32273,-0.46091
