t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.12965,-0.18581,-0.20507,0.33637,2.0168,-1.5007,0.058194,-0.10459,-0.10624,0.084604,0.038901,-0.11792,0.11994,0.22612,-0.068794,0.12379,0.57165,2.4564,-0.031997,0.16728,0.0010394,-0.053362,0.02384,0.17001,-0.031062,0.016597,-0.017484,0.024045,0.10423,0.12995,-0.020437,0.0094288,-0.0012527,-0.00090099,0.00018962,0.0030389
0.01,0.10969,-0.15828,-0.18425,0.31638,1.7919,-1.2646,0.048271,-0.088475,-0.094774,0.074842,0.033032,-0.10128,0.12985,0.24934,-0.068926,0.12188,0.56719,2.6907,-0.036677,0.18209,0.0067738,-0.060193,0.026474,0.18475,-0.030622,0.016846,-0.017118,0.023824,0.10104,0.13062,-0.020164,0.0094721,-0.0011584,-0.00090791,0.00024292,0.0030569
0.02,0.084826,-0.12586,-0.15127,0.27147,1.457,-0.99944,0.036133,-0.0703,-0.07739,0.061241,0.025537,-0.081275,0.1273,0.2488,-0.061003,0.1036,0.49818,2.6648,-0.036053,0.17928,0.011219,-0.061483,0.026363,0.18149,-0.030144,0.016957,-0.016847,0.02363,0.098893,0.13002,-0.019839,0.0094165,-0.0011594,-0.0008639,0.00030748,0.0029773
0.03,0.05474,-0.085731,-0.10348,0.19386,0.9896,-0.68062,0.022384,-0.04819,-0.052888,0.042321,0.016381,-0.05585,0.10784,0.21397,-0.045179,0.07136,0.36704,2.2737,-0.029036,0.15216,0.012167,-0.053986,0.022393,0.15362,-0.029648,0.016917,-0.01667,0.023504,0.097725,0.12802,-0.019471,0.0092495,-0.0012554,-0.00076142,0.0003758,0.0027919
0.04,0.029459,-0.050643,-0.05897,0.11564,0.56237,-0.4051,0.011645,-0.028875,-0.030358,0.024857,0.0086952,-0.033212,0.079951,0.16061,-0.027792,0.038568,0.22523,1.6931,-0.019384,0.11278,0.010001,-0.041208,0.016398,0.11356,-0.029158,0.016747,-0.016566,0.023449,0.097288,0.12479,-0.019085,0.0089817,-0.001431,-0.0006085,0.00044012,0.0025175
0.05,0.027566,-0.045263,-0.057301,0.11567,0.54074,-0.35506,0.0088293,-0.025772,-0.028735,0.023141,0.0080941,-0.029919,0.072,0.14306,-0.022214,0.025511,0.18143,1.5003,-0.014899,0.09947,0.0078757,-0.036725,0.014695,0.099592,-0.028681,0.016544,-0.016491,0.023398,0.097117,0.12123,-0.018717,0.0086733,-0.0016453,-0.00044407,0.00049627,0.0022217
0.06,0.037565,-0.053711,-0.079897,0.1633,0.74306,-0.40428,0.0083308,-0.030378,-0.038439,0.029741,0.011068,-0.036114,0.079243,0.15329,-0.023687,0.022187,0.19592,1.603,-0.013691,0.10573,0.0061999,-0.039058,0.016251,0.10501,-0.02822,0.016385,-0.016408,0.023277,0.096836,0.11807,-0.018386,0.0083728,-0.0018626,-0.00030099,0.0005433,0.0019571
0.07,0.047882,-0.061379,-0.10417,0.215,0.95811,-0.44427,0.006872,-0.034916,-0.048598,0.036584,0.014138,-0.042313,0.088543,0.16683,-0.025523,0.01846,0.2135,1.74,-0.012576,0.11417,0.0042147,-0.042324,0.018188,0.11244,-0.027771,0.016267,-0.016318,0.023093,0.096466,0.11527,-0.018087,0.0080765,-0.0020804,-0.00017643,0.00058272,0.0017196
0.08,0.054111,-0.063392,-0.12042,0.25057,1.0981,-0.4417,0.0041484,-0.036724,-0.05483,0.040557,0.016026,-0.045115,0.093457,0.17223,-0.025052,0.011582,0.21179,1.7907,-0.010641,0.11694,0.002025,-0.043789,0.019111,0.11426,-0.027332,0.016183,-0.016223,0.022852,0.096031,0.11276,-0.017816,0.0077808,-0.0022971,-6.7401e-05,0.0006158,0.0015047
0.09,0.058629,-0.063099,-0.13315,0.27848,1.2055,-0.42236,0.00096386,-0.037652,-0.059348,0.043358,0.017427,-0.046692,0.095911,0.17317,-0.023321,0.003268,0.19941,1.7945,-0.0083926,0.11668,-0.00020048,-0.044312,0.019437,0.11313,-0.026903,0.016122,-0.016125,0.022558,0.095547,0.11046,-0.017566,0.0074811,-0.0025114,2.949e-05,0.00064313,0.0013065
0.1,0.062961,-0.06251,-0.14543,0.3048,1.3086,-0.40113,-0.0023703,-0.03885,-0.063571,0.046075,0.018772,-0.048404,0.097636,0.17278,-0.021125,-0.0055288,0.183,1.7846,-0.0060946,0.11557,-0.0024657,-0.044609,0.01954,0.11121,-0.026483,0.016077,-0.016023,0.022212,0.095026,0.10828,-0.017333,0.0071739,-0.0027215,0.00011718,0.00066508,0.0011205
0.11,0.06686,-0.06146,-0.15654,0.32799,1.4013,-0.3772,-0.0057625,-0.040192,-0.067192,0.048505,0.01998,-0.050069,0.099154,0.17194,-0.018725,-0.014482,0.16479,1.7703,-0.0038088,0.11421,-0.0047643,-0.044868,0.019541,0.1091,-0.02607,0.01604,-0.015919,0.021819,0.094475,0.10619,-0.017113,0.0068584,-0.002925,0.00019728,0.00068218,0.00094444
0.12,0.070172,-0.059882,-0.166,0.34696,1.4794,-0.35042,-0.0091026,-0.041574,-0.070012,0.050512,0.021001,-0.051554,0.10081,0.17118,-0.016269,-0.023433,0.14606,1.7574,-0.0015549,0.11298,-0.0070988,-0.045208,0.019519,0.10718,-0.025664,0.016009,-0.015812,0.021385,0.093902,0.10414,-0.016902,0.0065348,-0.0031193,0.00027094,0.000695,0.00077738
0.13,0.073414,-0.058334,-0.17494,0.364,1.5532,-0.32446,-0.012357,-0.043311,-0.072521,0.052452,0.021985,-0.05326,0.10282,0.17086,-0.013807,-0.032335,0.12722,1.7495,0.0006668,0.11209,-0.0094709,-0.045708,0.01952,0.10567,-0.025263,0.015982,-0.015704,0.020915,0.093311,0.10214,-0.0167,0.006204,-0.0033015,0.00033889,0.00070409,0.00061893
0.14,0.076445,-0.056834,-0.18306,0.3784,1.62,-0.29978,-0.015433,-0.04536,-0.074589,0.054253,0.022889,-0.055148,0.10517,0.17093,-0.011294,-0.041191,0.1079,1.7461,0.0028515,0.11152,-0.011836,-0.04636,0.019543,0.10457,-0.024868,0.015958,-0.015594,0.020413,0.092688,0.10018,-0.016503,0.0058676,-0.0034679,0.00040111,0.00070985,0.0004695
0.15,0.078884,-0.055288,-0.18952,0.38841,1.6727,-0.27648,-0.018193,-0.047546,-0.075878,0.055686,0.0236,-0.057023,0.10749,0.17084,-0.0086559,-0.049872,0.087414,1.7416,0.0049932,0.1109,-0.014128,-0.047018,0.01952,0.10355,-0.024477,0.015937,-0.01548,0.01988,0.092032,0.098257,-0.016311,0.0055273,-0.0036165,0.00045787,0.00071262,0.000329
0.16,0.08078,-0.053834,-0.19448,0.39437,1.7126,-0.2556,-0.020592,-0.04987,-0.076466,0.056797,0.024132,-0.058932,0.10983,0.17066,-0.0059323,-0.058272,0.066078,1.7366,0.0070741,0.1103,-0.016337,-0.047686,0.019467,0.10266,-0.024091,0.015918,-0.015363,0.019319,0.091337,0.096369,-0.016122,0.0051848,-0.0037455,0.00050923,0.00071266,0.0001974
0.17,0.081996,-0.052484,-0.1977,0.39588,1.7377,-0.23755,-0.022561,-0.052214,-0.076277,0.05751,0.02445,-0.060793,0.11213,0.1703,-0.0031489,-0.066276,0.044082,1.7302,0.009073,0.10965,-0.018438,-0.048326,0.019375,0.10185,-0.023709,0.0159,-0.015242,0.018729,0.090595,0.094511,-0.015934,0.0048423,-0.0038538,0.00055516,0.00071018,7.4727e-05
0.18,0.082592,-0.051318,-0.1994,0.39349,1.7499,-0.22282,-0.024132,-0.054546,-0.075414,0.05788,0.024576,-0.062619,0.11434,0.16973,-0.00035827,-0.073772,0.021848,1.7222,0.010978,0.10893,-0.020438,-0.04892,0.019247,0.10111,-0.023331,0.015882,-0.015117,0.018114,0.08982,0.092678,-0.015748,0.0045014,-0.0039421,0.00059622,0.00070569,-3.9485e-05
0.19,0.082847,-0.050445,-0.20028,0.38874,1.7553,-0.21157,-0.025386,-0.056929,-0.074173,0.058082,0.024602,-0.064546,0.11654,0.16908,0.0023953,-0.080752,-0.00026721,1.7138,0.012774,0.10821,-0.022345,-0.049485,0.0191,0.10048,-0.022955,0.015863,-0.014988,0.017473,0.089001,0.090869,-0.015561,0.0041644,-0.0040104,0.00063229,0.00069939,-0.00014516
