t, affine_elevL, affine_elevR, affine_throttle
0,-0.00037241,-0.00037211,-0.00082812
0.01,-0.0012451,-0.001245,0.00056428
0.02,-0.0021872,-0.0021873,0.0015147
0.03,-0.0031758,-0.0031759,0.0020968
0.04,-0.0041752,-0.0041753,0.002382
0.05,-0.0051495,-0.0051494,0.0024307
0.06,-0.0060599,-0.0060596,0.002296
0.07,-0.006864,-0.0068635,0.0020303
0.08,-0.0075192,-0.0075185,0.0016788
0.09,-0.0079837,-0.0079828,0.0012775
0.1,-0.008219,-0.0082181,0.00086157
0.11,-0.0081914,-0.0081904,0.00046423
0.12,-0.0078773,-0.0078762,0.00010695
0.13,-0.0072635,-0.0072625,-0.00019257
0.14,-0.0063444,-0.0063435,-0.00041668
0.15,-0.0051239,-0.0051232,-0.00055325
0.16,-0.0036198,-0.0036193,-0.00059854
0.17,-0.0018345,-0.0018342,-0.00054601
0.18,8.0048e-05,8.0017e-05,-0.00041261
0.19,0.0018735,0.0018733,-0.00024514
0.2,0.0034248,0.0034243,-8.0781e-05
0.21,0.0047251,0.0047244,7.197e-05
0.22,0.0057527,0.0057519,0.00020604
0.23,0.0065179,0.0065169,0.00031564
0.24,0.0070437,0.0070426,0.00039513
0.25,0.0073455,0.0073443,0.00044235
0.26,0.0074319,0.0074306,0.00045809
0.27,0.007312,0.0073107,0.00044322
0.28,0.0069984,0.0069972,0.00040111
0.29,0.0065083,0.0065071,0.00033923
0.3,0.0058599,0.0058588,0.00026539
0.31,0.0050722,0.0050712,0.00018769
0.32,0.004163,0.0041621,0.00011564
0.33,0.0031497,0.003149,5.7909e-05
0.34,0.0020495,0.0020489,2.2776e-05
0.35,0.00087901,0.00087877,1.5963e-05
0.36,-0.0003094,-0.00030933,4.0131e-05
0.37,-0.0013618,-0.0013614,8.9957e-05
0.38,-0.0022047,-0.0022042,0.00015815
0.39,-0.0028628,-0.0028621,0.00023787
0.4,-0.0033479,-0.0033471,0.00032187
0.41,-0.0036725,-0.0036716,0.00040373
0.42,-0.0038489,-0.0038481,0.00047728
0.43,-0.0038896,-0.0038887,0.00053639
0.44,-0.0038084,-0.0038076,0.00057691
0.45,-0.0036208,-0.0036201,0.00059681
0.46,-0.0033422,-0.0033415,0.00059417
0.47,-0.0029881,-0.0029876,0.00056772
0.48,-0.0025757,-0.0025752,0.00051943
0.49,-0.0021219,-0.0021215,0.00045204
0.5,-0.0016434,-0.0016431,0.00036866
0.51,-0.0011568,-0.0011566,0.00027436
0.52,-0.00067827,-0.0006782,0.00017479
0.53,-0.0002224,-0.00022239,7.6249e-05
0.54,0.0001871,0.00018708,-1.5326e-05
0.55,0.00052536,0.00052532,-9.5503e-05
0.56,0.00079308,0.00079303,-0.00016325
0.57,0.00099632,0.00099627,-0.00021806
0.58,0.0011406,0.0011406,-0.00025973
0.59,0.0012315,0.0012315,-0.00028866
0.6,0.0012743,0.0012744,-0.00030534
0.61,0.0012744,0.0012744,-0.00031027
0.62,0.0012367,0.0012368,-0.00030435
0.63,0.0011665,0.0011666,-0.00028875
0.64,0.0010688,0.0010689,-0.00026465
0.65,0.00094862,0.0009488,-0.00023321
0.66,0.00081106,0.00081125,-0.00019577
0.67,0.00066135,0.00066154,-0.00015393
0.68,0.00050473,0.00050491,-0.00010928
0.69,0.0003464,0.00034655,-6.3451e-05
0.7,0.00019176,0.00019186,-1.8327e-05
0.71,4.6281e-05,4.6299e-05,2.4049e-05
0.72,-8.1255e-05,-8.1324e-05,6.1666e-05
