t, affine_elevL, affine_elevR, affine_throttle
0,-4.9094e-05,0.00036372,-1.2128e-05
0.01,-0.0045784,0.0079701,-0.00027547
0.02,-0.0084908,0.013417,-0.00049965
0.03,-0.011567,0.016635,-0.00067333
0.04,-0.013629,0.017708,-0.00078701
0.05,-0.014545,0.016866,-0.00083285
0.06,-0.014285,0.014611,-0.00081191
0.07,-0.012883,0.011484,-0.00072756
0.08,-0.010421,0.0079766,-0.00058543
0.09,-0.0070624,0.0044825,-0.00039759
0.1,-0.0030464,0.0015345,-0.00017429
0.11,0.0010706,-0.00043679,6.0491e-05
0.12,0.0044108,-0.0020225,0.00024856
0.13,0.0067287,-0.0035224,0.00037124
0.14,0.0080435,-0.0044952,0.00043771
0.15,0.0084569,-0.004839,0.00045629
0.16,0.0081258,-0.0046899,0.00043522
0.17,0.0072068,-0.004191,0.00038267
0.18,0.005843,-0.003404,0.00030727
0.19,0.0041818,-0.0024226,0.00021779
0.2,0.0023946,-0.001371,0.00012349
0.21,0.00067122,-0.00037873,3.4146e-05
0.22,-0.00078675,0.00043074,-4.0069e-05
0.23,-0.0018365,0.00097636,-9.3499e-05
0.24,-0.002505,0.001288,-0.00012771
0.25,-0.0028358,0.0014044,-0.00014479
0.26,-0.0028725,0.0013689,-0.00014684
0.27,-0.0026669,0.0012196,-0.00013636
0.28,-0.002276,0.00099343,-0.00011625
0.29,-0.0017588,0.00072878,-8.9463e-05
0.3,-0.0011821,0.00045926,-5.9671e-05
0.31,-0.00061741,0.00021827,-3.0882e-05
0.32,-0.0001472,4.0913e-05,-7.9086e-06
0.33,0.0001961,-8.7225e-05,6.8603e-06
0.34,0.00040869,-0.00019496,1.2881e-05
0.35,0.00052593,-0.00029299,1.3044e-05
0.36,0.00057056,-0.00037837,9.5049e-06
0.37,0.00056387,-0.00044794,4.2837e-06
0.38,0.00052166,-0.00049536,-1.0355e-06
0.39,0.00045068,-0.00050946,-5.5551e-06
0.4,0.00035718,-0.00047879,-8.4243e-06
0.41,0.0002438,-0.00038994,-9.063e-06
0.42,0.00010903,-0.00022686,-7.1618e-06
0.43,-4.8504e-05,2.4783e-05,-2.5286e-06
0.44,-0.00016134,0.00025126,3.2904e-06
0.45,-0.00019796,0.00037532,8.3842e-06
0.46,-0.00017979,0.00041275,1.2067e-05
0.47,-0.00012543,0.00038179,1.4069e-05
0.48,-5.3611e-05,0.00030117,1.413e-05
0.49,1.8456e-05,0.00019119,1.223e-05
0.5,7.7716e-05,7.5352e-05,8.9748e-06
0.51,0.00011162,-2.2199e-05,5.0615e-06
0.52,0.00010786,-7.6952e-05,1.2324e-06
0.53,5.5266e-05,-6.1006e-05,-1.3853e-06
0.54,-4.1405e-05,3.3263e-05,-1.8324e-06
0.55,-0.00010273,0.00010248,-1.2694e-06
0.56,-0.00011754,0.00012277,-6.2051e-07
0.57,-0.00010017,0.00010659,-1.8064e-07
0.58,-6.2861e-05,6.6276e-05,-5.0918e-08
0.59,-1.6573e-05,1.3936e-05,-2.172e-07
0.6,2.8401e-05,-3.8378e-05,-6.0777e-07
0.61,6.3439e-05,-7.9764e-05,-1.0782e-06
0.62,8.0095e-05,-9.963e-05,-1.4913e-06
0.63,7.0171e-05,-8.7901e-05,-1.728e-06
0.64,2.5915e-05,-3.6004e-05,-1.7527e-06
0.65,-4.4714e-05,4.2641e-05,-1.9376e-06
0.66,-9.3948e-05,8.5213e-05,-3.1524e-06
0.67,-0.00012051,9.6297e-05,-4.838e-06
0.68,-0.00012789,8.5264e-05,-6.4981e-06
0.69,-0.00011979,6.0578e-05,-7.7591e-06
0.7,-9.9972e-05,3.0685e-05,-8.2568e-06
0.71,-7.2867e-05,2.1234e-06,-7.8931e-06
0.72,-4.3703e-05,-2.0255e-05,-6.8224e-06
0.73,-1.7806e-05,-3.1601e-05,-5.2071e-06
0.74,-8.7174e-07,-2.765e-05,-3.304e-06
0.75,9.9559e-08,-5.9347e-06,-1.6887e-06
0.76,-1.181e-05,1.689e-05,-1.3422e-06
