t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.33835,-0.35267,-0.27204,0.15693,4.117,-4.2056,0.26313,-0.33116,-0.23247,0.13174,0.10011,-0.22934,0.067823,0.22552,-0.046579,0.22907,-0.13321,2.737,-0.017444,0.21515,0.023495,-0.041491,0.0068374,0.16766,-0.051807,0.023523,-0.0081518,0.025966,-0.03515,0.24159,-0.033582,0.018088,0.0073385,-0.0031007,-0.00356,0.0085632
0.01,0.33741,-0.34858,-0.2871,0.19271,4.2556,-4.1428,0.26673,-0.32798,-0.24035,0.13187,0.10037,-0.22736,0.063589,0.23365,-0.04035,0.2234,-0.2495,2.8386,-0.024212,0.22254,0.032107,-0.043398,0.0056036,0.17499,-0.052798,0.0251,-0.0067142,0.025739,-0.053466,0.25786,-0.03448,0.019402,0.0083678,-0.0034106,-0.003765,0.0092812
0.02,0.33112,-0.33934,-0.29659,0.22557,4.3123,-4.0179,0.26555,-0.32008,-0.24322,0.13005,0.098505,-0.22218,0.058076,0.24158,-0.03258,0.21395,-0.37806,2.935,-0.031456,0.22951,0.041128,-0.045498,0.0043314,0.18177,-0.053772,0.026673,-0.0052424,0.025292,-0.071721,0.27382,-0.035382,0.020698,0.0093679,-0.0037096,-0.0039434,0.0099796
0.03,0.31886,-0.32443,-0.29932,0.25258,4.2744,-3.8257,0.25889,-0.30698,-0.24042,0.12596,0.094423,-0.2134,0.051605,0.24907,-0.023603,0.20132,-0.51391,3.0228,-0.038891,0.23585,0.050184,-0.047645,0.0031067,0.18779,-0.054682,0.028202,-0.0037852,0.024691,-0.089254,0.289,-0.036244,0.021939,0.0103,-0.0039797,-0.0040787,0.010634
0.04,0.30034,-0.30362,-0.29446,0.27133,4.1341,-3.5645,0.24636,-0.28842,-0.23163,0.11941,0.088148,-0.20081,0.044555,0.25565,-0.013817,0.186,-0.65112,3.0966,-0.04616,0.24119,0.058845,-0.049664,0.0020225,0.19276,-0.055473,0.029637,-0.0024006,0.024014,-0.10529,0.30281,-0.037019,0.023082,0.011118,-0.0042001,-0.0041538,0.011213
0.05,0.27593,-0.27733,-0.28179,0.27988,3.8928,-3.2406,0.22819,-0.26474,-0.21706,0.11047,0.079959,-0.18459,0.037358,0.26078,-0.0037324,0.16876,-0.78242,3.1501,-0.052837,0.24506,0.066618,-0.051343,0.0011727,0.19631,-0.056104,0.030937,-0.0011443,0.023356,-0.11914,0.31478,-0.037665,0.024087,0.011784,-0.0043529,-0.0041571,0.01169
0.06,0.24678,-0.24669,-0.26198,0.27758,3.5636,-2.8684,0.20532,-0.23693,-0.19761,0.09954,0.070377,-0.1654,0.030398,0.26392,0.0061379,0.15043,-0.90085,3.1773,-0.058526,0.247,0.073047,-0.052483,0.00062121,0.19808,-0.05655,0.032074,-5.523e-05,0.0228,-0.13036,0.32464,-0.038158,0.024931,0.012271,-0.0044271,-0.0040852,0.012049
0.07,0.2143,-0.21311,-0.23611,0.26466,3.1645,-2.4652,0.179,-0.20618,-0.17442,0.087116,0.059966,-0.14408,0.024047,0.26451,0.015282,0.13182,-0.99973,3.1721,-0.062852,0.24658,0.077711,-0.052903,0.00040796,0.19775,-0.056792,0.033027,0.0008303,0.022429,-0.13856,0.33217,-0.038478,0.025592,0.01256,-0.0044137,-0.0039375,0.012273
0.08,0.17942,-0.17758,-0.20492,0.24134,2.7082,-2.0434,0.15017,-0.17333,-0.14832,0.07355,0.049139,-0.12123,0.01852,0.26192,0.023286,0.11354,-1.0733,3.1278,-0.065517,0.24324,0.080262,-0.052441,0.00051695,0.1949,-0.056839,0.033797,0.0015037,0.02229,-0.14373,0.33741,-0.03863,0.02607,0.012651,-0.004314,-0.0037229,0.012362
0.09,0.14205,-0.14016,-0.16802,0.20672,2.1918,-1.604,0.11897,-0.13822,-0.11928,0.058785,0.037997,-0.096762,0.01386,0.25531,0.029834,0.095934,-1.1165,3.0353,-0.066285,0.23627,0.080402,-0.050937,0.00087742,0.189,-0.05672,0.034404,0.0019843,0.022392,-0.14623,0.34065,-0.038639,0.026383,0.012561,-0.0041388,-0.0034571,0.012329
0.1,0.10572,-0.10426,-0.12943,0.16575,1.669,-1.1865,0.088524,-0.10402,-0.090279,0.044262,0.027584,-0.072931,0.010188,0.24503,0.034696,0.079773,-1.129,2.8998,-0.065235,0.22604,0.078239,-0.048482,0.0014184,0.18039,-0.056473,0.034876,0.0023002,0.022727,-0.14649,0.34224,-0.038537,0.026555,0.012316,-0.0039012,-0.0031573,0.012192
