t, affine_elevL, affine_elevR, affine_throttle
0,0.00041237,-7.7658e-05,-1.297e-05
0.01,0.0080207,-0.0046098,-0.0002765
0.02,0.013466,-0.0085243,-0.00050089
0.03,0.016681,-0.011602,-0.00067474
0.04,0.01776,-0.013669,-0.00078862
0.05,0.016937,-0.014592,-0.0008347
0.06,0.014686,-0.014337,-0.0008139
0.07,0.011529,-0.012929,-0.00072955
0.08,0.0079789,-0.010453,-0.00058739
0.09,0.0045301,-0.0071091,-0.00039959
0.1,0.0016163,-0.0031508,-0.00017851
0.11,-0.00044544,0.001073,6.046e-05
0.12,-0.0021491,0.0044497,0.0002485
0.13,-0.0034819,0.0067152,0.00037121
0.14,-0.0043682,0.0079996,0.00043768
0.15,-0.0047748,0.0084335,0.00045625
0.16,-0.0047046,0.0081309,0.00043517
0.17,-0.00422,0.0072168,0.00038259
0.18,-0.0034178,0.0058467,0.00030718
0.19,-0.0024244,0.0041824,0.00021774
0.2,-0.0013734,0.0023953,0.00012344
0.21,-0.00038196,0.00067214,3.4089e-05
0.22,0.0004273,-0.00078571,-4.0127e-05
0.23,0.00097266,-0.0018353,-9.3558e-05
0.24,0.0012842,-0.0025037,-0.00012777
0.25,0.0014004,-0.0028343,-0.00014485
0.26,0.0013647,-0.0028711,-0.0001469
0.27,0.0012152,-0.0026654,-0.00013643
0.28,0.00098886,-0.0022743,-0.00011631
0.29,0.00072402,-0.001757,-8.9527e-05
0.3,0.00045435,-0.0011802,-5.9733e-05
0.31,0.00021304,-0.00061523,-3.0937e-05
0.32,3.5091e-05,-0.00014489,-7.9732e-06
0.33,-9.3253e-05,0.00019842,6.7862e-06
0.34,-0.00020109,0.0004113,1.2821e-05
0.35,-0.00029931,0.0005287,1.2987e-05
0.36,-0.0003849,0.00057352,9.454e-06
0.37,-0.0004546,0.00056687,4.228e-06
0.38,-0.00050218,0.00052475,-1.0927e-06
0.39,-0.00051645,0.00045391,-5.6104e-06
0.4,-0.00048593,0.00036054,-8.48e-06
0.41,-0.00039723,0.00024727,-9.1193e-06
0.42,-0.00022865,0.00010945,-7.1477e-06
0.43,3.0837e-05,-5.2435e-05,-2.4209e-06
0.44,0.00025458,-0.00016452,3.3052e-06
0.45,0.00037844,-0.00020172,8.3372e-06
0.46,0.00041646,-0.00018288,1.2123e-05
0.47,0.00038597,-0.00012805,1.4196e-05
