t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.13576,0.22915,5.1039
0.02,0.080104,0.26689,5.1282
0.03,0.024452,0.30464,5.1524
0.04,-0.0312,0.34238,5.1767
0.05,-0.086852,0.38012,5.2009
0.06,-0.1425,0.41787,5.2252
0.07,-0.19816,0.45561,5.2494
0.08,-0.25381,0.49335,5.2737
0.09,-0.30946,0.53109,5.2979
0.1,-0.36511,0.56884,5.3222
0.11,-0.40026,0.59366,5.3398
0.12,-0.38147,0.58451,5.3398
0.13,-0.36269,0.57537,5.3398
0.14,-0.34391,0.56622,5.3398
0.15,-0.32512,0.55707,5.3398
0.16,-0.30634,0.54792,5.3398
0.17,-0.28755,0.53877,5.3398
0.18,-0.26877,0.52963,5.3398
0.19,-0.24999,0.52048,5.3398
0.2,-0.2312,0.51133,5.3398
0.21,-0.21242,0.50218,5.3398
0.22,-0.19451,0.49423,5.3398
0.23,-0.17731,0.48724,5.3398
0.24,-0.16012,0.48025,5.3398
0.25,-0.14292,0.47326,5.3398
0.26,-0.12572,0.46627,5.3398
0.27,-0.10853,0.45929,5.3398
0.28,-0.091331,0.4523,5.3398
0.29,-0.074135,0.44531,5.3398
0.3,-0.056939,0.43832,5.3398
0.31,-0.039743,0.43133,5.3398
0.32,-0.022546,0.42434,5.3398
0.33,-0.0074815,0.41727,5.3398
0.34,0.0071357,0.41018,5.3398
0.35,0.021753,0.40308,5.3398
0.36,0.03637,0.39599,5.3398
0.37,0.050987,0.3889,5.3398
0.38,0.065605,0.38181,5.3398
0.39,0.080222,0.37471,5.3398
0.4,0.094839,0.36762,5.3398
0.41,0.10946,0.36053,5.3398
0.42,0.12407,0.35343,5.3398
0.43,0.13809,0.34654,5.3398
0.44,0.14685,0.34142,5.3398
0.45,0.15561,0.3363,5.3398
0.46,0.16436,0.33118,5.3398
0.47,0.17312,0.32606,5.3398
0.48,0.18188,0.32094,5.3398
0.49,0.19063,0.31582,5.3398
0.5,0.19939,0.3107,5.3398
0.51,0.20815,0.30559,5.3398
0.52,0.2169,0.30047,5.3398
0.53,0.22566,0.29535,5.3398
0.54,0.23285,0.29122,5.3398
0.55,0.23744,0.28872,5.3398
0.56,0.24203,0.28622,5.3398
0.57,0.24663,0.28372,5.3398
0.58,0.25122,0.28122,5.3398
0.59,0.25581,0.27872,5.3398
0.6,0.26041,0.27622,5.3398
0.61,0.265,0.27372,5.3398
0.62,0.2696,0.27122,5.3398
0.63,0.27419,0.26873,5.3398
0.64,0.27878,0.26623,5.3398
0.65,0.28186,0.2647,5.3398
0.66,0.28413,0.2637,5.3398
0.67,0.2864,0.26269,5.3398
0.68,0.28866,0.26168,5.3398
0.69,0.29093,0.26068,5.3398
0.7,0.2932,0.25967,5.3398
0.71,0.29547,0.25866,5.3398
0.72,0.29774,0.25766,5.3398
0.73,0.3,0.25665,5.3398
0.74,0.30227,0.25565,5.3398
0.75,0.30454,0.25464,5.3398
0.76,0.30581,0.25385,5.3398
0.77,0.307,0.25308,5.3398
0.78,0.3082,0.25231,5.3398
0.79,0.30939,0.25154,5.3398
0.8,0.31059,0.25077,5.3398
0.81,0.31178,0.25,5.3398
0.82,0.31297,0.24923,5.3398
0.83,0.31417,0.24846,5.3398
0.84,0.31536,0.2477,5.3398
0.85,0.31655,0.24693,5.3398
0.86,0.31764,0.2461,5.3398
0.87,0.31831,0.24505,5.3398
0.88,0.31898,0.244,5.3398
0.89,0.31965,0.24295,5.3398
0.9,0.32031,0.2419,5.3398
0.91,0.32098,0.24085,5.3398
0.92,0.32165,0.2398,5.3398
0.93,0.32232,0.23874,5.3398
0.94,0.32299,0.23769,5.3398
0.95,0.32365,0.23664,5.3398
0.96,0.32432,0.23559,5.3398
0.97,0.32478,0.23448,5.3398
0.98,0.32502,0.23331,5.3398
0.99,0.32526,0.23214,5.3398
1,0.3255,0.23097,5.3398
1.01,0.32574,0.22979,5.3398
1.02,0.32598,0.22862,5.3398
1.03,0.32622,0.22745,5.3398
1.04,0.32646,0.22627,5.3398
1.05,0.3267,0.2251,5.3398
1.06,0.32693,0.22393,5.3398
1.07,0.32717,0.22276,5.3398
1.08,0.32709,0.22188,5.3398
1.09,0.3269,0.2211,5.3398
1.1,0.32671,0.22032,5.3398
1.11,0.32652,0.21954,5.3398
1.12,0.32633,0.21876,5.3398
1.13,0.32614,0.21798,5.3398
1.14,0.32595,0.2172,5.3398
1.15,0.32575,0.21642,5.3398
1.16,0.32556,0.21564,5.3398
1.17,0.32537,0.21486,5.3398
1.18,0.32517,0.21411,5.3398
1.19,0.3246,0.21414,5.3398
1.2,0.32403,0.21417,5.3398
1.21,0.32346,0.21421,5.3398
1.22,0.32289,0.21424,5.3398
1.23,0.32232,0.21427,5.3398
1.24,0.32175,0.2143,5.3398
1.25,0.32118,0.21434,5.3398
1.26,0.32061,0.21437,5.3398
1.27,0.32004,0.2144,5.3398
1.28,0.31947,0.21443,5.3398
1.29,0.31881,0.21473,5.3398
1.3,0.31796,0.21561,5.3398
1.31,0.31711,0.21649,5.3398
1.32,0.31626,0.21738,5.3398
1.33,0.3154,0.21826,5.3398
1.34,0.31455,0.21914,5.3398
1.35,0.3137,0.22002,5.3398
1.36,0.31285,0.22091,5.3398
1.37,0.31199,0.22179,5.3398
1.38,0.31114,0.22267,5.3398
1.39,0.31029,0.22355,5.3398
1.4,0.30937,0.22476,5.3398
1.41,0.30842,0.22621,5.3398
1.42,0.30746,0.22766,5.3398
1.43,0.3065,0.2291,5.3398
1.44,0.30554,0.23055,5.3398
1.45,0.30458,0.232,5.3398
1.46,0.30362,0.23344,5.3398
1.47,0.30267,0.23489,5.3398
1.48,0.30171,0.23634,5.3398
1.49,0.30075,0.23778,5.3398
