t, affine_elevL, affine_elevR, affine_throttle
0,-1.5829e-08,1.0207e-09,-4.2868e-10
0.01,-1.604e-08,-7.3303e-10,-6.2724e-10
0.02,-1.4786e-08,-3.1804e-09,-9.9347e-10
0.03,-1.5962e-08,-5.2885e-09,-1.2053e-09
0.04,-2.2755e-08,-5.4454e-09,-9.7407e-10
0.05,-3.1516e-08,-5.1579e-09,-5.5912e-10
0.06,-3.3483e-08,-4.108e-09,-3.7196e-10
0.07,-2.2521e-08,-2.8248e-09,-7.1993e-10
0.08,-1.2863e-08,-1.5364e-09,-9.7729e-10
0.09,-1.0808e-08,-5.0881e-10,-9.8429e-10
0.1,-1.6487e-08,-1.1511e-09,-9.1904e-10
0.11,-1.8264e-08,-3.6978e-09,-1.0702e-09
0.12,-1.1557e-08,-7.0502e-09,-1.4019e-09
0.13,-2.0355e-09,-8.7695e-09,-1.6557e-09
0.14,7.0269e-09,-3.8801e-09,-1.5974e-09
0.15,1.1126e-08,9.1891e-10,-1.4758e-09
0.16,1.1694e-08,3.3834e-09,-1.4087e-09
0.17,1.1481e-08,4.6179e-09,-1.3765e-09
0.18,1.1115e-08,4.9036e-09,-1.3716e-09
0.19,7.2983e-09,5.3564e-09,-1.4378e-09
0.2,4.4872e-09,5.5103e-09,-1.5612e-09
0.21,5.6505e-09,1.5596e-09,-1.7187e-09
0.22,1.0044e-08,-7.4062e-09,-1.8481e-09
0.23,1.5147e-08,-1.2963e-08,-1.8808e-09
0.24,1.9965e-08,-1.7103e-08,-1.8685e-09
0.25,2.2641e-08,-2.2574e-08,-1.8658e-09
0.26,2.0867e-08,-2.8146e-08,-1.8956e-09
0.27,1.8415e-08,-3.1942e-08,-1.928e-09
0.28,1.7751e-08,-3.4454e-08,-1.939e-09
0.29,1.3836e-08,-3.8822e-08,-1.963e-09
0.3,6.5403e-09,-4.5446e-08,-1.9983e-09
0.31,-1.4497e-09,-5.2994e-08,-2.0218e-09
0.32,-4.3469e-09,-5.6899e-08,-2.0046e-09
0.33,-9.3189e-09,-6.3506e-08,-1.9899e-09
0.34,-1.9817e-08,-7.4769e-08,-1.993e-09
0.35,-1.6456e-08,-7.0415e-08,-1.9455e-09
0.36,-1.2967e-08,-6.6498e-08,-1.8909e-09
0.37,-1.9708e-08,-7.4193e-08,-1.8741e-09
0.38,-2.9025e-08,-8.4308e-08,-1.8141e-09
0.39,-3.7163e-08,-9.7337e-08,-1.8517e-09
0.4,-3.4519e-08,-9.1712e-08,-1.6601e-09
0.41,-2.8865e-08,-8.2626e-08,-1.4329e-09
0.42,-2.4667e-08,-7.9327e-08,-1.3653e-09
0.43,-2.2268e-08,-7.6157e-08,-1.2377e-09
0.44,-1.0072e-08,-4.8695e-08,-7.9336e-10
0.45,-9.7948e-10,-2.9242e-08,-5.3476e-10
0.46,3.8673e-09,-1.596e-08,-3.4776e-10
0.47,3.5388e-09,-1.2106e-08,-2.4175e-10
0.48,2.3479e-09,-5.4028e-09,-9.4433e-11
0.49,1.894e-09,2.7888e-09,3.0522e-11
0.5,0,4.039e-28,-6.3109e-30
