t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,0,0,13,0,0,0,0,0
0.01,0.13018,0,-0.00054772,0,-0.0029994,0,13.035,0,-0.10835,0,-0.59535,0
0.02,0.2607,0,-0.0021372,0,-0.0118,0,13.07,0,-0.20778,0,-1.1586,0
0.03,0.39157,0,-0.0046628,0,-0.026031,0,13.104,0,-0.29507,0,-1.68,0
0.04,0.52277,0,-0.0079886,0,-0.04523,0,13.136,0,-0.36737,0,-2.1506,0
0.05,0.65429,0,-0.011952,0,-0.068848,0,13.167,0,-0.42227,0,-2.5623,0
0.06,0.78611,0,-0.01637,0,-0.096257,0,13.196,0,-0.45791,0,-2.9082,0
0.07,0.91819,0,-0.021042,0,-0.12677,0,13.22,0,-0.47301,0,-3.1832,0
0.08,1.0505,0,-0.025759,0,-0.15967,0,13.24,0,-0.46695,0,-3.3844,0
0.09,1.183,0,-0.03031,0,-0.19421,0,13.253,0,-0.43977,0,-3.511,0
0.1,1.3155,0,-0.034487,0,-0.22965,0,13.258,0,-0.39215,0,-3.5649,0
0.11,1.4481,0,-0.03809,0,-0.26528,0,13.255,0,-0.32536,0,-3.5497,0
0.12,1.5806,0,-0.040936,0,-0.30043,0,13.242,0,-0.24114,0,-3.4711,0
0.13,1.7129,0,-0.042861,0,-0.33451,0,13.219,0,-0.14163,0,-3.3361,0
0.14,1.8449,0,-0.043725,0,-0.36699,0,13.185,0,-0.029163,0,-3.1525,0
0.15,1.9766,0,-0.04341,0,-0.39743,0,13.143,0,0.093786,0,-2.9287,0
0.16,2.1077,0,-0.041823,0,-0.42546,0,13.091,0,0.22477,0,-2.6728,0
0.17,2.2384,0,-0.038895,0,-0.45081,0,13.031,0,0.36145,0,-2.393,0
0.18,2.3683,0,-0.034582,0,-0.47327,0,12.964,0,0.50165,0,-2.0968,0
0.19,2.4976,0,-0.028857,0,-0.49271,0,12.892,0,0.6434,0,-1.7912,0
0.2,2.6262,0,-0.021714,0,-0.50908,0,12.815,0,0.78497,0,-1.4826,0
0.21,2.7539,0,-0.013161,0,-0.52228,0,12.736,0,0.9255,0,-1.1498,0
0.22,2.8809,0,-0.0032106,0,-0.53193,0,12.656,0,1.0642,0,-0.77313,0
0.23,3.007,0,0.0081111,0,-0.53763,0,12.576,0,1.1995,0,-0.36151,0
0.24,3.1324,0,0.020763,0,-0.53907,0,12.498,0,1.33,0,0.077129,0
0.25,3.257,0,0.034691,0,-0.53602,0,12.425,0,1.4543,0,0.53563,0
0.26,3.3809,0,0.049824,0,-0.52831,0,12.356,0,1.571,0,1.0075,0
0.27,3.5042,0,0.066081,0,-0.51585,0,12.295,0,1.6787,0,1.487,0
0.28,3.6269,0,0.083362,0,-0.49857,0,12.243,0,1.7758,0,1.9687,0
0.29,3.7491,0,0.10156,0,-0.47648,0,12.2,0,1.8608,0,2.4474,0
0.3,3.8709,0,0.12053,0,-0.44964,0,12.168,0,1.932,0,2.9186,0
0.31,3.9925,0,0.14014,0,-0.41823,0,12.147,0,1.9871,0,3.3534,0
0.32,4.1139,0,0.16021,0,-0.3828,0,12.138,0,2.0238,0,3.7213,0
0.33,4.2352,0,0.18055,0,-0.34405,0,12.14,0,2.0405,0,4.0168,0
0.34,4.3567,0,0.20095,0,-0.30272,0,12.152,0,2.0359,0,4.2355,0
0.35,4.4783,0,0.22119,0,-0.2596,0,12.174,0,2.009,0,4.3753,0
0.36,4.6002,0,0.24106,0,-0.21548,0,12.204,0,1.9595,0,4.4364,0
0.37,4.7224,0,0.26031,0,-0.17113,0,12.239,0,1.8874,0,4.4211,0
0.38,4.845,0,0.27873,0,-0.12729,0,12.278,0,1.7933,0,4.334,0
0.39,4.968,0,0.29611,0,-0.084665,0,12.32,0,1.6782,0,4.1813,0
0.4,5.0914,0,0.31223,0,-0.04386,0,12.362,0,1.5438,0,3.9707,0
0.41,5.2152,0,0.32692,0,-0.0054166,0,12.404,0,1.392,0,3.7105,0
0.42,5.3395,0,0.34002,0,0.030214,0,12.443,0,1.2252,0,3.4095,0
0.43,5.4641,0,0.35139,0,0.062668,0,12.48,0,1.0456,0,3.0766,0
0.44,5.5891,0,0.3609,0,0.091669,0,12.514,0,0.85599,0,2.7203,0
0.45,5.7144,0,0.36848,0,0.11702,0,12.546,0,0.65882,0,2.3488,0
0.46,5.84,0,0.37406,0,0.13862,0,12.574,0,0.45664,0,1.9699,0
0.47,5.9658,0,0.3776,0,0.15642,0,12.599,0,0.25185,0,1.5909,0
0.48,6.092,0,0.3791,0,0.17046,0,12.623,0,0.046756,0,1.2184,0
0.49,6.2183,0,0.37855,0,0.18083,0,12.646,0,-0.15653,0,0.85893,0
0.5,6.3449,0,0.37598,0,0.1877,0,12.668,0,-0.35605,0,0.51828,0
