t, affine_elevL, affine_elevR, affine_throttle
0,1.1713e-06,1.1713e-06,1.6473e-07
0.01,1.0809e-06,1.0809e-06,1.6313e-07
0.02,9.3194e-07,9.3194e-07,1.6142e-07
0.03,7.0255e-07,7.0255e-07,1.5907e-07
0.04,3.7845e-07,3.7845e-07,1.5675e-07
0.05,-4.8353e-08,-4.8353e-08,1.5508e-07
0.06,-5.7033e-07,-5.7033e-07,1.5424e-07
0.07,-1.2185e-06,-1.2185e-06,1.5555e-07
0.08,-2.0244e-06,-2.0244e-06,1.6036e-07
0.09,-2.9569e-06,-2.9569e-06,1.6845e-07
0.1,-4.0115e-06,-4.0115e-06,1.8081e-07
0.11,-5.2008e-06,-5.2008e-06,1.9898e-07
0.12,-6.5292e-06,-6.5292e-06,2.2455e-07
0.13,-7.9713e-06,-7.9713e-06,2.5892e-07
0.14,-9.5023e-06,-9.5023e-06,3.0307e-07
0.15,-1.1103e-05,-1.1103e-05,3.5797e-07
0.16,-1.274e-05,-1.274e-05,4.25e-07
0.17,-1.436e-05,-1.436e-05,5.0528e-07
0.18,-1.5918e-05,-1.5918e-05,5.9955e-07
0.19,-1.4921e-05,-1.4921e-05,6.2565e-07
0.2,-7.982e-06,-7.982e-06,4.5943e-07
0.21,-2.8009e-07,-2.8009e-07,2.5594e-07
0.22,3.0061e-06,3.0061e-06,1.7295e-07
0.23,4.1232e-06,4.1232e-06,1.4894e-07
0.24,5.3334e-06,5.3334e-06,1.1705e-07
0.25,6.5653e-06,6.5653e-06,7.8913e-08
0.26,7.7694e-06,7.7694e-06,3.6331e-08
0.27,8.9275e-06,8.9275e-06,-9.7374e-09
0.28,1.0036e-05,1.0036e-05,-5.999e-08
0.29,1.114e-05,1.114e-05,-1.1256e-07
0.3,-2.6095e-06,-2.6095e-06,2.0614e-07
0.31,-1.7179e-06,-1.7179e-06,2.1505e-07
0.32,-1.8623e-07,-1.8623e-07,1.8923e-07
0.33,-1.1908e-07,-1.1908e-07,1.9107e-07
0.34,-2.0945e-08,-2.0945e-08,1.9285e-07
0.35,6.4081e-08,6.4081e-08,1.939e-07
0.36,1.3264e-07,1.3264e-07,1.9573e-07
0.37,1.8998e-07,1.8998e-07,1.991e-07
0.38,2.44e-07,2.44e-07,2.0259e-07
0.39,2.9114e-07,2.9114e-07,2.0461e-07
0.4,3.2843e-07,3.2843e-07,2.0394e-07
0.41,3.5652e-07,3.5652e-07,2.0339e-07
0.42,3.7658e-07,3.7658e-07,2.0363e-07
0.43,3.8937e-07,3.8937e-07,2.0436e-07
0.44,3.9719e-07,3.9719e-07,2.0489e-07
0.45,4.0229e-07,4.0229e-07,2.0422e-07
0.46,3.9673e-07,3.9673e-07,2.0341e-07
0.47,3.7333e-07,3.7333e-07,2.0363e-07
0.48,3.4702e-07,3.4702e-07,2.0462e-07
0.49,3.1764e-07,3.1764e-07,2.0586e-07
0.5,2.9077e-07,2.9077e-07,2.0618e-07
