t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.025847,-0.16117,-0.05671,1.0795,0.44226,-0.7239,0.0043435,-0.22503,-0.059495,0.19258,0.055945,-0.32983,0.025847,0.16117,-0.05671,-1.0795,0.44226,0.7239,0.0043435,0.22503,-0.059495,-0.19258,0.055945,0.32983,-0.018253,-2.6761e-10,-0.0026268,-1.0919e-09,0.010069,1.5151e-09,-0.017155,2.5694e-10,-0.0012402,-1.1743e-10,-4.0024e-05,1.3553e-09
0.01,0.035896,-0.16432,-0.055857,0.96966,0.4362,-0.70231,0.015313,-0.23088,-0.059221,0.19167,0.056097,-0.33765,0.035896,0.16432,-0.055857,-0.96966,0.4362,0.70231,0.015313,0.23088,-0.059221,-0.19167,0.056097,0.33765,-0.018134,-2.6156e-10,-0.002564,-5.7185e-10,0.0085056,1.4598e-09,-0.017005,2.5371e-10,-0.00121,-1.1381e-10,-0.00020115,1.346e-09
0.02,0.046507,-0.1673,-0.055235,0.85832,0.43327,-0.68117,0.026911,-0.23644,-0.059165,0.19029,0.056661,-0.34701,0.046507,0.1673,-0.055235,-0.85832,0.43327,0.68117,0.026911,0.23644,-0.059165,-0.19029,0.056661,0.34701,-0.018041,-2.5561e-10,-0.0025023,-8.7084e-11,0.0066479,1.4171e-09,-0.01689,2.5265e-10,-0.0011975,-1.0689e-10,-0.00036175,1.3423e-09
0.03,0.057586,-0.16984,-0.054885,0.74519,0.43426,-0.6604,0.039069,-0.24128,-0.059282,0.18827,0.057637,-0.35732,0.057586,0.16984,-0.054885,-0.74519,0.43426,0.6604,0.039069,0.24128,-0.059282,-0.18827,0.057637,0.35732,-0.017981,-2.4993e-10,-0.0024384,3.5958e-10,0.0045258,1.3846e-09,-0.016812,2.5183e-10,-0.0011997,-9.8122e-11,-0.00052099,1.3426e-09
0.04,0.069035,-0.17168,-0.054848,0.63142,0.43985,-0.64001,0.051704,-0.245,-0.059528,0.18548,0.059019,-0.36796,0.069035,0.17168,-0.054848,-0.63142,0.43985,0.64001,0.051704,0.245,-0.059528,-0.18548,0.059019,0.36796,-0.017958,-2.4457e-10,-0.0023687,7.6347e-10,0.0021635,1.3627e-09,-0.016777,2.5145e-10,-0.0012133,-8.8402e-11,-0.00067857,1.3464e-09
0.05,0.08075,-0.17259,-0.055181,0.51868,0.45055,-0.62016,0.064723,-0.24721,-0.059858,0.18186,0.060754,-0.37833,0.08075,0.17259,-0.055181,-0.51868,0.45055,0.62016,0.064723,0.24721,-0.059858,-0.18186,0.060754,0.37833,-0.017979,-2.3964e-10,-0.0022896,1.1197e-09,-0.00041482,1.3504e-09,-0.016789,2.5182e-10,-0.001235,-7.858e-11,-0.00083466,1.3538e-09
0.06,0.092628,-0.17237,-0.055937,0.41002,0.46671,-0.60114,0.078026,-0.24758,-0.060241,0.17737,0.062796,-0.38778,0.092628,0.17237,-0.055937,-0.41002,0.46671,0.60114,0.078026,0.24758,-0.060241,-0.17737,0.062796,0.38778,-0.018052,-2.3531e-10,-0.0021969,1.4268e-09,-0.0031937,1.3448e-09,-0.016853,2.5242e-10,-0.0012612,-6.7044e-11,-0.0009897,1.3668e-09
0.07,0.10456,-0.17082,-0.057168,0.30919,0.48858,-0.58329,0.091509,-0.24582,-0.060671,0.1721,0.065119,-0.39568,0.10456,0.17082,-0.057168,-0.30919,0.48858,0.58329,0.091509,0.24582,-0.060671,-0.1721,0.065119,0.39568,-0.018182,-2.3171e-10,-0.0020857,1.6841e-09,-0.006166,1.3493e-09,-0.016977,2.5289e-10,-0.0012885,-5.4443e-11,-0.0011442,1.3851e-09
0.08,0.11644,-0.16779,-0.058919,0.21973,0.51592,-0.56687,0.10507,-0.24167,-0.061136,0.16613,0.067643,-0.40137,0.11644,0.16779,-0.058919,-0.21973,0.51592,0.56687,0.10507,0.24167,-0.061136,-0.16613,0.067643,0.40137,-0.018375,-2.2899e-10,-0.0019511,1.8897e-09,-0.0093183,1.3675e-09,-0.017165,2.5281e-10,-0.0013131,-4.2321e-11,-0.0012989,1.4074e-09
0.09,0.1282,-0.16321,-0.061221,0.14503,0.54818,-0.55212,0.11859,-0.23505,-0.061628,0.15962,0.070271,-0.40436,0.1282,0.16321,-0.061221,-0.14503,0.54818,0.55212,0.11859,0.23505,-0.061628,-0.15962,0.070271,0.40436,-0.01864,-2.2727e-10,-0.0017879,2.0446e-09,-0.012638,1.3976e-09,-0.017424,2.509e-10,-0.0013311,-3.1865e-11,-0.0014542,1.4335e-09
0.1,0.13972,-0.15716,-0.0641,0.087142,0.58512,-0.53935,0.13201,-0.22611,-0.062178,0.15286,0.072976,-0.40457,0.13972,0.15716,-0.0641,-0.087142,0.58512,0.53935,0.13201,0.22611,-0.062178,-0.15286,0.072976,0.40457,-0.01898,-2.2671e-10,-0.0015909,2.15e-09,-0.016131,1.4432e-09,-0.017762,2.4866e-10,-0.0013396,-2.1296e-11,-0.0016104,1.4655e-09
0.11,0.15097,-0.14976,-0.067582,0.047328,0.62598,-0.52864,0.14525,-0.21502,-0.062819,0.14612,0.075696,-0.40191,0.15097,0.14976,-0.067582,-0.047328,0.62598,0.52864,0.14525,0.21502,-0.062819,-0.14612,0.075696,0.40191,-0.019404,-2.2746e-10,-0.0013542,2.2047e-09,-0.019793,1.5091e-09,-0.018186,2.4822e-10,-0.0013349,-8.2595e-12,-0.0017676,1.5056e-09
0.12,0.16188,-0.14112,-0.071672,0.026131,0.66941,-0.5199,0.15825,-0.202,-0.063579,0.1396,0.078319,-0.39635,0.16188,0.14112,-0.071672,-0.026131,0.66941,0.5199,0.15825,0.202,-0.063579,-0.1396,0.078319,0.39635,-0.019917,-2.2985e-10,-0.001072,2.2059e-09,-0.023605,1.5978e-09,-0.018704,2.5018e-10,-0.0013127,8.379e-12,-0.0019256,1.5549e-09
0.13,0.17235,-0.13152,-0.076349,0.022133,0.7146,-0.51304,0.17093,-0.1875,-0.064486,0.13356,0.080794,-0.38836,0.17235,0.13152,-0.076349,-0.022134,0.7146,0.51304,0.17093,0.1875,-0.064486,-0.13356,0.080794,0.38836,-0.020524,-2.3437e-10,-0.00073843,2.1553e-09,-0.027567,1.7081e-09,-0.019323,2.5184e-10,-0.0012699,2.618e-11,-0.0020835,1.6117e-09
0.14,0.18237,-0.12127,-0.081612,0.032961,0.7612,-0.50795,0.18332,-0.17203,-0.065596,0.12825,0.083129,-0.37853,0.18237,0.12127,-0.081612,-0.032961,0.7612,0.50795,0.18332,0.17203,-0.065596,-0.12825,0.083129,0.37853,-0.02123,-2.41e-10,-0.00034747,2.0593e-09,-0.031686,1.8443e-09,-0.020052,2.5225e-10,-0.0012033,4.4055e-11,-0.0022406,1.676e-09
0.15,0.19194,-0.11066,-0.087482,0.05647,0.80838,-0.50452,0.19546,-0.15603,-0.066972,0.12382,0.085298,-0.36742,0.19194,0.11066,-0.087482,-0.05647,0.80838,0.50452,0.19546,0.15603,-0.066972,-0.12382,0.085298,0.36742,-0.022041,-2.4971e-10,0.00010788,1.9247e-09,-0.035952,2.0112e-09,-0.020902,2.5072e-10,-0.0011084,6.146e-11,-0.0023962,1.7482e-09
0.16,0.20099,-0.099925,-0.093939,0.090331,0.85499,-0.5026,0.2073,-0.1399,-0.068645,0.12033,0.087229,-0.35556,0.20099,0.099925,-0.093939,-0.090331,0.85499,0.5026,0.2073,0.1399,-0.068645,-0.12033,0.087229,0.35556,-0.022962,-2.6062e-10,0.00063469,1.7472e-09,-0.040346,2.2161e-09,-0.02188,2.4869e-10,-0.00098037,7.8144e-11,-0.0025488,1.8257e-09
0.17,0.20925,-0.089268,-0.10085,0.13164,0.90013,-0.50173,0.21863,-0.12394,-0.070571,0.11775,0.088864,-0.34334,0.20925,0.089268,-0.10085,-0.13164,0.90013,0.50173,0.21863,0.12394,-0.070571,-0.11775,0.088864,0.34334,-0.023993,-2.739e-10,0.0012388,1.528e-09,-0.044864,2.4642e-09,-0.022995,2.4712e-10,-0.00081618,9.4706e-11,-0.0026961,1.91e-09
0.18,0.2164,-0.07888,-0.10806,0.17795,0.94246,-0.5016,0.22916,-0.10846,-0.0727,0.11598,0.090116,-0.33113,0.2164,0.07888,-0.10806,-0.17795,0.94246,0.5016,0.22916,0.10846,-0.0727,-0.11598,0.090116,0.33113,-0.025138,-2.8962e-10,0.0019263,1.279e-09,-0.049488,2.7589e-09,-0.024254,2.4499e-10,-0.0006116,1.1261e-10,-0.002836,2.0082e-09
0.19,0.2221,-0.068942,-0.11542,0.22685,0.98008,-0.50207,0.2386,-0.093712,-0.074975,0.11492,0.090848,-0.31925,0.2221,0.068942,-0.11542,-0.22685,0.98008,0.50207,0.2386,0.093712,-0.074975,-0.11492,0.090848,0.31925,-0.026396,-3.0787e-10,0.0027048,1.0104e-09,-0.05418,3.1062e-09,-0.025666,2.4169e-10,-0.00036049,1.3365e-10,-0.0029664,2.124e-09
0.2,0.22583,-0.059525,-0.1226,0.27861,1.0107,-0.50287,0.2463,-0.079804,-0.077288,0.11444,0.090942,-0.30778,0.22583,0.059525,-0.1226,-0.27861,1.0107,0.50287,0.2463,0.079804,-0.077288,-0.11444,0.090942,0.30778,-0.027755,-3.2842e-10,0.0035746,7.0224e-10,-0.058848,3.51e-09,-0.027223,2.3615e-10,-6.0902e-05,1.5504e-10,-0.0030802,2.247e-09
0.21,0.22686,-0.050717,-0.12911,0.33689,1.0304,-0.50379,0.25122,-0.066854,-0.079495,0.1144,0.090252,-0.29674,0.22686,0.050717,-0.12911,-0.33689,1.0304,0.50379,0.25122,0.066854,-0.079495,-0.1144,0.090252,0.29674,-0.029183,-3.5084e-10,0.0045234,3.1773e-10,-0.063282,3.9621e-09,-0.028887,2.2386e-10,0.00028374,1.7025e-10,-0.0031639,2.369e-09
0.22,0.22439,-0.0426,-0.13441,0.40469,1.034,-0.50472,0.2522,-0.054969,-0.081457,0.1147,0.088575,-0.28618,0.22439,0.0426,-0.13441,-0.40469,1.034,0.50472,0.2522,0.054969,-0.081457,-0.1147,0.088575,0.28618,-0.03063,-3.7448e-10,0.0055312,-1.8214e-10,-0.067146,4.4496e-09,-0.030602,2.0038e-10,0.00067189,1.7235e-10,-0.0032024,2.4807e-09
0.23,0.21786,-0.035303,-0.13801,0.48137,1.0185,-0.50601,0.24846,-0.044308,-0.083032,0.1153,0.085847,-0.27631,0.21786,0.035303,-0.13801,-0.48137,1.0185,0.50601,0.24846,0.044308,-0.083032,-0.1153,0.085847,0.27631,-0.032046,-3.9839e-10,0.0065733,-8.1696e-10,-0.070109,4.9569e-09,-0.032308,1.624e-10,0.0011007,1.6192e-10,-0.0031836,2.5749e-09
0.24,0.20751,-0.028915,-0.1398,0.56418,0.98651,-0.50834,0.24016,-0.034968,-0.084184,0.11624,0.082406,-0.26749,0.20751,0.028915,-0.1398,-0.56418,0.98651,0.50834,0.24016,0.034968,-0.084184,-0.11624,0.082406,0.26749,-0.033399,-4.2197e-10,0.0076303,-1.5724e-09,-0.072028,5.4729e-09,-0.03397,1.1565e-10,0.0015653,1.4413e-10,-0.0031057,2.6568e-09
0.25,0.19374,-0.023492,-0.13978,0.65163,0.94079,-0.51256,0.22763,-0.026999,-0.084914,0.11762,0.07855,-0.26005,0.19374,0.023492,-0.13978,-0.65163,0.94079,0.51256,0.22763,0.026999,-0.084914,-0.11762,0.07855,0.26005,-0.034655,-4.4467e-10,0.0086796,-2.4251e-09,-0.072744,5.9874e-09,-0.035549,7.0516e-11,0.0020609,1.2455e-10,-0.0029686,2.7372e-09
0.26,0.17699,-0.019086,-0.13803,0.74304,0.88395,-0.51961,0.2113,-0.020435,-0.085227,0.11955,0.074494,-0.25431,0.17699,0.019086,-0.13803,-0.74304,0.88395,0.51961,0.2113,0.020435,-0.085227,-0.11955,0.074494,0.25431,-0.03578,-4.6589e-10,0.0096956,-3.3634e-09,-0.072096,6.4875e-09,-0.037,3.7032e-11,0.0025817,1.0662e-10,-0.0027748,2.8206e-09
0.27,0.15786,-0.015673,-0.13469,0.83737,0.82034,-0.52979,0.19174,-0.015212,-0.085097,0.12203,0.070525,-0.25022,0.15786,0.015673,-0.13469,-0.83737,0.82034,0.52979,0.19174,0.015212,-0.085097,-0.12203,0.070525,0.25022,-0.03676,-4.8537e-10,0.010661,-4.3806e-09,-0.0701,6.9623e-09,-0.038304,8.111e-12,0.0031204,8.3791e-11,-0.0025336,2.8887e-09
0.28,0.13695,-0.013225,-0.12993,0.93346,0.75359,-0.54318,0.16958,-0.011269,-0.084485,0.12502,0.066822,-0.24761,0.13695,0.013225,-0.12993,-0.93346,0.75359,0.54318,0.16958,0.011269,-0.084485,-0.12502,0.066822,0.24761,-0.037589,-5.0291e-10,0.01156,-5.4186e-09,-0.066814,7.4044e-09,-0.039446,-2.6849e-11,0.0036695,5.2709e-11,-0.0022558,2.939e-09
0.29,0.11507,-0.011711,-0.12411,1.0307,0.68786,-0.56002,0.14567,-0.0085413,-0.083449,0.12857,0.063574,-0.2464,0.11507,0.011711,-0.12411,-1.0307,0.68786,0.56002,0.14567,0.0085413,-0.083449,-0.12857,0.063574,0.2464,-0.038269,-5.184e-10,0.012383,-6.4753e-09,-0.06237,7.7829e-09,-0.040422,-6.1108e-11,0.0042218,1.4876e-11,-0.0019543,2.9705e-09
0.3,0.093041,-0.011114,-0.11768,1.129,0.6271,-0.58073,0.12094,-0.006979,-0.082113,0.13278,0.060946,-0.2466,0.093041,0.011114,-0.11768,-1.129,0.6271,0.58073,0.12094,0.006979,-0.082113,-0.13278,0.060946,0.2466,-0.038814,-5.3193e-10,0.013126,-7.5137e-09,-0.056962,8.123e-09,-0.041238,-9.4274e-11,0.0047707,-2.7571e-11,-0.0016421,2.9841e-09
0.31,0.072261,-0.011526,-0.11214,1.2322,0.58066,-0.61039,0.097303,-0.0066186,-0.081298,0.1388,0.059588,-0.25018,0.072261,0.011526,-0.11214,-1.2322,0.58066,0.61039,0.097303,0.0066186,-0.081298,-0.1388,0.059588,0.25018,-0.039245,-5.4371e-10,0.013796,-8.4643e-09,-0.050894,8.4059e-09,-0.04192,-1.3002e-10,0.0053157,-7.4273e-11,-0.0013362,2.9812e-09
0.32,0.052113,-0.012864,-0.10647,1.3226,0.54362,-0.64303,0.074101,-0.0074081,-0.080068,0.14524,0.058784,-0.25452,0.052113,0.012864,-0.10647,-1.3226,0.54362,0.64303,0.074101,0.0074081,-0.080068,-0.14524,0.058784,0.25452,-0.039582,-5.539e-10,0.0144,-9.2429e-09,-0.044451,8.65e-09,-0.042486,-1.602e-10,0.0058546,-1.231e-10,-0.0010489,2.9603e-09
0.33,0.033128,-0.015083,-0.10085,1.3982,0.516,-0.67766,0.051971,-0.0092976,-0.078428,0.15192,0.058397,-0.25925,0.033128,0.015083,-0.10085,-1.3982,0.516,0.67766,0.051971,0.0092976,-0.078428,-0.15192,0.058397,0.25925,-0.039831,-5.6251e-10,0.014935,-9.842e-09,-0.037833,8.8241e-09,-0.042939,-1.9225e-10,0.0063785,-1.687e-10,-0.00078525,2.9362e-09
