t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,0,0,13,0,0,0,0,0
0.01,0.13018,0,-0.00052752,0,-0.0020654,0,13.035,0,-0.10444,0,-0.40879,0
0.02,0.2607,0,-0.0020635,0,-0.0080781,0,13.07,0,-0.20131,0,-0.78831,0
0.03,0.39157,0,-0.0045215,0,-0.017713,0,13.104,0,-0.28851,0,-1.1321,0
0.04,0.52278,0,-0.0077954,0,-0.030583,0,13.138,0,-0.36422,0,-1.4346,0
0.05,0.65432,0,-0.011763,0,-0.046253,0,13.17,0,-0.42695,0,-1.6913,0
0.06,0.78618,0,-0.016287,0,-0.064245,0,13.201,0,-0.47559,0,-1.8987,0
0.07,0.91834,0,-0.021225,0,-0.084055,0,13.23,0,-0.50945,0,-2.0548,0
0.08,1.0508,0,-0.026426,0,-0.10517,0,13.257,0,-0.5282,0,-2.159,0
0.09,1.1835,0,-0.031739,0,-0.12706,0,13.28,0,-0.53193,0,-2.2119,0
0.1,1.3164,0,-0.037016,0,-0.14924,0,13.3,0,-0.52112,0,-2.2156,0
0.11,1.4494,0,-0.042115,0,-0.17122,0,13.316,0,-0.49656,0,-2.1735,0
0.12,1.5827,0,-0.046905,0,-0.19257,0,13.327,0,-0.45936,0,-2.0895,0
0.13,1.716,0,-0.051265,0,-0.21289,0,13.334,0,-0.41083,0,-1.9687,0
0.14,1.8493,0,-0.055089,0,-0.23184,0,13.336,0,-0.35249,0,-1.8165,0
0.15,1.9827,0,-0.058287,0,-0.24914,0,13.334,0,-0.28593,0,-1.6387,0
0.16,2.116,0,-0.060786,0,-0.26455,0,13.328,0,-0.2128,0,-1.4409,0
0.17,2.2492,0,-0.062527,0,-0.27791,0,13.319,0,-0.13475,0,-1.2291,0
0.18,2.3824,0,-0.06347,0,-0.2891,0,13.307,0,-0.053374,0,-1.0087,0
0.19,2.5154,0,-0.063588,0,-0.29807,0,13.292,0,0.029792,0,-0.78506,0
0.2,2.6482,0,-0.062873,0,-0.30481,0,13.276,0,0.11333,0,-0.56274,0
0.21,2.7809,0,-0.061323,0,-0.30928,0,13.26,0,0.19639,0,-0.32587,0
0.22,2.9134,0,-0.058949,0,-0.31122,0,13.244,0,0.27811,0,-0.058502,0
0.23,3.0458,0,-0.055771,0,-0.31037,0,13.228,0,0.35702,0,0.23339,0
0.24,3.178,0,-0.051823,0,-0.30649,0,13.214,0,0.43162,0,0.54386,0
0.25,3.31,0,-0.047158,0,-0.29945,0,13.203,0,0.50037,0,0.86714,0
0.26,3.442,0,-0.041841,0,-0.28913,0,13.195,0,0.5617,0,1.1977,0
0.27,3.574,0,-0.035954,0,-0.27549,0,13.191,0,0.61404,0,1.5301,0
0.28,3.7059,0,-0.029595,0,-0.25853,0,13.191,0,0.65582,0,1.8596,0
0.29,3.8378,0,-0.022878,0,-0.23832,0,13.197,0,0.68548,0,2.1812,0
0.3,3.9698,0,-0.015931,0,-0.21495,0,13.208,0,0.70149,0,2.4905,0
0.31,4.102,0,-0.0088998,0,-0.18863,0,13.224,0,0.70195,0,2.7628,0
0.32,4.2343,0,-0.0019493,0,-0.1599,0,13.245,0,0.68519,0,2.9734,0
0.33,4.3669,0,0.0047438,0,-0.12938,0,13.27,0,0.6504,0,3.1204,0
0.34,4.4997,0,0.010997,0,-0.097705,0,13.298,0,0.5972,0,3.2036,0
0.35,4.6328,0,0.016627,0,-0.065514,0,13.329,0,0.52566,0,3.2244,0
0.36,4.7663,0,0.021451,0,-0.033414,0,13.361,0,0.43628,0,3.1861,0
0.37,4.9001,0,0.025296,0,-0.0019741,0,13.394,0,0.33,0,3.0931,0
0.38,5.0342,0,0.027999,0,0.028286,0,13.426,0,0.20811,0,2.9512,0
0.39,5.1686,0,0.029411,0,0.056908,0,13.457,0,0.07223,0,2.7668,0
0.4,5.3033,0,0.029403,0,0.083504,0,13.486,0,-0.075779,0,2.5472,0
0.41,5.4383,0,0.027862,0,0.10776,0,13.513,0,-0.23388,0,2.2996,0
0.42,5.5735,0,0.024699,0,0.12943,0,13.537,0,-0.39996,0,2.0317,0
0.43,5.709,0,0.019844,0,0.14835,0,13.56,0,-0.57183,0,1.7508,0
0.44,5.8447,0,0.01325,0,0.16443,0,13.58,0,-0.74737,0,1.464,0
0.45,5.9806,0,0.0048911,0,0.17763,0,13.599,0,-0.9245,0,1.1782,0
0.46,6.1167,0,-0.0052389,0,0.18801,0,13.617,0,-1.1013,0,0.89961,0
0.47,6.253,0,-0.017127,0,0.19567,0,13.634,0,-1.2759,0,0.63418,0
0.48,6.3894,0,-0.030744,0,0.20076,0,13.651,0,-1.4467,0,0.38717,0
0.49,6.526,0,-0.046043,0,0.20349,0,13.669,0,-1.6122,0,0.1632,0
0.5,6.6628,0,-0.062966,0,0.20411,0,13.687,0,-1.7712,0,-0.033837,0
