t, affine_elevL, affine_elevR, affine_throttle
0,-6.1174e-08,-6.1174e-08,-3.3079e-09
0.01,-6.2637e-08,-6.2637e-08,-4.238e-09
0.02,-5.9971e-08,-5.9971e-08,-6.1532e-09
0.03,-5.3908e-08,-5.3908e-08,-7.8514e-09
0.04,-4.534e-08,-4.534e-08,-8.1178e-09
0.05,-3.9043e-08,-3.9043e-08,-6.9663e-09
0.06,-3.6294e-08,-3.6294e-08,-5.657e-09
0.07,-3.1956e-08,-3.1956e-08,-4.7015e-09
0.08,-2.0682e-08,-2.0682e-08,-4.6213e-09
0.09,-8.15e-09,-8.15e-09,-4.6503e-09
0.1,-7.8068e-09,-7.8068e-09,-3.4644e-09
0.11,-1.5889e-08,-1.5889e-08,-1.9942e-09
0.12,-2.8217e-08,-2.8217e-08,-1.2074e-09
0.13,-3.3921e-08,-3.3921e-08,-1.0988e-09
0.14,-3.0599e-08,-3.0599e-08,-1.0282e-09
0.15,-2.2902e-08,-2.2902e-08,-6.8232e-10
0.16,-1.6533e-08,-1.6533e-08,5.0213e-11
0.17,-1.7118e-08,-1.7118e-08,4.1239e-10
0.18,-1.811e-08,-1.811e-08,4.6841e-10
0.19,-1.3114e-08,-1.3114e-08,4.5376e-10
0.2,-1.0438e-08,-1.0438e-08,7.2547e-10
0.21,-1.1735e-08,-1.1735e-08,9.6295e-10
0.22,-1.2288e-08,-1.2288e-08,1.178e-09
0.23,-7.1865e-09,-7.1866e-09,1.6709e-09
0.24,1.5027e-09,1.5027e-09,1.783e-09
0.25,1.2681e-08,1.2681e-08,1.7812e-09
0.26,2.3898e-08,2.3898e-08,1.7372e-09
0.27,3.2102e-08,3.2102e-08,1.4666e-09
0.28,3.4603e-08,3.4603e-08,9.0547e-10
0.29,3.3263e-08,3.3263e-08,5.3584e-10
0.3,3.2344e-08,3.2344e-08,4.0658e-10
0.31,3.6031e-08,3.6031e-08,4.8156e-10
0.32,4.1362e-08,4.1362e-08,4.1076e-10
0.33,4.4194e-08,4.4194e-08,2.2838e-10
0.34,4.3743e-08,4.3743e-08,2.4798e-10
0.35,4.5015e-08,4.5015e-08,2.4849e-10
0.36,5.0327e-08,5.0327e-08,9.5251e-11
0.37,5.835e-08,5.835e-08,-9.837e-11
0.38,6.4049e-08,6.4049e-08,-1.0721e-10
0.39,7.2968e-08,7.2968e-08,-2.5427e-10
0.4,6.5941e-08,6.5941e-08,-3.288e-10
0.41,4.5024e-08,4.5024e-08,-2.1931e-10
0.42,2.8179e-08,2.8179e-08,-1.1888e-10
0.43,1.2771e-08,1.2771e-08,-7.3558e-11
0.44,3.2072e-09,3.2072e-09,-6.1282e-11
0.45,-3.3286e-09,-3.3286e-09,-3.7054e-11
0.46,-8.2375e-09,-8.2375e-09,-4.9329e-11
0.47,-2.8181e-09,-2.8181e-09,-2.1766e-11
0.48,-3.5999e-09,-3.5999e-09,-9.9071e-12
0.49,-3.7148e-10,-3.7148e-10,3.6147e-13
0.5,-2.5849e-26,0,-1.2622e-29
