t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.017799,-0.03855,-0.11013,0.9281,0.415,-0.93063,-0.043914,-0.093441,-0.074975,0.18388,0.050721,-0.14472,0.017799,0.03855,-0.11013,-0.9281,0.415,0.93063,-0.043914,0.093441,-0.074975,-0.18388,0.050721,0.14472,-0.014195,-1.0635e-11,-0.0082328,-9.0292e-10,0.026046,5.3547e-09,-0.024253,3.6573e-10,-0.0059113,-5.8005e-11,0.00081664,1.9696e-09
0.01,0.023906,-0.038884,-0.10561,0.8955,0.39468,-0.91525,-0.029681,-0.098701,-0.072155,0.1842,0.049984,-0.14402,0.023906,0.038884,-0.10561,-0.8955,0.39468,0.91525,-0.029681,0.098701,-0.072155,-0.1842,0.049984,0.14402,-0.013883,-9.7863e-12,-0.0082953,-1.2979e-10,0.02391,5.3429e-09,-0.024268,3.5319e-10,-0.0060398,-4.9148e-11,0.00059766,1.9337e-09
0.02,0.029895,-0.039092,-0.10096,0.86263,0.37616,-0.89788,-0.014843,-0.10401,-0.069231,0.18418,0.049617,-0.14446,0.029895,0.039092,-0.10096,-0.86263,0.37616,0.89788,-0.014843,0.10401,-0.069231,-0.18418,0.049617,0.14446,-0.013582,-8.9067e-12,-0.0083518,5.809e-10,0.021312,5.3384e-09,-0.024311,3.3923e-10,-0.0061982,-3.9774e-11,0.00038179,1.896e-09
0.03,0.035655,-0.039145,-0.096328,0.82839,0.36102,-0.87807,0.00033461,-0.10924,-0.066233,0.18376,0.049666,-0.14586,0.035655,0.039145,-0.096328,-0.82839,0.36102,0.87807,0.00033461,0.10924,-0.066233,-0.18376,0.049666,0.14586,-0.013293,-7.9972e-12,-0.0083978,1.2219e-09,0.01832,5.3431e-09,-0.024386,3.2449e-10,-0.0063835,-2.9582e-11,0.00017203,1.858e-09
0.04,0.041081,-0.039024,-0.091906,0.7919,0.35051,-0.85562,0.015564,-0.11428,-0.0632,0.18287,0.050125,-0.14807,0.041081,0.039024,-0.091906,-0.7919,0.35051,0.85562,0.015564,0.11428,-0.0632,-0.18287,0.050125,0.14807,-0.01302,-7.0585e-12,-0.0084292,1.785e-09,0.015001,5.3589e-09,-0.024498,3.0969e-10,-0.0065931,-1.8211e-11,-2.893e-05,1.8212e-09
0.05,0.046085,-0.038714,-0.087862,0.7527,0.34547,-0.83048,0.030565,-0.11901,-0.060169,0.18144,0.050941,-0.15094,0.046085,0.038714,-0.087862,-0.7527,0.34547,0.83048,0.030565,0.11901,-0.060169,-0.18144,0.050941,0.15094,-0.012767,-6.0894e-12,-0.008442,2.2638e-09,0.011424,5.3863e-09,-0.024652,2.9718e-10,-0.0068246,-4.4231e-12,-0.00021903,1.7874e-09
0.06,0.050603,-0.038191,-0.084275,0.71137,0.34634,-0.80251,0.045094,-0.12327,-0.057171,0.17937,0.052073,-0.15424,0.050603,0.038191,-0.084275,-0.71137,0.34634,0.80251,0.045094,0.12327,-0.057171,-0.17937,0.052073,0.15424,-0.012534,-5.108e-12,-0.0084331,2.6587e-09,0.0076476,5.4244e-09,-0.024848,2.8816e-10,-0.0070753,1.2337e-11,-0.00039708,1.7564e-09
0.07,0.05457,-0.037439,-0.081208,0.66885,0.35307,-0.77175,0.058887,-0.12689,-0.05425,0.17657,0.053458,-0.15774,0.05457,0.037439,-0.081208,-0.66885,0.35307,0.77175,0.058887,0.12689,-0.05425,-0.17657,0.053458,0.15774,-0.012321,-4.1491e-12,-0.0083991,2.9693e-09,0.003729,5.4736e-09,-0.025089,2.8143e-10,-0.0073424,3.1294e-11,-0.00056185,1.7262e-09
0.08,0.057926,-0.036445,-0.078705,0.6261,0.36508,-0.73844,0.07167,-0.1297,-0.051451,0.17297,0.054985,-0.16119,0.057926,0.036445,-0.078705,-0.6261,0.36508,0.73844,0.07167,0.1297,-0.051451,-0.17297,0.054985,0.16119,-0.012128,-3.2536e-12,-0.0083373,3.1951e-09,-0.0002619,5.5338e-09,-0.025373,2.756e-10,-0.0076225,5.1535e-11,-0.00071214,1.6949e-09
0.09,0.06062,-0.035205,-0.076773,0.58437,0.38125,-0.703,0.083174,-0.13155,-0.04882,0.1685,0.056512,-0.16432,0.06062,0.035205,-0.076773,-0.58437,0.38125,0.703,0.083174,0.13155,-0.04882,-0.1685,0.056512,0.16432,-0.011955,-2.4823e-12,-0.0082455,3.3369e-09,-0.0042462,5.5993e-09,-0.025701,2.6787e-10,-0.0079119,7.0987e-11,-0.00084673,1.6619e-09
