t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,0,0,13,0,0,0,0,0
0.01,0.13013,0,-0.00052752,0,-0.0020646,0,13.027,0,-0.10444,0,-0.40853,0
0.02,0.26054,0,-0.0020636,0,-0.0080714,0,13.053,0,-0.20135,0,-0.78733,0
0.03,0.3912,0,-0.0045225,0,-0.017691,0,13.08,0,-0.28867,0,-1.13,0
0.04,0.52213,0,-0.0077992,0,-0.030533,0,13.105,0,-0.36464,0,-1.4312,0
0.05,0.6533,0,-0.011773,0,-0.04616,0,13.13,0,-0.42782,0,-1.6863,0
0.06,0.78472,0,-0.016309,0,-0.064094,0,13.153,0,-0.47718,0,-1.8921,0
0.07,0.91635,0,-0.021268,0,-0.083831,0,13.174,0,-0.51203,0,-2.0467,0
0.08,1.0482,0,-0.026501,0,-0.10486,0,13.193,0,-0.53211,0,-2.1496,0
0.09,1.1802,0,-0.031861,0,-0.12665,0,13.209,0,-0.53753,0,-2.2015,0
0.1,1.3124,0,-0.037204,0,-0.14872,0,13.221,0,-0.52879,0,-2.2046,0
0.11,1.4446,0,-0.042392,0,-0.17059,0,13.23,0,-0.50669,0,-2.1621,0
0.12,1.5769,0,-0.047297,0,-0.19183,0,13.234,0,-0.47232,0,-2.0783,0
0.13,1.7093,0,-0.051802,0,-0.21204,0,13.234,0,-0.42699,0,-1.958,0
0.14,1.8416,0,-0.055805,0,-0.23088,0,13.229,0,-0.37218,0,-1.8067,0
0.15,1.9738,0,-0.059219,0,-0.24809,0,13.221,0,-0.30944,0,-1.6299,0
0.16,2.106,0,-0.061973,0,-0.26342,0,13.208,0,-0.24039,0,-1.4334,0
0.17,2.238,0,-0.064011,0,-0.27671,0,13.193,0,-0.16662,0,-1.2228,0
0.18,2.3698,0,-0.065295,0,-0.28784,0,13.174,0,-0.089696,0,-1.0037,0
0.19,2.5015,0,-0.065799,0,-0.29677,0,13.154,0,-0.01109,0,-0.78106,0
0.2,2.6329,0,-0.065516,0,-0.30347,0,13.132,0,0.067821,0,-0.55981,0
0.21,2.7641,0,-0.064446,0,-0.30798,0,13.11,0,0.14577,0,-0.34434,0
0.22,2.8951,0,-0.062607,0,-0.31039,0,13.088,0,0.22163,0,-0.13862,0
0.23,3.0259,0,-0.060024,0,-0.3108,0,13.066,0,0.29438,0,0.05381,0
0.24,3.1564,0,-0.056733,0,-0.30937,0,13.046,0,0.36316,0,0.22989,0
0.25,3.2868,0,-0.052777,0,-0.30627,0,13.027,0,0.42722,0,0.38706,0
0.26,3.417,0,-0.048206,0,-0.3017,0,13.01,0,0.48595,0,0.52328,0
0.27,3.547,0,-0.043077,0,-0.29588,0,12.996,0,0.5389,0,0.63701,0
0.28,3.6769,0,-0.037449,0,-0.28903,0,12.984,0,0.58572,0,0.72726,0
0.29,3.8067,0,-0.031384,0,-0.28141,0,12.975,0,0.62622,0,0.79358,0
0.3,3.9364,0,-0.024946,0,-0.27324,0,12.968,0,0.66033,0,0.83601,0
0.31,4.0661,0,-0.018198,0,-0.26477,0,12.964,0,0.68812,0,0.85511,0
0.32,4.1957,0,-0.011204,0,-0.25621,0,12.962,0,0.70977,0,0.85189,0
0.33,4.3253,0,-0.004022,0,-0.2478,0,12.962,0,0.72558,0,0.82779,0
0.34,4.455,0,0.0032899,0,-0.23972,0,12.965,0,0.73595,0,0.78459,0
0.35,4.5846,0,0.01068,0,-0.23216,0,12.969,0,0.74137,0,0.72439,0
0.36,4.7144,0,0.018103,0,-0.22528,0,12.975,0,0.74241,0,0.64952,0
0.37,4.8441,0,0.025516,0,-0.21921,0,12.982,0,0.73972,0,0.5625,0
0.38,4.974,0,0.032887,0,-0.21407,0,12.991,0,0.73397,0,0.46594,0
0.39,5.104,0,0.040188,0,-0.20992,0,13,0,0.72588,0,0.36249,0
0.4,5.234,0,0.047399,0,-0.20683,0,13.009,0,0.71615,0,0.25481,0
0.41,5.3641,0,0.054508,0,-0.20483,0,13.019,0,0.70552,0,0.14546,0
0.42,5.4944,0,0.061509,0,-0.20392,0,13.029,0,0.69467,0,0.036911,0
0.43,5.6247,0,0.068403,0,-0.20408,0,13.039,0,0.68426,0,-0.068563,0
0.44,5.7552,0,0.075197,0,-0.20527,0,13.048,0,0.6749,0,-0.16888,0
0.45,5.8857,0,0.081906,0,-0.20743,0,13.057,0,0.66714,0,-0.26219,0
0.46,6.0163,0,0.088547,0,-0.21049,0,13.066,0,0.66147,0,-0.34692,0
0.47,6.147,0,0.095144,0,-0.21434,0,13.073,0,0.65827,0,-0.42178,0
0.48,6.2778,0,0.10172,0,-0.21889,0,13.08,0,0.65788,0,-0.48577,0
0.49,6.4086,0,0.10831,0,-0.22402,0,13.085,0,0.66053,0,-0.53819,0
0.5,6.5395,0,0.11494,0,-0.22961,0,13.09,0,0.66637,0,-0.57866,0
