t, elevL, elevR, throttle
0,-0.1,0.2,4.8058
0.01,-0.1,0.2,4.8058
0.02,-0.1,0.2,4.8058
0.03,-0.1,0.2,4.8058
0.04,-0.1,0.2,4.8058
0.05,-0.1,0.2,4.8058
0.06,-0.1,0.2,4.8058
0.07,-0.1,0.2,4.8058
0.08,-0.1,0.2,4.8058
0.09,-0.1,0.2,4.8058
0.1,-0.1,0.2,4.8058
0.11,-0.1,0.2,4.8058
0.12,-0.1,0.2,4.8058
0.13,-0.1,0.2,4.8058
0.14,-0.1,0.2,4.8058
0.15,-0.1,0.2,4.8058
0.16,-0.1,0.2,4.8058
0.17,-0.1,0.2,4.8058
0.18,-0.1,0.2,4.8058
0.19,-0.1,0.2,4.8058
0.2,-0.1,0.2,4.8058
0.21,-0.1,0.2,4.8058
0.22,-0.1,0.2,4.8058
0.23,-0.1,0.2,4.8058
0.24,-0.1,0.2,4.8058
0.25,-0.1,0.2,4.8058
0.26,-0.1,0.2,4.8058
0.27,-0.1,0.2,4.8058
0.28,-0.1,0.2,4.8058
0.29,-0.1,0.2,4.8058
0.3,-0.1,0.2,4.8058
0.31,-0.08,0.19,4.8058
0.32,-0.06,0.18,4.8058
0.33,-0.04,0.17,4.8058
0.34,-0.02,0.16,4.8058
0.35,5.5511e-17,0.15,4.8058
0.36,0.02,0.14,4.8058
0.37,0.04,0.13,4.8058
0.38,0.06,0.12,4.8058
0.39,0.08,0.11,4.8058
0.4,0.1,0.1,4.8058
0.41,0.1,0.1,4.8058
0.42,0.1,0.1,4.8058
0.43,0.1,0.1,4.8058
0.44,0.1,0.1,4.8058
0.45,0.1,0.1,4.8058
0.46,0.1,0.1,4.8058
0.47,0.1,0.1,4.8058
0.48,0.1,0.1,4.8058
0.49,0.1,0.1,4.8058
0.5,0.1,0.1,4.8058
0.51,0.1,0.1,4.8058
0.52,0.1,0.1,4.8058
0.53,0.1,0.1,4.8058
0.54,0.1,0.1,4.8058
0.55,0.1,0.1,4.8058
0.56,0.1,0.1,4.8058
0.57,0.1,0.1,4.8058
0.58,0.1,0.1,4.8058
0.59,0.1,0.1,4.8058
0.6,0.1,0.1,4.8058
0.61,0.1,0.1,4.8058
0.62,0.1,0.1,4.8058
0.63,0.1,0.1,4.8058
0.64,0.1,0.1,4.8058
0.65,0.1,0.1,4.8058
0.66,0.1,0.1,4.8058
0.67,0.1,0.1,4.8058
0.68,0.1,0.1,4.8058
0.69,0.1,0.1,4.8058
0.7,0.1,0.1,4.8058
0.71,0.1,0.1,4.8058
0.72,0.1,0.1,4.8058
0.73,0.1,0.1,4.8058
0.74,0.1,0.1,4.8058
0.75,0.1,0.1,4.8058
0.76,0.1,0.1,4.8058
0.77,0.1,0.1,4.8058
0.78,0.1,0.1,4.8058
0.79,0.1,0.1,4.8058
0.8,0.1,0.1,4.8058
0.81,0.1,0.1,4.8058
0.82,0.1,0.1,4.8058
0.83,0.1,0.1,4.8058
0.84,0.1,0.1,4.8058
0.85,0.1,0.1,4.8058
0.86,0.1,0.1,4.8058
0.87,0.1,0.1,4.8058
0.88,0.1,0.1,4.8058
0.89,0.1,0.1,4.8058
0.9,0.1,0.1,4.8058
0.91,0.1,0.1,4.8058
0.92,0.1,0.1,4.8058
0.93,0.1,0.1,4.8058
0.94,0.1,0.1,4.8058
0.95,0.1,0.1,4.8058
0.96,0.1,0.1,4.8058
0.97,0.1,0.1,4.8058
0.98,0.1,0.1,4.8058
0.99,0.1,0.1,4.8058
1,0.1,0.1,4.8058
1.01,0.1,0.1,4.8058
1.02,0.1,0.1,4.8058
1.03,0.1,0.1,4.8058
1.04,0.1,0.1,4.8058
1.05,0.1,0.1,4.8058
1.06,0.1,0.1,4.8058
1.07,0.1,0.1,4.8058
1.08,0.1,0.1,4.8058
1.09,0.1,0.1,4.8058
1.1,0.1,0.1,4.8058
1.11,0.1,0.1,4.8058
1.12,0.1,0.1,4.8058
1.13,0.1,0.1,4.8058
1.14,0.1,0.1,4.8058
1.15,0.1,0.1,4.8058
1.16,0.1,0.1,4.8058
1.17,0.1,0.1,4.8058
1.18,0.1,0.1,4.8058
1.19,0.1,0.1,4.8058
1.2,0.1,0.1,4.8058
1.21,0.1,0.1,4.8058
1.22,0.1,0.1,4.8058
1.23,0.1,0.1,4.8058
1.24,0.1,0.1,4.8058
1.25,0.1,0.1,4.8058
1.26,0.1,0.1,4.8058
1.27,0.1,0.1,4.8058
1.28,0.1,0.1,4.8058
1.29,0.1,0.1,4.8058
1.3,0.1,0.1,4.8058
1.31,0.1,0.1,4.8058
1.32,0.1,0.1,4.8058
1.33,0.1,0.1,4.8058
1.34,0.1,0.1,4.8058
1.35,0.1,0.1,4.8058
1.36,0.1,0.1,4.8058
1.37,0.1,0.1,4.8058
1.38,0.1,0.1,4.8058
1.39,0.1,0.1,4.8058
1.4,0.1,0.1,4.8058
1.41,0.1,0.1,4.8058
1.42,0.1,0.1,4.8058
1.43,0.1,0.1,4.8058
1.44,0.1,0.1,4.8058
1.45,0.1,0.1,4.8058
1.46,0.1,0.1,4.8058
1.47,0.1,0.1,4.8058
1.48,0.1,0.1,4.8058
1.49,0.1,0.1,4.8058
1.5,0.1,0.1,4.8058
