t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,0,0,13,0,0,0,0,0
0.01,0.13013,7.5841e-08,-0.0004938,0.00029672,-0.000485,-5.4994e-07,13.027,2.265e-05,-0.097931,0.059301,-0.094024,-0.00017338
0.02,0.26054,5.9288e-07,-0.0019415,0.0011851,-0.0018198,-5.0138e-06,13.054,8.7116e-05,-0.19071,0.11834,-0.16981,-0.00081036
0.03,0.39121,1.9208e-06,-0.0042901,0.0026626,-0.0038188,-1.8686e-05,13.08,0.00018187,-0.27809,0.17709,-0.22686,-0.0020224
0.04,0.52214,4.2662e-06,-0.0074849,0.004726,-0.0062943,-4.7488e-05,13.106,0.00028678,-0.35994,0.23554,-0.26512,-0.0038379
0.05,0.65333,7.5972e-06,-0.011471,0.0073721,-0.0090602,-9.7279e-05,13.132,0.0003733,-0.43625,0.29364,-0.28493,-0.0062037
0.06,0.78479,1.1554e-05,-0.016192,0.010598,-0.011934,-0.000173,13.158,0.00040574,-0.50713,0.35137,-0.28703,-0.0089948
0.07,0.91649,1.5393e-05,-0.021596,0.014398,-0.014745,-0.00027799,13.183,0.00034263,-0.57281,0.4087,-0.27251,-0.012027
0.08,1.0485,1.7939e-05,-0.027632,0.01877,-0.017334,-0.00041358,13.209,0.00013839,-0.6336,0.46558,-0.24275,-0.015067
0.09,1.1807,1.7536e-05,-0.034253,0.023708,-0.019555,-0.00057848,13.233,-0.00025378,-0.68992,0.52198,-0.19941,-0.01785
0.1,1.3131,1.2081e-05,-0.041417,0.029208,-0.021282,-0.00076878,13.258,-0.00087981,-0.74222,0.57787,-0.14435,-0.020098
0.11,1.4458,-9.783e-07,-0.049086,0.035264,-0.022409,-0.00097777,13.282,-0.0017826,-0.79106,0.63323,-0.07958,-0.021536
0.12,1.5788,-2.4616e-05,-0.057228,0.04187,-0.022849,-0.0011959,13.306,-0.0029988,-0.83701,0.68802,-0.0072229,-0.021906
0.13,1.7119,-6.2102e-05,-0.065818,0.049022,-0.022535,-0.0014116,13.33,-0.0045575,-0.88068,0.74224,0.070575,-0.020985
0.14,1.8453,-0.00011697,-0.074836,0.056713,-0.021426,-0.0016108,13.353,-0.0064781,-0.92267,0.79588,0.15166,-0.018596
0.15,1.979,-0.0001929,-0.084268,0.064938,-0.019498,-0.0017782,13.377,-0.0087686,-0.96362,0.84895,0.23392,-0.014622
0.16,2.1129,-0.00029357,-0.094107,0.07369,-0.01675,-0.0018977,13.4,-0.011426,-1.0041,0.90146,0.31534,-0.0090082
0.17,2.247,-0.00042258,-0.10435,0.082965,-0.0132,-0.001953,13.423,-0.014433,-1.0447,0.95344,0.39407,-0.0017713
0.18,2.3813,-0.0005833,-0.115,0.092758,-0.0088839,-0.001928,13.446,-0.017762,-1.086,1.0049,0.46835,0.0069986
0.19,2.5159,-0.00077878,-0.12607,0.10306,-0.003853,-0.0018084,13.47,-0.021375,-1.1284,1.0559,0.5367,0.017144
0.2,2.6507,-0.0010116,-0.13758,0.11387,0.0018262,-0.0015813,13.493,-0.025221,-1.1724,1.1064,0.5978,0.028439
0.21,2.7858,-0.0012838,-0.14953,0.12519,0.0080752,-0.0012367,13.517,-0.029244,-1.2183,1.1565,0.65057,0.040599
0.22,2.9211,-0.0015968,-0.16195,0.137,0.014807,-0.00076753,13.54,-0.033379,-1.2664,1.2062,0.6942,0.05329
0.23,3.0566,-0.0019515,-0.17487,0.14931,0.021927,-0.00017033,13.564,-0.03756,-1.317,1.2555,0.72811,0.066137
0.24,3.1923,-0.002348,-0.1883,0.16211,0.029336,0.0005544,13.587,-0.041719,-1.3703,1.3042,0.75198,0.078738
0.25,3.3283,-0.0027856,-0.20228,0.1754,0.036933,0.0014022,13.611,-0.045793,-1.4262,1.3525,0.76574,0.090679
0.26,3.4646,-0.0032633,-0.21683,0.18916,0.044617,0.0023644,13.635,-0.049721,-1.4848,1.4002,0.76949,0.10154
0.27,3.601,-0.0037794,-0.23199,0.2034,0.052291,0.0034281,13.658,-0.053453,-1.5461,1.4472,0.76376,0.11094
0.28,3.7377,-0.0043316,-0.24776,0.2181,0.05986,0.0045762,13.681,-0.056947,-1.61,1.4934,0.74859,0.11837
0.29,3.8747,-0.0049175,-0.26419,0.23326,0.067236,0.0057885,13.705,-0.060182,-1.6762,1.5388,0.7254,0.12367
0.3,4.0118,-0.0055344,-0.28129,0.24888,0.074353,0.0070439,13.728,-0.063153,-1.7445,1.5841,0.69616,0.12685
0.31,4.1492,-0.0061795,-0.29909,0.26493,0.081115,0.0083102,13.75,-0.065822,-1.8149,1.6246,0.65414,0.1256
0.32,4.2868,-0.0068498,-0.3176,0.28134,0.087371,0.0095324,13.773,-0.068189,-1.8871,1.6563,0.59425,0.11763
0.33,4.4247,-0.0075426,-0.33684,0.29803,0.092952,0.010639,13.795,-0.070346,-1.9606,1.6797,0.51969,0.10259
0.34,4.5627,-0.0082564,-0.35681,0.3149,0.097722,0.011559,13.818,-0.072416,-2.0349,1.6944,0.43225,0.079982
0.35,4.701,-0.0089913,-0.37753,0.33189,0.10156,0.012213,13.84,-0.07458,-2.1095,1.7004,0.3344,0.049642
0.36,4.8395,-0.0097491,-0.399,0.34888,0.10438,0.012526,13.862,-0.077065,-2.1836,1.6975,0.2287,0.011686
0.37,4.9783,-0.010534,-0.4212,0.36581,0.10612,0.012423,13.884,-0.080143,-2.2566,1.686,0.11773,-0.0335
0.38,5.1172,-0.011355,-0.44413,0.38257,0.10673,0.011834,13.906,-0.084128,-2.3277,1.6659,0.0041599,-0.085227
0.39,5.2564,-0.012221,-0.46775,0.3991,0.1062,0.0107,13.928,-0.089373,-2.3963,1.6373,-0.1096,-0.14263
0.4,5.3958,-0.013148,-0.49204,0.41529,0.10455,0.0089674,13.95,-0.096256,-2.4618,1.601,-0.22049,-0.20427
0.41,5.5354,-0.014153,-0.51697,0.4311,0.10182,0.0066112,13.972,-0.10521,-2.5233,1.5605,-0.32153,-0.26666
0.42,5.6752,-0.015261,-0.54249,0.4465,0.098174,0.0036461,13.995,-0.11668,-2.5802,1.52,-0.40562,-0.32571
0.43,5.8153,-0.016496,-0.56856,0.4615,0.093773,0.00011423,14.017,-0.13099,-2.6322,1.48,-0.47134,-0.3796
0.44,5.9556,-0.017891,-0.59512,0.4761,0.088806,-0.0039257,14.04,-0.14841,-2.679,1.4403,-0.51892,-0.42722
0.45,6.0961,-0.019476,-0.62212,0.49031,0.083455,-0.0084056,14.062,-0.16915,-2.7206,1.4011,-0.54842,-0.46749
0.46,6.2368,-0.021285,-0.64951,0.50413,0.077896,-0.013248,14.085,-0.19336,-2.757,1.3623,-0.56054,-0.49968
0.47,6.3778,-0.023354,-0.67725,0.51756,0.072298,-0.018371,14.107,-0.22108,-2.7885,1.3237,-0.55627,-0.52333
0.48,6.519,-0.025719,-0.70527,0.5306,0.066821,-0.023686,14.129,-0.25232,-2.8152,1.2852,-0.53698,-0.5383
0.49,6.6604,-0.028412,-0.73354,0.54326,0.061604,-0.029108,14.15,-0.28698,-2.8376,1.2467,-0.50426,-0.54469
0.5,6.802,-0.031469,-0.76201,0.55554,0.056774,-0.034553,14.171,-0.32492,-2.8561,1.2081,-0.45991,-0.54291
0.51,6.9438,-0.034921,-0.79065,0.56742,0.052438,-0.039941,14.192,-0.3659,-2.8712,1.1692,-0.40589,-0.53357
0.52,7.0858,-0.038797,-0.81942,0.57892,0.048682,-0.045201,14.211,-0.40968,-2.8836,1.13,-0.34419,-0.51749
0.53,7.228,-0.043123,-0.84831,0.59002,0.045573,-0.050272,14.23,-0.45592,-2.8937,1.0905,-0.27681,-0.49567
0.54,7.3704,-0.047922,-0.87729,0.60073,0.043158,-0.0551,14.249,-0.50429,-2.9022,1.0506,-0.20576,-0.46924
0.55,7.513,-0.053214,-0.90635,0.61103,0.041464,-0.059645,14.267,-0.55441,-2.9096,1.0106,-0.13291,-0.43939
0.56,7.6557,-0.059015,-0.93548,0.62094,0.0405,-0.06388,14.284,-0.60591,-2.9166,0.97045,-0.060032,-0.40737
0.57,7.7987,-0.065336,-0.96468,0.63044,0.040258,-0.06779,14.301,-0.65841,-2.9236,0.93026,0.011259,-0.37445
0.58,7.9418,-0.072185,-0.99395,0.63954,0.040715,-0.07137,14.318,-0.71153,-2.9311,0.89014,0.079545,-0.34184
0.59,8.085,-0.079567,-1.0233,0.64824,0.041835,-0.074631,14.334,-0.76494,-2.9395,0.8502,0.14361,-0.31067
0.6,8.2284,-0.087484,-1.0527,0.65655,0.04357,-0.077592,14.35,-0.81831,-2.9493,0.81051,0.20242,-0.28202
0.61,8.372,-0.095933,-1.0823,0.66446,0.045863,-0.080283,14.366,-0.87136,-2.9608,0.77112,0.25521,-0.25678
0.62,8.5158,-0.10491,-1.112,0.67197,0.048652,-0.082741,14.381,-0.92384,-2.9741,0.73206,0.30141,-0.2357
0.63,8.6596,-0.11441,-1.1418,0.6791,0.051868,-0.085013,14.396,-0.97556,-2.9895,0.69332,0.34066,-0.2194
0.64,8.8037,-0.12442,-1.1718,0.68584,0.055442,-0.087147,14.412,-1.0264,-3.0072,0.65489,0.37285,-0.20827
0.65,8.9479,-0.13493,-1.2019,0.6922,0.059302,-0.089196,14.427,-1.0761,-3.027,0.6167,0.39802,-0.20254
0.66,9.0922,-0.14594,-1.2323,0.69817,0.06338,-0.091216,14.442,-1.1248,-3.0492,0.57872,0.41643,-0.20227
0.67,9.2367,-0.15742,-1.2629,0.70377,0.067609,-0.093259,14.457,-1.1725,-3.0736,0.54088,0.42847,-0.20732
0.68,9.3814,-0.16938,-1.2938,0.70899,0.07193,-0.095379,14.471,-1.219,-3.1001,0.50314,0.4347,-0.21742
0.69,9.5261,-0.1818,-1.3249,0.71383,0.076286,-0.097623,14.486,-1.2646,-3.1287,0.46545,0.43576,-0.23211
0.7,9.6711,-0.19467,-1.3564,0.7183,0.08063,-0.10003,14.501,-1.3094,-3.159,0.42781,0.43241,-0.25086
0.71,9.8162,-0.20799,-1.3881,0.72239,0.084922,-0.10265,14.515,-1.3534,-3.191,0.39022,0.42543,-0.27301
0.72,9.9614,-0.22174,-1.4202,0.72611,0.089129,-0.1055,14.529,-1.3968,-3.2245,0.35271,0.41568,-0.29781
0.73,10.107,-0.23592,-1.4526,0.72945,0.093229,-0.10861,14.544,-1.4398,-3.2592,0.31534,0.40399,-0.32451
0.74,10.252,-0.25053,-1.4854,0.73241,0.097206,-0.112,14.558,-1.4827,-3.2948,0.27821,0.3912,-0.3523
0.75,10.398,-0.26557,-1.5185,0.73501,0.10105,-0.11566,14.571,-1.5255,-3.3313,0.24142,0.37809,-0.3804
0.76,10.544,-0.28104,-1.552,0.73724,0.10477,-0.1196,14.585,-1.5685,-3.3683,0.20509,0.36539,-0.40805
0.77,10.69,-0.29694,-1.5859,0.73911,0.10836,-0.12382,14.598,-1.6118,-3.4057,0.16937,0.35376,-0.43458
0.78,10.836,-0.31328,-1.6201,0.74063,0.11185,-0.12829,14.611,-1.6555,-3.4433,0.1344,0.34378,-0.45934
0.79,10.982,-0.33006,-1.6548,0.74181,0.11525,-0.133,14.624,-1.6999,-3.4809,0.10034,0.33589,-0.48182
0.8,11.128,-0.34728,-1.6897,0.74264,0.11858,-0.13792,14.636,-1.745,-3.5185,0.067321,0.33047,-0.50162
0.81,11.275,-0.36496,-1.7251,0.74316,0.12186,-0.14302,14.648,-1.7909,-3.5559,0.035499,0.32776,-0.51843
0.82,11.421,-0.3831,-1.7609,0.74336,0.12514,-0.14828,14.66,-1.8376,-3.5931,0.005001,0.32788,-0.53206
0.83,11.568,-0.40172,-1.797,0.74326,0.12843,-0.15365,14.671,-1.8853,-3.63,-0.024055,0.33086,-0.54246
0.84,11.714,-0.42081,-1.8335,0.74288,0.13177,-0.15911,14.682,-1.9338,-3.6666,-0.051563,0.33662,-0.54968
