t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.020528,-0.089202,-0.053025,0.52632,0.42079,-0.55177,0.033381,-0.10559,-0.088863,0.13419,0.058549,-0.24326,0.034394,-0.026273,-0.078128,-0.30903,0.34737,0.30457,0.017099,-0.033424,-0.061181,-0.09947,0.049139,0.099095,-0.027783,0.0023963,-0.0049188,-0.0012916,0.0013475,0.0085754,-0.028827,0.00096557,-0.0006109,-0.00058386,-0.00036282,0.0028957
0.01,0.024527,-0.091342,-0.052868,0.51112,0.43304,-0.56016,0.038247,-0.10808,-0.089978,0.13488,0.059043,-0.2471,0.03845,-0.027379,-0.078642,-0.29417,0.34838,0.29951,0.022522,-0.034132,-0.06209,-0.098613,0.04951,0.10222,-0.027612,0.0024556,-0.0048492,-0.00097369,-0.00028105,0.0086105,-0.028687,0.0010103,-0.00058038,-0.00055215,-0.00043375,0.002844
0.02,0.028116,-0.093224,-0.052907,0.49848,0.44658,-0.56888,0.04264,-0.11024,-0.091106,0.13534,0.059667,-0.2507,0.042132,-0.028494,-0.079315,-0.28059,0.34997,0.29479,0.027572,-0.034897,-0.063098,-0.097805,0.049859,0.10544,-0.027449,0.0025226,-0.0047736,-0.00071867,-0.0019626,0.0086593,-0.028559,0.0010632,-0.00055172,-0.00052214,-0.00049851,0.0028022
0.03,0.031229,-0.094846,-0.053159,0.48874,0.4614,-0.57802,0.046473,-0.11208,-0.092252,0.13558,0.060436,-0.254,0.045356,-0.029591,-0.080148,-0.26855,0.35214,0.29047,0.032151,-0.035702,-0.064194,-0.097045,0.050179,0.10872,-0.027293,0.0025972,-0.0046916,-0.00052288,-0.003666,0.0087204,-0.028443,0.001124,-0.00052336,-0.00049363,-0.00055613,0.0027698
0.04,0.033808,-0.096203,-0.053641,0.48218,0.47732,-0.58766,0.049665,-0.11357,-0.093418,0.13562,0.061347,-0.25692,0.048044,-0.030636,-0.081138,-0.25832,0.35473,0.28663,0.036162,-0.036519,-0.06536,-0.096336,0.050449,0.11206,-0.027142,0.002679,-0.004603,-0.00038238,-0.0053578,0.0087921,-0.028337,0.0011924,-0.00049373,-0.00046634,-0.00060573,0.0027462
0.05,0.035801,-0.097291,-0.054367,0.47892,0.49389,-0.59785,0.052141,-0.11471,-0.094598,0.13549,0.062356,-0.25941,0.050123,-0.031583,-0.082286,-0.25021,0.35732,0.28341,0.039506,-0.037313,-0.06657,-0.095691,0.050609,0.11544,-0.026996,0.0027675,-0.0045076,-0.00029305,-0.0069997,0.0088722,-0.028241,0.0012677,-0.00046111,-0.00043997,-0.00064655,0.0027306
0.06,0.037175,-0.098103,-0.055335,0.47907,0.51086,-0.60864,0.053852,-0.1155,-0.095791,0.13521,0.063459,-0.2614,0.051541,-0.032385,-0.08358,-0.24442,0.35971,0.28088,0.042111,-0.038041,-0.067805,-0.095117,0.050637,0.11887,-0.026853,0.0028618,-0.0044056,-0.00025037,-0.008562,0.0089582,-0.028153,0.001349,-0.00042443,-0.00041418,-0.00067809,0.0027215
0.07,0.037916,-0.098638,-0.056545,0.48259,0.52812,-0.62007,0.054771,-0.11592,-0.097004,0.13483,0.064675,-0.26283,0.052264,-0.033003,-0.085008,-0.24109,0.36179,0.2791,0.043925,-0.03866,-0.06905,-0.09462,0.050538,0.12237,-0.026711,0.0029607,-0.0042974,-0.00024949,-0.010022,0.0090476,-0.02807,0.0014351,-0.00038297,-0.00038874,-0.00070014,0.0027173
0.08,0.038012,-0.098899,-0.057991,0.48936,0.54528,-0.63216,0.054871,-0.116,-0.098238,0.1344,0.065983,-0.26369,0.052267,-0.033391,-0.086558,-0.24034,0.36319,0.27814,0.044903,-0.039128,-0.070285,-0.094212,0.050277,0.12594,-0.026569,0.003063,-0.0041836,-0.00028558,-0.011349,0.0091376,-0.027991,0.0015247,-0.00033584,-0.00036335,-0.00071248,0.0027162
0.09,0.037461,-0.098891,-0.059661,0.4992,0.56196,-0.6449,0.054136,-0.11574,-0.099492,0.13395,0.067353,-0.26396,0.05154,-0.033502,-0.088214,-0.24224,0.36356,0.27808,0.045011,-0.039396,-0.071482,-0.093902,0.049814,0.1296,-0.026423,0.0031672,-0.004065,-0.00035345,-0.012514,0.0092252,-0.027913,0.0016163,-0.00028241,-0.00033776,-0.00071504,0.0027158
