t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,0,0,13,0,0,0,0,0
0.01,0.13013,1.097e-07,-0.00050848,0.00042587,-0.0011607,-1.1126e-06,13.027,3.286e-05,-0.10077,0.085175,-0.2289,-0.00036609
0.02,0.26054,8.6349e-07,-0.001995,0.0017035,-0.0045078,-1.1389e-05,13.054,0.00012706,-0.19541,0.17036,-0.43674,-0.0019475
0.03,0.3912,2.7926e-06,-0.0043928,0.0038331,-0.0098158,-4.6161e-05,13.08,0.00026308,-0.28288,0.25555,-0.62066,-0.0053527
0.04,0.52213,6.134e-06,-0.0076258,0.0068146,-0.016834,-0.00012599,13.106,0.00040101,-0.36232,0.34073,-0.77839,-0.011017
0.05,0.65332,1.0613e-05,-0.01161,0.010648,-0.025291,-0.00027487,13.131,0.00047813,-0.43306,0.42584,-0.9083,-0.019187
0.06,0.78476,1.5209e-05,-0.016257,0.015331,-0.034904,-0.0005183,13.156,0.00040811,-0.49466,0.51083,-1.0094,-0.029918
0.07,0.91644,1.7923e-05,-0.021472,0.020863,-0.045382,-0.00088134,13.18,8.1932e-05,-0.54686,0.59561,-1.0815,-0.043075
0.08,1.0484,1.5565e-05,-0.027162,0.027242,-0.056438,-0.0013869,13.203,-0.0006295,-0.58963,0.68008,-1.1249,-0.058353
0.09,1.1805,3.5666e-06,-0.033234,0.034463,-0.067789,-0.002054,13.225,-0.0018713,-0.62311,0.76411,-1.1408,-0.075295
0.1,1.3128,-2.415e-05,-0.039595,0.042522,-0.079167,-0.0028964,13.245,-0.0037997,-0.64764,0.84756,-1.1306,-0.093329
0.11,1.4454,-7.5253e-05,-0.046158,0.051412,-0.090322,-0.003922,13.264,-0.0065757,-0.66372,0.93025,-1.0966,-0.1118
0.12,1.5781,-0.00015902,-0.052843,0.061124,-0.10103,-0.0051315,13.282,-0.010359,-0.67197,1.012,-1.0414,-0.13
0.13,1.711,-0.0002863,-0.059574,0.071648,-0.11109,-0.0065188,13.298,-0.015302,-0.67316,1.0926,-0.96771,-0.14724
0.14,1.8441,-0.00046938,-0.066285,0.082972,-0.12033,-0.0080709,13.312,-0.021542,-0.66812,1.1719,-0.87879,-0.16285
0.15,1.9773,-0.00072187,-0.072919,0.095081,-0.12862,-0.0097684,13.325,-0.029201,-0.65775,1.2496,-0.77788,-0.17624
0.16,2.1106,-0.0010585,-0.079426,0.10796,-0.13586,-0.011587,13.336,-0.038374,-0.64299,1.3257,-0.66826,-0.18694
0.17,2.244,-0.0014946,-0.085767,0.12159,-0.14197,-0.013497,13.347,-0.049134,-0.62479,1.4001,-0.55323,-0.19461
0.18,2.3775,-0.0020466,-0.091913,0.13596,-0.14692,-0.015468,13.356,-0.061522,-0.60407,1.4727,-0.43595,-0.19906
0.19,2.5111,-0.0027306,-0.097843,0.15104,-0.15069,-0.017468,13.364,-0.075554,-0.58176,1.5434,-0.31944,-0.20029
0.2,2.6448,-0.0035631,-0.10355,0.16682,-0.15332,-0.019464,13.372,-0.091218,-0.5587,1.6124,-0.20649,-0.19847
0.21,2.7785,-0.0045602,-0.10902,0.18328,-0.15484,-0.021428,13.38,-0.10847,-0.53568,1.6798,-0.099628,-0.19395
0.22,2.9124,-0.0057377,-0.11426,0.20041,-0.15534,-0.023335,13.387,-0.12726,-0.51343,1.7456,-0.0010924,-0.18725
0.23,3.0463,-0.0071103,-0.11929,0.21819,-0.1549,-0.025168,13.395,-0.1475,-0.49257,1.81,0.087207,-0.17903
0.24,3.1803,-0.0086921,-0.12412,0.2366,-0.15363,-0.026914,13.402,-0.16909,-0.47365,1.8732,0.16371,-0.17009
0.25,3.3143,-0.010496,-0.12877,0.25565,-0.15167,-0.02857,13.41,-0.19194,-0.45711,1.9353,0.2272,-0.16134
0.26,3.4485,-0.012535,-0.13327,0.27531,-0.14914,-0.030144,13.419,-0.21594,-0.4433,1.9965,0.27686,-0.15374
0.27,3.5827,-0.014819,-0.13765,0.29558,-0.14618,-0.031652,13.427,-0.24099,-0.43246,2.057,0.31219,-0.14832
0.28,3.717,-0.017358,-0.14193,0.31644,-0.14294,-0.033121,13.437,-0.267,-0.42474,2.1167,0.33309,-0.14611
0.29,3.8514,-0.020162,-0.14615,0.33791,-0.13956,-0.034589,13.447,-0.29391,-0.42018,2.1758,0.33977,-0.14814
0.3,3.986,-0.023239,-0.15035,0.35996,-0.13619,-0.036101,13.457,-0.32166,-0.41875,2.2342,0.33277,-0.15538
0.31,4.1206,-0.026598,-0.15454,0.38259,-0.13295,-0.037717,13.468,-0.35023,-0.42032,2.2921,0.31291,-0.16874
0.32,4.2553,-0.030246,-0.15876,0.4058,-0.12997,-0.0395,13.479,-0.37966,-0.42469,2.3493,0.28126,-0.18906
0.33,4.3902,-0.034194,-0.16304,0.42957,-0.12736,-0.041523,13.491,-0.41,-0.43159,2.4058,0.23912,-0.21704
0.34,4.5251,-0.03845,-0.1674,0.45391,-0.12522,-0.043868,13.503,-0.44135,-0.44071,2.4616,0.18796,-0.25328
0.35,4.6602,-0.043025,-0.17186,0.4788,-0.12363,-0.046618,13.515,-0.47386,-0.45168,2.5167,0.12939,-0.29824
0.36,4.7954,-0.047931,-0.17644,0.50424,-0.12265,-0.049863,13.527,-0.50774,-0.46411,2.571,0.065101,-0.35223
0.37,4.9307,-0.053185,-0.18115,0.53022,-0.12234,-0.053693,13.538,-0.54322,-0.47758,2.6245,-0.0031477,-0.41544
0.38,5.0662,-0.058802,-0.18599,0.55673,-0.12272,-0.058202,13.55,-0.58059,-0.49168,2.6772,-0.073586,-0.48789
0.39,5.2017,-0.064804,-0.19098,0.58376,-0.12381,-0.063482,13.561,-0.62019,-0.506,2.7291,-0.14446,-0.56949
0.4,5.3374,-0.071214,-0.19611,0.61131,-0.12561,-0.069622,13.572,-0.66239,-0.52015,2.7803,-0.21406,-0.66
0.41,5.4732,-0.078062,-0.20138,0.63936,-0.12808,-0.07671,13.582,-0.7076,-0.53376,2.8306,-0.28076,-0.75905
0.42,5.609,-0.085378,-0.20678,0.66792,-0.13121,-0.08483,13.591,-0.75625,-0.5465,2.8801,-0.34301,-0.86619
0.43,5.745,-0.0932,-0.21231,0.69696,-0.13492,-0.094059,13.598,-0.8088,-0.55811,2.9288,-0.39939,-0.98083
0.44,5.881,-0.10157,-0.21794,0.72649,-0.13917,-0.10447,13.605,-0.86573,-0.56836,2.9765,-0.4486,-1.1023
0.45,6.0171,-0.11053,-0.22367,0.75649,-0.14387,-0.11613,13.61,-0.92751,-0.5771,3.023,-0.48946,-1.2299
0.46,6.1532,-0.12014,-0.22948,0.78695,-0.14893,-0.12908,13.612,-0.99463,-0.58421,3.0682,-0.52095,-1.3627
0.47,6.2893,-0.13044,-0.23535,0.81785,-0.15425,-0.1434,13.613,-1.0675,-0.58969,3.1117,-0.54219,-1.5
0.48,6.4254,-0.14151,-0.24127,0.84917,-0.15973,-0.1591,13.611,-1.1467,-0.59357,3.1531,-0.55242,-1.6406
0.49,6.5615,-0.1534,-0.24722,0.8809,-0.16526,-0.17621,13.606,-1.2325,-0.59597,3.1919,-0.55105,-1.7836
0.5,6.6975,-0.16618,-0.25318,0.913,-0.17072,-0.19477,13.598,-1.3253,-0.59707,3.2274,-0.53762,-1.9278
