t, affine_elevL, affine_elevR, affine_throttle
0,4.8312e-09,4.8312e-09,2.0477e-09
0.01,4.5899e-09,4.5899e-09,2.2092e-09
0.02,4.2499e-09,4.2499e-09,2.107e-09
0.03,3.8295e-09,3.8295e-09,1.7668e-09
0.04,3.4905e-09,3.4905e-09,1.688e-09
0.05,3.1936e-09,3.1936e-09,1.7002e-09
0.06,2.8853e-09,2.8853e-09,1.6328e-09
0.07,2.4955e-09,2.4955e-09,1.3148e-09
0.08,2.0583e-09,2.0583e-09,9.6488e-10
0.09,1.6576e-09,1.6576e-09,8.1843e-10
0.1,1.2857e-09,1.2857e-09,7.5842e-10
0.11,9.2423e-10,9.2423e-10,6.6735e-10
0.12,5.4361e-10,5.4361e-10,4.2722e-10
0.13,1.2111e-10,1.2111e-10,1.4973e-10
0.14,-3.2257e-10,-3.2257e-10,-1.7436e-11
0.15,-7.6274e-10,-7.6274e-10,-1.2206e-10
0.16,-1.1778e-09,-1.1778e-09,-2.1235e-10
0.17,-1.5497e-09,-1.5497e-09,-3.3698e-10
0.18,-1.7308e-09,-1.7308e-09,-5.3899e-10
0.19,-1.6944e-09,-1.6944e-09,-7.8354e-10
0.2,-1.5948e-09,-1.5948e-09,-1.0031e-09
0.21,-1.5867e-09,-1.5867e-09,-1.1293e-09
0.22,-1.7916e-09,-1.7916e-09,-1.0957e-09
0.23,-1.7913e-09,-1.7913e-09,-9.2468e-10
0.24,-1.5611e-09,-1.5611e-09,-7.0268e-10
0.25,-1.3032e-09,-1.3032e-09,-5.1067e-10
0.26,-1.2346e-09,-1.2346e-09,-4.2985e-10
0.27,-1.4476e-09,-1.4476e-09,-4.8194e-10
0.28,-1.5889e-09,-1.5889e-09,-4.9986e-10
0.29,-1.7559e-09,-1.7559e-09,-5.1633e-10
0.3,-2.1097e-09,-2.1097e-09,-5.8849e-10
0.31,-2.429e-09,-2.429e-09,-6.5716e-10
0.32,-1.5097e-09,-1.5097e-09,-3.7062e-10
0.33,-1.2885e-10,-1.2884e-10,3.7623e-11
0.34,6.6428e-10,6.6428e-10,2.6478e-10
0.35,1.8744e-10,1.8744e-10,1.2612e-10
0.36,-8.0534e-15,-7.9691e-15,8.8397e-11
0.37,-8.9682e-12,-8.9681e-12,1.1554e-10
0.38,-3.4312e-10,-3.4312e-10,5.9053e-11
0.39,-7.2564e-10,-7.2564e-10,-3.4384e-11
0.4,-4.1432e-10,-4.1432e-10,1.5669e-11
0.41,-3.2941e-10,-3.2941e-10,-5.968e-12
0.42,-6.667e-10,-6.667e-10,-1.7737e-10
0.43,-5.5723e-10,-5.5723e-10,-2.8229e-10
0.44,-1.8023e-10,-1.8023e-10,-2.3501e-10
0.45,1.5643e-11,1.5643e-11,-5.0304e-11
0.46,5.5231e-11,5.5231e-11,1.546e-12
0.47,3.2529e-10,3.2529e-10,-6.0992e-11
0.48,6.5978e-11,6.5978e-11,-7.0156e-12
0.49,-2.4581e-13,-2.458e-13,-4.7595e-12
0.5,1.6156e-27,1.6156e-27,0
