t, elevL, elevR, throttle
0,-0.2,0.6,4.8058
0.01,-0.2,0.6,4.8058
0.02,-0.2,0.6,4.8058
0.03,-0.2,0.6,4.8058
0.04,-0.2,0.6,4.8058
0.05,-0.2,0.6,4.8058
0.06,-0.2,0.6,4.8058
0.07,-0.2,0.6,4.8058
0.08,-0.2,0.6,4.8058
0.09,-0.2,0.6,4.8058
0.1,-0.2,0.6,4.8058
0.11,-0.2,0.6,4.8058
0.12,-0.2,0.6,4.8058
0.13,-0.2,0.6,4.8058
0.14,-0.2,0.6,4.8058
0.15,-0.2,0.6,4.8058
0.16,-0.2,0.6,4.8058
0.17,-0.2,0.6,4.8058
0.18,-0.2,0.6,4.8058
0.19,-0.2,0.6,4.8058
0.2,-0.2,0.6,4.8058
0.21,-0.2,0.6,4.8058
0.22,-0.2,0.6,4.8058
0.23,-0.2,0.6,4.8058
0.24,-0.2,0.6,4.8058
0.25,-0.2,0.6,4.8058
0.26,-0.2,0.6,4.8058
0.27,-0.2,0.6,4.8058
0.28,-0.2,0.6,4.8058
0.29,-0.2,0.6,4.8058
0.3,-0.2,0.6,4.8058
0.31,-0.2,0.6,4.8058
0.32,-0.2,0.6,4.8058
0.33,-0.2,0.6,4.8058
0.34,-0.2,0.6,4.8058
0.35,-0.2,0.6,4.8058
0.36,-0.2,0.6,4.8058
0.37,-0.2,0.6,4.8058
0.38,-0.2,0.6,4.8058
0.39,-0.2,0.6,4.8058
0.4,-0.2,0.6,4.8058
0.41,-0.2,0.6,4.8058
0.42,-0.2,0.6,4.8058
0.43,-0.2,0.6,4.8058
0.44,-0.2,0.6,4.8058
0.45,-0.2,0.6,4.8058
0.46,-0.2,0.6,4.8058
0.47,-0.2,0.6,4.8058
0.48,-0.2,0.6,4.8058
0.49,-0.2,0.6,4.8058
0.5,-0.2,0.6,4.8058
