t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,0,0,13,0,0,0,0,0
0.01,0.13034,0,-0.00056937,0,-0.00072293,0,13.068,0,-0.11295,0,-0.14442,0
0.02,0.26136,0,-0.0022392,0,-0.0028846,0,13.136,0,-0.21997,0,-0.28772,0
0.03,0.39307,0,-0.0049465,0,-0.0064728,0,13.205,0,-0.32031,0,-0.42968,0
0.04,0.52546,0,-0.0086207,0,-0.011473,0,13.273,0,-0.41323,0,-0.57007,0
0.05,0.65854,0,-0.013184,0,-0.017868,0,13.342,0,-0.49803,0,-0.70869,0
0.06,0.7923,0,-0.018552,0,-0.02564,0,13.411,0,-0.57401,0,-0.8453,0
0.07,0.92675,0,-0.024633,0,-0.034767,0,13.479,0,-0.64053,0,-0.97971,0
0.08,1.0619,0,-0.031329,0,-0.045226,0,13.547,0,-0.69693,0,-1.1117,0
0.09,1.1977,0,-0.038536,0,-0.056992,0,13.614,0,-0.74265,0,-1.241,0
0.1,1.3342,0,-0.046144,0,-0.070037,0,13.68,0,-0.77712,0,-1.3675,0
0.11,1.4713,0,-0.054039,0,-0.084332,0,13.745,0,-0.79985,0,-1.491,0
0.12,1.609,0,-0.062101,0,-0.099845,0,13.808,0,-0.8104,0,-1.6111,0
0.13,1.7474,0,-0.070205,0,-0.11654,0,13.869,0,-0.80838,0,-1.7278,0
0.14,1.8864,0,-0.078225,0,-0.13439,0,13.927,0,-0.79348,0,-1.8409,0
0.15,2.026,0,-0.086031,0,-0.15335,0,13.981,0,-0.76547,0,-1.9501,0
0.16,2.166,0,-0.09349,0,-0.17338,0,14.031,0,-0.72419,0,-2.0552,0
0.17,2.3066,0,-0.10047,0,-0.19444,0,14.077,0,-0.66959,0,-2.1561,0
0.18,2.4475,0,-0.10684,0,-0.21649,0,14.117,0,-0.60171,0,-2.2527,0
0.19,2.5889,0,-0.11246,0,-0.23948,0,14.152,0,-0.52068,0,-2.3446,0
0.2,2.7306,0,-0.11721,0,-0.26336,0,14.179,0,-0.42672,0,-2.4319,0
0.21,2.8725,0,-0.12095,0,-0.28807,0,14.2,0,-0.31907,0,-2.5068,0
0.22,3.0145,0,-0.12354,0,-0.31343,0,14.213,0,-0.19696,0,-2.5604,0
0.23,3.1567,0,-0.12484,0,-0.3392,0,14.219,0,-0.060929,0,-2.5909,0
0.24,3.2989,0,-0.12472,0,-0.36516,0,14.215,0,0.08814,0,-2.5966,0
0.25,3.441,0,-0.12304,0,-0.39105,0,14.202,0,0.2491,0,-2.5767,0
0.26,3.5829,0,-0.1197,0,-0.41661,0,14.178,0,0.42055,0,-2.5306,0
0.27,3.7245,0,-0.1146,0,-0.44157,0,14.143,0,0.60088,0,-2.4583,0
0.28,3.8657,0,-0.10766,0,-0.46569,0,14.096,0,0.78834,0,-2.3606,0
0.29,4.0064,0,-0.098815,0,-0.4887,0,14.039,0,0.98108,0,-2.2384,0
0.3,4.1464,0,-0.088025,0,-0.51038,0,13.972,0,1.1772,0,-2.0934,0
0.31,4.2858,0,-0.075268,0,-0.53054,0,13.896,0,1.3742,0,-1.9375,0
0.32,4.4243,0,-0.060544,0,-0.54913,0,13.814,0,1.5702,0,-1.7818,0
0.33,4.5621,0,-0.043871,0,-0.56618,0,13.727,0,1.7641,0,-1.6269,0
0.34,4.6989,0,-0.025272,0,-0.58168,0,13.637,0,1.9551,0,-1.4735,0
0.35,4.8348,0,-0.0047807,0,-0.59565,0,13.543,0,2.1425,0,-1.3219,0
0.36,4.9697,0,0.017565,0,-0.60812,0,13.448,0,2.3258,0,-1.1728,0
0.37,5.1037,0,0.04172,0,-0.61912,0,13.352,0,2.5045,0,-1.0264,0
0.38,5.2368,0,0.067639,0,-0.62866,0,13.257,0,2.6783,0,-0.88309,0
0.39,5.3689,0,0.095269,0,-0.63679,0,13.162,0,2.8468,0,-0.74318,0
0.4,5.5,0,0.12456,0,-0.64354,0,13.068,0,3.0099,0,-0.60689,0
0.41,5.6303,0,0.15545,0,-0.64894,0,12.977,0,3.1673,0,-0.47444,0
0.42,5.7596,0,0.18788,0,-0.65304,0,12.889,0,3.3189,0,-0.346,0
0.43,5.888,0,0.22181,0,-0.65587,0,12.805,0,3.4647,0,-0.2217,0
0.44,6.0157,0,0.25716,0,-0.65749,0,12.724,0,3.6044,0,-0.10165,0
0.45,6.1425,0,0.29387,0,-0.65792,0,12.648,0,3.7382,0,0.014045,0
0.46,6.2687,0,0.3319,0,-0.65722,0,12.576,0,3.8658,0,0.12533,0
0.47,6.3941,0,0.37117,0,-0.65543,0,12.51,0,3.9873,0,0.23214,0
0.48,6.5189,0,0.41162,0,-0.65259,0,12.449,0,4.1025,0,0.33446,0
0.49,6.6431,0,0.4532,0,-0.64875,0,12.394,0,4.2115,0,0.43226,0
0.5,6.7668,0,0.49583,0,-0.64396,0,12.345,0,4.3142,0,0.52552,0
