t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,-0.024955,0.02581,-0.041623,0.55842,0.37247,0.43305,0.033034,0.081916,-0.045019,0.083091,0.13607,0.2508,-0.024955,-0.02581,-0.041623,-0.55842,0.37247,-0.43305,0.033034,-0.081916,-0.045019,-0.083091,0.13607,-0.2508,-0.059901,-1.0753e-09,0.026333,1.825e-08,-0.62475,3.525e-08,-0.15482,7.6205e-10,0.047804,4.7246e-09,-0.0891,8.7601e-09
0.01,-0.025373,0.025552,-0.039148,0.54862,0.34955,0.46803,0.026066,0.083587,-0.042862,0.08411,0.13115,0.25606,-0.025373,-0.025552,-0.039148,-0.54862,0.34955,-0.46803,0.026066,-0.083587,-0.042862,-0.084111,0.13115,-0.25606,-0.058782,-1.019e-09,0.025467,1.7051e-08,-0.59753,3.453e-08,-0.15131,6.787e-10,0.047503,4.6084e-09,-0.080383,8.8267e-09
0.02,-0.025738,0.025356,-0.036748,0.53924,0.32882,0.5029,0.019319,0.085915,-0.040751,0.085499,0.12687,0.26098,-0.025738,-0.025356,-0.036748,-0.53924,0.32882,-0.5029,0.019319,-0.085915,-0.040751,-0.085499,0.12687,-0.26098,-0.057699,-9.6328e-10,0.024667,1.5923e-08,-0.56883,3.4173e-08,-0.1482,6.3287e-10,0.047381,4.5306e-09,-0.072,8.9363e-09
0.03,-0.02605,0.025224,-0.034422,0.53021,0.31056,0.53752,0.012775,0.0889,-0.038679,0.087185,0.12322,0.26559,-0.02605,-0.025224,-0.034422,-0.53021,0.31056,-0.53752,0.012775,-0.0889,-0.038679,-0.087185,0.12322,-0.26559,-0.056649,-9.0833e-10,0.023937,1.4852e-08,-0.53888,3.4142e-08,-0.14547,5.9608e-10,0.047438,4.4608e-09,-0.063964,9.108e-09
0.04,-0.026307,0.025155,-0.032171,0.52143,0.29499,0.57174,0.0064105,0.09254,-0.036637,0.089097,0.12017,0.26987,-0.026307,-0.025155,-0.032171,-0.52143,0.29499,-0.57174,0.0064106,-0.09254,-0.036637,-0.089097,0.12017,-0.26987,-0.05563,-8.5372e-10,0.023277,1.381e-08,-0.50785,3.4441e-08,-0.14313,5.6883e-10,0.047678,4.3696e-09,-0.056287,9.3203e-09
0.05,-0.026509,0.025148,-0.029988,0.51275,0.28225,0.60529,0.00019966,0.096832,-0.034616,0.091162,0.11767,0.27383,-0.026509,-0.025148,-0.029988,-0.51275,0.28225,-0.60529,0.00019968,-0.096832,-0.034616,-0.091162,0.11767,-0.27383,-0.05464,-7.9884e-10,0.022688,1.2774e-08,-0.4759,3.5085e-08,-0.14118,5.6512e-10,0.048099,4.2663e-09,-0.04897,9.5421e-09
0.06,-0.026656,0.025199,-0.02787,0.504,0.27242,0.63784,-0.0058857,0.10177,-0.032606,0.093307,0.11569,0.27745,-0.026656,-0.025199,-0.02787,-0.504,0.27242,-0.63784,-0.0058857,-0.10177,-0.032606,-0.093307,0.11569,-0.27745,-0.053675,-7.4352e-10,0.022167,1.174e-08,-0.44316,3.6041e-08,-0.13959,5.7389e-10,0.048702,4.1827e-09,-0.042012,9.7885e-09
0.07,-0.026745,0.025304,-0.025809,0.49491,0.26557,0.66903,-0.011872,0.10734,-0.030596,0.095457,0.11417,0.28072,-0.026745,-0.025304,-0.025809,-0.49491,0.26557,-0.66903,-0.011872,-0.10734,-0.030596,-0.095457,0.11417,-0.28072,-0.052734,-6.8775e-10,0.021714,1.071e-08,-0.40972,3.7288e-08,-0.13836,5.8579e-10,0.049485,4.1347e-09,-0.035415,1.0069e-08
0.08,-0.026766,0.025448,-0.023763,0.48471,0.26123,0.69885,-0.017819,0.11342,-0.028525,0.097401,0.11294,0.28368,-0.026766,-0.025448,-0.023763,-0.48471,0.26123,-0.69885,-0.017819,-0.11342,-0.028525,-0.097401,0.11294,-0.28368,-0.051812,-6.3095e-10,0.021325,9.6675e-09,-0.3757,3.8838e-08,-0.13748,6.1074e-10,0.050448,4.071e-09,-0.029175,1.0367e-08
0.09,-0.026717,0.025628,-0.021744,0.47319,0.25956,0.72659,-0.023715,0.12003,-0.026409,0.099123,0.11199,0.28626,-0.026717,-0.025628,-0.021744,-0.47319,0.25956,-0.72659,-0.023715,-0.12003,-0.026409,-0.099123,0.11199,-0.28626,-0.050907,-5.7213e-10,0.020996,8.5978e-09,-0.34117,4.0731e-08,-0.13694,6.5257e-10,0.051585,4.0165e-09,-0.023287,1.0698e-08
