t, affine_elevL, affine_elevR, affine_throttle
0,-0.0083032,0.0055389,0.00044242
0.01,-0.0078399,0.0030464,0.00023676
0.02,-0.0078564,0.00088015,4.4058e-05
0.03,-0.0083279,-0.00094058,-0.00013283
0.04,-0.009215,-0.0024,-0.0002913
0.05,-0.010469,-0.0034911,-0.0004299
0.06,-0.012031,-0.0042112,-0.00054742
0.07,-0.013837,-0.0045635,-0.000643
0.08,-0.015812,-0.0045602,-0.00071643
0.09,-0.017882,-0.0042185,-0.00076758
0.1,-0.019965,-0.003564,-0.00079673
0.11,-0.021977,-0.0026306,-0.00080459
0.12,-0.023837,-0.0014566,-0.00079192
0.13,-0.025459,-8.9998e-05,-0.00076
0.14,-0.026765,0.0014162,-0.00071033
0.15,-0.027682,0.0030041,-0.00064464
0.16,-0.028151,0.004609,-0.00056515
0.17,-0.028125,0.0061643,-0.00047422
0.18,-0.027556,0.0075987,-0.00037462
0.19,-0.026415,0.0088403,-0.00026933
0.2,-0.024739,0.009815,-0.00016157
0.21,-0.022611,0.010448,-5.469e-05
0.22,-0.020075,0.010668,4.7903e-05
0.23,-0.017077,0.010408,0.00014295
0.24,-0.013613,0.0096036,0.00022729
0.25,-0.0099307,0.0081922,0.000298
0.26,-0.006518,0.0061138,0.00035278
0.27,-0.0035477,0.0036176,0.00039419
0.28,-0.00083255,0.0012222,0.00043015
0.29,0.0018484,-0.0010336,0.00046199
0.3,0.0044186,-0.0031901,0.00048981
0.31,0.0068332,-0.0052804,0.00051365
0.32,0.0091153,-0.0073274,0.00053363
0.33,0.011249,-0.0093412,0.00054994
0.34,0.0132,-0.011326,0.00056282
0.35,0.014953,-0.01327,0.00057259
0.36,0.016499,-0.015157,0.00057962
0.37,0.017818,-0.016953,0.00058427
0.38,0.01889,-0.018619,0.00058694
0.39,0.019694,-0.020101,0.00058786
0.4,0.020211,-0.021339,0.00058718
0.41,0.020425,-0.022266,0.00058476
0.42,0.02032,-0.022812,0.00058011
0.43,0.019887,-0.022905,0.00057253
0.44,0.019124,-0.022482,0.00056056
0.45,0.018036,-0.021491,0.00054249
0.46,0.016638,-0.01989,0.0005162
0.47,0.014962,-0.017667,0.00047892
0.48,0.013047,-0.014832,0.00042776
0.49,0.010951,-0.01145,0.00035956
0.5,0.0087501,-0.0076039,0.00027119
