t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.039519,-0.023437,-0.0025655,0.30906,0.43417,-0.64945,-0.0060582,-0.033858,-0.011318,0.046669,0.012439,-0.068234,0.0042804,0.022297,-0.020229,-0.38587,0.65769,0.6411,-0.0067069,0.029928,-0.028481,-0.054637,0.012692,0.040967,-0.0041343,6.5679e-05,-0.0050221,-0.0028103,0.076243,-7.7511e-05,-0.0074752,9.3877e-05,-0.0026204,-0.00032141,0.00056901,-0.00091983
0.01,0.041271,-0.024243,-0.0027049,0.32249,0.45477,-0.66873,-0.0068407,-0.034742,-0.011509,0.048534,0.013123,-0.068714,0.004605,0.022794,-0.020864,-0.39704,0.67942,0.65287,-0.0070029,0.031201,-0.029937,-0.055902,0.012996,0.038389,-0.0041053,5.8785e-05,-0.0050093,-0.0027573,0.076171,-0.00026617,-0.0074403,0.00011488,-0.0026887,-0.00030144,0.00057403,-0.0009245
0.02,0.042968,-0.025006,-0.0027248,0.33521,0.47203,-0.68665,-0.0074326,-0.035573,-0.011554,0.050351,0.013796,-0.068947,0.0049267,0.023282,-0.02148,-0.4073,0.70045,0.66424,-0.0073061,0.032629,-0.031359,-0.057101,0.013271,0.035951,-0.0040779,5.2106e-05,-0.0049976,-0.0026885,0.076092,-0.00044564,-0.0074079,0.0001415,-0.0027512,-0.00028197,0.00057753,-0.00091385
0.03,0.044605,-0.02573,-0.0026305,0.34722,0.48606,-0.70335,-0.007826,-0.036368,-0.011455,0.052122,0.014459,-0.068949,0.0052474,0.023762,-0.022075,-0.41662,0.72077,0.67526,-0.0076164,0.034215,-0.032742,-0.058238,0.013519,0.033679,-0.0040524,4.575e-05,-0.0049869,-0.0026069,0.076008,-0.00061323,-0.007378,0.00017339,-0.0028081,-0.00026326,0.00057965,-0.00088853
0.04,0.046177,-0.026417,-0.0024294,0.35847,0.49699,-0.71891,-0.0080164,-0.037142,-0.011215,0.053847,0.015113,-0.068737,0.0055672,0.024236,-0.022648,-0.42501,0.74039,0.68598,-0.0079335,0.035958,-0.034084,-0.059317,0.013742,0.031601,-0.004029,3.9836e-05,-0.0049773,-0.0025153,0.075915,-0.00076607,-0.0073506,0.00021016,-0.0028597,-0.00024553,0.00058045,-0.00084916
0.05,0.047674,-0.027068,-0.0021305,0.36893,0.50492,-0.73336,-0.0080016,-0.037907,-0.01084,0.05552,0.015756,-0.068327,0.0058854,0.024704,-0.023198,-0.43246,0.7593,0.69642,-0.0082574,0.037858,-0.035379,-0.06034,0.013939,0.029742,-0.0040081,3.4494e-05,-0.0049688,-0.0024164,0.075812,-0.00090103,-0.0073258,0.00025145,-0.0029062,-0.00022905,0.00057999,-0.00079639
0.06,0.049083,-0.027681,-0.001744,0.3785,0.50999,-0.74667,-0.0077821,-0.038676,-0.010337,0.057132,0.016386,-0.067732,0.0062009,0.025167,-0.023723,-0.43895,0.77749,0.70662,-0.00859,0.039913,-0.036624,-0.061313,0.014112,0.028122,-0.0039898,2.9866e-05,-0.0049615,-0.0023129,0.075697,-0.0010147,-0.0073035,0.00029693,-0.0029478,-0.00021407,0.0005783,-0.00073086
0.07,0.050389,-0.028254,-0.0012825,0.3871,0.51233,-0.7588,-0.0073614,-0.039456,-0.0097182,0.05867,0.016997,-0.066967,0.0065137,0.025627,-0.024225,-0.44448,0.795,0.7166,-0.008934,0.042118,-0.037814,-0.062235,0.014263,0.026757,-0.0039746,2.6098e-05,-0.0049552,-0.0022072,0.075566,-0.0011037,-0.0072837,0.00034626,-0.0029847,-0.00020082,0.00057538,-0.00065325
0.08,0.051573,-0.028783,-0.00075865,0.39461,0.51207,-0.76965,-0.0067445,-0.040251,-0.0089985,0.060117,0.017584,-0.066043,0.0068238,0.026084,-0.024705,-0.44902,0.81187,0.72637,-0.0092937,0.044467,-0.038948,-0.063109,0.014395,0.025661,-0.0039626,2.3343e-05,-0.00495,-0.0021015,0.075417,-0.0011645,-0.0072663,0.00039912,-0.0030169,-0.00018955,0.00057121,-0.00056425
0.09,0.052616,-0.029262,-0.00018657,0.40092,0.50933,-0.77908,-0.0059395,-0.041062,-0.0081952,0.061454,0.018136,-0.064973,0.0071314,0.026538,-0.025162,-0.45257,0.82815,0.73595,-0.009673,0.046952,-0.040022,-0.063936,0.01451,0.024845,-0.0039543,2.1758e-05,-0.0049459,-0.001998,0.075246,-0.0011936,-0.0072515,0.00045522,-0.0030446,-0.00018049,0.00056578,-0.00046461
0.1,0.053497,-0.029683,0.00041893,0.40587,0.50426,-0.78692,-0.0049572,-0.041887,-0.0073296,0.062656,0.018645,-0.063768,0.0074372,0.026989,-0.025599,-0.4551,0.84392,0.74535,-0.010076,0.049568,-0.04103,-0.064715,0.014614,0.024318,-0.0039499,2.1492e-05,-0.0049429,-0.0018984,0.07505,-0.0011875,-0.0072392,0.00051428,-0.0030679,-0.00017385,0.00055902,-0.00035512
0.11,0.054194,-0.030037,0.0010433,0.40933,0.49696,-0.79294,-0.0038105,-0.042716,-0.0064249,0.063698,0.019096,-0.062439,0.0077422,0.027439,-0.026017,-0.45662,0.85923,0.75459,-0.010507,0.052305,-0.04197,-0.065448,0.01471,0.024085,-0.0039496,2.2698e-05,-0.0049408,-0.0018045,0.074827,-0.001143,-0.0072295,0.00057605,-0.0030867,-0.00016982,0.0005509,-0.00023662
