t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.11869,0.00049516,-0.019617,0.0093721,-0.18498,-0.0099129,11.446,0.021207,-4.4435,-0.13425,-0.074605,0.016799
0.02,0.23761,0.00086209,-0.038944,0.017205,-0.17943,-0.018565,11.504,0.039918,-4.3158,-0.25906,-0.14723,0.034336
0.03,0.35674,0.0011139,-0.057974,0.023553,-0.17471,-0.025995,11.556,0.056214,-4.1997,-0.37465,-0.21785,0.052543
0.04,0.47606,0.0012639,-0.076699,0.028469,-0.17081,-0.032243,11.6,0.070174,-4.0947,-0.48127,-0.28645,0.071351
0.05,0.59555,0.0013251,-0.095112,0.032008,-0.1677,-0.037347,11.639,0.081879,-4.0006,-0.57914,-0.35299,0.090691
0.06,0.71521,0.0013106,-0.1132,0.034223,-0.16536,-0.041347,11.671,0.091406,-3.9169,-0.6685,-0.41746,0.11049
0.07,0.83502,0.0012338,-0.13097,0.03517,-0.16376,-0.044282,11.698,0.098837,-3.8432,-0.74959,-0.47983,0.13069
0.08,0.95495,0.0011076,-0.1484,0.034901,-0.16287,-0.046191,11.719,0.10425,-3.7792,-0.82263,-0.54008,0.15122
0.09,1.075,0.00094521,-0.16549,0.033471,-0.16267,-0.047113,11.734,0.10773,-3.7245,-0.88787,-0.59818,0.172
0.1,1.1951,0.00075987,-0.18222,0.030934,-0.16314,-0.047087,11.744,0.10934,-3.6787,-0.94554,-0.65411,0.19297
0.11,1.3154,0.00056467,-0.1986,0.027343,-0.16425,-0.046153,11.749,0.10918,-3.6414,-0.99587,-0.70784,0.21406
0.12,1.4357,0.00037279,-0.21461,0.022753,-0.16597,-0.04435,11.749,0.10732,-3.6122,-1.0391,-0.75935,0.2352
0.13,1.556,0.00019737,-0.23025,0.017218,-0.16828,-0.041716,11.744,0.10385,-3.5908,-1.0755,-0.80862,0.25632
0.14,1.6764,5.1553e-05,-0.24551,0.010792,-0.17116,-0.038291,11.735,0.098828,-3.5767,-1.1052,-0.85562,0.27736
0.15,1.7968,-5.1492e-05,-0.26038,0.0035287,-0.17458,-0.034114,11.721,0.09235,-3.5697,-1.1285,-0.90032,0.29824
0.16,1.9172,-9.8619e-05,-0.27485,-0.0045179,-0.17851,-0.029225,11.704,0.084492,-3.5692,-1.1456,-0.94272,0.3189
0.17,2.0376,-7.6673e-05,-0.28892,-0.013294,-0.18293,-0.023661,11.682,0.075333,-3.575,-1.1569,-0.98277,0.33926
0.18,2.158,2.7497e-05,-0.30258,-0.022745,-0.18781,-0.017464,11.657,0.064954,-3.5866,-1.1624,-1.0205,0.35926
0.19,2.2784,0.00022705,-0.31582,-0.032817,-0.19313,-0.010671,11.628,0.053433,-3.6036,-1.1624,-1.0558,0.37884
0.2,2.3987,0.00053513,-0.32864,-0.043456,-0.19887,-0.0033215,11.596,0.04085,-3.6257,-1.1573,-1.0886,0.39791
0.21,2.5189,0.00096489,-0.34102,-0.054608,-0.20499,0.0045448,11.561,0.027285,-3.6526,-1.1471,-1.1191,0.41642
0.22,2.639,0.0015295,-0.35296,-0.06622,-0.21148,0.012889,11.523,0.012818,-3.6837,-1.1322,-1.1471,0.43429
0.23,2.759,0.0022421,-0.36445,-0.078237,-0.21831,0.021672,11.482,-0.0024718,-3.7188,-1.1127,-1.1726,0.45145
0.24,2.8789,0.0031158,-0.37548,-0.090604,-0.22544,0.030854,11.439,-0.018505,-3.7574,-1.089,-1.1956,0.46784
0.25,2.9987,0.0041638,-0.38605,-0.10327,-0.23287,0.040397,11.393,-0.035202,-3.7991,-1.0612,-1.216,0.48339
0.26,3.1183,0.0053993,-0.39614,-0.11618,-0.24056,0.050261,11.345,-0.052482,-3.8437,-1.0296,-1.2339,0.49803
0.27,3.2377,0.0068354,-0.40576,-0.12927,-0.24849,0.060407,11.296,-0.070267,-3.8907,-0.99434,-1.2493,0.51168
0.28,3.357,0.0084853,-0.41489,-0.14251,-0.25662,0.070796,11.244,-0.088477,-3.9396,-0.95577,-1.262,0.52429
0.29,3.4761,0.010362,-0.42353,-0.15582,-0.26495,0.081389,11.191,-0.10703,-3.9902,-0.91407,-1.2721,0.53578
0.3,3.5949,0.012479,-0.43166,-0.16916,-0.27344,0.092147,11.137,-0.12585,-4.0421,-0.86949,-1.2795,0.54608
0.31,3.7136,0.014849,-0.43928,-0.18247,-0.28206,0.10303,11.082,-0.14486,-4.0948,-0.82226,-1.2843,0.55513
0.32,3.832,0.017485,-0.44639,-0.19571,-0.2908,0.114,11.026,-0.16397,-4.1481,-0.77261,-1.2863,0.56286
0.33,3.9501,0.020401,-0.45297,-0.2088,-0.29962,0.12502,10.969,-0.18311,-4.2014,-0.72077,-1.2857,0.56919
0.34,4.0679,0.02361,-0.45902,-0.22171,-0.30851,0.13604,10.911,-0.20219,-4.2544,-0.66699,-1.2822,0.57406
0.35,4.1855,0.027124,-0.46452,-0.23438,-0.31743,0.14704,10.854,-0.22115,-4.3068,-0.61149,-1.2761,0.5774
0.36,4.3028,0.030958,-0.46948,-0.24675,-0.32636,0.15796,10.796,-0.23989,-4.3582,-0.55451,-1.2671,0.57914
0.37,4.4197,0.035123,-0.47389,-0.25876,-0.33528,0.16877,10.738,-0.25834,-4.4081,-0.49628,-1.2553,0.57922
0.38,4.5363,0.039634,-0.47773,-0.27038,-0.34416,0.17944,10.681,-0.27641,-4.4562,-0.43704,-1.2406,0.57756
0.39,4.6526,0.044503,-0.481,-0.28153,-0.35297,0.18992,10.624,-0.29404,-4.5022,-0.37702,-1.2231,0.57409
0.4,4.7684,0.049744,-0.48369,-0.29217,-0.3617,0.20017,10.567,-0.31113,-4.5455,-0.31646,-1.2026,0.56875
0.41,4.8839,0.05537,-0.4858,-0.30224,-0.37031,0.21015,10.512,-0.32762,-4.586,-0.25559,-1.1793,0.56147
0.42,4.999,0.061393,-0.48732,-0.3117,-0.37878,0.21983,10.457,-0.34341,-4.623,-0.19464,-1.153,0.55217
0.43,5.1137,0.067828,-0.48823,-0.32047,-0.38708,0.22917,10.404,-0.35843,-4.6564,-0.13385,-1.1238,0.5408
0.44,5.228,0.074686,-0.48853,-0.32852,-0.3952,0.23812,10.353,-0.37261,-4.6857,-0.073455,-1.0915,0.52728
0.45,5.3418,0.081982,-0.48822,-0.33579,-0.4031,0.24665,10.303,-0.38586,-4.7105,-0.013687,-1.0563,0.51154
0.46,5.4551,0.089729,-0.48728,-0.34222,-0.41075,0.25472,10.255,-0.39809,-4.7304,0.04522,-1.018,0.49351
0.47,5.568,0.097939,-0.48572,-0.34775,-0.41815,0.26229,10.209,-0.40924,-4.7451,0.10303,-0.97664,0.47313
0.48,5.6804,0.10663,-0.48351,-0.35235,-0.42525,0.26931,10.165,-0.41922,-4.7541,0.15951,-0.93219,0.45032
0.49,5.7922,0.1158,-0.48066,-0.35594,-0.43204,0.27576,10.124,-0.42796,-4.7572,0.21443,-0.88464,0.42503
0.5,5.9036,0.12548,-0.47715,-0.35848,-0.43848,0.28159,10.085,-0.43536,-4.7539,0.26754,-0.83396,0.39717
0.51,6.0144,0.13568,-0.47299,-0.35991,-0.44456,0.28676,10.049,-0.44136,-4.7437,0.31863,-0.78011,0.36668
0.52,6.1246,0.14641,-0.46815,-0.36019,-0.45025,0.29124,10.017,-0.44587,-4.7265,0.36744,-0.72308,0.33349
0.53,6.2343,0.15767,-0.46264,-0.35924,-0.45552,0.29498,9.9875,-0.44882,-4.7017,0.41377,-0.66285,0.29754
0.54,6.3434,0.16948,-0.45645,-0.35708,-0.46037,0.29797,9.9614,-0.45017,-4.6694,0.45766,-0.59961,0.2589
0.55,6.452,0.18181,-0.44961,-0.35371,-0.46478,0.30024,9.9385,-0.44993,-4.6301,0.49942,-0.53372,0.21776
0.56,6.56,0.19463,-0.44213,-0.34918,-0.46878,0.30179,9.9187,-0.44811,-4.5843,0.53941,-0.46559,0.17432
0.57,6.6675,0.20794,-0.43404,-0.34351,-0.47235,0.30265,9.9017,-0.44471,-4.5323,0.57794,-0.3956,0.12879
0.58,6.7745,0.22171,-0.42534,-0.33673,-0.47549,0.30284,9.8875,-0.43976,-4.4748,0.61535,-0.32414,0.08136
0.59,6.8811,0.23592,-0.41606,-0.32887,-0.47822,0.30236,9.8759,-0.43325,-4.4121,0.65198,-0.25159,0.032246
