t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.11982,-3.5414e-08,-0.020404,-3.2042e-07,-0.18335,2.2738e-07,11.428,-3.4115e-07,-4.4387,5.5527e-06,-0.13885,-5.0298e-07
0.02,0.23973,-6.2626e-08,-0.040476,-5.6229e-07,-0.17664,4.1134e-07,11.467,-6.3649e-07,-4.3089,1.0679e-05,-0.26504,-1.1168e-06
0.03,0.3597,-8.2485e-08,-0.060205,-7.2904e-07,-0.17124,5.5339e-07,11.501,-8.8653e-07,-4.1934,1.5392e-05,-0.37905,-1.8338e-06
0.04,0.47973,-9.5839e-08,-0.079581,-8.2406e-07,-0.16709,6.5505e-07,11.529,-1.0918e-06,-4.0913,1.9704e-05,-0.48136,-2.6463e-06
0.05,0.59981,-1.0354e-07,-0.098594,-8.5078e-07,-0.16413,7.1783e-07,11.551,-1.2527e-06,-4.0022,2.3629e-05,-0.57243,-3.5466e-06
0.06,0.71993,-1.0643e-07,-0.11723,-8.1259e-07,-0.16231,7.4325e-07,11.568,-1.3698e-06,-3.9254,2.7178e-05,-0.65274,-4.527e-06
0.07,0.84008,-1.0537e-07,-0.13549,-7.1292e-07,-0.16157,7.3282e-07,11.58,-1.4435e-06,-3.8603,3.0365e-05,-0.72275,-5.5798e-06
0.08,0.96025,-1.0121e-07,-0.15335,-5.5517e-07,-0.16185,6.8806e-07,11.587,-1.4745e-06,-3.8063,3.3203e-05,-0.78295,-6.6974e-06
0.09,1.0804,-9.4781e-08,-0.17081,-3.4275e-07,-0.16309,6.1048e-07,11.589,-1.4631e-06,-3.7627,3.5704e-05,-0.83379,-7.872e-06
0.1,1.2006,-8.6948e-08,-0.18785,-7.9073e-08,-0.16525,5.016e-07,11.587,-1.4099e-06,-3.729,3.7882e-05,-0.87577,-9.096e-06
0.11,1.3208,-7.8557e-08,-0.20447,2.3245e-07,-0.16827,3.6293e-07,11.581,-1.3154e-06,-3.7045,3.9749e-05,-0.90934,-1.0362e-05
0.12,1.4409,-7.0457e-08,-0.22065,5.8842e-07,-0.17208,1.96e-07,11.571,-1.1801e-06,-3.6885,4.1317e-05,-0.93498,-1.1661e-05
0.13,1.561,-6.3496e-08,-0.23639,9.8541e-07,-0.17664,2.3057e-09,11.557,-1.0044e-06,-3.6806,4.2601e-05,-0.95316,-1.2987e-05
0.14,1.6811,-5.8525e-08,-0.25167,1.42e-06,-0.18188,-2.1663e-07,11.54,-7.889e-07,-3.6801,4.3612e-05,-0.96436,-1.4332e-05
0.15,1.8011,-5.6393e-08,-0.26648,1.8888e-06,-0.18776,-4.5929e-07,11.52,-5.3405e-07,-3.6863,4.4363e-05,-0.96904,-1.5687e-05
0.16,1.921,-5.7949e-08,-0.28082,2.3884e-06,-0.19421,-7.2415e-07,11.497,-2.4037e-07,-3.6986,4.4868e-05,-0.96768,-1.7046e-05
0.17,2.0409,-6.4042e-08,-0.29468,2.9154e-06,-0.20118,-1.0097e-06,11.471,9.1658e-08,-3.7164,4.5139e-05,-0.96075,-1.8401e-05
0.18,2.1607,-7.5522e-08,-0.30803,3.4664e-06,-0.20862,-1.3145e-06,11.443,4.6153e-07,-3.7392,4.5188e-05,-0.94873,-1.9743e-05
0.19,2.2804,-9.3238e-08,-0.32088,4.038e-06,-0.21646,-1.6369e-06,11.413,8.6874e-07,-3.7662,4.503e-05,-0.93207,-2.1065e-05
0.2,2.4,-1.1804e-07,-0.33321,4.6266e-06,-0.22465,-1.9754e-06,11.382,1.3128e-06,-3.7969,4.4676e-05,-0.91127,-2.236e-05
0.21,2.5194,-1.5077e-07,-0.34502,5.2291e-06,-0.23314,-2.3286e-06,11.348,1.7932e-06,-3.8307,4.4139e-05,-0.88679,-2.362e-05
0.22,2.6388,-1.9229e-07,-0.35628,5.8419e-06,-0.24187,-2.6949e-06,11.313,2.3095e-06,-3.8668,4.3432e-05,-0.85909,-2.4837e-05
0.23,2.758,-2.4345e-07,-0.367,6.4616e-06,-0.25078,-3.0728e-06,11.277,2.8611e-06,-3.9048,4.2569e-05,-0.82867,-2.6003e-05
0.24,2.8771,-3.0508e-07,-0.37716,7.0848e-06,-0.25982,-3.4608e-06,11.241,3.4476e-06,-3.944,4.1561e-05,-0.79597,-2.7111e-05
0.25,2.996,-3.7805e-07,-0.38675,7.7081e-06,-0.26893,-3.8574e-06,11.203,4.0684e-06,-3.9837,4.0422e-05,-0.76149,-2.8153e-05
