t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.017978,-0.032904,-0.0375,0.12953,0.90539,-0.79444,0.015631,-0.065467,-0.03575,0.03282,0.023561,-0.067132,0.017979,0.032904,-0.0375,-0.12953,0.90538,0.79444,0.015631,0.065467,-0.03575,-0.03282,0.02356,0.067132,-0.0063195,-1.274e-09,-0.00024392,-1.0222e-08,-0.0045695,-4.2729e-08,-0.0050343,-3.61e-09,0.0011712,2.0864e-10,-0.00044854,1.17e-09
0.01,0.01589,-0.030673,-0.036076,0.12395,0.86311,-0.7372,0.014375,-0.060615,-0.033794,0.030289,0.02228,-0.063175,0.01589,0.030673,-0.036076,-0.12395,0.86311,0.7372,0.014375,0.060615,-0.033794,-0.030289,0.02228,0.063175,-0.0063217,-1.2181e-09,-0.00018903,-1.0853e-08,-0.0053354,-4.1265e-08,-0.0050359,-3.5498e-09,0.0012094,7.1052e-11,-0.00043642,1.2401e-09
0.02,0.013803,-0.02824,-0.034306,0.11893,0.81348,-0.67567,0.012964,-0.055363,-0.031573,0.027745,0.020805,-0.058597,0.013803,0.02824,-0.034306,-0.11893,0.81347,0.67567,0.012964,0.055363,-0.031573,-0.027745,0.020805,0.058597,-0.0063218,-1.1783e-09,-0.00014138,-1.121e-08,-0.0058863,-4.0204e-08,-0.0050353,-3.5113e-09,0.0012305,-3.5975e-11,-0.0004187,1.2757e-09
0.03,0.011756,-0.025657,-0.032208,0.114,0.7571,-0.61112,0.011436,-0.04984,-0.029137,0.025204,0.019164,-0.053527,0.011756,0.025657,-0.032208,-0.11399,0.7571,0.61112,0.011437,0.04984,-0.029137,-0.025204,0.019164,0.053527,-0.0063201,-1.168e-09,-0.00010145,-1.1259e-08,-0.006219,-3.9856e-08,-0.0050325,-3.5209e-09,0.0012355,-9.9893e-11,-0.00039555,1.2491e-09
0.04,0.0097875,-0.02298,-0.029812,0.10873,0.69488,-0.54492,0.0098377,-0.04418,-0.026541,0.022682,0.017389,-0.048113,0.0097875,0.02298,-0.029812,-0.10873,0.69488,0.54492,0.0098377,0.04418,-0.026541,-0.022682,0.017389,0.048113,-0.006317,-1.1976e-09,-6.9411e-05,-1.0968e-08,-0.006338,-4.0461e-08,-0.0050276,-3.6016e-09,0.0012259,-1.1272e-10,-0.00036741,1.1358e-09
0.05,0.0079368,-0.020271,-0.027165,0.10285,0.62802,-0.47858,0.0082205,-0.038527,-0.023845,0.0202,0.015521,-0.042514,0.0079368,0.020271,-0.027165,-0.10285,0.62802,0.47858,0.0082205,0.038527,-0.023845,-0.0202,0.015521,0.042514,-0.0063128,-1.2747e-09,-4.5311e-05,-1.0307e-08,-0.00625,-4.2178e-08,-0.0050209,-3.7697e-09,0.0012028,-6.9221e-11,-0.00033479,9.1804e-10
0.06,0.0062798,-0.017692,-0.02448,0.096661,0.56148,-0.41586,0.0066844,-0.033205,-0.021239,0.017875,0.013695,-0.037101,0.0062799,0.017692,-0.02448,-0.096661,0.56148,0.41586,0.0066845,0.033205,-0.021239,-0.017875,0.013695,0.037101,-0.0063078,-1.3839e-09,-2.8741e-05,-9.324e-09,-0.0059719,-4.4635e-08,-0.0050129,-3.9952e-09,0.0011678,1.7619e-11,-0.00029854,6.3286e-10
0.07,0.0049058,-0.015492,-0.022159,0.091333,0.50441,-0.36257,0.0053465,-0.028686,-0.01907,0.015926,0.012137,-0.03243,0.0049058,0.015492,-0.022159,-0.091333,0.50441,0.36257,0.0053466,0.028686,-0.01907,-0.015926,0.012137,0.032431,-0.0063022,-1.4982e-09,-1.9733e-05,-8.129e-09,-0.00551,-4.7191e-08,-0.0050038,-4.2271e-09,0.0011218,1.2307e-10,-0.00025923,3.4398e-10
0.08,0.0039229,-0.014134,-0.021113,0.090072,0.47699,-0.32939,0.0043903,-0.02579,-0.018062,0.01485,0.011327,-0.029471,0.003923,0.014134,-0.021114,-0.090073,0.47699,0.32939,0.0043904,0.02579,-0.018062,-0.01485,0.011327,0.029471,-0.0062968,-1.5846e-09,-1.4277e-05,-6.9488e-09,-0.0049614,-4.9077e-08,-0.0049954,-4.4045e-09,0.0010687,2.0929e-10,-0.00021964,1.1505e-10
0.09,0.0032754,-0.0138,-0.021816,0.095077,0.48914,-0.32026,0.0038282,-0.024785,-0.018549,0.014884,0.011476,-0.028612,0.0032754,0.0138,-0.021816,-0.095077,0.48915,0.32026,0.0038282,0.024785,-0.018549,-0.014884,0.011476,0.028612,-0.0062924,-1.6158e-09,-6.5502e-06,-6.0345e-09,-0.0044608,-4.9661e-08,-0.0049893,-4.4812e-09,0.0010134,2.3856e-10,-0.00018322,-1.1114e-11
