t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12023,0.0002882,-0.022415,0.0060845,-0.18707,-0.0013543,11.412,0.0026859,-4.4316,-0.086789,0.10489,0.027588
0.02,0.24044,0.00046674,-0.043967,0.0095085,-0.18267,-0.0020522,11.442,0.0052184,-4.2852,-0.18737,0.19636,0.058931
0.03,0.36065,0.00055636,-0.064695,0.010372,-0.1782,-0.0021138,11.472,0.0075301,-4.144,-0.3003,0.27511,0.093705
0.04,0.48086,0.0005778,-0.084644,0.0087759,-0.17367,-0.0015592,11.502,0.0095535,-4.0079,-0.42415,0.34183,0.13159
0.05,0.60109,0.00055182,-0.10385,0.0048195,-0.16907,-0.00040867,11.532,0.011221,-3.8769,-0.55747,0.39722,0.17225
0.06,0.72133,0.00049916,-0.12237,-0.0013967,-0.1644,0.0013176,11.562,0.012465,-3.751,-0.69883,0.44198,0.21537
0.07,0.84159,0.00044056,-0.14022,-0.0097726,-0.15966,0.0035995,11.591,0.013219,-3.6303,-0.84679,0.47681,0.26062
0.08,0.96188,0.00039678,-0.15747,-0.020208,-0.15485,0.0064168,11.62,0.013414,-3.5146,-0.99991,0.50239,0.30769
0.09,1.0822,0.00038854,-0.17414,-0.032603,-0.14997,0.0097493,11.649,0.012984,-3.4041,-1.1568,0.51943,0.35624
0.1,1.2026,0.00043661,-0.19029,-0.046857,-0.14502,0.013577,11.678,0.011861,-3.2986,-1.3159,0.52863,0.40595
0.11,1.323,0.00056173,-0.20594,-0.06287,-0.14001,0.017879,11.706,0.0099766,-3.1982,-1.4758,0.53067,0.4565
0.12,1.4435,0.00078464,-0.22115,-0.080541,-0.13492,0.022636,11.733,0.0072644,-3.1029,-1.6352,0.52626,0.50755
0.13,1.564,0.0011261,-0.23596,-0.099772,-0.12976,0.027828,11.761,0.0036567,-3.0127,-1.7926,0.51609,0.5588
0.14,1.6846,0.0016068,-0.2504,-0.12046,-0.12453,0.033434,11.787,-0.00091405,-2.9276,-1.9464,0.50086,0.60991
0.15,1.8053,0.0022476,-0.26452,-0.14251,-0.11922,0.039434,11.814,-0.0065153,-2.8475,-2.0954,0.48126,0.66056
0.16,1.9261,0.0030691,-0.27837,-0.16581,-0.11385,0.045808,11.839,-0.013215,-2.7725,-2.238,0.45799,0.71043
0.17,2.047,0.0040922,-0.29197,-0.19028,-0.1084,0.052536,11.864,-0.021079,-2.7025,-2.3728,0.43176,0.75918
0.18,2.1679,0.0053375,-0.30539,-0.2158,-0.10287,0.059597,11.889,-0.030177,-2.6376,-2.4984,0.40324,0.80651
0.19,2.289,0.0068259,-0.31864,-0.24228,-0.097276,0.066972,11.913,-0.040575,-2.5777,-2.6134,0.37315,0.85207
0.2,2.4102,0.008578,-0.33179,-0.26962,-0.091605,0.07464,11.936,-0.052341,-2.5228,-2.7162,0.34217,0.89556
0.21,2.5315,0.010615,-0.34487,-0.29771,-0.085858,0.082582,11.958,-0.065542,-2.4729,-2.8055,0.31101,0.93663
0.22,2.6529,0.012956,-0.35792,-0.32646,-0.080037,0.090776,11.98,-0.080244,-2.4281,-2.8798,0.28035,0.97499
0.23,2.7745,0.015627,-0.37097,-0.35578,-0.074133,0.099205,12,-0.096443,-2.3881,-2.9389,0.25055,1.0105
0.24,2.8962,0.01865,-0.38406,-0.38555,-0.068134,0.10785,12.021,-0.11405,-2.3529,-2.9838,0.22159,1.0434
0.25,3.018,0.022052,-0.3972,-0.4157,-0.062027,0.11671,12.04,-0.13297,-2.322,-3.0155,0.1934,1.0738
0.26,3.1399,0.025859,-0.41042,-0.44612,-0.055797,0.12575,12.059,-0.15311,-2.2953,-3.0352,0.16592,1.1019
0.27,3.2619,0.030095,-0.42373,-0.47672,-0.04943,0.13496,12.077,-0.17438,-2.2726,-3.0439,0.13911,1.1279
0.28,3.384,0.034787,-0.43718,-0.50741,-0.042914,0.14433,12.095,-0.19667,-2.2535,-3.0429,0.1129,1.152
0.29,3.5063,0.039959,-0.45077,-0.53808,-0.036233,0.15385,12.112,-0.21991,-2.2378,-3.0332,0.087235,1.1744
0.3,3.6286,0.045637,-0.46453,-0.56866,-0.029375,0.16349,12.128,-0.24398,-2.2253,-3.0159,0.062057,1.1953
0.31,3.7511,0.051846,-0.47849,-0.59903,-0.022326,0.17324,12.145,-0.2688,-2.2158,-2.9922,0.037307,1.2147
0.32,3.8737,0.058613,-0.49267,-0.62911,-0.015071,0.18309,12.161,-0.29427,-2.209,-2.9631,0.01293,1.2331
0.33,3.9963,0.065962,-0.50709,-0.65881,-0.0075982,0.19302,12.176,-0.32031,-2.2046,-2.9297,-0.011128,1.2504
0.34,4.119,0.073915,-0.52178,-0.68806,9.4996e-05,0.20301,12.191,-0.34685,-2.2025,-2.8926,-0.034843,1.2667
0.35,4.2419,0.082492,-0.53676,-0.71684,0.0080034,0.21306,12.206,-0.37387,-2.2023,-2.852,-0.058138,1.2821
0.36,4.3647,0.091712,-0.55204,-0.74511,0.016122,0.22315,12.221,-0.40133,-2.204,-2.8081,-0.080936,1.2962
0.37,4.4877,0.1016,-0.56766,-0.77285,0.024444,0.23326,12.235,-0.4292,-2.2072,-2.7611,-0.10316,1.3092
0.38,4.6107,0.11216,-0.58363,-0.80001,0.032966,0.24338,12.249,-0.45745,-2.2119,-2.7111,-0.12473,1.3209
0.39,4.7337,0.12343,-0.59998,-0.82658,0.041681,0.25349,12.264,-0.48606,-2.2177,-2.6585,-0.14557,1.3312
0.4,4.8568,0.13543,-0.61672,-0.85251,0.050585,0.26359,12.277,-0.51498,-2.2245,-2.6033,-0.1656,1.3401
0.41,4.9799,0.14816,-0.63388,-0.87778,0.059671,0.27365,12.291,-0.5442,-2.2321,-2.5457,-0.18475,1.3475
0.42,5.1031,0.16166,-0.65149,-0.90236,0.068935,0.28367,12.305,-0.57368,-2.2402,-2.4861,-0.20293,1.3532
0.43,5.2262,0.17594,-0.66955,-0.92621,0.078371,0.29363,12.319,-0.60339,-2.2487,-2.4245,-0.22007,1.3573
0.44,5.3494,0.19102,-0.68811,-0.9493,0.087972,0.30352,12.332,-0.63329,-2.2573,-2.3612,-0.23611,1.3596
0.45,5.4725,0.20692,-0.70716,-0.97164,0.097723,0.31332,12.346,-0.6633,-2.2659,-2.2965,-0.25108,1.3601
0.46,5.5956,0.22364,-0.72674,-0.99322,0.10761,0.32303,12.36,-0.69332,-2.2745,-2.2305,-0.26507,1.3589
0.47,5.7187,0.2412,-0.74687,-1.0141,0.1176,0.33266,12.373,-0.72323,-2.283,-2.1637,-0.27815,1.356
0.48,5.8417,0.2596,-0.76755,-1.0341,0.12769,0.34219,12.387,-0.75294,-2.2913,-2.0963,-0.29039,1.3515
0.49,5.9647,0.27886,-0.78882,-1.0535,0.13785,0.35161,12.401,-0.78235,-2.2993,-2.0286,-0.30188,1.3453
0.5,6.0876,0.29899,-0.81069,-1.0721,0.14807,0.36092,12.416,-0.81135,-2.307,-1.9609,-0.3127,1.3375
0.51,6.2105,0.32001,-0.83319,-1.09,0.15832,0.37013,12.43,-0.83983,-2.3142,-1.8934,-0.32293,1.3281
0.52,6.3332,0.34191,-0.85632,-1.1071,0.16859,0.37921,12.445,-0.8677,-2.3209,-1.8265,-0.33264,1.3172
0.53,6.4558,0.36472,-0.88012,-1.1235,0.17887,0.38816,12.46,-0.89485,-2.3271,-1.7605,-0.34191,1.3047
0.54,6.5783,0.38843,-0.9046,-1.1392,0.18912,0.39699,12.476,-0.92117,-2.3325,-1.6956,-0.35081,1.2908
0.55,6.7007,0.41308,-0.92977,-1.1542,0.19933,0.40569,12.492,-0.94656,-2.3373,-1.6321,-0.35943,1.2754
