t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.13604,0.23014,5.1038
0.02,0.08068,0.26888,5.1279
0.03,0.025316,0.30761,5.152
0.04,-0.030048,0.34635,5.1761
0.05,-0.085412,0.38509,5.2002
0.06,-0.14078,0.42382,5.2243
0.07,-0.19614,0.46256,5.2484
0.08,-0.2515,0.50129,5.2725
0.09,-0.30687,0.54003,5.2966
0.1,-0.36223,0.57876,5.3207
0.11,-0.40239,0.60751,5.3398
0.12,-0.38519,0.59858,5.3398
0.13,-0.36798,0.58964,5.3398
0.14,-0.35078,0.58071,5.3398
0.15,-0.33357,0.57178,5.3398
0.16,-0.31637,0.56284,5.3398
0.17,-0.29917,0.55391,5.3398
0.18,-0.28196,0.54498,5.3398
0.19,-0.26476,0.53604,5.3398
0.2,-0.24755,0.52711,5.3398
0.21,-0.23035,0.51818,5.3398
0.22,-0.21409,0.51021,5.3398
0.23,-0.19915,0.50358,5.3398
0.24,-0.18421,0.49695,5.3398
0.25,-0.16927,0.49033,5.3398
0.26,-0.15433,0.4837,5.3398
0.27,-0.13939,0.47707,5.3398
0.28,-0.12445,0.47044,5.3398
0.29,-0.10951,0.46382,5.3398
0.3,-0.094569,0.45719,5.3398
0.31,-0.079629,0.45056,5.3398
0.32,-0.064688,0.44394,5.3398
0.33,-0.050433,0.43729,5.3398
0.34,-0.036582,0.43064,5.3398
0.35,-0.022732,0.42399,5.3398
0.36,-0.0088817,0.41734,5.3398
0.37,0.0049687,0.41068,5.3398
0.38,0.018819,0.40403,5.3398
0.39,0.032669,0.39738,5.3398
0.4,0.04652,0.39073,5.3398
0.41,0.06037,0.38408,5.3398
0.42,0.074221,0.37742,5.3398
0.43,0.088071,0.37077,5.3398
0.44,0.098204,0.36541,5.3398
0.45,0.10762,0.36029,5.3398
0.46,0.11704,0.35518,5.3398
0.47,0.12645,0.35006,5.3398
0.48,0.13587,0.34494,5.3398
0.49,0.14528,0.33983,5.3398
0.5,0.1547,0.33471,5.3398
0.51,0.16411,0.3296,5.3398
0.52,0.17353,0.32448,5.3398
0.53,0.18294,0.31937,5.3398
0.54,0.19218,0.31435,5.3398
0.55,0.19789,0.31137,5.3398
0.56,0.2036,0.30838,5.3398
0.57,0.20931,0.3054,5.3398
0.58,0.21502,0.30241,5.3398
0.59,0.22073,0.29943,5.3398
0.6,0.22644,0.29645,5.3398
0.61,0.23215,0.29346,5.3398
0.62,0.23787,0.29048,5.3398
0.63,0.24358,0.28749,5.3398
0.64,0.24929,0.28451,5.3398
0.65,0.25437,0.28188,5.3398
0.66,0.25766,0.28027,5.3398
0.67,0.26095,0.27866,5.3398
0.68,0.26424,0.27704,5.3398
0.69,0.26753,0.27543,5.3398
0.7,0.27082,0.27382,5.3398
0.71,0.27411,0.27221,5.3398
0.72,0.2774,0.2706,5.3398
0.73,0.28069,0.26899,5.3398
0.74,0.28397,0.26738,5.3398
0.75,0.28726,0.26576,5.3398
0.76,0.28992,0.26431,5.3398
0.77,0.29186,0.26303,5.3398
0.78,0.2938,0.26174,5.3398
0.79,0.29573,0.26046,5.3398
0.8,0.29767,0.25918,5.3398
0.81,0.29961,0.2579,5.3398
0.82,0.30154,0.25662,5.3398
0.83,0.30348,0.25533,5.3398
0.84,0.30542,0.25405,5.3398
0.85,0.30735,0.25277,5.3398
0.86,0.30929,0.25149,5.3398
0.87,0.3107,0.25008,5.3398
0.88,0.31187,0.24862,5.3398
0.89,0.31303,0.24716,5.3398
0.9,0.3142,0.2457,5.3398
0.91,0.31536,0.24424,5.3398
0.92,0.31653,0.24278,5.3398
0.93,0.3177,0.24132,5.3398
0.94,0.31886,0.23986,5.3398
0.95,0.32003,0.2384,5.3398
0.96,0.32119,0.23694,5.3398
0.97,0.32236,0.23547,5.3398
0.98,0.32304,0.23397,5.3398
0.99,0.32367,0.23247,5.3398
1,0.3243,0.23096,5.3398
1.01,0.32493,0.22945,5.3398
1.02,0.32555,0.22795,5.3398
1.03,0.32618,0.22644,5.3398
1.04,0.32681,0.22493,5.3398
1.05,0.32744,0.22343,5.3398
1.06,0.32806,0.22192,5.3398
1.07,0.32869,0.22041,5.3398
1.08,0.32927,0.21895,5.3398
1.09,0.32946,0.2179,5.3398
1.1,0.32965,0.21684,5.3398
1.11,0.32984,0.21579,5.3398
1.12,0.33003,0.21473,5.3398
1.13,0.33022,0.21368,5.3398
1.14,0.33041,0.21262,5.3398
1.15,0.3306,0.21157,5.3398
1.16,0.33079,0.21051,5.3398
1.17,0.33098,0.20946,5.3398
1.18,0.33117,0.2084,5.3398
1.19,0.33124,0.20761,5.3398
1.2,0.33102,0.20742,5.3398
1.21,0.33081,0.20723,5.3398
1.22,0.3306,0.20704,5.3398
1.23,0.33038,0.20685,5.3398
1.24,0.33017,0.20666,5.3398
1.25,0.32995,0.20648,5.3398
1.26,0.32974,0.20629,5.3398
1.27,0.32952,0.2061,5.3398
1.28,0.32931,0.20591,5.3398
1.29,0.32909,0.20572,5.3398
1.3,0.32866,0.20601,5.3398
1.31,0.32802,0.20674,5.3398
1.32,0.32738,0.20748,5.3398
1.33,0.32674,0.20821,5.3398
1.34,0.32611,0.20895,5.3398
1.35,0.32547,0.20968,5.3398
1.36,0.32483,0.21042,5.3398
1.37,0.32419,0.21115,5.3398
1.38,0.32355,0.21189,5.3398
1.39,0.32291,0.21263,5.3398
1.4,0.32228,0.21336,5.3398
1.41,0.32139,0.21461,5.3398
1.42,0.32042,0.21606,5.3398
1.43,0.31944,0.2175,5.3398
1.44,0.31847,0.21895,5.3398
1.45,0.31749,0.2204,5.3398
1.46,0.31652,0.22184,5.3398
1.47,0.31554,0.22329,5.3398
1.48,0.31457,0.22474,5.3398
1.49,0.31359,0.22618,5.3398
1.5,0.31262,0.22763,5.3398
1.51,0.31164,0.22908,5.3398
1.52,0.31072,0.23087,5.3398
1.53,0.3098,0.23269,5.3398
1.54,0.30889,0.2345,5.3398
1.55,0.30797,0.23632,5.3398
1.56,0.30705,0.23814,5.3398
1.57,0.30613,0.23995,5.3398
1.58,0.30521,0.24177,5.3398
1.59,0.3043,0.24359,5.3398
1.6,0.30338,0.2454,5.3398
1.61,0.30246,0.24722,5.3398
1.62,0.30163,0.24903,5.3398
1.63,0.3013,0.25081,5.3398
1.64,0.30097,0.25259,5.3398
1.65,0.30064,0.25438,5.3398
1.66,0.30031,0.25616,5.3398
1.67,0.29998,0.25794,5.3398
1.68,0.29966,0.25972,5.3398
1.69,0.29933,0.2615,5.3398
1.7,0.299,0.26328,5.3398
1.71,0.29867,0.26506,5.3398
1.72,0.29834,0.26684,5.3398
1.73,0.29832,0.26848,5.3398
1.74,0.29885,0.26987,5.3398
1.75,0.29939,0.27125,5.3398
1.76,0.29993,0.27264,5.3398
1.77,0.30046,0.27403,5.3398
1.78,0.301,0.27541,5.3398
1.79,0.30154,0.2768,5.3398
1.8,0.30208,0.27818,5.3398
1.81,0.30261,0.27957,5.3398
1.82,0.30315,0.28096,5.3398
1.83,0.30369,0.28234,5.3398
1.84,0.30468,0.28346,5.3398
1.85,0.30602,0.28437,5.3398
1.86,0.30737,0.28528,5.3398
1.87,0.30872,0.28619,5.3398
1.88,0.31006,0.2871,5.3398
1.89,0.31141,0.288,5.3398
1.9,0.31275,0.28891,5.3398
1.91,0.3141,0.28982,5.3398
1.92,0.31545,0.29073,5.3398
1.93,0.31679,0.29164,5.3398
1.94,0.31814,0.29255,5.3398
1.95,0.3199,0.29331,5.3398
1.96,0.32179,0.29404,5.3398
1.97,0.32367,0.29476,5.3398
1.98,0.32556,0.29548,5.3398
1.99,0.32745,0.2962,5.3398
2,0.32933,0.29693,5.3398
2.01,0.33122,0.29765,5.3398
2.02,0.33311,0.29837,5.3398
2.03,0.33499,0.29909,5.3398
2.04,0.33688,0.29981,5.3398
2.05,0.33877,0.30054,5.3398
2.06,0.34079,0.3015,5.3398
2.07,0.34281,0.30248,5.3398
2.08,0.34484,0.30345,5.3398
2.09,0.34686,0.30442,5.3398
2.1,0.34889,0.30539,5.3398
2.11,0.35091,0.30637,5.3398
2.12,0.35294,0.30734,5.3398
2.13,0.35496,0.30831,5.3398
2.14,0.35698,0.30928,5.3398
2.15,0.35901,0.31025,5.3398
2.16,0.36099,0.31133,5.3398
2.17,0.36276,0.31285,5.3398
