t, affine_elevL, affine_elevR, affine_throttle
0,0.00018988,-0.00015419,1.7883e-06
0.01,-0.004332,0.0033978,-5.3379e-05
0.02,-0.0062202,0.0038463,-7.6483e-05
0.03,-0.0042761,0.0020886,-5.8596e-05
0.04,-0.0005817,0.00023041,-9.6525e-06
0.05,0.0018542,-0.00073412,2.9076e-05
0.06,0.0025121,-0.0011673,3.1537e-05
0.07,0.0018889,-0.00098024,1.7851e-05
0.08,0.00049177,-0.00027071,3.207e-06
0.09,-0.00067009,0.00039534,-4.3097e-06
0.1,-0.00099861,0.00063805,-4.4526e-06
0.11,-0.00076236,0.00052953,-2.2143e-06
0.12,-0.00025951,0.00019876,-6.5652e-07
0.13,0.00019376,-0.00015843,-6.9471e-07
0.14,0.00036685,-0.00032325,-1.3136e-06
0.15,0.00031223,-0.00029067,-1.515e-06
0.16,0.00013364,-0.00012927,-1.0607e-06
0.17,-4.299e-05,4.7065e-05,-2.4033e-07
0.18,-9.9127e-05,9.7846e-05,-1.2536e-08
0.19,-5.8059e-05,3.9449e-05,-4.9772e-07
0.2,2.9189e-06,-2.7346e-05,-9.7302e-07
0.21,1.14e-06,5.6944e-06,-4.439e-07
0.22,-2.9691e-06,3.0562e-05,-8.3158e-08
0.23,2.5983e-05,-8.7307e-06,-5.2403e-07
0.24,4.5871e-05,-4.6501e-05,-1.0085e-06
0.25,9.0461e-06,-9.611e-06,-6.3037e-07
0.26,-2.789e-05,3.8446e-05,-1.8905e-08
0.27,-3.5909e-06,1.2347e-05,-2.7253e-07
0.28,3.0309e-05,-2.9122e-05,-7.786e-07
0.29,1.9079e-05,-2.0774e-05,-7.4807e-07
0.3,-2.0704e-05,2.3949e-05,-2.3e-07
0.31,-3.3969e-06,6.4949e-06,-3.993e-07
0.32,2.7647e-05,-2.7681e-05,-7.8289e-07
0.33,2.4531e-05,-2.649e-05,-7.9856e-07
0.34,-1.7759e-05,1.7796e-05,-3.2966e-07
0.35,-1.1854e-05,1.135e-05,-4.0693e-07
0.36,1.5107e-05,-1.7591e-05,-7.1101e-07
0.37,2.3752e-05,-2.6928e-05,-7.9717e-07
0.38,-9.2116e-06,8.2246e-06,-4.4026e-07
0.39,-1.2053e-05,1.0528e-05,-4.4423e-07
0.4,6.1417e-06,-9.5127e-06,-6.4359e-07
0.41,1.7483e-05,-2.1518e-05,-7.3835e-07
0.42,-1.2366e-06,-6.9091e-07,-5.2697e-07
0.43,-8.4018e-06,6.5678e-06,-4.8229e-07
0.44,1.1006e-06,-4.4357e-06,-5.9123e-07
0.45,1.0433e-05,-1.4711e-05,-6.6912e-07
0.46,3.645e-06,-6.6637e-06,-5.7672e-07
0.47,-3.5567e-06,1.0618e-06,-5.3043e-07
0.48,-6.4407e-07,-2.7119e-06,-5.7643e-07
0.49,4.4744e-06,-8.5676e-06,-6.0984e-07
0.5,4.2895e-06,-8.159e-06,-5.8554e-07
0.51,2.9422e-07,-3.7486e-06,-5.5884e-07
0.52,-7.0762e-07,-2.9099e-06,-5.634e-07
0.53,2.1316e-07,-4.1543e-06,-5.6849e-07
0.54,1.3457e-06,-5.5732e-06,-5.6801e-07
0.55,1.1498e-06,-5.5169e-06,-5.657e-07
0.56,-1.2101e-06,-2.9654e-06,-5.5333e-07
0.57,-3.4971e-06,-4.1658e-07,-5.3432e-07
0.58,-2.5687e-06,-1.6716e-06,-5.3458e-07
0.59,-4.6064e-07,-4.4629e-06,-5.4986e-07
0.6,-8.3854e-07,-4.338e-06,-5.5152e-07
0.61,-4.3873e-06,-3.0273e-07,-5.2687e-07
0.62,-4.9562e-06,2.2943e-07,-5.2086e-07
0.63,2.4721e-07,-6.3304e-06,-5.5645e-07
0.64,-1.4598e-06,-4.7367e-06,-5.4266e-07
0.65,-6.8071e-06,1.3967e-06,-5.0557e-07
0.66,-9.0512e-06,4.004e-06,-4.9283e-07
0.67,-3.4073e-06,-2.8779e-06,-5.3309e-07
0.68,-3.415e-06,-3.4566e-06,-5.2645e-07
0.69,-9.0152e-06,2.6878e-06,-4.8393e-07
0.7,-1.2645e-05,6.8995e-06,-4.6387e-07
0.71,-7.8569e-06,1.5152e-06,-5.0658e-07
0.72,-6.0174e-06,-1.1927e-06,-5.1136e-07
0.73,-1.132e-05,3.9662e-06,-4.5797e-07
0.74,-1.5994e-05,9.027e-06,-4.2456e-07
0.75,-1.2913e-05,6.3518e-06,-4.7314e-07
0.76,-9.3896e-06,2.3537e-06,-5.039e-07
0.77,-1.3994e-05,5.7391e-06,-4.3023e-07
0.78,-1.9393e-05,1.0579e-05,-3.6453e-07
0.79,-1.809e-05,1.0546e-05,-4.2048e-07
0.8,-1.3138e-05,6.7366e-06,-5.1389e-07
0.81,-1.6774e-05,7.8905e-06,-4.1114e-07
0.82,-2.264e-05,1.1232e-05,-2.778e-07
0.83,-2.2932e-05,1.301e-05,-3.2675e-07
0.84,-1.6778e-05,1.1426e-05,-5.5238e-07
0.85,-1.922e-05,1.0455e-05,-4.2736e-07
0.86,-2.5253e-05,1.0981e-05,-1.82e-07
0.87,-2.5814e-05,1.3525e-05,-2.4819e-07
0.88,-2.0321e-05,1.5778e-05,-6.0053e-07
0.89,-2.0869e-05,1.3221e-05,-5.0128e-07
0.9,-2.6855e-05,9.2622e-06,-7.194e-08
0.91,-3.02e-05,9.9689e-06,7.1504e-08
0.92,-2.3548e-05,1.9614e-05,-6.5881e-07
0.93,-2.148e-05,1.7541e-05,-7.1632e-07
0.94,-2.6154e-05,7.2665e-06,-7.0442e-08
0.95,-3.0526e-05,3.8696e-06,3.1291e-07
0.96,-2.6855e-05,2.0141e-05,-5.6923e-07
0.97,-2.0323e-05,2.1256e-05,-9.9821e-07
0.98,-1.9378e-05,-2.8865e-08,-1.4141e-07
0.99,-2.2823e-05,-1.25e-05,5.9294e-07
1,-2.7837e-05,1.3815e-05,-2.7829e-07
1.01,-2.7403e-05,3.4102e-05,-1.2236e-06
1.02,-2.2903e-05,-1.7279e-06,3.086e-08
1.03,-2.2347e-05,-2.9898e-05,1.1857e-06
1.04,-2.6075e-05,-4.4573e-06,3.3501e-07
1.05,-2.2389e-05,3.4261e-05,-1.3867e-06
1.06,1.4732e-06,-6.4398e-05,1.4199e-06
1.07,1.7062e-05,-0.00016889,4.6368e-06
1.08,-2.0065e-06,-0.00011012,3.1169e-06
1.09,-5.8701e-05,0.00017653,-5.17e-06
1.1,-8.7138e-05,0.00024556,-6.7245e-06
1.11,-8.6926e-05,0.00013493,-3.0894e-06
1.12,-6.0342e-05,8.3783e-06,3.4323e-07
1.13,3.4014e-05,5.65e-05,-3.8999e-06
1.14,0.00042974,0.00017977,-1.793e-05
1.15,0.00089543,0.00021945,-2.8633e-05
1.16,0.00084994,0.00012625,-2.2859e-05
1.17,-0.00048963,-2.2442e-06,7.8529e-06
1.18,-0.0024856,0.00041337,2.7529e-05
1.19,-0.0038324,0.0011278,2.5978e-05
1.2,-0.0033044,0.0013151,1.3597e-05
1.21,0.00038044,-0.000193,-1.3121e-06
1.22,0.0045802,-0.0024055,-2.2512e-05
1.23,0.0057675,-0.0035749,-4.1044e-05
1.24,0.0031346,-0.003314,-3.991e-05
1.25,-0.00010353,-0.00058702,-5.5443e-06
