t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.042594,-0.065648,-0.004261,0.14353,0.11826,-1.0749,-0.024819,-0.075148,0.014995,0.042979,0.011188,-0.11131,0.018544,0.054777,-0.050717,-0.36758,1.0002,0.64567,0.023937,0.044192,-0.050171,-0.055996,0.019213,0.092444,-0.0036039,-0.0038711,-0.003212,-0.0041358,0.026087,-0.036016,-0.0048546,-0.0025499,-0.00025066,0.00048987,0.00015648,-0.0016344
0.01,0.046473,-0.072304,-0.0031906,0.1657,0.10854,-1.1731,-0.028119,-0.081679,0.019277,0.048239,0.012835,-0.12117,0.01603,0.046714,-0.04569,-0.33312,0.88418,0.54381,0.020571,0.03721,-0.045027,-0.049745,0.016177,0.079554,-0.0035607,-0.0039271,-0.0031848,-0.0040178,0.025738,-0.036487,-0.0048547,-0.0025727,-0.00021978,0.0005076,0.00017971,-0.0016715
0.02,0.045322,-0.071299,-0.0014857,0.17255,0.083114,-1.1459,-0.027201,-0.079509,0.021034,0.048501,0.012983,-0.1181,0.012359,0.036897,-0.037417,-0.27627,0.71149,0.42638,0.015566,0.029253,-0.036695,-0.040602,0.012313,0.063342,-0.0035198,-0.0039492,-0.003177,-0.0040666,0.025758,-0.03649,-0.0048268,-0.0025595,-0.00022768,0.00049163,0.000205,-0.0016482
0.03,0.037916,-0.060414,0.00035128,0.15539,0.047158,-0.96143,-0.021613,-0.066544,0.018812,0.041823,0.011071,-0.098988,0.0077156,0.024869,-0.025504,-0.19222,0.47738,0.28719,0.009539,0.019819,-0.02493,-0.027911,0.0077403,0.042921,-0.0034852,-0.0039348,-0.0031893,-0.0043025,0.026127,-0.035984,-0.0047748,-0.002507,-0.00027784,0.00043783,0.00022904,-0.001561
0.04,0.02908,-0.046864,0.0015755,0.12817,0.018058,-0.73859,-0.01505,-0.051055,0.014661,0.032835,0.0085297,-0.076013,0.0043139,0.015712,-0.015977,-0.12374,0.29491,0.18214,0.0051822,0.012684,-0.015564,-0.017766,0.0044395,0.027168,-0.0034584,-0.0038893,-0.0032191,-0.0047057,0.026774,-0.035046,-0.0047101,-0.00242,-0.00036612,0.00035055,0.00024962,-0.0014199
0.05,0.025439,-0.040927,0.0020738,0.11664,0.0075187,-0.64028,-0.011464,-0.044246,0.012153,0.028728,0.0075248,-0.065665,0.0039247,0.01358,-0.014627,-0.11341,0.26626,0.15483,0.0035553,0.010946,-0.013839,-0.015813,0.0038583,0.023706,-0.0034355,-0.0038343,-0.0032568,-0.0051693,0.027522,-0.03398,-0.0046507,-0.002319,-0.00047241,0.00025218,0.00026657,-0.0012613
0.06,0.02719,-0.043087,0.0023535,0.12505,0.0088315,-0.67082,-0.010433,-0.046364,0.011672,0.030116,0.0081906,-0.068288,0.0056876,0.015911,-0.019404,-0.14688,0.34852,0.17436,0.0028944,0.012651,-0.017524,-0.01966,0.0050586,0.028417,-0.0034131,-0.0037892,-0.0032923,-0.0055843,0.028201,-0.033048,-0.0046065,-0.0022216,-0.00057612,0.00016394,0.00028047,-0.0011166
0.07,0.030276,-0.047181,0.0026856,0.13883,0.01166,-0.73125,-0.0097323,-0.050573,0.011456,0.032854,0.0092533,-0.073878,0.0078426,0.018671,-0.025341,-0.18822,0.44998,0.19684,0.0018347,0.014811,-0.022036,-0.024398,0.0065142,0.034246,-0.003391,-0.0037533,-0.0033257,-0.0059496,0.028813,-0.032242,-0.0045755,-0.0021269,-0.00067608,8.5189e-05,0.00029188,-0.00098458
0.08,0.031883,-0.049031,0.003106,0.14708,0.010424,-0.756,-0.0084102,-0.052358,0.010642,0.034153,0.0098017,-0.075947,0.0093795,0.019804,-0.029409,-0.21561,0.51697,0.20139,0.00023896,0.01589,-0.024798,-0.027295,0.0074295,0.037379,-0.0033692,-0.0037256,-0.003357,-0.006267,0.029369,-0.031543,-0.0045556,-0.0020335,-0.00077197,1.4667e-05,0.00030129,-0.00086337
0.09,0.032755,-0.049781,0.0035799,0.15261,0.0068199,-0.76338,-0.0068656,-0.052979,0.0095751,0.034783,0.010065,-0.076356,0.010722,0.020497,-0.032972,-0.23901,0.57452,0.20116,-0.0015721,0.016829,-0.027064,-0.029727,0.0081947,0.039918,-0.0033479,-0.0037044,-0.0033864,-0.0065396,0.029877,-0.030929,-0.0045446,-0.0019397,-0.00086381,-4.9053e-05,0.00030898,-0.00075063
