t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.1204,3.0849e-05,-0.022761,0.0018202,-0.18949,-0.00052672,11.401,-0.00080573,-4.4608,-0.10674,0.12266,0.033734
0.02,0.24074,3.2311e-05,-0.0446,0.00059014,-0.18739,-0.00013708,11.422,8.5426e-05,-4.3433,-0.26886,0.20623,0.087046
0.03,0.36103,2.0841e-05,-0.065565,-0.0035511,-0.18512,0.0011485,11.443,0.0021603,-4.2306,-0.47348,0.25663,0.15598
0.04,0.48127,1.2892e-05,-0.085703,-0.010465,-0.18272,0.0033097,11.463,0.0049056,-4.1228,-0.70773,0.27979,0.23656
0.05,0.60148,2.4917e-05,-0.10506,-0.020011,-0.18022,0.006326,11.484,0.0078082,-4.0202,-0.95873,0.28162,0.32485
0.06,0.72166,7.337e-05,-0.12369,-0.032052,-0.17765,0.010177,11.505,0.010355,-3.9226,-1.2136,0.26807,0.41688
0.07,0.84183,0.0001747,-0.14163,-0.046447,-0.17504,0.014842,11.525,0.012032,-3.8304,-1.4595,0.24504,0.50868
0.08,0.96199,0.00034537,-0.15893,-0.063059,-0.17242,0.020302,11.544,0.012328,-3.7434,-1.6835,0.21847,0.5963
0.09,1.0821,0.00060247,-0.17565,-0.081741,-0.16982,0.026533,11.562,0.010743,-3.6619,-1.8736,0.19384,0.67603
0.1,1.2023,0.00097069,-0.19181,-0.10226,-0.16726,0.033495,11.58,0.0069746,-3.5862,-2.028,0.1715,0.74732
0.11,1.3225,0.0014797,-0.20746,-0.12435,-0.16473,0.041134,11.596,0.00084242,-3.5167,-2.1515,0.14837,0.81163
0.12,1.4427,0.0021594,-0.22264,-0.14771,-0.16224,0.049396,11.611,-0.0078301,-3.4539,-2.2491,0.12133,0.87049
0.13,1.5629,0.0030394,-0.23737,-0.17206,-0.1598,0.058228,11.624,-0.019216,-3.3983,-2.3257,0.087371,0.92537
0.14,1.6832,0.0041497,-0.25171,-0.19716,-0.15741,0.067592,11.636,-0.03339,-3.3501,-2.3835,0.045825,0.97689
0.15,1.8034,0.0055202,-0.26567,-0.22279,-0.1551,0.07747,11.646,-0.050329,-3.3096,-2.4221,-0.0015475,1.0247
0.16,1.9237,0.0071811,-0.27929,-0.24874,-0.15291,0.087843,11.654,-0.070004,-3.277,-2.4409,-0.052878,1.0686
0.17,2.044,0.0091622,-0.29261,-0.27479,-0.15084,0.098691,11.66,-0.092385,-3.2524,-2.4396,-0.1063,1.1081
0.18,2.1643,0.011494,-0.30566,-0.30076,-0.14892,0.10999,11.665,-0.1174,-3.2358,-2.4186,-0.1602,1.1432
0.19,2.2847,0.014208,-0.31845,-0.32648,-0.14712,0.12172,11.667,-0.14489,-3.2265,-2.3805,-0.21336,1.174
0.2,2.4051,0.017334,-0.331,-0.3518,-0.14542,0.13384,11.668,-0.1747,-3.224,-2.3277,-0.26461,1.2008
0.21,2.5254,0.020904,-0.34333,-0.37658,-0.1438,0.14633,11.666,-0.20669,-3.2275,-2.2629,-0.31277,1.2237
0.22,2.6458,0.024948,-0.35547,-0.40067,-0.14222,0.15915,11.663,-0.24067,-3.2364,-2.1884,-0.3569,1.2429
0.23,2.7662,0.029499,-0.36742,-0.42399,-0.14067,0.17226,11.658,-0.27643,-3.2499,-2.1059,-0.39669,1.2584
0.24,2.8866,0.034586,-0.37919,-0.44647,-0.1391,0.1856,11.651,-0.31377,-3.267,-2.0169,-0.43193,1.2703
0.25,3.0069,0.040241,-0.3908,-0.46805,-0.13749,0.19915,11.643,-0.35247,-3.2869,-1.9228,-0.4624,1.2784
0.26,3.1272,0.046494,-0.40224,-0.48865,-0.13582,0.21283,11.633,-0.3923,-3.3088,-1.8252,-0.48799,1.2828
0.27,3.2475,0.053375,-0.41354,-0.50825,-0.13406,0.22661,11.623,-0.43303,-3.332,-1.7252,-0.50909,1.2836
0.28,3.3677,0.060911,-0.42469,-0.52683,-0.13222,0.24045,11.611,-0.47441,-3.356,-1.6238,-0.52617,1.2809
0.29,3.4879,0.069131,-0.43571,-0.54438,-0.13028,0.25428,11.599,-0.5162,-3.3801,-1.5222,-0.53974,1.2748
0.3,3.608,0.078062,-0.4466,-0.56087,-0.12826,0.26807,11.586,-0.55815,-3.4039,-1.4214,-0.55029,1.2655
0.31,3.728,0.087729,-0.45736,-0.57632,-0.12614,0.28178,11.572,-0.60001,-3.427,-1.322,-0.55829,1.253
0.32,3.8478,0.098153,-0.46801,-0.59075,-0.12397,0.29537,11.558,-0.64152,-3.4493,-1.2246,-0.56418,1.2375
0.33,3.9676,0.10936,-0.47854,-0.60417,-0.12174,0.30882,11.543,-0.68241,-3.4705,-1.1299,-0.56842,1.2193
0.34,4.0873,0.12136,-0.48898,-0.61661,-0.11948,0.32209,11.529,-0.72244,-3.4904,-1.0384,-0.57147,1.1985
0.35,4.2068,0.13419,-0.49931,-0.62809,-0.11721,0.33516,11.514,-0.76135,-3.5089,-0.95051,-0.57365,1.1753
0.36,4.3261,0.14786,-0.50956,-0.63866,-0.11496,0.34802,11.499,-0.7989,-3.5261,-0.86642,-0.57522,1.15
0.37,4.4453,0.16237,-0.51972,-0.64835,-0.11275,0.36065,11.483,-0.83485,-3.542,-0.7864,-0.57645,1.1226
0.38,4.5643,0.17775,-0.52981,-0.65722,-0.1106,0.37304,11.468,-0.86897,-3.5566,-0.7107,-0.57759,1.0934
0.39,4.6832,0.19401,-0.53983,-0.66529,-0.10854,0.38517,11.453,-0.90102,-3.5699,-0.63945,-0.57881,1.0626
0.4,4.8018,0.21117,-0.54978,-0.67262,-0.1066,0.39704,11.439,-0.93081,-3.5821,-0.57266,-0.58022,1.0304
0.41,4.9202,0.22921,-0.55968,-0.67925,-0.10479,0.40865,11.424,-0.95816,-3.5933,-0.51031,-0.58189,0.99696
0.42,5.0384,0.24817,-0.56952,-0.68524,-0.10313,0.41999,11.409,-0.98287,-3.6036,-0.4524,-0.58392,0.96248
0.43,5.1563,0.26804,-0.57932,-0.69062,-0.10165,0.43106,11.395,-1.0048,-3.6131,-0.39886,-0.58636,0.92713
0.44,5.274,0.28883,-0.58908,-0.69545,-0.10037,0.44187,11.381,-1.0237,-3.6219,-0.34955,-0.58921,0.89107
0.45,5.3914,0.31055,-0.5988,-0.69977,-0.099286,0.4524,11.367,-1.0396,-3.6301,-0.3043,-0.59247,0.85444
0.46,5.5086,0.33319,-0.60848,-0.70361,-0.098427,0.46267,11.354,-1.0524,-3.6379,-0.26294,-0.59613,0.81741
0.47,5.6255,0.35676,-0.61814,-0.70703,-0.097804,0.47268,11.341,-1.0618,-3.6454,-0.22531,-0.6002,0.78011
0.48,5.7421,0.38127,-0.62778,-0.71006,-0.097423,0.48243,11.328,-1.0679,-3.6527,-0.19115,-0.60462,0.74267
0.49,5.8584,0.40671,-0.63739,-0.71274,-0.097294,0.49192,11.315,-1.0706,-3.6598,-0.16024,-0.60939,0.70521
0.5,5.9745,0.43308,-0.64697,-0.71509,-0.097422,0.50116,11.303,-1.0699,-3.6668,-0.13234,-0.61444,0.66785
0.51,6.0901,0.46039,-0.65654,-0.71716,-0.097815,0.51015,11.29,-1.0657,-3.6738,-0.1072,-0.61977,0.6307
0.52,6.2055,0.48863,-0.66609,-0.71898,-0.098476,0.5189,11.278,-1.058,-3.681,-0.084567,-0.62532,0.59386
0.53,6.3206,0.5178,-0.67563,-0.72056,-0.099405,0.52741,11.266,-1.0469,-3.6883,-0.064185,-0.63107,0.55743
0.54,6.4352,0.5479,-0.68514,-0.72193,-0.1006,0.53569,11.255,-1.0324,-3.6957,-0.045796,-0.63697,0.52147
0.55,6.5496,0.57893,-0.69464,-0.72312,-0.10207,0.54374,11.243,-1.0145,-3.7034,-0.029143,-0.643,0.48609
0.56,6.6636,0.61089,-0.70411,-0.72414,-0.10381,0.55157,11.232,-0.99335,-3.7113,-0.013983,-0.64911,0.45135
0.57,6.7772,0.64376,-0.71357,-0.72501,-0.10582,0.55919,11.22,-0.96895,-3.7195,-7.5273e-05,-0.6553,0.4173
0.58,6.8904,0.67755,-0.723,-0.72573,-0.10809,0.5666,11.209,-0.94142,-3.728,0.012818,-0.66151,0.38401
0.59,7.0033,0.71226,-0.73241,-0.72633,-0.11061,0.5738,11.197,-0.91084,-3.7368,0.024936,-0.66773,0.35152
0.6,7.1158,0.74787,-0.74179,-0.7268,-0.1134,0.58081,11.186,-0.87734,-3.7459,0.036494,-0.67393,0.31989
0.61,7.2278,0.78439,-0.75114,-0.72716,-0.11643,0.58763,11.174,-0.84104,-3.7552,0.047697,-0.68009,0.28914
