t, affine_elevL, affine_elevR, affine_throttle
0,-0.00010052,0.00012214,9.9589e-07
0.01,0.0029568,-0.00381,-4.3878e-05
0.02,0.0033149,-0.0053878,-6.2349e-05
0.03,0.0018424,-0.0037404,-4.7071e-05
0.04,0.00018381,-0.00049071,-7.8083e-06
0.05,-0.00070111,0.0016835,2.2346e-05
0.06,-0.0010631,0.002228,2.374e-05
0.07,-0.00086036,0.0016334,1.3185e-05
0.08,-0.00024536,0.00043546,2.2358e-06
0.09,0.0003474,-0.00058167,-2.899e-06
0.1,0.0005623,-0.00086899,-2.6905e-06
0.11,0.00046389,-0.00066431,-1.2985e-06
0.12,0.00017293,-0.00022734,-3.586e-07
0.13,-0.00014226,0.00017053,-7.8519e-07
0.14,-0.00028574,0.00032276,-1.4658e-06
0.15,-0.0002625,0.0002782,-1.7113e-06
0.16,-0.00012533,0.00012331,-1.1851e-06
0.17,4.3981e-05,-4.1932e-05,-8.3215e-08
0.18,8.9473e-05,-9.159e-05,2.2925e-07
0.19,3.9331e-05,-5.4198e-05,-2.2233e-07
0.2,-1.9119e-05,9.6717e-08,-7.168e-07
0.21,6.7931e-06,-2.5759e-06,-3.1548e-07
0.22,2.6376e-05,-6.8029e-06,-4.1397e-08
0.23,-7.2083e-06,1.9178e-05,-4.2806e-07
0.24,-3.8668e-05,3.7345e-05,-8.3069e-07
0.25,-4.9246e-06,3.839e-06,-4.5663e-07
0.26,3.6211e-05,-2.906e-05,7.3988e-08
0.27,1.3371e-05,-7.5601e-06,-1.6887e-07
0.28,-2.2562e-05,2.2589e-05,-6.1957e-07
0.29,-1.5685e-05,1.3645e-05,-5.7702e-07
0.3,2.3782e-05,-2.19e-05,-1.0161e-07
0.31,8.5479e-06,-6.8178e-06,-2.6283e-07
0.32,-2.1158e-05,2.0353e-05,-6.1127e-07
0.33,-2.0837e-05,1.8634e-05,-6.2465e-07
0.34,1.8894e-05,-1.9177e-05,-1.8034e-07
0.35,1.3415e-05,-1.4156e-05,-2.4406e-07
0.36,-1.1601e-05,9.2219e-06,-5.2146e-07
0.37,-1.9558e-05,1.6622e-05,-6.0122e-07
0.38,1.0676e-05,-1.1586e-05,-2.8084e-07
0.39,1.2745e-05,-1.3968e-05,-2.7877e-07
0.4,-4.3739e-06,1.5702e-06,-4.571e-07
0.41,-1.4324e-05,1.094e-05,-5.4022e-07
0.42,1.6476e-06,-3.386e-06,-3.7627e-07
0.43,7.9389e-06,-9.4875e-06,-3.3331e-07
0.44,-1.373e-06,-1.4411e-06,-4.2887e-07
0.45,-9.8972e-06,6.3314e-06,-4.9103e-07
0.46,-2.9858e-06,4.9761e-07,-4.1409e-07
0.47,3.3183e-06,-5.2915e-06,-3.7213e-07
0.48,2.1977e-07,-2.8539e-06,-4.0808e-07
0.49,-4.6456e-06,1.3822e-06,-4.3893e-07
0.5,-4.263e-06,1.1929e-06,-4.2093e-07
0.51,-4.1513e-07,-2.2322e-06,-3.9672e-07
0.52,2.6282e-07,-3.0003e-06,-3.9986e-07
0.53,-8.9659e-07,-2.0889e-06,-4.0414e-07
0.54,-2.6546e-06,-6.1512e-07,-4.064e-07
0.55,-2.656e-06,-7.1216e-07,-4.0604e-07
0.56,-3.4453e-07,-2.7863e-06,-3.9532e-07
0.57,1.619e-06,-4.5146e-06,-3.8182e-07
0.58,3.2149e-07,-3.5069e-06,-3.8411e-07
0.59,-2.9102e-06,-9.8279e-07,-4.0219e-07
0.6,-5.9481e-07,-3.052e-06,-3.8965e-07
0.61,3.3655e-06,-6.3904e-06,-3.6692e-07
0.62,3.0506e-06,-6.1925e-06,-3.6742e-07
0.63,-2.594e-06,-1.7376e-06,-3.9646e-07
0.64,-1.4015e-06,-2.9524e-06,-3.8702e-07
0.65,3.3098e-06,-6.9255e-06,-3.6176e-07
0.66,4.9898e-06,-8.2961e-06,-3.5579e-07
0.67,-1.1984e-07,-4.2068e-06,-3.8172e-07
0.68,-6.5117e-07,-4.0812e-06,-3.7803e-07
0.69,4.1965e-06,-8.333e-06,-3.4917e-07
0.7,7.4352e-06,-1.0987e-05,-3.3775e-07
0.71,2.7578e-06,-6.9504e-06,-3.6924e-07
0.72,3.3637e-07,-5.2789e-06,-3.7279e-07
0.73,4.3355e-06,-9.153e-06,-3.3898e-07
0.74,8.2491e-06,-1.2587e-05,-3.1903e-07
0.75,5.8503e-06,-9.9901e-06,-3.5491e-07
0.76,1.6181e-06,-6.3279e-06,-3.8219e-07
0.77,3.9385e-06,-9.2803e-06,-3.389e-07
0.78,6.8917e-06,-1.2156e-05,-3.1491e-07
0.79,7.3091e-06,-1.1926e-05,-3.4007e-07
0.8,4.3928e-06,-8.5717e-06,-3.9252e-07
0.81,5.136e-06,-1.0993e-05,-3.2126e-07
0.82,7.6417e-06,-1.5121e-05,-2.3278e-07
0.83,8.7816e-06,-1.5164e-05,-2.6932e-07
0.84,7.0145e-06,-9.978e-06,-4.4273e-07
0.85,6.0014e-06,-1.127e-05,-3.6071e-07
0.86,6.2095e-06,-1.54e-05,-1.8409e-07
0.87,7.6242e-06,-1.6283e-05,-1.921e-07
0.88,9.3206e-06,-1.1042e-05,-5.0623e-07
0.89,7.0668e-06,-1.1047e-05,-4.3565e-07
0.9,3.825e-06,-1.4887e-05,-1.2809e-07
0.91,4.6208e-06,-1.6546e-05,-6.9622e-08
0.92,1.0605e-05,-1.2316e-05,-5.2312e-07
0.93,8.6503e-06,-1.0447e-05,-5.5782e-07
0.94,5.7743e-07,-1.322e-05,-8.8795e-08
0.95,-2.3497e-06,-1.5872e-05,1.8735e-07
0.96,8.45e-06,-1.2992e-05,-4.1358e-07
0.97,8.6694e-06,-8.2661e-06,-6.8153e-07
0.98,-7.9136e-06,-6.8492e-06,-4.8098e-08
0.99,-1.7635e-05,-8.7882e-06,4.9349e-07
1,3.6798e-06,-1.2292e-05,-2.2155e-07
1.01,1.7072e-05,-1.1596e-05,-8.4935e-07
1.02,-1.0427e-05,-7.6925e-06,1.0078e-07
1.03,-3.6106e-05,-5.7953e-06,1.083e-06
1.04,-1.4591e-05,-8.6006e-06,3.62e-07
1.05,1.8648e-05,-6.1188e-06,-1.0664e-06
1.06,-5.6328e-05,1.2901e-05,1.016e-06
1.07,-0.00013563,2.5705e-05,3.4266e-06
1.08,-9.0232e-05,1.192e-05,2.2462e-06
1.09,0.00011732,-3.1518e-05,-3.6209e-06
1.1,0.00016577,-5.288e-05,-4.6469e-06
1.11,8.6377e-05,-4.9969e-05,-2.1037e-06
1.12,-9.7275e-06,-2.6762e-05,4.258e-07
1.13,2.0929e-05,4.2505e-05,-2.459e-06
1.14,9.0748e-05,0.000343,-1.1995e-05
1.15,0.00010339,0.00068117,-1.9226e-05
1.16,3.812e-05,0.0006572,-1.5109e-05
1.17,-1.6199e-06,-0.00033861,5.4001e-06
1.18,0.0003595,-0.0018352,1.7897e-05
1.19,0.00090473,-0.0028437,1.6179e-05
1.2,0.001023,-0.0024789,8.1649e-06
1.21,-0.00014351,0.00027586,-7.8307e-07
1.22,-0.0018131,0.0034036,-1.4553e-05
1.23,-0.0026264,0.0042008,-2.7178e-05
1.24,-0.002357,0.0022022,-2.6552e-05
1.25,-0.00039496,-7.0424e-05,-3.6946e-06
