t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.018545,-0.054783,-0.050723,0.36763,1.0003,-0.64575,0.023946,-0.044197,-0.050178,0.056007,0.019216,-0.092458,0.042601,0.065659,-0.0042613,-0.14355,0.11827,1.0751,-0.024827,0.075161,0.015004,-0.042989,0.011191,0.11133,-0.0036039,0.0038713,-0.0032118,0.0041345,0.026085,0.036019,-0.0048548,0.0025501,-0.00025044,-0.00049011,0.00015646,0.0016348
0.01,0.016023,-0.046687,-0.04567,0.33299,0.88378,-0.54349,0.020563,-0.037188,-0.045006,0.049726,0.01617,-0.07951,0.046537,0.072378,-0.0032193,-0.1658,0.10912,1.1744,-0.028154,0.08177,0.019289,-0.048289,0.012862,0.12129,-0.0035606,0.0039273,-0.0031847,0.0040167,0.025736,0.03649,-0.0048548,0.0025729,-0.00021958,-0.00050783,0.00017971,0.0016718
0.02,0.012259,-0.036676,-0.037156,0.27441,0.70657,-0.42394,0.015478,-0.029084,-0.036451,0.040342,0.012224,-0.062959,0.045098,0.070967,-0.0014591,-0.17182,0.082367,1.1405,-0.027077,0.079134,0.020955,-0.048284,0.012915,0.11756,-0.0035198,0.0039494,-0.0031769,0.0040651,0.025755,0.036493,-0.004827,0.0025597,-0.00022743,-0.0004919,0.00020498,0.0016486
0.03,0.0079266,-0.025386,-0.026106,0.19657,0.48861,-0.29292,0.0097355,-0.020215,-0.025495,0.028525,0.0079316,-0.043825,0.038405,0.061157,0.00031992,-0.15714,0.048367,0.97336,-0.021886,0.067369,0.019028,-0.042327,0.011222,0.1002,-0.0034852,0.003935,-0.0031891,0.004301,0.026124,0.035987,-0.004775,0.0025072,-0.00027758,-0.00043812,0.00022903,0.0015614
0.04,0.0035601,-0.013939,-0.013793,0.10797,0.25474,-0.16284,0.0046296,-0.011335,-0.013559,0.015607,0.0037807,-0.024031,0.02723,0.044071,0.0016701,-0.12138,0.013667,0.69402,-0.014133,0.047977,0.013914,-0.030956,0.0079474,0.071526,-0.0034584,0.0038894,-0.0032189,0.0047044,0.026771,0.035048,-0.0047102,0.0024202,-0.00036587,-0.0003508,0.0002496,0.0014202
0.05,0.0043957,-0.014661,-0.016022,0.12349,0.29161,-0.16643,0.0038147,-0.01177,-0.015092,0.017158,0.0042596,-0.025648,0.026653,0.042753,0.0020334,-0.12123,0.010161,0.66923,-0.011994,0.046242,0.012607,-0.029956,0.0079102,0.068562,-0.0034355,0.0038343,-0.0032568,0.0051695,0.027522,0.033979,-0.0046507,0.0023189,-0.00047245,-0.00025213,0.00026656,0.0012612
0.06,0.0060283,-0.016675,-0.020434,0.15432,0.36703,-0.18241,0.0030221,-0.013237,-0.018429,0.02063,0.0053423,-0.029812,0.028106,0.044456,0.0023368,-0.12858,0.010682,0.69237,-0.010778,0.047849,0.01198,-0.031034,0.0084835,0.070432,-0.0034131,0.0037891,-0.0032923,0.0055845,0.028201,0.033048,-0.0046065,0.0022216,-0.00057617,-0.0001639,0.00028046,0.0011165
0.07,0.0077788,-0.018532,-0.025145,0.18681,0.44649,-0.1954,0.0018211,-0.014703,-0.021867,0.024217,0.0064625,-0.033988,0.03006,0.046862,0.0026875,-0.13799,0.011241,0.72625,-0.0096618,0.050229,0.01139,-0.03264,0.0091833,0.073384,-0.003391,0.0037533,-0.0033257,0.0059498,0.028814,0.032241,-0.0045755,0.0021269,-0.00067612,-8.5142e-05,0.00029187,0.00098451
0.08,0.0094,-0.01984,-0.029467,0.21602,0.51801,-0.20173,0.00023812,-0.015918,-0.024846,0.027345,0.0074452,-0.037448,0.031995,0.049194,0.0031053,-0.14752,0.010646,0.75854,-0.0084395,0.052534,0.010668,-0.034261,0.0098377,0.076196,-0.0033693,0.0037256,-0.003357,0.0062672,0.02937,0.031543,-0.0045556,0.0020334,-0.00077201,-1.4624e-05,0.00030128,0.0008633
0.09,0.010727,-0.020505,-0.032986,0.23911,0.57477,-0.20124,-0.0015727,-0.016836,-0.027076,0.029739,0.0081984,-0.039935,0.032778,0.049814,0.0035802,-0.1527,0.0068616,0.76389,-0.0068706,0.053014,0.0095801,-0.034805,0.010072,0.076405,-0.0033479,0.0037044,-0.0033864,0.0065396,0.029877,0.030929,-0.0045446,0.0019397,-0.00086382,4.9051e-05,0.00030898,0.00075063
0.1,0.011885,-0.020839,-0.036042,0.25857,0.6232,-0.19736,-0.003508,-0.017692,-0.02885,0.031733,0.008834,-0.041984,0.033136,0.049801,0.0040714,-0.15622,0.0018116,0.75943,-0.0052215,0.052842,0.0083235,-0.034962,0.01012,0.075718,-0.0033274,0.0036873,-0.0034142,0.0067744,0.030343,0.030365,-0.0045402,0.0018435,-0.00095212,0.000108,0.00031505,0.00064321
0.11,0.012915,-0.020974,-0.038748,0.27528,0.66553,-0.19161,-0.0055009,-0.018583,-0.030276,0.033456,0.00939,-0.043811,0.033452,0.04971,0.0045727,-0.15956,-0.0036898,0.75382,-0.0035963,0.052607,0.0070081,-0.035094,0.010109,0.074991,-0.0033078,0.0036731,-0.0034404,0.0069733,0.030774,0.029838,-0.0045411,0.0017446,-0.0010363,0.00016286,0.00031976,0.00054009
0.12,0.013862,-0.021009,-0.041219,0.29006,0.70394,-0.18505,-0.007517,-0.019578,-0.031455,0.03502,0.0099029,-0.045584,0.033794,0.049632,0.0050843,-0.16293,-0.0094948,0.74853,-0.0020077,0.052402,0.0056585,-0.035255,0.010065,0.074377,-0.003289,0.0036614,-0.0034651,0.0071381,0.031171,0.029339,-0.0045461,0.0016428,-0.0011158,0.00021405,0.00032337,0.00044079
0.13,0.014772,-0.02103,-0.04358,0.30381,0.74067,-0.17849,-0.0095451,-0.020741,-0.032484,0.036535,0.010406,-0.047471,0.034234,0.049666,0.0056117,-0.16662,-0.015542,0.74502,-0.00045926,0.052325,0.0042922,-0.035508,0.010014,0.07403,-0.0032708,0.0036517,-0.0034881,0.0072699,0.031536,0.028863,-0.0045542,0.0015381,-0.0011897,0.00026184,0.00032611,0.00034498
0.14,0.015649,-0.021069,-0.045853,0.31666,0.77615,-0.1723,-0.01155,-0.022093,-0.033379,0.038028,0.010906,-0.049532,0.034789,0.049839,0.0061679,-0.17073,-0.022,0.74366,0.0010427,0.0524,0.002933,-0.035872,0.0099633,0.074001,-0.0032531,0.0036441,-0.0035091,0.0073665,0.031864,0.028412,-0.0045644,0.0014312,-0.001257,0.00030597,0.0003281,0.00025303
0.15,0.016435,-0.021094,-0.0479,0.32768,0.80812,-0.16638,-0.013467,-0.023579,-0.034042,0.039396,0.011367,-0.051664,0.0354,0.050066,0.0067503,-0.17502,-0.028935,0.74315,0.0024983,0.052533,0.0015863,-0.036288,0.0098975,0.074174,-0.003236,0.0036383,-0.0035279,0.0074279,0.032153,0.027983,-0.0045757,0.0013226,-0.001317,0.00034644,0.00032945,0.00016493
0.16,0.017067,-0.021068,-0.049571,0.3359,0.83414,-0.16061,-0.015221,-0.025121,-0.034375,0.040522,0.011751,-0.053737,0.036004,0.05026,0.0073501,-0.17915,-0.036341,0.74217,0.0039005,0.052631,0.00026193,-0.03669,0.0098005,0.074426,-0.0032191,0.0036344,-0.0035445,0.0074548,0.032403,0.027574,-0.0045874,0.0012129,-0.0013694,0.0003833,0.00033024,8.0572e-05
0.17,0.017526,-0.020997,-0.050826,0.34111,0.85358,-0.15517,-0.016763,-0.026674,-0.034365,0.041376,0.012048,-0.055718,0.036586,0.050404,0.0079598,-0.18306,-0.044132,0.74048,0.0052375,0.052673,-0.0010269,-0.037061,0.009673,0.074735,-0.0032026,0.0036322,-0.0035586,0.0074472,0.032612,0.027185,-0.0045986,0.0011026,-0.0014141,0.00041653,0.00033051,-4.4496e-08
0.18,0.017817,-0.020905,-0.051696,0.34355,0.86698,-0.15031,-0.018091,-0.028214,-0.034046,0.041975,0.012262,-0.057627,0.037145,0.050496,0.0085679,-0.18665,-0.052135,0.73806,0.0065056,0.052654,-0.0022797,-0.03739,0.0095188,0.07509,-0.003186,0.0036314,-0.0035707,0.0074084,0.032788,0.026813,-0.004609,0.00099239,-0.0014514,0.00044642,0.00033042,-7.7263e-05
0.19,0.018007,-0.020847,-0.052358,0.34439,0.87732,-0.14635,-0.019251,-0.029778,-0.033548,0.042447,0.012439,-0.059615,0.037711,0.050579,0.0091717,-0.19006,-0.060241,0.73554,0.0077007,0.052614,-0.0034932,-0.037702,0.0093516,0.075552,-0.0031693,0.0036318,-0.0035806,0.0073388,0.032928,0.026456,-0.004618,0.00088298,-0.0014814,0.00047298,0.00032999,-0.00015108
0.2,0.018092,-0.020815,-0.052804,0.34363,0.88448,-0.14318,-0.020229,-0.031322,-0.032884,0.042776,0.012574,-0.061645,0.038283,0.050651,0.0097662,-0.19326,-0.068377,0.73292,0.0088128,0.052549,-0.0046574,-0.037991,0.0091747,0.076116,-0.0031525,0.0036335,-0.003588,0.0072378,0.033028,0.026114,-0.0046249,0.0007752,-0.0015044,0.00049603,0.00032919,-0.00022129
0.21,0.018076,-0.020803,-0.053046,0.34137,0.8886,-0.14073,-0.021016,-0.03281,-0.03208,0.042963,0.012668,-0.06369,0.038838,0.050687,0.010343,-0.19616,-0.076455,0.7298,0.0098284,0.052428,-0.005758,-0.038234,0.0089859,0.076739,-0.0031356,0.0036363,-0.0035926,0.0071045,0.033083,0.025785,-0.0046291,0.00066991,-0.0015205,0.0005154,0.00032798,-0.00028761
0.22,0.017986,-0.020828,-0.053155,0.33811,0.89087,-0.13904,-0.021655,-0.034248,-0.031184,0.043055,0.012741,-0.065797,0.039364,0.050674,0.010894,-0.19871,-0.084373,0.726,0.01075,0.052235,-0.0068003,-0.038419,0.0087838,0.077391,-0.0031183,0.00364,-0.0035947,0.0069435,0.0331,0.025468,-0.0046306,0.00056746,-0.0015306,0.00053153,0.00032646,-0.00035045
