t, affine_elevL, affine_elevR, affine_throttle
0,4.7839e-05,4.7837e-05,-4.1788e-06
0.01,0.00079516,0.00079508,-7.5856e-05
0.02,0.001236,0.0012358,-0.0001166
0.03,0.0013961,0.001396,-0.00013062
0.04,0.0013221,0.001322,-0.00012294
0.05,0.0010658,0.0010657,-9.8703e-05
0.06,0.00067512,0.00067507,-6.31e-05
0.07,0.0001947,0.00019469,-2.1079e-05
0.08,-0.00025931,-0.0002593,1.9272e-05
0.09,-0.00056287,-0.00056283,4.4877e-05
0.1,-0.00069137,-0.00069132,5.6021e-05
0.11,-0.00067035,-0.00067029,5.4919e-05
0.12,-0.00054631,-0.00054625,4.4059e-05
0.13,-0.00035529,-0.00035523,2.7106e-05
0.14,-0.0001423,-0.00014228,8.3712e-06
0.15,4.0768e-05,4.0758e-05,-7.2801e-06
0.16,0.00016751,0.00016746,-1.763e-05
0.17,0.00022775,0.00022768,-2.1958e-05
0.18,0.00023872,0.00023863,-2.2036e-05
0.19,0.00021236,0.00021226,-1.9111e-05
0.2,0.00016005,0.00015996,-1.443e-05
0.21,9.0918e-05,9.0855e-05,-9.3031e-06
0.22,1.4162e-05,1.4148e-05,-5.0754e-06
0.23,-5.0845e-05,-5.08e-05,-2.8075e-06
0.24,-8.3059e-05,-8.2967e-05,-2.0575e-06
0.25,-8.9462e-05,-8.9339e-05,-2.1414e-06
0.26,-7.7132e-05,-7.6996e-05,-2.6521e-06
0.27,-5.3714e-05,-5.3585e-05,-3.2929e-06
0.28,-2.7357e-05,-2.7259e-05,-3.8663e-06
0.29,-7.2644e-06,-7.2223e-06,-4.4356e-06
0.3,1.7126e-06,1.6792e-06,-5.0932e-06
0.31,6.6493e-06,6.5525e-06,-5.6922e-06
0.32,1.0077e-05,9.9369e-06,-6.0524e-06
0.33,1.1811e-05,1.1651e-05,-6.1254e-06
0.34,1.1585e-05,1.1427e-05,-5.9257e-06
0.35,9.0266e-06,8.8953e-06,-5.5397e-06
0.36,3.3864e-06,3.31e-06,-5.1292e-06
0.37,-5.3975e-06,-5.3921e-06,-4.8807e-06
0.38,-1.17e-05,-1.1618e-05,-4.8052e-06
0.39,-1.3405e-05,-1.3267e-05,-4.8089e-06
0.4,-1.1986e-05,-1.1819e-05,-4.8373e-06
0.41,-9.0231e-06,-8.8498e-06,-4.8566e-06
0.42,-6.0168e-06,-5.8634e-06,-4.8727e-06
0.43,-4.6408e-06,-4.535e-06,-4.9101e-06
0.44,-5.9928e-06,-5.9616e-06,-5.0014e-06
0.45,-8.7139e-06,-8.7693e-06,-5.1286e-06
0.46,-8.9858e-06,-9.109e-06,-5.1925e-06
0.47,-7.3689e-06,-7.5357e-06,-5.1945e-06
0.48,-5.0841e-06,-5.2689e-06,-5.1549e-06
0.49,-3.2698e-06,-3.4454e-06,-5.1061e-06
0.5,-3.0461e-06,-3.1831e-06,-5.0842e-06
0.51,-5.5169e-06,-5.5838e-06,-5.1282e-06
0.52,-1.0929e-05,-1.0897e-05,-5.2611e-06
0.53,-1.3372e-05,-1.3253e-05,-5.3235e-06
0.54,-1.2386e-05,-1.2205e-05,-5.2954e-06
0.55,-9.5333e-06,-9.3183e-06,-5.2185e-06
0.56,-6.3967e-06,-6.1786e-06,-5.139e-06
0.57,-4.5633e-06,-4.3756e-06,-5.1074e-06
0.58,-5.6068e-06,-5.4861e-06,-5.1811e-06
0.59,-1.1089e-05,-1.1075e-05,-5.418e-06
0.6,-1.6238e-05,-1.6339e-05,-5.6757e-06
0.61,-1.642e-05,-1.6607e-05,-5.7875e-06
0.62,-1.3513e-05,-1.3752e-05,-5.7882e-06
0.63,-9.4241e-06,-9.6812e-06,-5.7184e-06
0.64,-6.1078e-06,-6.3437e-06,-5.6273e-06
0.65,-5.5604e-06,-5.7324e-06,-5.5711e-06
0.66,-1.0076e-05,-1.0136e-05,-5.621e-06
0.67,-1.7625e-05,-1.7539e-05,-5.7112e-06
0.68,-1.795e-05,-1.7749e-05,-5.5186e-06
0.69,-1.2837e-05,-1.256e-05,-5.1425e-06
0.7,-5.4443e-06,-5.1316e-06,-4.7347e-06
0.71,9.4373e-07,1.2473e-06,-4.4669e-06
0.72,2.9582e-06,3.2047e-06,-4.5188e-06
0.73,-4.5255e-06,-4.3941e-06,-5.1639e-06
0.74,-1.8628e-05,-1.8651e-05,-6.3354e-06
0.75,-2.8923e-05,-2.9095e-05,-7.6195e-06
0.76,-2.9667e-05,-2.9946e-05,-8.6594e-06
0.77,-2.399e-05,-2.433e-05,-9.314e-06
0.78,-1.5495e-05,-1.5846e-05,-9.4924e-06
0.79,-7.9106e-06,-8.2159e-06,-9.1198e-06
0.8,-5.0787e-06,-5.2764e-06,-8.1389e-06
0.81,-1.0993e-05,-1.1015e-05,-6.5011e-06
0.82,-1.1762e-05,-1.1582e-05,-3.6229e-06
0.83,1.0245e-05,1.0584e-05,6.3188e-07
0.84,4.2948e-05,4.3394e-05,5.0809e-06
0.85,7.3759e-05,7.4251e-05,8.4856e-06
0.86,9.0349e-05,9.0817e-05,9.5672e-06
0.87,8.0652e-05,8.1017e-05,7.0269e-06
0.88,3.3389e-05,3.356e-05,-4.6888e-07
0.89,-5.7509e-05,-5.7603e-05,-1.5384e-05
0.9,-0.00016637,-0.00016671,-3.8026e-05
0.91,-0.00026002,-0.00026052,-6.4728e-05
0.92,-0.00032046,-0.00032104,-8.7542e-05
0.93,-0.00033137,-0.00033195,-9.9285e-05
0.94,-0.00028054,-0.00028102,-9.2806e-05
0.95,-0.00016249,-0.00016276,-6.0886e-05
0.96,2.0309e-05,2.035e-05,2.3844e-06
0.97,0.0001836,0.00018395,6.8954e-05
0.98,0.00027625,0.00027683,0.00011551
0.99,0.00030882,0.00030952,0.00014134
1,0.00029069,0.00029143,0.00014529
1.01,0.00023143,0.00023208,0.00012623
1.02,0.00013997,0.00014043,8.2974e-05
1.03,2.3888e-05,2.4017e-05,1.3237e-05
1.04,-7.8267e-05,-7.8516e-05,-6.0294e-05
1.05,-0.0001236,-0.00012414,-0.00010264
1.06,-0.00012822,-0.00012894,-0.00011614
1.07,-0.00011036,-0.00011116,-0.00010782
1.08,-8.0883e-05,-8.1632e-05,-8.4743e-05
1.09,-4.7688e-05,-4.8257e-05,-5.4006e-05
1.1,-1.5442e-05,-1.5685e-05,-2.4116e-05
1.11,9.6153e-06,9.7727e-06,2.3687e-07
1.12,2.0044e-05,2.0575e-05,1.6527e-05
1.13,1.1413e-05,1.2202e-05,2.3053e-05
1.14,-6.3373e-06,-5.4199e-06,2.27e-05
1.15,-2.3777e-05,-2.2868e-05,1.7668e-05
1.16,-3.1239e-05,-3.049e-05,9.8802e-06
1.17,-2.2441e-05,-2.2006e-05,1.2228e-06
1.18,-3.38e-07,-3.3045e-07,-6.4639e-06
1.19,2.3328e-05,2.2884e-05,-1.1586e-05
1.2,2.6403e-05,2.5635e-05,-1.4139e-05
1.21,1.4875e-05,1.3925e-05,-1.4633e-05
1.22,-3.7432e-06,-4.7275e-06,-1.3585e-05
1.23,-2.0794e-05,-2.1663e-05,-1.1584e-05
1.24,-2.696e-05,-2.7561e-05,-9.2716e-06
1.25,-1.129e-05,-1.1463e-05,-7.4101e-06
1.26,1.0695e-05,1.0987e-05,-6.1647e-06
1.27,1.9058e-05,1.9706e-05,-5.5084e-06
1.28,1.0658e-05,1.1509e-05,-5.1975e-06
1.29,-6.3426e-06,-5.4336e-06,-5.124e-06
1.3,-2.393e-05,-2.3101e-05,-5.2327e-06
1.31,-3.2756e-05,-3.214e-05,-5.5623e-06
1.32,-2.7774e-05,-2.7475e-05,-6.1673e-06
1.33,-5.2789e-06,-5.372e-06,-7.0891e-06
1.34,1.1646e-05,1.1225e-05,-7.8028e-06
1.35,1.0398e-05,9.7861e-06,-7.9993e-06
1.36,-2.1132e-06,-2.7941e-06,-7.7894e-06
1.37,-1.9199e-05,-1.9842e-05,-7.2952e-06
1.38,-3.3398e-05,-3.3911e-05,-6.7427e-06
1.39,-3.678e-05,-3.7084e-05,-6.4223e-06
1.4,-2.31e-05,-2.3133e-05,-6.6381e-06
1.41,-3.7244e-06,-3.4977e-06,-7.1678e-06
1.42,-2.7437e-07,1.1292e-07,-7.2957e-06
1.43,-8.2211e-06,-7.7621e-06,-7.0664e-06
1.44,-2.1679e-05,-2.1224e-05,-6.6224e-06
1.45,-3.4839e-05,-3.4452e-05,-6.1339e-06
1.46,-4.1778e-05,-4.1512e-05,-5.8342e-06
1.47,-3.3639e-05,-3.3544e-05,-6.1384e-06
1.48,-1.6513e-05,-1.6597e-05,-6.8668e-06
1.49,-9.0879e-06,-9.2922e-06,-7.2284e-06
1.5,-1.2247e-05,-1.251e-05,-7.1126e-06
1.51,-2.1496e-05,-2.1766e-05,-6.668e-06
1.52,-3.2264e-05,-3.2501e-05,-6.0989e-06
1.53,-3.977e-05,-3.9942e-05,-5.6486e-06
1.54,-3.904e-05,-3.9122e-05,-5.624e-06
1.55,-3.084e-05,-3.0827e-05,-6.045e-06
1.56,-2.222e-05,-2.2134e-05,-6.5373e-06
1.57,-2.1733e-05,-2.161e-05,-6.5568e-06
1.58,-2.6428e-05,-2.6297e-05,-6.2378e-06
1.59,-3.264e-05,-3.2525e-05,-5.7808e-06
1.6,-3.8072e-05,-3.7987e-05,-5.348e-06
1.61,-4.1044e-05,-4.0997e-05,-5.0758e-06
1.62,-3.9976e-05,-3.9966e-05,-5.1008e-06
1.63,-3.4751e-05,-3.4771e-05,-5.4506e-06
1.64,-3.2865e-05,-3.29e-05,-5.5363e-06
1.65,-3.4322e-05,-3.436e-05,-5.3458e-06
1.66,-3.7545e-05,-3.7578e-05,-4.9983e-06
1.67,-4.1048e-05,-4.1071e-05,-4.6128e-06
1.68,-4.3202e-05,-4.3214e-05,-4.3375e-06
1.69,-4.3252e-05,-4.3256e-05,-4.2621e-06
1.7,-4.1981e-05,-4.1981e-05,-4.3192e-06
1.71,-4.0171e-05,-4.017e-05,-4.4372e-06
1.72,-3.8555e-05,-3.8556e-05,-4.544e-06
1.73,-3.7653e-05,-3.7658e-05,-4.5837e-06
1.74,-3.7581e-05,-3.7589e-05,-4.5274e-06
1.75,-3.8543e-05,-3.8553e-05,-4.3284e-06
1.76,-4.0754e-05,-4.0761e-05,-3.9347e-06
1.77,-4.4159e-05,-4.4158e-05,-3.3145e-06
1.78,-4.7777e-05,-4.7767e-05,-2.6047e-06
1.79,-5.0567e-05,-5.055e-05,-1.9695e-06
1.8,-5.1696e-05,-5.1674e-05,-1.5566e-06
1.81,-5.1401e-05,-5.1379e-05,-1.3833e-06
1.82,-4.9944e-05,-4.9923e-05,-1.4482e-06
1.83,-4.7515e-05,-4.75e-05,-1.7555e-06
1.84,-4.4418e-05,-4.4412e-05,-2.2876e-06
1.85,-3.9065e-05,-3.9071e-05,-3.3408e-06
1.86,-2.792e-05,-2.7934e-05,-5.5162e-06
1.87,-1.4011e-05,-1.403e-05,-8.2634e-06
1.88,-1.8394e-06,-1.8586e-06,-1.0715e-05
1.89,4.3693e-06,4.3521e-06,-1.1981e-05
1.9,5.1924e-07,5.0656e-07,-1.1137e-05
1.91,-1.928e-05,-1.9285e-05,-6.8395e-06
1.92,-5.279e-05,-5.2788e-05,6.3066e-07
1.93,-9.0193e-05,-9.0184e-05,9.3546e-06
1.94,-0.00012276,-0.00012275,1.7416e-05
1.95,-0.00014524,-0.00014523,2.3332e-05
1.96,-0.00015351,-0.0001535,2.5875e-05
1.97,-0.00014416,-0.00014415,2.3856e-05
1.98,-0.00011401,-0.00011401,1.5918e-05
1.99,-4.8338e-05,-4.8337e-05,-3.3013e-07
2,6.9944e-05,6.9941e-05,-2.7413e-05
