t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.13647,0.13647,5.115
0.02,0.08154,0.081541,5.1502
0.03,0.026606,0.026607,5.1855
0.04,-0.028328,-0.028326,5.2208
0.05,-0.083262,-0.08326,5.256
0.06,-0.1382,-0.13819,5.2913
0.07,-0.19313,-0.19313,5.3266
0.08,-0.2127,-0.2127,5.3398
0.09,-0.21112,-0.21112,5.3398
0.1,-0.20953,-0.20953,5.3398
0.11,-0.20795,-0.20795,5.3398
0.12,-0.20636,-0.20636,5.3398
0.13,-0.20477,-0.20478,5.3398
0.14,-0.20319,-0.20319,5.3398
0.15,-0.2018,-0.2018,5.3398
0.16,-0.20098,-0.20098,5.3398
0.17,-0.20017,-0.20017,5.3398
0.18,-0.19936,-0.19936,5.3398
0.19,-0.19854,-0.19854,5.3398
0.2,-0.19773,-0.19773,5.3398
0.21,-0.19692,-0.19691,5.3398
0.22,-0.1961,-0.1961,5.3398
0.23,-0.19317,-0.19317,5.3398
0.24,-0.18995,-0.18994,5.3398
0.25,-0.18672,-0.18672,5.3398
0.26,-0.18349,-0.18349,5.3398
0.27,-0.18026,-0.18026,5.3398
0.28,-0.17704,-0.17704,5.3398
0.29,-0.17381,-0.17381,5.3398
0.3,-0.17008,-0.17008,5.3398
0.31,-0.16584,-0.16584,5.3398
0.32,-0.16161,-0.16161,5.3398
0.33,-0.15738,-0.15738,5.3398
0.34,-0.15314,-0.15314,5.3398
0.35,-0.14891,-0.14891,5.3398
0.36,-0.14468,-0.14467,5.3398
0.37,-0.14038,-0.14037,5.3398
0.38,-0.13562,-0.13561,5.3398
0.39,-0.13086,-0.13085,5.3398
0.4,-0.1261,-0.12609,5.3398
0.41,-0.12134,-0.12133,5.3398
0.42,-0.11657,-0.11657,5.3398
0.43,-0.11181,-0.11181,5.3398
0.44,-0.10705,-0.10706,5.3398
0.45,-0.10198,-0.10199,5.3398
0.46,-0.096815,-0.096815,5.3398
0.47,-0.091645,-0.091645,5.3398
0.48,-0.086476,-0.086475,5.3398
0.49,-0.081307,-0.081304,5.3398
0.5,-0.076137,-0.076134,5.3398
0.51,-0.070968,-0.070963,5.3398
0.52,-0.065632,-0.065627,5.3398
0.53,-0.060024,-0.06002,5.3398
0.54,-0.054416,-0.054413,5.3398
