t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.13573,0.23038,5.1039
0.02,0.080059,0.26936,5.1281
0.03,0.024384,0.30833,5.1523
0.04,-0.031291,0.34731,5.1765
0.05,-0.086966,0.38628,5.2007
0.06,-0.14264,0.42526,5.225
0.07,-0.19832,0.46423,5.2492
0.08,-0.25399,0.50321,5.2734
0.09,-0.30967,0.54218,5.2976
0.1,-0.36534,0.58115,5.3218
0.11,-0.4022,0.60777,5.3398
0.12,-0.38505,0.59891,5.3398
0.13,-0.36791,0.59005,5.3398
0.14,-0.35076,0.58118,5.3398
0.15,-0.33361,0.57232,5.3398
0.16,-0.31647,0.56346,5.3398
0.17,-0.29932,0.5546,5.3398
0.18,-0.28218,0.54574,5.3398
0.19,-0.26503,0.53688,5.3398
0.2,-0.24789,0.52801,5.3398
0.21,-0.23074,0.51915,5.3398
0.22,-0.21475,0.51147,5.3398
0.23,-0.19985,0.5049,5.3398
0.24,-0.18495,0.49832,5.3398
0.25,-0.17005,0.49174,5.3398
0.26,-0.15515,0.48516,5.3398
0.27,-0.14025,0.47859,5.3398
0.28,-0.12535,0.47201,5.3398
0.29,-0.11044,0.46543,5.3398
0.3,-0.095542,0.45886,5.3398
0.31,-0.080641,0.45228,5.3398
0.32,-0.065739,0.4457,5.3398
0.33,-0.051608,0.43906,5.3398
0.34,-0.037701,0.43239,5.3398
0.35,-0.023793,0.42572,5.3398
0.36,-0.009885,0.41905,5.3398
0.37,0.0040228,0.41238,5.3398
0.38,0.017931,0.40571,5.3398
0.39,0.031838,0.39904,5.3398
0.4,0.045746,0.39237,5.3398
0.41,0.059654,0.3857,5.3398
0.42,0.073562,0.37903,5.3398
0.43,0.087322,0.37241,5.3398
0.44,0.096832,0.36721,5.3398
0.45,0.10634,0.362,5.3398
0.46,0.11585,0.35679,5.3398
0.47,0.12536,0.35158,5.3398
0.48,0.13487,0.34638,5.3398
0.49,0.14438,0.34117,5.3398
0.5,0.1539,0.33596,5.3398
0.51,0.16341,0.33076,5.3398
0.52,0.17292,0.32555,5.3398
0.53,0.18243,0.32034,5.3398
0.54,0.19086,0.31575,5.3398
0.55,0.19669,0.31264,5.3398
0.56,0.20252,0.30954,5.3398
0.57,0.20835,0.30644,5.3398
0.58,0.21418,0.30333,5.3398
0.59,0.22001,0.30023,5.3398
0.6,0.22584,0.29712,5.3398
0.61,0.23167,0.29402,5.3398
0.62,0.2375,0.29091,5.3398
0.63,0.24333,0.28781,5.3398
0.64,0.24916,0.28471,5.3398
0.65,0.25366,0.28237,5.3398
0.66,0.25707,0.28066,5.3398
0.67,0.26048,0.27894,5.3398
0.68,0.26389,0.27723,5.3398
0.69,0.2673,0.27552,5.3398
0.7,0.27071,0.27381,5.3398
0.71,0.27413,0.2721,5.3398
0.72,0.27754,0.27038,5.3398
0.73,0.28095,0.26867,5.3398
0.74,0.28436,0.26696,5.3398
0.75,0.28777,0.26525,5.3398
0.76,0.29007,0.26383,5.3398
0.77,0.29211,0.26248,5.3398
0.78,0.29414,0.26113,5.3398
0.79,0.29618,0.25978,5.3398
0.8,0.29821,0.25843,5.3398
0.81,0.30025,0.25708,5.3398
0.82,0.30228,0.25573,5.3398
0.83,0.30432,0.25437,5.3398
0.84,0.30635,0.25302,5.3398
0.85,0.30838,0.25167,5.3398
0.86,0.31036,0.25031,5.3398
0.87,0.31157,0.24882,5.3398
0.88,0.31279,0.24733,5.3398
0.89,0.314,0.24584,5.3398
0.9,0.31521,0.24435,5.3398
0.91,0.31642,0.24286,5.3398
0.92,0.31763,0.24136,5.3398
0.93,0.31884,0.23987,5.3398
0.94,0.32005,0.23838,5.3398
0.95,0.32126,0.23689,5.3398
0.96,0.32247,0.2354,5.3398
0.97,0.32348,0.2339,5.3398
0.98,0.32407,0.23239,5.3398
0.99,0.32465,0.23088,5.3398
1,0.32524,0.22937,5.3398
1.01,0.32583,0.22785,5.3398
1.02,0.32642,0.22634,5.3398
1.03,0.327,0.22483,5.3398
1.04,0.32759,0.22332,5.3398
1.05,0.32818,0.22181,5.3398
1.06,0.32877,0.2203,5.3398
1.07,0.32936,0.21879,5.3398
1.08,0.32964,0.21754,5.3398
1.09,0.32972,0.21649,5.3398
1.1,0.32979,0.21544,5.3398
1.11,0.32986,0.21439,5.3398
1.12,0.32994,0.21334,5.3398
1.13,0.33001,0.21229,5.3398
1.14,0.33008,0.21124,5.3398
1.15,0.33016,0.21019,5.3398
1.16,0.33023,0.20914,5.3398
1.17,0.3303,0.20809,5.3398
1.18,0.33038,0.20704,5.3398
1.19,0.3301,0.20672,5.3398
1.2,0.32975,0.20654,5.3398
1.21,0.32941,0.20636,5.3398
1.22,0.32906,0.20618,5.3398
1.23,0.32872,0.206,5.3398
1.24,0.32837,0.20582,5.3398
1.25,0.32803,0.20564,5.3398
1.26,0.32768,0.20546,5.3398
1.27,0.32734,0.20528,5.3398
1.28,0.32699,0.20509,5.3398
1.29,0.32661,0.20501,5.3398
1.3,0.32591,0.20575,5.3398
1.31,0.32522,0.2065,5.3398
1.32,0.32452,0.20724,5.3398
1.33,0.32383,0.20799,5.3398
1.34,0.32313,0.20874,5.3398
1.35,0.32243,0.20948,5.3398
1.36,0.32174,0.21023,5.3398
1.37,0.32104,0.21098,5.3398
1.38,0.32035,0.21172,5.3398
1.39,0.31965,0.21247,5.3398
1.4,0.31887,0.21346,5.3398
1.41,0.31795,0.21489,5.3398
1.42,0.31703,0.21631,5.3398
1.43,0.3161,0.21774,5.3398
1.44,0.31518,0.21917,5.3398
1.45,0.31426,0.2206,5.3398
1.46,0.31333,0.22202,5.3398
1.47,0.31241,0.22345,5.3398
1.48,0.31148,0.22488,5.3398
1.49,0.31056,0.22631,5.3398
1.5,0.30964,0.22773,5.3398
1.51,0.30878,0.22935,5.3398
1.52,0.30797,0.23108,5.3398
1.53,0.30716,0.23281,5.3398
1.54,0.30635,0.23453,5.3398
1.55,0.30554,0.23626,5.3398
1.56,0.30473,0.23799,5.3398
1.57,0.30392,0.23972,5.3398
1.58,0.30311,0.24145,5.3398
1.59,0.3023,0.24318,5.3398
1.6,0.30149,0.24491,5.3398
1.61,0.30068,0.24664,5.3398
1.62,0.30036,0.2483,5.3398
1.63,0.30012,0.24995,5.3398
1.64,0.29987,0.2516,5.3398
1.65,0.29963,0.25325,5.3398
1.66,0.29939,0.25489,5.3398
1.67,0.29914,0.25654,5.3398
1.68,0.2989,0.25819,5.3398
1.69,0.29865,0.25984,5.3398
1.7,0.29841,0.26149,5.3398
1.71,0.29817,0.26314,5.3398
1.72,0.29803,0.26474,5.3398
1.73,0.29858,0.26603,5.3398
1.74,0.29914,0.26732,5.3398
1.75,0.29969,0.26861,5.3398
1.76,0.30025,0.2699,5.3398
1.77,0.3008,0.27118,5.3398
1.78,0.30136,0.27247,5.3398
1.79,0.30191,0.27376,5.3398
1.8,0.30247,0.27505,5.3398
1.81,0.30302,0.27634,5.3398
1.82,0.30358,0.27763,5.3398
1.83,0.30442,0.27877,5.3398
1.84,0.30569,0.27967,5.3398
1.85,0.30696,0.28058,5.3398
1.86,0.30824,0.28148,5.3398
1.87,0.30951,0.28238,5.3398
1.88,0.31078,0.28329,5.3398
1.89,0.31206,0.28419,5.3398
1.9,0.31333,0.2851,5.3398
1.91,0.3146,0.286,5.3398
1.92,0.31588,0.28691,5.3398
1.93,0.31715,0.28781,5.3398
1.94,0.31871,0.28864,5.3398
1.95,0.32043,0.28944,5.3398
1.96,0.32215,0.29023,5.3398
1.97,0.32387,0.29102,5.3398
1.98,0.32558,0.29181,5.3398
1.99,0.3273,0.29261,5.3398
2,0.32902,0.2934,5.3398
2.01,0.33074,0.29419,5.3398
2.02,0.33246,0.29499,5.3398
2.03,0.33417,0.29578,5.3398
2.04,0.33589,0.29657,5.3398
2.05,0.3377,0.29761,5.3398
2.06,0.33952,0.29866,5.3398
2.07,0.34134,0.29972,5.3398
2.08,0.34315,0.30078,5.3398
2.09,0.34497,0.30184,5.3398
2.1,0.34679,0.3029,5.3398
2.11,0.34861,0.30396,5.3398
2.12,0.35042,0.30501,5.3398
2.13,0.35224,0.30607,5.3398
2.14,0.35406,0.30713,5.3398
2.15,0.35585,0.30827,5.3398
2.16,0.35748,0.30984,5.3398
2.17,0.35911,0.31141,5.3398
2.18,0.36074,0.31298,5.3398
2.19,0.36238,0.31455,5.3398
2.2,0.36401,0.31612,5.3398
2.21,0.36564,0.31769,5.3398
2.22,0.36727,0.31926,5.3398
2.23,0.3689,0.32083,5.3398
2.24,0.37054,0.3224,5.3398
2.25,0.37217,0.32397,5.3398
2.26,0.37369,0.32579,5.3398
2.27,0.37505,0.32795,5.3398
2.28,0.37642,0.3301,5.3398
2.29,0.37778,0.33225,5.3398
2.3,0.37914,0.3344,5.3398
