t, affine_elevL, affine_elevR, affine_throttle
0,-0.00018571,-8.0159e-05,2.1253e-07
0.01,0.0041519,-0.0032357,-9.1901e-05
0.02,0.0071349,-0.0059737,-0.00017131
0.03,0.0088418,-0.0081387,-0.00023391
0.04,0.0094026,-0.009605,-0.00027629
0.05,0.0089951,-0.010282,-0.00029572
0.06,0.0078697,-0.01014,-0.0002918
0.07,0.006283,-0.0091905,-0.00026472
0.08,0.004454,-0.0074902,-0.00021636
0.09,0.0025915,-0.0051519,-0.00014984
0.1,0.0009916,-0.0023695,-6.8811e-05
0.11,-0.00018352,0.00060238,2.0439e-05
0.12,-0.0011345,0.0029858,9.0013e-05
0.13,-0.0019684,0.0045996,0.000133
0.14,-0.0025229,0.0054979,0.00015416
0.15,-0.002779,0.005779,0.00015769
0.16,-0.0027791,0.0055531,0.00014762
0.17,-0.0025505,0.0049234,0.00012742
0.18,-0.0021277,0.0039904,0.00010043
0.19,-0.0015658,0.0028596,6.9919e-05
0.2,-0.00092995,0.0016476,3.8912e-05
0.21,-0.00029526,0.00048075,1.0454e-05
0.22,0.00025803,-0.00050939,-1.2644e-05
0.23,0.00066912,-0.0012338,-2.8948e-05
0.24,0.00093162,-0.001691,-3.8847e-05
0.25,0.0010662,-0.0019192,-4.3423e-05
0.26,0.0010919,-0.0019526,-4.3604e-05
0.27,0.0010274,-0.0018266,-4.0313e-05
0.28,0.0008926,-0.0015778,-3.4475e-05
0.29,0.00070816,-0.0012448,-2.703e-05
0.3,0.00049582,-0.0008679,-1.8921e-05
0.31,0.00027841,-0.00048866,-1.1084e-05
0.32,8.0999e-05,-0.00015187,-4.5065e-06
0.33,-8.1403e-05,0.00011039,4.0392e-08
0.34,-0.0002123,0.00029626,2.4461e-06
0.35,-0.00031471,0.00041555,3.1077e-06
0.36,-0.00038875,0.00047907,2.5381e-06
0.37,-0.00043426,0.00049576,1.1767e-06
0.38,-0.00044984,0.00047268,-5.9289e-07
0.39,-0.00043357,0.00041611,-2.4079e-06
0.4,-0.00038286,0.00033149,-3.9243e-06
0.41,-0.00029424,0.00022321,-4.8104e-06
0.42,-0.00016375,9.5262e-05,-4.7322e-06
0.43,1.3241e-05,-4.8911e-05,-3.3464e-06
0.44,0.00017065,-0.00016131,-1.3819e-06
0.45,0.00025498,-0.00021162,1.7344e-07
