t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.0090984,-0.069417,-0.02877,0.32829,1.3905,-1.196,0.047983,-0.10341,-0.067235,0.065637,0.031737,-0.11663,-0.0011409,0.057059,-0.0050739,-0.082634,-0.16819,1.1601,-0.03544,0.096233,0.024248,-0.036016,0.0010255,0.098792,-0.00053413,0.0021325,-0.00019917,-0.0015986,-0.0028778,0.030036,-0.0025901,0.0022817,0.00066683,-0.00084687,-0.00017788,0.0027705
0.01,0.0086407,-0.064233,-0.028976,0.33423,1.356,-1.0926,0.047459,-0.095115,-0.066044,0.063191,0.030272,-0.11042,-0.0011673,0.058696,-0.0044858,-0.093512,-0.19997,1.1864,-0.038586,0.098447,0.027476,-0.037334,0.0012376,0.10268,-0.00054468,0.0022488,-0.00016722,-0.0018268,-0.0042482,0.031899,-0.0026836,0.0024205,0.00076919,-0.0009026,-0.00017901,0.0029145
0.02,0.0081031,-0.058586,-0.028731,0.33595,1.3038,-0.98301,0.045992,-0.086303,-0.063724,0.060263,0.02842,-0.10337,-0.0011965,0.060046,-0.0038186,-0.10455,-0.2321,1.2064,-0.04133,0.10013,0.030499,-0.038519,0.0015286,0.10596,-0.00055427,0.0023598,-0.00013856,-0.0020159,-0.0054542,0.03365,-0.0027678,0.0025489,0.00086058,-0.00094932,-0.00017297,0.003044
0.03,0.0074897,-0.052572,-0.028,0.33242,1.2338,-0.86944,0.043607,-0.077123,-0.060331,0.05679,0.026224,-0.095505,-0.0012244,0.061057,-0.0030985,-0.11528,-0.26329,1.2191,-0.043576,0.10121,0.033198,-0.039504,0.0018928,0.10851,-0.00056274,0.0024647,-0.00011422,-0.0021511,-0.0064643,0.035281,-0.0028403,0.002666,0.00093843,-0.00098537,-0.00015949,0.0031569
0.04,0.0068077,-0.046307,-0.026768,0.32288,1.1469,-0.75418,0.040368,-0.067745,-0.055965,0.052741,0.023735,-0.086902,-0.0012464,0.061656,-0.0023516,-0.12523,-0.29222,1.2233,-0.045227,0.10159,0.035453,-0.040216,0.0023163,0.11021,-0.00056997,0.002563,-9.5134e-05,-0.0022178,-0.0072524,0.036788,-0.002899,0.0027714,0.0010005,-0.0010091,-0.00013867,0.0032513
0.05,0.0060704,-0.039941,-0.02505,0.30705,1.0448,-0.63996,0.036403,-0.058371,-0.050788,0.048137,0.021027,-0.077702,-0.001258,0.061772,-0.0016037,-0.13391,-0.31767,1.2179,-0.046198,0.10118,0.037151,-0.040584,0.0027785,0.11092,-0.00057589,0.0026544,-8.2057e-05,-0.0022021,-0.0077997,0.038169,-0.0029428,0.0028646,0.0010449,-0.001019,-0.0001109,0.0033253
0.06,0.005306,-0.033694,-0.022941,0.2857,0.93242,-0.53045,0.031948,-0.049288,-0.045088,0.043131,0.018225,-0.068209,-0.0012555,0.061366,-0.00088145,-0.14094,-0.33856,1.2023,-0.04645,0.099952,0.038211,-0.04056,0.0032565,0.11059,-0.00058052,0.002739,-7.524e-05,-0.0020961,-0.0081057,0.039426,-0.0029714,0.0029454,0.0010704,-0.0010144,-7.7189e-05,0.003378
0.07,0.0045425,-0.027765,-0.02055,0.25995,0.81461,-0.42886,0.027257,-0.040755,-0.039158,0.037898,0.015447,-0.058739,-0.0012364,0.060409,-0.00020798,-0.146,-0.35411,1.1762,-0.045967,0.097873,0.038577,-0.040107,0.0037227,0.10916,-0.00058393,0.0028169,-7.4743e-05,-0.0018939,-0.008177,0.040563,-0.0029852,0.0030141,0.0010765,-0.0009948,-3.8756e-05,0.0034087
0.08,0.0037756,-0.022168,-0.017846,0.22928,0.69071,-0.33543,0.022419,-0.032747,-0.03301,0.03237,0.01269,-0.049232,-0.0011982,0.0588,0.00040085,-0.14862,-0.36329,1.1379,-0.044698,0.094796,0.038169,-0.039145,0.0041397,0.10647,-0.00058628,0.0028887,-8.0226e-05,-0.0015957,-0.0080331,0.04159,-0.0029857,0.0030709,0.0010627,-0.00096035,2.9002e-06,0.0034177
0.09,0.00298,-0.016814,-0.014694,0.1919,0.55614,-0.24904,0.017421,-0.025088,-0.026465,0.02631,0.0098773,-0.039374,-0.0011385,0.056376,0.00093127,-0.14823,-0.36486,1.0845,-0.042566,0.09048,0.036889,-0.03756,0.0044614,0.10223,-0.00058773,0.0029549,-9.1061e-05,-0.0012061,-0.0077024,0.042514,-0.0029752,0.0031164,0.0010294,-0.00091193,4.6206e-05,0.0034057
