t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,0,0,13,0,0,0,0,0
0.01,0.13018,0,-0.00054993,0,-0.0010152,0,13.035,0,-0.10897,0,-0.19824,0
0.02,0.2607,0,-0.0021576,0,-0.0038711,0,13.07,0,-0.21139,0,-0.36837,0
0.03,0.39157,0,-0.0047532,0,-0.0082937,0,13.104,0,-0.30642,0,-0.51183,0
0.04,0.52278,0,-0.0082592,0,-0.014024,0,13.138,0,-0.39341,0,-0.63016,0
0.05,0.65433,0,-0.012593,0,-0.020819,0,13.171,0,-0.47192,0,-0.72505,0
0.06,0.7862,0,-0.017668,0,-0.028453,0,13.204,0,-0.54167,0,-0.79824,0
0.07,0.9184,0,-0.023397,0,-0.036717,0,13.236,0,-0.60255,0,-0.85157,0
0.08,1.0509,0,-0.02969,0,-0.045424,0,13.267,0,-0.65459,0,-0.88691,0
0.09,1.1837,0,-0.03646,0,-0.054402,0,13.297,0,-0.69792,0,-0.90616,0
0.1,1.3169,0,-0.04362,0,-0.0635,0,13.326,0,-0.73282,0,-0.9112,0
0.11,1.4503,0,-0.051089,0,-0.072585,0,13.354,0,-0.75964,0,-0.90387,0
0.12,1.5839,0,-0.058788,0,-0.081542,0,13.381,0,-0.77879,0,-0.88599,0
0.13,1.7179,0,-0.066641,0,-0.090275,0,13.406,0,-0.79078,0,-0.85928,0
0.14,1.8521,0,-0.074581,0,-0.098704,0,13.43,0,-0.79612,0,-0.82536,0
0.15,1.9865,0,-0.082543,0,-0.10676,0,13.453,0,-0.79537,0,-0.78576,0
0.16,2.1211,0,-0.09047,0,-0.1144,0,13.474,0,-0.7891,0,-0.74189,0
0.17,2.256,0,-0.098309,0,-0.12159,0,13.495,0,-0.77789,0,-0.69503,0
0.18,2.391,0,-0.10601,0,-0.1283,0,13.513,0,-0.76231,0,-0.64633,0
0.19,2.5262,0,-0.11354,0,-0.13452,0,13.531,0,-0.74292,0,-0.59681,0
0.2,2.6616,0,-0.12086,0,-0.14024,0,13.548,0,-0.72026,0,-0.54747,0
0.21,2.7972,0,-0.12794,0,-0.14543,0,13.563,0,-0.69407,0,-0.48764,0
0.22,2.9329,0,-0.13473,0,-0.14992,0,13.578,0,-0.66421,0,-0.40818,0
0.23,3.0687,0,-0.14121,0,-0.15354,0,13.592,0,-0.63142,0,-0.3123,0
0.24,3.2047,0,-0.14735,0,-0.15612,0,13.606,0,-0.5965,0,-0.2029,0
0.25,3.3408,0,-0.15314,0,-0.15756,0,13.619,0,-0.56034,0,-0.082738,0
0.26,3.4771,0,-0.15856,0,-0.15775,0,13.632,0,-0.5238,0,0.045703,0
0.27,3.6135,0,-0.16361,0,-0.15663,0,13.645,0,-0.4878,0,0.18016,0
0.28,3.75,0,-0.16832,0,-0.15414,0,13.659,0,-0.45323,0,0.31862,0
0.29,3.8867,0,-0.17269,0,-0.15025,0,13.674,0,-0.42097,0,0.45934,0
0.3,4.0235,0,-0.17675,0,-0.14495,0,13.689,0,-0.39189,0,0.60089,0
0.31,4.1605,0,-0.18054,0,-0.13827,0,13.706,0,-0.36753,0,0.73108,0
0.32,4.2976,0,-0.18412,0,-0.1304,0,13.723,0,-0.34929,0,0.83935,0
0.33,4.4349,0,-0.18755,0,-0.12155,0,13.742,0,-0.33764,0,0.9272,0
0.34,4.5724,0,-0.19089,0,-0.11192,0,13.762,0,-0.3329,0,0.9961,0
0.35,4.7102,0,-0.19423,0,-0.10168,0,13.784,0,-0.33524,0,1.0476,0
0.36,4.8481,0,-0.19762,0,-0.091018,0,13.807,0,-0.34472,0,1.0832,0
0.37,4.9863,0,-0.20115,0,-0.080068,0,13.83,0,-0.36128,0,1.1046,0
0.38,5.1247,0,-0.20487,0,-0.068969,0,13.855,0,-0.38477,0,1.1133,0
0.39,5.2634,0,-0.20886,0,-0.057839,0,13.88,0,-0.41496,0,1.111,0
0.4,5.4023,0,-0.21319,0,-0.046781,0,13.907,0,-0.45155,0,1.0991,0
0.41,5.5415,0,-0.21792,0,-0.035884,0,13.933,0,-0.49417,0,1.0791,0
0.42,5.681,0,-0.22309,0,-0.025221,0,13.96,0,-0.54242,0,1.0526,0
0.43,5.8208,0,-0.22878,0,-0.01485,0,13.988,0,-0.59587,0,1.0207,0
0.44,5.9608,0,-0.23503,0,-0.0048208,0,14.015,0,-0.65405,0,0.98469,0
0.45,6.1011,0,-0.24188,0,0.0048335,0,14.043,0,-0.71651,0,0.94576,0
0.46,6.2416,0,-0.24937,0,0.014088,0,14.071,0,-0.78277,0,0.90491,0
0.47,6.3825,0,-0.25754,0,0.022928,0,14.098,0,-0.85237,0,0.86305,0
0.48,6.5236,0,-0.26643,0,0.031348,0,14.126,0,-0.92484,0,0.82099,0
0.49,6.665,0,-0.27605,0,0.03935,0,14.153,0,-0.99976,0,0.77943,0
0.5,6.8067,0,-0.28643,0,0.046941,0,14.18,0,-1.0767,0,0.73897,0
