t, affine_elevL, affine_elevR, affine_throttle
0,1.3638e-06,1.3638e-06,-3.1511e-07
0.01,1.5561e-06,1.5561e-06,-3.17e-07
0.02,1.7665e-06,1.7665e-06,-3.1947e-07
0.03,1.9953e-06,1.9953e-06,-3.2271e-07
0.04,2.2427e-06,2.2427e-06,-3.2697e-07
0.05,2.5045e-06,2.5045e-06,-3.3195e-07
0.06,2.7792e-06,2.7792e-06,-3.3769e-07
0.07,3.0676e-06,3.0676e-06,-3.4455e-07
0.08,3.3704e-06,3.3704e-06,-3.529e-07
0.09,3.6811e-06,3.6811e-06,-3.626e-07
0.1,3.9943e-06,3.9943e-06,-3.7358e-07
0.11,4.307e-06,4.307e-06,-3.8594e-07
0.12,4.6159e-06,4.6159e-06,-3.9975e-07
0.13,4.9139e-06,4.9139e-06,-4.1507e-07
0.14,5.1929e-06,5.1929e-06,-4.3175e-07
0.15,5.4448e-06,5.4448e-06,-4.497e-07
0.16,5.6608e-06,5.6607e-06,-4.6882e-07
0.17,5.8303e-06,5.8303e-06,-4.8899e-07
0.18,5.9703e-06,5.9703e-06,-5.112e-07
0.19,6.1044e-06,6.1044e-06,-5.3689e-07
0.2,1.155e-06,1.155e-06,-3.0965e-07
0.21,-7.5244e-06,-7.5244e-06,1.22e-07
0.22,-8.3406e-06,-8.3406e-06,1.6554e-07
0.23,-8.8139e-06,-8.8139e-06,1.936e-07
0.24,-9.2802e-06,-9.2802e-06,2.226e-07
0.25,-9.708e-06,-9.708e-06,2.5122e-07
0.26,-1.0089e-05,-1.0089e-05,2.7901e-07
0.27,-1.0417e-05,-1.0417e-05,3.0548e-07
0.28,-1.068e-05,-1.068e-05,3.2962e-07
0.29,-1.094e-05,-1.094e-05,3.5465e-07
0.3,-6.3449e-06,-6.3449e-06,2.1125e-07
0.31,4.1038e-07,4.1038e-07,-1.4746e-08
0.32,3.8679e-07,3.8679e-07,-1.4303e-08
0.33,7.5012e-09,7.5012e-09,-3.6555e-09
0.34,6.4287e-09,6.4287e-09,-4.1273e-09
0.35,6.895e-09,6.895e-09,-4.0506e-09
0.36,7.5336e-09,7.5336e-09,-4.0287e-09
0.37,7.7627e-09,7.7627e-09,-4.0122e-09
0.38,7.0783e-09,7.0783e-09,-3.9512e-09
0.39,5.7639e-09,5.7639e-09,-3.8495e-09
0.4,4.2908e-09,4.2908e-09,-3.7824e-09
0.41,3.1175e-09,3.1175e-09,-3.8293e-09
0.42,2.1817e-09,2.1817e-09,-3.8776e-09
0.43,1.2602e-09,1.2602e-09,-3.853e-09
0.44,4.369e-10,4.369e-10,-3.831e-09
0.45,-1.9914e-10,-1.9914e-10,-3.8866e-09
0.46,-4.861e-10,-4.861e-10,-3.8585e-09
0.47,-4.6285e-10,-4.6285e-10,-3.7129e-09
0.48,-2.8726e-10,-2.8726e-10,-3.6514e-09
0.49,1.3751e-10,1.3751e-10,-3.7692e-09
0.5,5.6904e-10,5.6904e-10,-3.9059e-09
