t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.034338,-0.064629,-0.039617,0.56993,0.43691,-0.24339,0.020414,-0.12157,-0.040855,0.050914,0.036467,-0.081536,0.034338,0.064629,-0.039617,-0.56993,0.43691,0.24339,0.020414,0.12157,-0.040855,-0.050914,0.036467,0.081536,-0.020835,-4.987e-10,-0.0054238,-8.7864e-10,0.0030522,1.3345e-09,-0.02157,3.9786e-10,-0.0015167,-7.4285e-11,-0.00053081,6.2278e-10
0.01,0.038951,-0.067818,-0.039178,0.579,0.44107,-0.24097,0.025634,-0.12821,-0.041021,0.052408,0.036997,-0.084815,0.038951,0.067818,-0.039178,-0.579,0.44107,0.24097,0.025634,0.12821,-0.041021,-0.052408,0.036997,0.084815,-0.020802,-4.962e-10,-0.0053633,-7.8907e-10,0.00080519,1.2699e-09,-0.021505,3.9646e-10,-0.0014984,-7.5821e-11,-0.00066522,6.1274e-10
0.02,0.043598,-0.071028,-0.038827,0.58966,0.44697,-0.23778,0.030889,-0.13505,-0.041227,0.053845,0.037632,-0.088317,0.043598,0.071028,-0.038827,-0.58966,0.44697,0.23778,0.030889,0.13505,-0.041227,-0.053845,0.037632,0.088317,-0.020781,-4.934e-10,-0.005304,-7.2063e-10,-0.0015059,1.2063e-09,-0.021457,3.9572e-10,-0.0014901,-7.8419e-11,-0.00079422,6.0357e-10
0.03,0.048234,-0.074239,-0.038574,0.60166,0.45454,-0.23388,0.036137,-0.14204,-0.041462,0.055206,0.038359,-0.092006,0.048234,0.074239,-0.038574,-0.60166,0.45454,0.23388,0.036137,0.14204,-0.041462,-0.055206,0.038359,0.092006,-0.020774,-4.9038e-10,-0.0052445,-6.7148e-10,-0.0038577,1.1448e-09,-0.021426,3.9917e-10,-0.0014897,-7.8264e-11,-0.00091739,5.9899e-10
0.04,0.052809,-0.077421,-0.038421,0.61475,0.46367,-0.22935,0.041332,-0.14911,-0.041713,0.056467,0.039161,-0.095837,0.052809,0.077421,-0.038421,-0.61475,0.46367,0.22935,0.041332,0.14911,-0.041713,-0.056467,0.039161,0.095837,-0.020781,-4.8713e-10,-0.0051837,-6.405e-10,-0.0062336,1.0861e-09,-0.021412,4.0572e-10,-0.0014956,-7.63e-11,-0.0010345,5.9789e-10
0.05,0.057271,-0.080548,-0.038373,0.62868,0.47419,-0.22426,0.046426,-0.15621,-0.041971,0.057605,0.040018,-0.099766,0.057271,0.080548,-0.038373,-0.62868,0.47419,0.22426,0.046426,0.15621,-0.041971,-0.057605,0.040018,0.099766,-0.020802,-4.8362e-10,-0.0051203,-6.2589e-10,-0.0086172,1.0278e-09,-0.021414,4.139e-10,-0.0015061,-7.3429e-11,-0.0011453,5.992e-10
0.06,0.061565,-0.083603,-0.038434,0.6432,0.48583,-0.21874,0.051366,-0.16327,-0.042224,0.058605,0.040903,-0.10375,0.061565,0.083603,-0.038434,-0.6432,0.48583,0.21874,0.051366,0.16327,-0.042224,-0.058605,0.040903,0.10375,-0.020837,-4.7976e-10,-0.0050533,-6.2544e-10,-0.010992,9.7005e-10,-0.021431,4.2238e-10,-0.0015195,-7.0984e-11,-0.0012495,6.0181e-10
0.07,0.065643,-0.086567,-0.03861,0.65812,0.49837,-0.21291,0.056105,-0.17024,-0.04247,0.059452,0.0418,-0.10775,0.065643,0.086567,-0.03861,-0.65812,0.49837,0.21291,0.056105,0.17024,-0.04247,-0.059452,0.0418,0.10775,-0.020886,-4.7542e-10,-0.0049816,-6.3774e-10,-0.013344,9.1774e-10,-0.021465,4.3135e-10,-0.0015344,-7.0669e-11,-0.001347,6.0496e-10
0.08,0.069467,-0.089428,-0.038906,0.67327,0.51164,-0.2069,0.060603,-0.1771,-0.04271,0.060139,0.042695,-0.11173,0.069467,0.089428,-0.038906,-0.67327,0.51164,0.2069,0.060603,0.1771,-0.04271,-0.060139,0.042695,0.11173,-0.02095,-4.706e-10,-0.0049045,-6.6363e-10,-0.015663,8.6941e-10,-0.021513,4.419e-10,-0.0015497,-7.1035e-11,-0.0014375,6.0927e-10
0.09,0.072993,-0.092174,-0.039329,0.68844,0.52539,-0.20084,0.06482,-0.18378,-0.042947,0.060659,0.04357,-0.11566,0.072993,0.092174,-0.039329,-0.68844,0.52539,0.20084,0.06482,0.18378,-0.042947,-0.060659,0.04357,0.11566,-0.021027,-4.6536e-10,-0.0048212,-7.0397e-10,-0.017935,8.2279e-10,-0.021576,4.5514e-10,-0.0015638,-7.0429e-11,-0.0015208,6.1553e-10
0.1,0.076185,-0.094792,-0.039882,0.70343,0.53929,-0.19485,0.068717,-0.19026,-0.043183,0.06101,0.044405,-0.11951,0.076185,0.094792,-0.039882,-0.70343,0.53929,0.19485,0.068717,0.19026,-0.043183,-0.06101,0.044405,0.11951,-0.021117,-4.5956e-10,-0.0047312,-7.5586e-10,-0.020147,7.7382e-10,-0.021653,4.7119e-10,-0.0015758,-6.9708e-11,-0.0015965,6.2412e-10
0.11,0.07901,-0.097273,-0.040568,0.71803,0.55318,-0.18904,0.072266,-0.1965,-0.043424,0.061191,0.04519,-0.12324,0.07901,0.097273,-0.040568,-0.71803,0.55318,0.18904,0.072266,0.1965,-0.043424,-0.061191,0.04519,0.12324,-0.021219,-4.5309e-10,-0.0046339,-8.1679e-10,-0.022288,7.2384e-10,-0.021743,4.8954e-10,-0.0015845,-6.9534e-11,-0.0016643,6.3497e-10
0.12,0.08144,-0.099604,-0.041386,0.73203,0.56684,-0.18351,0.075437,-0.20245,-0.043675,0.061203,0.045917,-0.12684,0.08144,0.099604,-0.041386,-0.73203,0.56684,0.18351,0.075437,0.20245,-0.043675,-0.061203,0.045917,0.12684,-0.021333,-4.4597e-10,-0.0045291,-8.8617e-10,-0.024347,6.7713e-10,-0.021845,5.1005e-10,-0.0015892,-6.9094e-11,-0.0017238,6.4807e-10
0.13,0.083445,-0.10177,-0.042336,0.74518,0.58,-0.17834,0.078205,-0.20808,-0.043943,0.061048,0.046569,-0.13027,0.083445,0.10177,-0.042336,-0.74518,0.58,0.17834,0.078205,0.20808,-0.043943,-0.061048,0.046569,0.13027,-0.021456,-4.3819e-10,-0.0044163,-9.629e-10,-0.026308,6.3836e-10,-0.021959,5.325e-10,-0.0015887,-6.7651e-11,-0.0017745,6.6339e-10
0.14,0.084999,-0.10375,-0.043414,0.75721,0.59237,-0.1736,0.080543,-0.21334,-0.044231,0.060727,0.047134,-0.1335,0.084999,0.10375,-0.043414,-0.75721,0.59237,0.1736,0.080543,0.21334,-0.044231,-0.060727,0.047134,0.1335,-0.021587,-4.296e-10,-0.0042955,-1.0432e-09,-0.028157,6.1273e-10,-0.022082,5.5549e-10,-0.0015823,-6.7389e-11,-0.001816,6.7926e-10
0.15,0.086081,-0.10553,-0.044612,0.76788,0.60382,-0.16934,0.082434,-0.21817,-0.044542,0.060244,0.047608,-0.13649,0.086081,0.10553,-0.044612,-0.76788,0.60382,0.16934,0.082434,0.21817,-0.044542,-0.060244,0.047608,0.13649,-0.021724,-4.201e-10,-0.0041666,-1.1268e-09,-0.029882,5.9822e-10,-0.022215,5.7942e-10,-0.0015691,-6.8186e-11,-0.0018479,6.9618e-10
0.16,0.08667,-0.10708,-0.045922,0.77693,0.61418,-0.16561,0.083861,-0.22252,-0.04488,0.059602,0.047987,-0.13923,0.08667,0.10708,-0.045922,-0.77693,0.61418,0.16561,0.083861,0.22252,-0.04488,-0.059602,0.047987,0.13923,-0.021866,-4.0965e-10,-0.0040298,-1.2144e-09,-0.031466,5.9104e-10,-0.022355,6.0537e-10,-0.0015486,-6.8573e-11,-0.0018698,7.156e-10
0.17,0.086749,-0.10838,-0.047334,0.78409,0.6232,-0.16244,0.084806,-0.22633,-0.045246,0.058804,0.04826,-0.14168,0.086749,0.10838,-0.047334,-0.78409,0.6232,0.16244,0.084806,0.22633,-0.045246,-0.058804,0.04826,0.14168,-0.022009,-3.9823e-10,-0.0038851,-1.3055e-09,-0.032892,5.8884e-10,-0.0225,6.3441e-10,-0.00152,-6.7173e-11,-0.0018812,7.3882e-10
0.18,0.086304,-0.10939,-0.048833,0.78909,0.63075,-0.15984,0.085258,-0.22953,-0.045639,0.057853,0.048424,-0.1438,0.086304,0.10939,-0.048833,-0.78909,0.63075,0.15984,0.085258,0.22953,-0.045639,-0.057853,0.048424,0.1438,-0.022153,-3.8592e-10,-0.003733,-1.3949e-09,-0.034143,5.9161e-10,-0.02265,6.6597e-10,-0.0014826,-6.5071e-11,-0.0018818,7.6366e-10
0.19,0.085327,-0.11009,-0.050403,0.79169,0.63669,-0.15783,0.085209,-0.23204,-0.046055,0.056751,0.048476,-0.14555,0.085327,0.11009,-0.050403,-0.79169,0.63669,0.15783,0.085209,0.23204,-0.046055,-0.056751,0.048476,0.14555,-0.022293,-3.728e-10,-0.0035739,-1.4819e-09,-0.035201,6.0558e-10,-0.022801,6.9961e-10,-0.0014358,-6.1198e-11,-0.0018714,7.9035e-10
0.2,0.083815,-0.11042,-0.052024,0.79166,0.64091,-0.15641,0.084658,-0.23379,-0.046489,0.055503,0.048417,-0.1469,0.083815,0.11042,-0.052024,-0.79166,0.64091,0.15641,0.084658,0.23379,-0.046489,-0.055503,0.048417,0.1469,-0.022429,-3.5904e-10,-0.0034085,-1.5646e-09,-0.036045,6.2708e-10,-0.022952,7.3304e-10,-0.0013793,-5.7055e-11,-0.0018498,8.166e-10
0.21,0.081694,-0.11027,-0.053619,0.78971,0.64259,-0.15543,0.083446,-0.23448,-0.046885,0.054094,0.048199,-0.14763,0.081694,0.11027,-0.053619,-0.78971,0.64259,0.15543,0.083446,0.23448,-0.046885,-0.054094,0.048199,0.14763,-0.022554,-3.4472e-10,-0.00324,-1.6472e-09,-0.036624,6.5734e-10,-0.023094,7.6768e-10,-0.0013157,-5.0653e-11,-0.0018153,8.4434e-10
0.22,0.078893,-0.10946,-0.05509,0.78623,0.64073,-0.15465,0.081412,-0.23377,-0.047178,0.052519,0.047769,-0.14751,0.078893,0.10946,-0.05509,-0.78623,0.64073,0.15465,0.081412,0.23377,-0.047178,-0.052519,0.047769,0.14751,-0.022662,-3.2988e-10,-0.0030719,-1.7389e-09,-0.036882,6.96e-10,-0.023218,7.9847e-10,-0.0012482,-4.811e-11,-0.001766,8.6735e-10
0.23,0.075475,-0.10799,-0.056411,0.78087,0.63541,-0.15401,0.078613,-0.23163,-0.047371,0.050823,0.047145,-0.14652,0.075475,0.10799,-0.056411,-0.78087,0.63541,0.15401,0.078613,0.23163,-0.047371,-0.050823,0.047145,0.14652,-0.022752,-3.1452e-10,-0.0029057,-1.8387e-09,-0.036805,7.4162e-10,-0.023322,8.2897e-10,-0.0011764,-4.5354e-11,-0.0017025,8.9115e-10
0.24,0.071525,-0.10587,-0.057567,0.77346,0.62687,-0.15347,0.07513,-0.22808,-0.047471,0.049054,0.046352,-0.14469,0.071525,0.10587,-0.057567,-0.77346,0.62687,0.15347,0.07513,0.22808,-0.047471,-0.049054,0.046352,0.14469,-0.022821,-2.9879e-10,-0.0027428,-1.9427e-09,-0.036384,7.8912e-10,-0.023404,8.592e-10,-0.0011005,-4.4641e-11,-0.0016258,9.1208e-10
0.25,0.067148,-0.10315,-0.058549,0.76403,0.61563,-0.15297,0.07107,-0.22324,-0.047489,0.047265,0.045433,-0.14208,0.067148,0.10315,-0.058549,-0.76403,0.61563,0.15297,0.07107,0.22324,-0.047489,-0.047265,0.045433,0.14208,-0.022872,-2.83e-10,-0.0025846,-2.0505e-09,-0.035633,8.3702e-10,-0.023465,8.877e-10,-0.0010209,-4.5023e-11,-0.0015375,9.3024e-10
0.26,0.062448,-0.099889,-0.059357,0.75264,0.60213,-0.15248,0.066542,-0.21723,-0.047434,0.045502,0.044418,-0.13876,0.062448,0.099889,-0.059357,-0.75264,0.60213,0.15248,0.066542,0.21723,-0.047434,-0.045502,0.044418,0.13876,-0.022902,-2.6745e-10,-0.0024323,-2.161e-09,-0.034565,8.8545e-10,-0.023505,9.1356e-10,-0.00093793,-4.384e-11,-0.0014392,9.479e-10
0.27,0.05753,-0.096161,-0.059995,0.73941,0.58678,-0.15201,0.061653,-0.21019,-0.047317,0.043805,0.043336,-0.13484,0.057529,0.096161,-0.059995,-0.73941,0.58678,0.15201,0.061653,0.21019,-0.047317,-0.043805,0.043336,0.13484,-0.022915,-2.5273e-10,-0.0022872,-2.2647e-09,-0.033197,9.4028e-10,-0.023525,9.3763e-10,-0.00085217,-3.9011e-11,-0.0013329,9.6681e-10
0.28,0.052496,-0.092055,-0.060468,0.72464,0.57012,-0.15156,0.056517,-0.20233,-0.047147,0.042207,0.042223,-0.13041,0.052496,0.092055,-0.060468,-0.72464,0.57012,0.15156,0.056517,0.20233,-0.047147,-0.042207,0.042223,0.13041,-0.02291,-2.3906e-10,-0.0021499,-2.3586e-09,-0.031567,1.0006e-09,-0.023528,9.5818e-10,-0.00076445,-3.4746e-11,-0.0012206,9.8271e-10
0.29,0.047455,-0.087688,-0.060803,0.70879,0.55273,-0.15117,0.05125,-0.1939,-0.046943,0.040742,0.041116,-0.12563,0.047455,0.087688,-0.060803,-0.70879,0.55273,0.15117,0.05125,0.1939,-0.046943,-0.040742,0.041116,0.12563,-0.02289,-2.2623e-10,-0.0020212,-2.4494e-09,-0.029711,1.054e-09,-0.023514,9.7364e-10,-0.00067565,-3.3899e-11,-0.0011047,9.9393e-10
0.3,0.042539,-0.083242,-0.061083,0.69295,0.53564,-0.15105,0.045998,-0.18528,-0.046768,0.03947,0.040085,-0.12072,0.042539,0.083242,-0.061083,-0.69295,0.53564,0.15105,0.045998,0.18528,-0.046768,-0.03947,0.040085,0.12072,-0.022857,-2.1442e-10,-0.0019014,-2.536e-09,-0.027674,1.102e-09,-0.023486,9.8612e-10,-0.00058678,-3.3422e-11,-0.00098739,1.003e-09
0.31,0.038306,-0.079736,-0.062154,0.68429,0.52648,-0.15305,0.041427,-0.17876,-0.047233,0.038838,0.039672,-0.11718,0.038306,0.079736,-0.062154,-0.68429,0.52648,0.15305,0.041427,0.17876,-0.047233,-0.038838,0.039672,0.11718,-0.022814,-2.0357e-10,-0.0017866,-2.6054e-09,-0.025546,1.1472e-09,-0.023451,9.9587e-10,-0.00049537,-3.3437e-11,-0.00087304,1.0095e-09
0.32,0.034228,-0.076309,-0.063284,0.67472,0.51912,-0.15563,0.037027,-0.17243,-0.047742,0.038397,0.039387,-0.11376,0.034228,0.076309,-0.063284,-0.67472,0.51912,0.15563,0.037027,0.17243,-0.047742,-0.038397,0.039387,0.11376,-0.022764,-1.9353e-10,-0.0016738,-2.656e-09,-0.023407,1.1866e-09,-0.023412,1.0027e-09,-0.00039932,-3.4795e-11,-0.00076521,1.0142e-09
0.33,0.030304,-0.072947,-0.064412,0.66427,0.51308,-0.15872,0.032793,-0.16625,-0.048244,0.038099,0.039184,-0.1104,0.030304,0.072947,-0.064412,-0.66427,0.51308,0.15872,0.032793,0.16625,-0.048244,-0.038099,0.039184,0.1104,-0.022708,-1.8423e-10,-0.0015636,-2.6912e-09,-0.021284,1.2247e-09,-0.023368,1.0093e-09,-0.00030013,-3.5278e-11,-0.00066453,1.0185e-09
0.34,0.026559,-0.069677,-0.065512,0.65325,0.50817,-0.16228,0.02875,-0.16029,-0.048718,0.037919,0.039043,-0.10711,0.026559,0.069677,-0.065512,-0.65325,0.50817,0.16228,0.02875,0.16029,-0.048718,-0.037919,0.039043,0.10711,-0.022645,-1.7568e-10,-0.0014569,-2.7108e-09,-0.0192,1.2562e-09,-0.023319,1.0094e-09,-0.00019925,-4.1132e-11,-0.00057149,1.0188e-09
0.35,0.023029,-0.066546,-0.066586,0.64212,0.50433,-0.16631,0.024937,-0.15463,-0.049163,0.037845,0.038959,-0.10392,0.023029,0.066546,-0.066586,-0.64212,0.50433,0.16631,0.024937,0.15463,-0.049163,-0.037845,0.038959,0.10392,-0.022576,-1.6774e-10,-0.0013543,-2.7173e-09,-0.017176,1.2824e-09,-0.023266,1.0067e-09,-9.798e-05,-4.8631e-11,-0.00048641,1.0167e-09
0.36,0.019738,-0.063584,-0.06763,0.63123,0.50153,-0.17079,0.02138,-0.14935,-0.049577,0.037862,0.038925,-0.10084,0.019738,0.063584,-0.06763,-0.63123,0.50153,0.17079,0.02138,0.14935,-0.049577,-0.037862,0.038925,0.10084,-0.0225,-1.6025e-10,-0.0012563,-2.7132e-09,-0.015228,1.3067e-09,-0.023206,1.005e-09,2.5305e-06,-5.4832e-11,-0.0004095,1.0151e-09
0.37,0.016713,-0.060821,-0.06864,0.62085,0.4996,-0.17563,0.018107,-0.1445,-0.049958,0.037958,0.03893,-0.097892,0.016713,0.060821,-0.06864,-0.62085,0.4996,0.17563,0.018107,0.1445,-0.049958,-0.037958,0.03893,0.097892,-0.022417,-1.5303e-10,-0.0011631,-2.6997e-09,-0.013374,1.3327e-09,-0.023142,1.0073e-09,0.00010114,-5.7742e-11,-0.0003409,1.0163e-09
0.38,0.013975,-0.058273,-0.069615,0.61122,0.49838,-0.18068,0.015143,-0.14014,-0.050306,0.038121,0.038961,-0.095073,0.013975,0.058273,-0.069615,-0.61122,0.49838,0.18068,0.015143,0.14014,-0.050306,-0.038121,0.038961,0.095073,-0.022329,-1.4621e-10,-0.0010752,-2.6801e-09,-0.011628,1.356e-09,-0.023072,1.0102e-09,0.0001968,-5.9806e-11,-0.00028071,1.0179e-09
0.39,0.011536,-0.05595,-0.070558,0.60249,0.49784,-0.18586,0.012499,-0.13627,-0.050628,0.038342,0.039019,-0.092386,0.011536,0.05595,-0.070558,-0.60249,0.49784,0.18586,0.012499,0.13627,-0.050628,-0.038342,0.039019,0.092386,-0.022235,-1.3988e-10,-0.00099244,-2.6565e-09,-0.0099999,1.3734e-09,-0.022998,1.0114e-09,0.00028876,-6.239e-11,-0.00022879,1.0182e-09
0.4,0.0094044,-0.053853,-0.071472,0.59477,0.4979,-0.19102,0.010187,-0.13293,-0.05093,0.038612,0.039101,-0.089829,0.0094044,0.053853,-0.071472,-0.59477,0.4979,0.19102,0.010187,0.13293,-0.05093,-0.038612,0.039101,0.089829,-0.022135,-1.3398e-10,-0.00091476,-2.6297e-09,-0.0085001,1.3845e-09,-0.022919,1.0115e-09,0.00037629,-6.5138e-11,-0.00018502,1.0167e-09
0.41,0.0075875,-0.051982,-0.072362,0.58817,0.49841,-0.19598,0.0082153,-0.1301,-0.051216,0.038925,0.039197,-0.087405,0.0075875,0.051982,-0.072362,-0.58817,0.49841,0.19598,0.0082153,0.1301,-0.051216,-0.038925,0.039197,0.087405,-0.022031,-1.2848e-10,-0.00084206,-2.6004e-09,-0.0071384,1.3894e-09,-0.022836,1.0106e-09,0.00045864,-6.7716e-11,-0.00014923,1.0135e-09
0.42,0.0060842,-0.050325,-0.073231,0.58274,0.49923,-0.20058,0.0065839,-0.12779,-0.051493,0.039271,0.039303,-0.085106,0.0060842,0.050325,-0.073231,-0.58274,0.49923,0.20058,0.0065839,0.12779,-0.051493,-0.039271,0.039303,0.085106,-0.021922,-1.2332e-10,-0.00077406,-2.5689e-09,-0.0059223,1.3904e-09,-0.022749,1.0089e-09,0.00053527,-7.0199e-11,-0.00012116,1.0099e-09
0.43,0.0048831,-0.048858,-0.074084,0.57843,0.5004,-0.20467,0.0052811,-0.12594,-0.051767,0.039642,0.039426,-0.082911,0.0048831,0.048858,-0.074084,-0.57843,0.5004,0.20467,0.0052811,0.12594,-0.051767,-0.039642,0.039426,0.082911,-0.021809,-1.1845e-10,-0.00071035,-2.5367e-09,-0.0048563,1.3886e-09,-0.02266,1.0063e-09,0.0006058,-7.2649e-11,-0.00010031,1.006e-09
0.44,0.0039706,-0.047553,-0.074927,0.57519,0.50191,-0.2081,0.0042929,-0.12452,-0.052045,0.040032,0.039566,-0.080801,0.0039706,0.047553,-0.074927,-0.57519,0.50191,0.2081,0.0042929,0.12452,-0.052045,-0.040032,0.039566,0.080801,-0.021692,-1.138e-10,-0.0006505,-2.5057e-09,-0.0039448,1.3847e-09,-0.022568,1.0031e-09,0.00066987,-7.5091e-11,-8.6185e-05,1.0015e-09
0.45,0.0033314,-0.046383,-0.075766,0.573,0.50365,-0.21069,0.0036045,-0.12347,-0.052331,0.040431,0.039716,-0.078761,0.0033313,0.046383,-0.075766,-0.573,0.50365,0.21069,0.0036045,0.12347,-0.052331,-0.040431,0.039716,0.078761,-0.021572,-1.093e-10,-0.00059408,-2.4779e-09,-0.0031923,1.3788e-09,-0.022475,9.9957e-10,0.00072712,-7.7559e-11,-7.8297e-05,9.9581e-10
0.46,0.0029435,-0.045317,-0.076607,0.5718,0.50558,-0.21232,0.0031933,-0.12276,-0.05263,0.040832,0.039878,-0.076772,0.0029434,0.045317,-0.076607,-0.5718,0.50558,0.21232,0.0031933,0.12276,-0.05263,-0.040832,0.039878,0.076772,-0.021448,-1.0493e-10,-0.00054055,-2.4565e-09,-0.0026014,1.3667e-09,-0.02238,9.9511e-10,0.00077734,-7.9833e-11,-7.5983e-05,9.8884e-10
0.47,0.0027778,-0.044323,-0.077459,0.57151,0.5078,-0.21287,0.0030284,-0.12233,-0.052947,0.041231,0.040058,-0.074819,0.0027778,0.044323,-0.077459,-0.57151,0.5078,0.21287,0.0030284,0.12233,-0.052947,-0.041231,0.040058,0.074819,-0.021322,-1.0069e-10,-0.0004893,-2.4393e-09,-0.0021731,1.3507e-09,-0.022285,9.9048e-10,0.00082047,-8.1686e-11,-7.8409e-05,9.8148e-10
0.48,0.0028034,-0.043364,-0.078333,0.57205,0.51032,-0.21223,0.003078,-0.12211,-0.053287,0.041618,0.040257,-0.072876,0.0028034,0.043364,-0.078333,-0.57205,0.51032,0.21223,0.003078,0.12211,-0.053287,-0.041618,0.040257,0.072876,-0.021193,-9.6589e-11,-0.00043971,-2.4232e-09,-0.0019106,1.3362e-09,-0.022189,9.8666e-10,0.00085634,-8.2636e-11,-8.4737e-05,9.7479e-10
