t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,0,0,13,0,0,0,0,0
0.01,0.13013,0,-0.00054991,0,-0.0010147,0,13.027,0,-0.10897,0,-0.19811,0
0.02,0.26054,0,-0.0021576,0,-0.0038678,0,13.053,0,-0.2114,0,-0.36789,0
0.03,0.3912,0,-0.0047533,0,-0.0082831,0,13.08,0,-0.30646,0,-0.51082,0
0.04,0.52213,0,-0.0082602,0,-0.014,0,13.105,0,-0.39356,0,-0.62848,0
0.05,0.65331,0,-0.012596,0,-0.020774,0,13.131,0,-0.47226,0,-0.7226,0
0.06,0.78474,0,-0.017677,0,-0.02838,0,13.156,0,-0.54233,0,-0.79498,0
0.07,0.91642,0,-0.023414,0,-0.036608,0,13.18,0,-0.60365,0,-0.84747,0
0.08,1.0483,0,-0.029721,0,-0.045269,0,13.203,0,-0.65629,0,-0.88198,0
0.09,1.1805,0,-0.036511,0,-0.054194,0,13.225,0,-0.7004,0,-0.90043,0
0.1,1.3128,0,-0.043701,0,-0.06323,0,13.247,0,-0.73626,0,-0.90471,0
0.11,1.4454,0,-0.05121,0,-0.072247,0,13.267,0,-0.76422,0,-0.89669,0
0.12,1.5782,0,-0.058961,0,-0.081129,0,13.287,0,-0.78472,0,-0.87818,0
0.13,1.7111,0,-0.066881,0,-0.089781,0,13.305,0,-0.79825,0,-0.8509,0
0.14,1.8443,0,-0.074904,0,-0.098124,0,13.321,0,-0.80532,0,-0.81649,0
0.15,1.9776,0,-0.082968,0,-0.10609,0,13.337,0,-0.8065,0,-0.77645,0
0.16,2.111,0,-0.091016,0,-0.11364,0,13.351,0,-0.80235,0,-0.7322,0
0.17,2.2446,0,-0.098999,0,-0.12073,0,13.364,0,-0.79343,0,-0.68499,0
0.18,2.3783,0,-0.10687,0,-0.12733,0,13.376,0,-0.78031,0,-0.63597,0
0.19,2.5121,0,-0.11459,0,-0.13344,0,13.387,0,-0.76352,0,-0.58616,0
0.2,2.646,0,-0.12213,0,-0.13906,0,13.397,0,-0.7436,0,-0.53642,0
0.21,2.7801,0,-0.12946,0,-0.14417,0,13.406,0,-0.72104,0,-0.48752,0
0.22,2.9142,0,-0.13654,0,-0.14881,0,13.414,0,-0.6963,0,-0.44009,0
0.23,3.0483,0,-0.14338,0,-0.15298,0,13.421,0,-0.6698,0,-0.39465,0
0.24,3.1826,0,-0.14994,0,-0.15671,0,13.428,0,-0.64195,0,-0.35163,0
0.25,3.3169,0,-0.15621,0,-0.16002,0,13.434,0,-0.61309,0,-0.31133,0
0.26,3.4513,0,-0.1622,0,-0.16295,0,13.44,0,-0.58355,0,-0.274,0
0.27,3.5857,0,-0.16788,0,-0.16552,0,13.445,0,-0.55361,0,-0.23979,0
0.28,3.7202,0,-0.17327,0,-0.16776,0,13.449,0,-0.52351,0,-0.20879,0
0.29,3.8547,0,-0.17835,0,-0.1697,0,13.454,0,-0.49347,0,-0.18102,0
0.3,3.9892,0,-0.18314,0,-0.17139,0,13.458,0,-0.46366,0,-0.15645,0
0.31,4.1238,0,-0.18763,0,-0.17284,0,13.462,0,-0.43425,0,-0.135,0
0.32,4.2585,0,-0.19182,0,-0.1741,0,13.466,0,-0.40533,0,-0.11658,0
0.33,4.3932,0,-0.19574,0,-0.17518,0,13.47,0,-0.37702,0,-0.10103,0
0.34,4.5279,0,-0.19937,0,-0.17613,0,13.474,0,-0.34938,0,-0.088189,0
0.35,4.6626,0,-0.20273,0,-0.17695,0,13.477,0,-0.32246,0,-0.077877,0
0.36,4.7974,0,-0.20582,0,-0.17769,0,13.481,0,-0.2963,0,-0.069897,0
0.37,4.9322,0,-0.20865,0,-0.17836,0,13.484,0,-0.2709,0,-0.064046,0
0.38,5.0671,0,-0.21124,0,-0.17898,0,13.488,0,-0.24626,0,-0.060115,0
0.39,5.202,0,-0.21358,0,-0.17957,0,13.492,0,-0.22239,0,-0.057897,0
0.4,5.3369,0,-0.21569,0,-0.18014,0,13.495,0,-0.19924,0,-0.057187,0
0.41,5.4719,0,-0.21757,0,-0.18072,0,13.499,0,-0.17678,0,-0.057788,0
0.42,5.6069,0,-0.21923,0,-0.1813,0,13.502,0,-0.15499,0,-0.059507,0
0.43,5.742,0,-0.22067,0,-0.18191,0,13.506,0,-0.13381,0,-0.062164,0
0.44,5.877,0,-0.22191,0,-0.18255,0,13.51,0,-0.1132,0,-0.065589,0
0.45,6.0121,0,-0.22294,0,-0.18322,0,13.513,0,-0.093099,0,-0.069625,0
0.46,6.1473,0,-0.22377,0,-0.18394,0,13.517,0,-0.073466,0,-0.074125,0
0.47,6.2825,0,-0.22441,0,-0.18471,0,13.52,0,-0.054245,0,-0.07896,0
0.48,6.4177,0,-0.22485,0,-0.18552,0,13.523,0,-0.035384,0,-0.08401,0
0.49,6.5529,0,-0.22512,0,-0.18639,0,13.527,0,-0.016833,0,-0.08917,0
0.5,6.6882,0,-0.22519,0,-0.1873,0,13.53,0,0.0014557,0,-0.094349,0
