t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.011817,-0.022828,-0.067912,0.49587,0.4972,-0.24361,-0.01873,-0.077877,-0.052702,0.045296,0.039854,-0.078621,0.011817,0.022828,-0.067912,-0.49587,0.4972,0.24361,-0.01873,0.077877,-0.052702,-0.045296,0.039854,0.078621,-0.012197,-2.7448e-11,-0.0028238,9.2648e-11,0.016703,1.6662e-09,-0.020722,4.1935e-10,-0.0034895,-1.1219e-11,0.00080622,9.472e-10
0.01,0.013383,-0.023776,-0.066966,0.49868,0.49623,-0.25278,-0.015475,-0.082474,-0.052851,0.046445,0.040022,-0.083262,0.013383,0.023776,-0.066966,-0.49868,0.49623,0.25278,-0.015475,0.082474,-0.052851,-0.046445,0.040022,0.083262,-0.011989,-2.7281e-11,-0.0028115,2.713e-10,0.015108,1.73e-09,-0.020733,3.975e-10,-0.0035534,-1.1207e-11,0.00071837,9.3399e-10
0.02,0.014866,-0.024621,-0.066003,0.50222,0.49653,-0.26336,-0.012264,-0.087061,-0.05308,0.047507,0.040293,-0.087893,0.014865,0.024621,-0.066003,-0.50222,0.49653,0.26336,-0.012264,0.087061,-0.05308,-0.047507,0.040293,0.087893,-0.011782,-2.6955e-11,-0.0028041,4.2579e-10,0.013489,1.7989e-09,-0.020757,3.7778e-10,-0.0036303,-9.0494e-12,0.00063738,9.2263e-10
0.03,0.01624,-0.025354,-0.065012,0.50647,0.49811,-0.27529,-0.0091352,-0.091587,-0.053385,0.048463,0.040662,-0.092378,0.01624,0.025354,-0.065012,-0.50647,0.49811,0.27529,-0.0091352,0.091587,-0.053385,-0.048463,0.040662,0.092378,-0.011576,-2.6498e-11,-0.0027997,5.5847e-10,0.011875,1.8753e-09,-0.020791,3.5952e-10,-0.0037183,-4.9716e-12,0.00056373,9.1297e-10
0.04,0.01749,-0.025965,-0.063979,0.51145,0.50096,-0.28835,-0.0061138,-0.096003,-0.053761,0.049293,0.041123,-0.096572,0.01749,0.025965,-0.063979,-0.51145,0.50096,0.28835,-0.0061138,0.096003,-0.053761,-0.049293,0.041123,0.096572,-0.011369,-2.5919e-11,-0.0027964,6.7057e-10,0.010284,1.9574e-09,-0.020834,3.4095e-10,-0.0038156,-1.2603e-12,0.00049747,9.0254e-10
0.05,0.018598,-0.026443,-0.062888,0.51713,0.50502,-0.30219,-0.0032257,-0.10026,-0.054206,0.049979,0.041671,-0.10034,0.018598,0.026443,-0.062888,-0.51713,0.50502,0.30219,-0.0032257,0.10026,-0.054206,-0.049979,0.041671,0.10034,-0.011162,-2.5224e-11,-0.0027928,7.6367e-10,0.0087318,2.045e-09,-0.020886,3.2317e-10,-0.0039205,3.1246e-12,0.00043861,8.9226e-10
0.06,0.019547,-0.026784,-0.061726,0.52345,0.51019,-0.31643,-0.00050013,-0.10433,-0.054717,0.05051,0.042294,-0.10356,0.019547,0.026784,-0.061726,-0.52345,0.51019,0.31643,-0.00050013,0.10433,-0.054717,-0.05051,0.042294,0.10356,-0.010955,-2.4416e-11,-0.0027872,8.393e-10,0.0072363,2.1381e-09,-0.020944,3.0733e-10,-0.0040314,9.2076e-12,0.00038714,8.8303e-10
0.07,0.020322,-0.026988,-0.060482,0.53031,0.51627,-0.33059,0.0020328,-0.10817,-0.055292,0.050881,0.042974,-0.10612,0.020322,0.026988,-0.060482,-0.53031,0.51627,0.33059,0.0020328,0.10817,-0.055292,-0.050881,0.042974,0.10612,-0.010747,-2.3483e-11,-0.0027784,8.9885e-10,0.005816,2.2362e-09,-0.021008,2.939e-10,-0.0041463,1.6888e-11,0.00034309,8.7532e-10
0.08,0.020917,-0.027055,-0.059148,0.53759,0.52313,-0.34414,0.0043551,-0.11178,-0.055935,0.051095,0.043706,-0.10797,0.020917,0.027055,-0.059148,-0.53759,0.52313,0.34414,0.0043551,0.11178,-0.055935,-0.051095,0.043706,0.10797,-0.010538,-2.2352e-11,-0.0027655,9.4348e-10,0.0044833,2.3375e-09,-0.021077,2.8003e-10,-0.0042641,2.1228e-11,0.00030625,8.6701e-10
0.09,0.021336,-0.026988,-0.057731,0.5452,0.53085,-0.35647,0.0064607,-0.11514,-0.05666,0.051159,0.044501,-0.10906,0.021336,0.026988,-0.057731,-0.5452,0.53085,0.35647,0.0064607,0.11514,-0.05666,-0.051159,0.044501,0.10906,-0.010328,-2.1049e-11,-0.0027481,9.7469e-10,0.0032445,2.4417e-09,-0.021149,2.6547e-10,-0.0043837,2.2743e-11,0.00027627,8.5742e-10
0.1,0.021582,-0.026792,-0.056234,0.55295,0.53947,-0.36696,0.0083454,-0.11826,-0.05748,0.051082,0.045365,-0.10937,0.021582,0.026792,-0.056234,-0.55295,0.53947,0.36696,0.0083454,0.11826,-0.05748,-0.051082,0.045365,0.10937,-0.010117,-1.9622e-11,-0.0027259,9.9406e-10,0.0021065,2.5488e-09,-0.021226,2.5049e-10,-0.0045043,2.2917e-11,0.00025281,8.462e-10
0.11,0.02166,-0.02647,-0.054662,0.56059,0.54895,-0.37498,0.010007,-0.12112,-0.058406,0.050874,0.046298,-0.10888,0.02166,0.02647,-0.054662,-0.56059,0.54895,0.37498,0.010007,0.12112,-0.058406,-0.050874,0.046298,0.10888,-0.0099041,-1.8119e-11,-0.0026987,1.0033e-09,0.0010776,2.6586e-09,-0.021307,2.3535e-10,-0.0046247,2.325e-11,0.00023553,8.3305e-10
0.12,0.021579,-0.026027,-0.053016,0.56782,0.55922,-0.37995,0.011446,-0.12372,-0.059448,0.05054,0.047298,-0.10763,0.021579,0.026027,-0.053016,-0.56782,0.55922,0.37995,0.011446,0.12372,-0.059448,-0.05054,0.047298,0.10763,-0.0096896,-1.6605e-11,-0.0026663,1.0048e-09,0.000166,2.7712e-09,-0.02139,2.2114e-10,-0.0047441,2.5719e-11,0.00022406,8.187e-10
0.13,0.021351,-0.025469,-0.051301,0.57435,0.57039,-0.38125,0.012677,-0.12606,-0.060617,0.050091,0.048378,-0.10564,0.021351,0.025469,-0.051301,-0.57435,0.57039,0.38125,0.012677,0.12606,-0.060617,-0.050091,0.048378,0.10564,-0.0094733,-1.5162e-11,-0.0026288,1.0022e-09,-0.00062776,2.8864e-09,-0.021477,2.1014e-10,-0.0048618,3.1856e-11,0.00021781,8.0607e-10
0.14,0.02099,-0.024803,-0.049528,0.5799,0.58266,-0.3784,0.013721,-0.12812,-0.061924,0.049532,0.049554,-0.10301,0.02099,0.024803,-0.049528,-0.5799,0.58266,0.3784,0.013721,0.12812,-0.061924,-0.049532,0.049554,0.10301,-0.0092551,-1.3793e-11,-0.0025864,9.9455e-10,-0.0013062,3.0013e-09,-0.021566,2.0042e-10,-0.0049775,3.9248e-11,0.00021616,7.9325e-10
0.15,0.020512,-0.024039,-0.047704,0.5842,0.59621,-0.37101,0.0146,-0.1299,-0.063379,0.048871,0.050842,-0.099831,0.020512,0.024039,-0.047704,-0.5842,0.59621,0.37101,0.0146,0.1299,-0.063379,-0.048871,0.050842,0.099831,-0.0090351,-1.2489e-11,-0.0025394,9.8064e-10,-0.0018711,3.113e-09,-0.021659,1.8964e-10,-0.0050907,4.5157e-11,0.00021847,7.7782e-10
0.16,0.019932,-0.023184,-0.045835,0.58696,0.61119,-0.35883,0.015338,-0.1314,-0.064991,0.048109,0.052249,-0.096197,0.019932,0.023184,-0.045835,-0.58696,0.61119,0.35883,0.015338,0.1314,-0.064991,-0.048109,0.052249,0.096197,-0.0088131,-1.1243e-11,-0.002488,9.606e-10,-0.0023242,3.2187e-09,-0.021755,1.759e-10,-0.0052011,4.7369e-11,0.0002241,7.5801e-10
0.17,0.019267,-0.022247,-0.043931,0.58795,0.62786,-0.34172,0.015964,-0.1326,-0.066766,0.047249,0.053792,-0.092234,0.019267,0.022247,-0.043931,-0.58795,0.62786,0.34172,0.015964,0.1326,-0.066766,-0.047249,0.053792,0.092234,-0.0085891,-1.0037e-11,-0.0024325,9.4024e-10,-0.0026717,3.3172e-09,-0.021855,1.6083e-10,-0.0053084,4.7644e-11,0.00023228,7.3628e-10
0.18,0.018533,-0.02124,-0.042002,0.58701,0.64664,-0.31972,0.01651,-0.13348,-0.068712,0.046291,0.05549,-0.088081,0.018533,0.02124,-0.042002,-0.58701,0.64664,0.31972,0.01651,0.13348,-0.068712,-0.046291,0.05549,0.088081,-0.0083631,-8.8762e-12,-0.0023732,9.1902e-10,-0.0029233,3.4086e-09,-0.021959,1.4552e-10,-0.0054126,4.6828e-11,0.00024219,7.131e-10
0.19,0.017747,-0.020173,-0.040056,0.58399,0.6679,-0.29301,0.017011,-0.13402,-0.070833,0.045234,0.057358,-0.083873,0.017747,0.020173,-0.040056,-0.58399,0.6679,0.29301,0.017011,0.13402,-0.070833,-0.045234,0.057358,0.083873,-0.008135,-7.7683e-12,-0.0023104,8.9535e-10,-0.0030888,3.4934e-09,-0.022067,1.307e-10,-0.0055135,4.5357e-11,0.00025302,6.8838e-10
0.2,0.016922,-0.019056,-0.038103,0.57878,0.69201,-0.26193,0.0175,-0.13421,-0.073134,0.044078,0.059406,-0.079738,0.016922,0.019056,-0.038103,-0.57878,0.69201,0.26193,0.0175,0.13421,-0.073134,-0.044078,0.059406,0.079738,-0.007905,-6.7225e-12,-0.0022444,8.6921e-10,-0.0031782,3.5706e-09,-0.02218,1.1711e-10,-0.0056112,4.3638e-11,0.00026393,6.6213e-10
0.21,0.016074,-0.017902,-0.036152,0.57134,0.71946,-0.22697,0.018014,-0.13401,-0.075618,0.042821,0.061644,-0.075808,0.016074,0.017902,-0.036152,-0.57134,0.71946,0.22697,0.018014,0.13401,-0.075618,-0.042821,0.061644,0.075808,-0.007673,-5.7506e-12,-0.0021756,8.44e-10,-0.0032055,3.6372e-09,-0.022298,1.0501e-10,-0.0057056,4.188e-11,0.00027403,6.3483e-10
0.22,0.015215,-0.016723,-0.034213,0.56169,0.75078,-0.18881,0.018588,-0.13342,-0.078289,0.041467,0.064077,-0.072206,0.015215,0.016723,-0.034213,-0.56169,0.75078,0.18881,0.018588,0.13342,-0.078289,-0.041467,0.064077,0.072206,-0.007439,-4.8622e-12,-0.0021041,8.192e-10,-0.0031864,3.6931e-09,-0.022421,9.4192e-11,-0.0057967,4.0372e-11,0.00028241,6.0695e-10
0.23,0.014357,-0.015529,-0.032295,0.54985,0.7865,-0.1482,0.01926,-0.1324,-0.081148,0.040017,0.066701,-0.069038,0.014357,0.015529,-0.032295,-0.54985,0.7865,0.1482,0.01926,0.1324,-0.081148,-0.040017,0.066701,0.069038,-0.0072031,-4.0674e-12,-0.0020302,7.9407e-10,-0.0031377,3.7388e-09,-0.02255,8.4481e-11,-0.0058844,3.9439e-11,0.00028819,5.7898e-10
