t, affine_elevL, affine_elevR, affine_throttle
0,-8.3596e-10,-8.3596e-10,-1.148e-10
0.01,-1.4745e-09,-1.4745e-09,-4.6154e-11
0.02,-2.1338e-09,-2.1338e-09,8.0822e-12
0.03,-2.6149e-09,-2.6149e-09,3.3581e-11
0.04,-2.9789e-09,-2.9789e-09,9.83e-11
0.05,-3.2323e-09,-3.2323e-09,1.6979e-10
0.06,-3.3808e-09,-3.3808e-09,2.1542e-10
0.07,-3.4307e-09,-3.4307e-09,2.0263e-10
0.08,-3.6041e-09,-3.6041e-09,1.666e-10
0.09,-3.914e-09,-3.914e-09,1.449e-10
0.1,-4.1478e-09,-4.1478e-09,1.3324e-10
0.11,-4.0868e-09,-4.0868e-09,1.2733e-10
0.12,-3.5128e-09,-3.5128e-09,1.2301e-10
0.13,-2.617e-09,-2.617e-09,1.2048e-10
0.14,-1.7402e-09,-1.7402e-09,1.1653e-10
0.15,-1.07e-09,-1.07e-09,1.045e-10
0.16,-7.9482e-10,-7.9482e-10,7.7601e-11
0.17,-8.1501e-10,-8.1501e-10,4.8708e-11
0.18,-5.5986e-10,-5.5986e-10,5.4198e-11
0.19,-2.0969e-10,-2.0969e-10,7.0196e-11
0.2,1.0652e-11,1.0652e-11,6.9467e-11
0.21,2.56e-11,2.56e-11,5.0841e-11
0.22,8.6292e-11,8.6292e-11,5.7306e-11
0.23,1.659e-10,1.659e-10,7.0889e-11
0.24,2.1981e-10,2.198e-10,7.0193e-11
0.25,2.1546e-10,2.1546e-10,4.7656e-11
0.26,1.6579e-10,1.6579e-10,3.1828e-11
0.27,7.1938e-11,7.1938e-11,2.3191e-11
0.28,-6.668e-11,-6.668e-11,1.9903e-11
0.29,-2.1325e-10,-2.1325e-10,1.9306e-11
0.3,-1.4153e-10,-1.4153e-10,1.4767e-11
0.31,-6.1642e-12,-6.1642e-12,8.0362e-12
0.32,-4.2713e-11,-4.2713e-11,2.6192e-12
0.33,-3.6855e-10,-3.6855e-10,1.1044e-12
0.34,-5.0714e-10,-5.0714e-10,6.0751e-13
0.35,-4.1539e-10,-4.1539e-10,3.6511e-13
0.36,-1.3818e-10,-1.3818e-10,2.1232e-13
0.37,1.2154e-10,1.2154e-10,-2.8979e-13
0.38,2.0784e-10,2.0784e-10,-9.8853e-13
0.39,1.7007e-10,1.7007e-10,-1.0963e-12
0.4,1.3386e-10,1.3386e-10,-1.0751e-12
0.41,2.037e-10,2.037e-10,-2.4794e-12
0.42,2.7245e-10,2.7245e-10,-4.5227e-12
0.43,9.2777e-11,9.2777e-11,-5.1663e-12
0.44,-1.4234e-10,-1.4234e-10,-4.5656e-12
0.45,-2.7438e-10,-2.7438e-10,-3.4915e-12
0.46,-3.8111e-10,-3.8111e-10,-2.4026e-12
0.47,-7.6518e-11,-7.6518e-11,-1.1564e-12
0.48,-3.8705e-10,-3.8705e-10,-3.384e-13
0.49,-5.5268e-10,-5.5268e-10,-6.4388e-13
0.5,0,0,2.4652e-32
