t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,0,0,13,0,0,0,0,0
0.01,0.13013,1.5282e-07,-0.00049908,0.00059213,-0.0002384,-2.0555e-06,13.027,4.53e-05,-0.09898,0.11646,-0.045584,-0.0006214
0.02,0.26054,1.1689e-06,-0.0019628,0.0022918,-0.00087164,-1.6739e-05,13.054,0.000169,-0.19292,0.2217,-0.079157,-0.0025321
0.03,0.39121,3.6997e-06,-0.0043406,0.0049924,-0.0017853,-5.6967e-05,13.08,0.00034237,-0.28181,0.31682,-0.10187,-0.0057208
0.04,0.52214,8.0471e-06,-0.0075824,0.0085978,-0.0028765,-0.00013511,13.106,0.00052465,-0.36574,0.40281,-0.11485,-0.010094
0.05,0.65333,1.4055e-05,-0.011639,0.013021,-0.0040536,-0.00026231,13.132,0.00066549,-0.44484,0.48055,-0.11922,-0.015504
0.06,0.78478,2.1028e-05,-0.016464,0.018184,-0.0052359,-0.00044804,13.158,0.00070759,-0.5193,0.55084,-0.11608,-0.021771
0.07,0.91649,2.7673e-05,-0.022011,0.024016,-0.0063536,-0.00069993,13.184,0.00058928,-0.58934,0.6144,-0.10647,-0.028701
0.08,1.0485,3.2067e-05,-0.028237,0.030452,-0.007347,-0.0010236,13.209,0.00024697,-0.65522,0.67187,-0.091383,-0.036101
0.09,1.1807,3.1654e-05,-0.035102,0.037435,-0.0081662,-0.0014229,13.234,-0.00038273,-0.71724,0.72384,-0.071774,-0.043785
0.1,1.3131,2.325e-05,-0.04257,0.044912,-0.0087703,-0.0018997,13.259,-0.0013611,-0.77569,0.77084,-0.048521,-0.051588
0.11,1.4458,3.0778e-06,-0.050605,0.052837,-0.0091272,-0.0024546,13.284,-0.0027456,-0.8309,0.81335,-0.02244,-0.059362
0.12,1.5788,-3.3193e-05,-0.059178,0.061166,-0.0092122,-0.0030865,13.308,-0.0045891,-0.88319,0.85181,0.0057227,-0.066986
0.13,1.712,-9.0392e-05,-0.06826,0.069861,-0.009008,-0.0037935,13.332,-0.0069385,-0.93288,0.8866,0.03529,-0.074364
0.14,1.8454,-0.00017378,-0.077828,0.078887,-0.0085037,-0.0045727,13.356,-0.0098341,-0.98031,0.9181,0.065655,-0.081425
0.15,1.9791,-0.00028901,-0.08786,0.088213,-0.0076941,-0.0054207,13.38,-0.01331,-1.0258,0.94663,0.096284,-0.08812
0.16,2.1131,-0.00044201,-0.098338,0.09781,-0.0065787,-0.0063338,13.404,-0.017393,-1.0696,0.97249,0.12671,-0.094423
0.17,2.2472,-0.00063896,-0.10925,0.10765,-0.0051619,-0.0073079,13.428,-0.022104,-1.1121,0.99595,0.15654,-0.10033
0.18,2.3816,-0.00088622,-0.12058,0.11772,-0.0034512,-0.008339,13.452,-0.027457,-1.1535,1.0173,0.18542,-0.10584
0.19,2.5162,-0.0011903,-0.13231,0.12799,-0.0014574,-0.0094235,13.475,-0.03346,-1.194,1.0366,0.2131,-0.11099
0.2,2.6511,-0.0015576,-0.14445,0.13845,0.00080601,-0.010558,13.498,-0.040117,-1.234,1.0543,0.23934,-0.11581
0.21,2.7862,-0.0019948,-0.15699,0.14907,0.003324,-0.011739,13.522,-0.047427,-1.2735,1.0704,0.26399,-0.12033
0.22,2.9215,-0.0025083,-0.16992,0.15985,0.00608,-0.012964,13.545,-0.055384,-1.3129,1.0852,0.28691,-0.12462
0.23,3.0571,-0.0031046,-0.18325,0.17077,0.0090563,-0.01423,13.568,-0.063981,-1.3523,1.0987,0.30805,-0.1287
0.24,3.1929,-0.00379,-0.19697,0.18182,0.012235,-0.015537,13.591,-0.073206,-1.3919,1.1112,0.32736,-0.13265
0.25,3.3289,-0.0045708,-0.21109,0.19299,0.015598,-0.016883,13.615,-0.083047,-1.4317,1.1226,0.34484,-0.1365
0.26,3.4652,-0.005453,-0.22561,0.20427,0.019126,-0.018267,13.638,-0.09349,-1.4719,1.1333,0.36052,-0.14031
0.27,3.6017,-0.0064425,-0.24053,0.21566,0.022802,-0.019689,13.661,-0.10452,-1.5127,1.1432,0.37445,-0.14411
0.28,3.7384,-0.0075453,-0.25586,0.22713,0.026609,-0.021149,13.684,-0.11613,-1.554,1.1524,0.38671,-0.14796
0.29,3.8754,-0.008767,-0.27161,0.2387,0.030531,-0.022649,13.707,-0.1283,-1.596,1.161,0.39738,-0.15187
0.3,4.0125,-0.010113,-0.28778,0.25035,0.034552,-0.024187,13.729,-0.14101,-1.6387,1.1691,0.40658,-0.15589
