t, affine_elevL, affine_elevR, affine_throttle
0,-5.9086e-10,-8.0106e-10,2.6039e-12
0.01,-6.3724e-10,-8.2674e-10,2.7648e-12
0.02,-7.6247e-10,-8.9966e-10,5.2373e-12
0.03,-9.1804e-10,-9.4589e-10,1.037e-11
0.04,-9.3198e-10,-9.4877e-10,1.0662e-11
0.05,-1.0505e-09,-1.0541e-09,1.2742e-11
0.06,-1.1831e-09,-1.1588e-09,1.6042e-11
0.07,-1.2162e-09,-1.1746e-09,1.819e-11
0.08,-1.3489e-09,-1.3171e-09,1.9753e-11
0.09,-1.4892e-09,-1.4703e-09,2.1414e-11
0.1,-1.5346e-09,-1.5064e-09,2.3415e-11
0.11,-1.6901e-09,-1.6805e-09,2.48e-11
0.12,-1.8475e-09,-1.8629e-09,2.5784e-11
0.13,-1.8873e-09,-1.8993e-09,2.6918e-11
0.14,-2.0363e-09,-2.062e-09,2.8548e-11
0.15,-2.1692e-09,-2.2112e-09,2.9793e-11
0.16,-2.0871e-09,-2.114e-09,2.9411e-11
0.17,-1.7984e-09,-1.7778e-09,2.635e-11
0.18,-1.4203e-09,-1.3463e-09,2.2822e-11
0.19,-1.0133e-09,-9.0428e-10,1.9557e-11
0.2,-5.5503e-10,-4.2587e-10,1.3785e-11
0.21,-2.5589e-10,-1.1146e-10,8.34e-12
0.22,-1.8336e-10,-3.6378e-11,5.461e-12
0.23,-1.6384e-10,9.548e-12,6.2935e-12
0.24,-1.4379e-10,8.3754e-11,8.9773e-12
0.25,-5.0039e-11,1.6216e-10,6.8651e-12
0.26,-3.3409e-11,1.3681e-10,5.1866e-12
0.27,2.0439e-11,9.5697e-11,1.1961e-12
0.28,-3.5645e-11,-8.0002e-12,7.2193e-13
0.29,-2.3646e-11,-3.4116e-11,4.5922e-14
0.3,-5.0487e-29,0,0
