t, elevL, elevR, throttle
0,-0.1,0.2,4.8058
0.01,-0.1,0.2,4.8058
0.02,-0.1,0.2,4.8058
0.03,-0.1,0.2,4.8058
0.04,-0.1,0.2,4.8058
0.05,-0.1,0.2,4.8058
0.06,-0.1,0.2,4.8058
0.07,-0.1,0.2,4.8058
0.08,-0.1,0.2,4.8058
0.09,-0.1,0.2,4.8058
0.1,-0.1,0.2,4.8058
0.11,-0.1,0.2,4.8058
0.12,-0.1,0.2,4.8058
0.13,-0.1,0.2,4.8058
0.14,-0.1,0.2,4.8058
0.15,-0.1,0.2,4.8058
0.16,-0.1,0.2,4.8058
0.17,-0.1,0.2,4.8058
0.18,-0.1,0.2,4.8058
0.19,-0.1,0.2,4.8058
0.2,-0.1,0.2,4.8058
0.21,-0.1,0.2,4.8058
0.22,-0.1,0.2,4.8058
0.23,-0.1,0.2,4.8058
0.24,-0.1,0.2,4.8058
0.25,-0.1,0.2,4.8058
0.26,-0.1,0.2,4.8058
0.27,-0.1,0.2,4.8058
0.28,-0.1,0.2,4.8058
0.29,-0.1,0.2,4.8058
0.3,-0.1,0.2,4.8058
