t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.0015815,-0.0023815,-0.029514,0.2023,0.68396,0.014438,0.0032315,-0.040705,-0.079878,0.017467,0.058064,-0.017223,0.0018394,0.0043002,-0.02688,-0.13544,0.56918,0.14852,-0.00087248,0.022647,-0.062531,-0.012884,0.050651,0.024339,-0.0055028,3.5747e-05,-0.00022349,-0.00069425,-0.0001409,0.0011367,-0.015141,0.00019306,-0.00039308,-7.8547e-05,-7.6616e-06,0.00052289
0.01,0.0016486,-0.0021998,-0.02808,0.19693,0.70414,0.011302,0.0038009,-0.038908,-0.081467,0.016983,0.059569,-0.017303,0.001957,0.0045575,-0.02576,-0.13383,0.59321,0.15238,-0.00010735,0.025347,-0.064571,-0.01276,0.052813,0.025457,-0.0053384,3.3449e-05,-0.00021781,-0.00057233,-0.00059081,0.0011945,-0.015234,0.00016548,-0.00039948,-7.3429e-05,-1.973e-05,0.00050052
0.02,0.001688,-0.0019861,-0.02664,0.19092,0.72672,0.0083365,0.0043332,-0.036717,-0.083078,0.016456,0.061198,-0.017038,0.0020416,0.0047397,-0.024609,-0.13202,0.62031,0.15388,0.0006041,0.027933,-0.066666,-0.0126,0.055084,0.026429,-0.0051729,3.1239e-05,-0.0002126,-0.00045826,-0.001007,0.0012515,-0.015332,0.00013785,-0.00040775,-6.9063e-05,-2.9938e-05,0.00047741
0.03,0.001702,-0.001747,-0.025199,0.1843,0.75198,0.005577,0.0048309,-0.034141,-0.084703,0.015899,0.062934,-0.016434,0.0020951,0.0048518,-0.023434,-0.12999,0.65082,0.15309,0.0012575,0.030415,-0.068805,-0.012409,0.057447,0.027348,-0.0050062,2.9201e-05,-0.00020747,-0.00035179,-0.0013874,0.001307,-0.015436,0.00011073,-0.00041727,-6.56e-05,-3.8411e-05,0.00045372
0.04,0.0016937,-0.0014897,-0.023765,0.17709,0.78014,0.0029801,0.0052989,-0.031192,-0.08633,0.015323,0.064747,-0.015504,0.0021201,0.0048981,-0.02224,-0.12773,0.68501,0.1501,0.0018505,0.032792,-0.070972,-0.012191,0.059873,0.028302,-0.0048383,2.7401e-05,-0.00020211,-0.0002529,-0.0017323,0.0013601,-0.015545,8.4679e-05,-0.00042745,-6.3188e-05,-4.536e-05,0.00042959
0.05,0.001666,-0.0012205,-0.022342,0.16929,0.81135,0.00048662,0.0057417,-0.02788,-0.08795,0.014743,0.066597,-0.014258,0.0021194,0.0048853,-0.021033,-0.12523,0.72307,0.14519,0.0023804,0.035066,-0.073157,-0.011953,0.062322,0.029379,-0.0046692,2.5896e-05,-0.00019623,-0.00016164,-0.0020422,0.0014096,-0.015659,6.0269e-05,-0.00043762,-6.1963e-05,-5.0999e-05,0.00040516
0.06,0.0016223,-0.00094629,-0.020933,0.16094,0.84562,-0.0020455,0.0061663,-0.024221,-0.089545,0.014174,0.068426,-0.012711,0.0020961,0.0048193,-0.019819,-0.12248,0.765,0.13866,0.0028464,0.037231,-0.075343,-0.011702,0.064732,0.030661,-0.0044989,2.4713e-05,-0.00018962,-7.8129e-05,-0.002319,0.0014542,-0.015779,3.7998e-05,-0.00044724,-6.2048e-05,-5.5569e-05,0.00038054
0.07,0.001566,-0.00067411,-0.019542,0.15209,0.88271,-0.0048245,0.0065808,-0.020241,-0.091092,0.013635,0.070153,-0.010876,0.0020539,0.0047057,-0.0186,-0.11945,0.81054,0.13082,0.0032489,0.039277,-0.077511,-0.011447,0.067015,0.032217,-0.0043273,2.3855e-05,-0.00018217,-2.5106e-06,-0.0025663,0.0014929,-0.015905,1.8282e-05,-0.00045582,-6.3548e-05,-5.9304e-05,0.00035585
0.08,0.0015002,-0.00041023,-0.018168,0.14276,0.92219,-0.0080447,0.0069918,-0.015962,-0.092568,0.013146,0.071684,-0.0087609,0.0019959,0.0045509,-0.017379,-0.11616,0.85918,0.12213,0.0035872,0.041192,-0.07964,-0.011198,0.069065,0.034109,-0.0041545,2.3318e-05,-0.0001738,6.508e-05,-0.0027872,0.001524,-0.016036,1.536e-06,-0.00046283,-6.6553e-05,-6.2416e-05,0.00033121
0.09,0.0014275,-0.00016098,-0.016808,0.13302,0.96313,-0.011951,0.0074057,-0.01142,-0.093936,0.01273,0.072891,-0.0063785,0.0019253,0.0043602,-0.016155,-0.11258,0.90987,0.11301,0.0038606,0.04295,-0.081699,-0.01097,0.070743,0.036376,-0.0039804,2.3077e-05,-0.00016446,0.00012453,-0.0029864,0.0015464,-0.016173,-1.192e-05,-0.00046779,-7.1133e-05,-6.5094e-05,0.00030671
