t, elevL, elevR, throttle
0,0.11192,0.11192,5.3397
0.01,0.14126,0.10799,5.3397
0.02,0.1706,0.10406,5.3397
0.03,0.19994,0.10012,5.3397
0.04,0.22928,0.096189,5.3397
0.05,0.25862,0.092256,5.3397
0.06,0.28795,0.088322,5.3397
0.07,0.31729,0.084389,5.3397
0.08,0.34663,0.080455,5.3398
0.09,0.35451,0.0812,5.3398
0.1,0.34797,0.085088,5.3398
0.11,0.34142,0.088977,5.3398
0.12,0.33488,0.092865,5.3398
0.13,0.32833,0.096753,5.3398
0.14,0.32179,0.10064,5.3398
0.15,0.31524,0.10453,5.3398
0.16,0.3087,0.10842,5.3398
0.17,0.30201,0.11271,5.3398
0.18,0.29473,0.11868,5.3398
0.19,0.28744,0.12464,5.3398
0.2,0.28016,0.13061,5.3398
0.21,0.27288,0.13657,5.3398
0.22,0.26559,0.14253,5.3398
0.23,0.25831,0.1485,5.3398
0.24,0.25102,0.15446,5.3398
0.25,0.24374,0.16043,5.3398
0.26,0.23653,0.16773,5.3398
0.27,0.22933,0.17537,5.3398
0.28,0.22214,0.18302,5.3398
0.29,0.21495,0.19066,5.3398
0.3,0.20775,0.1983,5.3398
0.31,0.20056,0.20595,5.3398
0.32,0.19337,0.21359,5.3398
0.33,0.18617,0.22124,5.3398
0.34,0.17953,0.22935,5.3398
0.35,0.17374,0.23817,5.3398
0.36,0.16796,0.24699,5.3398
0.37,0.16217,0.25582,5.3398
0.38,0.15638,0.26464,5.3398
0.39,0.1506,0.27347,5.3398
0.4,0.14481,0.28229,5.3398
0.41,0.13902,0.29111,5.3398
0.42,0.13324,0.29994,5.3398
0.43,0.12812,0.309,5.3398
0.44,0.123,0.31806,5.3398
0.45,0.11789,0.32712,5.3398
0.46,0.11277,0.33618,5.3398
0.47,0.10766,0.34524,5.3398
0.48,0.10254,0.3543,5.3398
0.49,0.097428,0.36336,5.3398
0.5,0.092313,0.37242,5.3398
0.51,0.086556,0.38026,5.3398
0.52,0.080349,0.38725,5.3398
0.53,0.074142,0.39424,5.3398
0.54,0.067935,0.40123,5.3398
0.55,0.061728,0.40822,5.3398
0.56,0.055521,0.4152,5.3398
0.57,0.049314,0.42219,5.3398
0.58,0.043107,0.42918,5.3398
0.59,0.036491,0.43528,5.3398
0.6,0.028087,0.43752,5.3398
0.61,0.019682,0.43976,5.3398
0.62,0.011278,0.44199,5.3398
0.63,0.0028741,0.44423,5.3398
0.64,-0.0055301,0.44647,5.3398
0.65,-0.013934,0.44871,5.3398
0.66,-0.022339,0.45094,5.3398
0.67,-0.030743,0.45318,5.3398
0.68,-0.040458,0.45059,5.3398
0.69,-0.050534,0.44668,5.3398
0.7,-0.060609,0.44277,5.3398
0.71,-0.070685,0.43885,5.3398
0.72,-0.080761,0.43494,5.3398
0.73,-0.090837,0.43103,5.3398
0.74,-0.10091,0.42712,5.3398
0.75,-0.11099,0.4232,5.3398
0.76,-0.12118,0.41735,5.3398
0.77,-0.13154,0.40837,5.3398
0.78,-0.14191,0.39938,5.3398
0.79,-0.15227,0.3904,5.3398
0.8,-0.16264,0.38142,5.3398
0.81,-0.17301,0.37243,5.3398
0.82,-0.18337,0.36345,5.3398
0.83,-0.19374,0.35447,5.3398
0.84,-0.2041,0.34548,5.3398
0.85,-0.21358,0.33496,5.3398
0.86,-0.22304,0.3244,5.3398
0.87,-0.2325,0.31385,5.3398
0.88,-0.24195,0.30329,5.3398
0.89,-0.25141,0.29274,5.3398
0.9,-0.26087,0.28218,5.3398
0.91,-0.27033,0.27163,5.3398
0.92,-0.27979,0.26107,5.3398
0.93,-0.28777,0.2516,5.3398
0.94,-0.29468,0.24293,5.3398
0.95,-0.30159,0.23426,5.3398
0.96,-0.3085,0.22559,5.3398
0.97,-0.31541,0.21692,5.3398
0.98,-0.32232,0.20824,5.3398
0.99,-0.32922,0.19957,5.3398
1,-0.33613,0.1909,5.3398
1.01,-0.342,0.18252,5.3398
1.02,-0.34298,0.1755,5.3398
1.03,-0.34396,0.16849,5.3398
1.04,-0.34494,0.16147,5.3398
1.05,-0.34592,0.15445,5.3398
1.06,-0.3469,0.14744,5.3398
1.07,-0.34788,0.14042,5.3398
1.08,-0.34886,0.1334,5.3398
1.09,-0.34984,0.12638,5.3398
1.1,-0.34039,0.11519,5.3398
1.11,-0.3279,0.10279,5.3398
1.12,-0.31541,0.090378,5.3398
1.13,-0.30292,0.077971,5.3398
1.14,-0.29043,0.065564,5.3398
1.15,-0.27794,0.053156,5.3398
1.16,-0.26546,0.040749,5.3398
1.17,-0.25297,0.028342,5.3398
1.18,-0.23396,0.012036,5.3398
1.19,-0.20398,-0.010839,5.3398
1.2,-0.174,-0.033714,5.3398
1.21,-0.14402,-0.056589,5.3398
1.22,-0.11404,-0.079464,5.3398
1.23,-0.084056,-0.10234,5.3398
1.24,-0.054075,-0.12521,5.3398
1.25,-0.024094,-0.14809,5.3398
1.26,0.0058869,-0.17096,5.3398
1.27,0.022047,-0.17525,5.3398
1.28,0.037787,-0.17897,5.3398
