t, affine_elevL, affine_elevR, affine_throttle
0,-3.3417e-05,-1.795e-05,-1.4637e-06
0.01,-2.9918e-05,-3.9512e-05,-1.7202e-06
0.02,-1.5279e-05,-7.8626e-05,-2.169e-06
0.03,2.6649e-06,-0.00011527,-2.5717e-06
0.04,1.5677e-05,-0.0001313,-2.7315e-06
0.05,1.8451e-05,-0.00012121,-2.6403e-06
0.06,1.2399e-05,-9.2403e-05,-2.4018e-06
0.07,-3.7559e-07,-5.3055e-05,-2.1207e-06
0.08,-1.0972e-05,-2.1389e-05,-1.9312e-06
0.09,-1.0167e-05,-1.005e-05,-2.0696e-06
0.1,-1.1166e-05,1.2814e-05,-2.7277e-06
0.11,-1.1825e-05,3.6182e-05,-3.4586e-06
0.12,-1.1829e-05,5.1778e-05,-3.9706e-06
0.13,-1.1978e-05,5.4114e-05,-4.0383e-06
0.14,-1.3511e-05,4.586e-05,-3.7135e-06
0.15,-1.6283e-05,3.2523e-05,-3.1772e-06
0.16,-1.9842e-05,1.9976e-05,-2.6417e-06
0.17,-1.8905e-05,1.5496e-05,-2.4031e-06
0.18,-5.7221e-06,9.9799e-06,-1.833e-06
0.19,1.3708e-05,-9.057e-07,-8.8233e-07
0.2,2.8826e-05,-1.1205e-05,-1.4678e-07
0.21,3.5854e-05,-1.7837e-05,1.5798e-07
0.22,3.2341e-05,-1.864e-05,-1.0195e-07
0.23,1.9909e-05,-1.3782e-05,-8.4266e-07
0.24,5.27e-06,-6.8202e-06,-1.7116e-06
0.25,-3.2168e-06,-3.4385e-06,-2.239e-06
0.26,-5.7058e-06,-5.9522e-06,-2.2603e-06
0.27,-8.3548e-06,-1.0763e-05,-2.0737e-06
0.28,-1.1546e-05,-1.5638e-05,-1.8825e-06
0.29,-1.3862e-05,-1.9737e-05,-1.7803e-06
0.3,-1.489e-05,-2.3032e-05,-1.7793e-06
0.31,-1.4457e-05,-2.5636e-05,-1.8765e-06
0.32,-1.2485e-05,-2.8453e-05,-2.0114e-06
0.33,-1.0944e-05,-3.1965e-05,-2.104e-06
0.34,-1.305e-05,-3.5017e-05,-2.1682e-06
0.35,-2.1256e-05,-3.6665e-05,-2.2226e-06
0.36,-3.1475e-05,-3.7398e-05,-2.2828e-06
0.37,-4.0288e-05,-3.8298e-05,-2.3282e-06
0.38,-4.4923e-05,-4.0344e-05,-2.3326e-06
0.39,-4.3928e-05,-4.4103e-05,-2.2834e-06
0.4,-3.9637e-05,-4.8927e-05,-2.2021e-06
0.41,-3.4979e-05,-5.3977e-05,-2.1145e-06
0.42,-3.5049e-05,-5.8029e-05,-2.0805e-06
0.43,-4.0763e-05,-6.0874e-05,-2.1225e-06
0.44,-4.9727e-05,-6.3017e-05,-2.2224e-06
0.45,-5.8744e-05,-6.4793e-05,-2.3323e-06
