t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.0053739,-0.025507,-0.024084,0.38837,0.24946,-0.11401,-0.028791,-0.038639,-0.029709,0.032606,0.022848,-0.053091,0.0066678,0.026524,-0.020971,-0.39759,0.28989,0.12796,-0.00035789,0.036757,-0.03094,-0.032893,0.022509,0.044136,-0.0099762,-0.00057037,-0.0070754,0.0041228,0.0087037,0.0010204,-0.014186,-0.0011999,-0.003674,0.00028242,0.00056829,-0.00059235
0.01,0.0068441,-0.026186,-0.023374,0.39477,0.25334,-0.11687,-0.027836,-0.039449,-0.02928,0.033269,0.02318,-0.053521,0.0081511,0.026595,-0.020264,-0.39852,0.28796,0.12614,0.0014797,0.036802,-0.030831,-0.032984,0.022346,0.043377,-0.0099677,-0.00058533,-0.0070878,0.0042051,0.0086618,0.0010486,-0.014197,-0.0012234,-0.0037088,0.00028993,0.00054506,-0.00062873
0.02,0.0083991,-0.026825,-0.022511,0.39932,0.2562,-0.11921,-0.026514,-0.040204,-0.02871,0.033852,0.023417,-0.053823,0.0097515,0.026652,-0.019455,-0.3987,0.28607,0.12354,0.0034628,0.036876,-0.030631,-0.033066,0.02218,0.042667,-0.0099594,-0.00059945,-0.0070982,0.0042569,0.0085159,0.0010698,-0.014204,-0.0012447,-0.0037451,0.00029622,0.00051799,-0.00066357
0.03,0.0099919,-0.027408,-0.021525,0.40196,0.25795,-0.12099,-0.024866,-0.040882,-0.028025,0.034333,0.023546,-0.053976,0.011442,0.026697,-0.018557,-0.39827,0.28429,0.12017,0.0055586,0.036981,-0.030343,-0.033135,0.022025,0.042021,-0.0099517,-0.00061256,-0.0071067,0.004276,0.008262,0.0010848,-0.014207,-0.0012636,-0.0037832,0.00030098,0.0004874,-0.00069647
0.04,0.011576,-0.027921,-0.020445,0.4027,0.25837,-0.12213,-0.022933,-0.041463,-0.027252,0.03469,0.023546,-0.053964,0.013196,0.026733,-0.017586,-0.39734,0.28264,0.11608,0.0077324,0.037118,-0.029973,-0.033191,0.021886,0.041455,-0.0099452,-0.0006245,-0.0071135,0.0042603,0.0078965,0.0010942,-0.014207,-0.0012797,-0.0038238,0.00030388,0.00045363,-0.00072703
0.05,0.013098,-0.028339,-0.019296,0.40139,0.25715,-0.12256,-0.02076,-0.041914,-0.02641,0.034891,0.023396,-0.053754,0.014983,0.026757,-0.016562,-0.39595,0.2812,0.11131,0.0099408,0.037281,-0.029525,-0.033228,0.021774,0.040974,-0.0099402,-0.0006351,-0.0071189,0.0042084,0.0074216,0.0010985,-0.014206,-0.001293,-0.0038672,0.00030465,0.00041718,-0.0007549
0.06,0.014498,-0.028632,-0.018098,0.39783,0.25392,-0.12222,-0.018395,-0.042191,-0.025519,0.034898,0.023078,-0.053309,0.016771,0.026764,-0.015505,-0.39407,0.28015,0.1059,0.012134,0.037459,-0.029007,-0.033238,0.021699,0.040573,-0.0099373,-0.00064422,-0.0071232,0.0041201,0.0068459,0.0010979,-0.014202,-0.0013034,-0.0039137,0.00030305,0.00037871,-0.00077983
0.07,0.01572,-0.028772,-0.016873,0.39188,0.24826,-0.12102,-0.015893,-0.042255,-0.024595,0.034677,0.022571,-0.052597,0.018532,0.026749,-0.014437,-0.39166,0.2796,0.099913,0.014262,0.037639,-0.028425,-0.033209,0.021668,0.040246,-0.0099368,-0.00065175,-0.0071269,0.003995,0.006179,0.0010925,-0.014198,-0.0013107,-0.0039636,0.00029889,0.00033888,-0.00080156
0.08,0.016779,-0.028847,-0.015715,0.38494,0.2408,-0.11941,-0.013374,-0.042241,-0.023765,0.034336,0.021959,-0.051808,0.02024,0.026705,-0.013382,-0.38864,0.27975,0.093423,0.016274,0.037805,-0.02779,-0.033131,0.021692,0.03998,-0.0099392,-0.00065756,-0.0071302,0.0038336,0.0054365,0.001082,-0.014193,-0.001315,-0.004017,0.00029206,0.00029845,-0.0008199
0.09,0.017941,-0.029293,-0.014901,0.38299,0.2358,-0.11924,-0.011092,-0.042779,-0.023429,0.034387,0.021619,-0.051715,0.021889,0.026638,-0.01237,-0.38529,0.28078,0.086549,0.018145,0.037958,-0.02714,-0.033014,0.02179,0.039776,-0.0099444,-0.00066213,-0.0071337,0.0036467,0.0046478,0.0010637,-0.01419,-0.0013169,-0.0040739,0.00028311,0.00025844,-0.00083554
0.1,0.019333,-0.030254,-0.014481,0.38837,0.23595,-0.12112,-0.0091431,-0.044075,-0.023596,0.035014,0.021666,-0.052497,0.023464,0.026555,-0.011415,-0.38238,0.28194,0.079434,0.019901,0.038104,-0.026529,-0.032879,0.021955,0.039643,-0.0099516,-0.00066735,-0.0071379,0.0034717,0.0038613,0.0010286,-0.014188,-0.0013196,-0.0041345,0.00027425,0.00022038,-0.00085133
0.11,0.020571,-0.031153,-0.014112,0.39357,0.23607,-0.1227,-0.0072932,-0.04528,-0.023724,0.035542,0.021619,-0.053115,0.024931,0.026436,-0.010517,-0.37963,0.28288,0.07211,0.021509,0.038208,-0.025941,-0.032706,0.022163,0.039545,-0.0099603,-0.00067341,-0.0071426,0.0033116,0.0030946,0.00097514,-0.014189,-0.0013232,-0.0041981,0.00026577,0.00018474,-0.00086736
0.12,0.021644,-0.031997,-0.013813,0.39865,0.23624,-0.12404,-0.0055791,-0.046404,-0.02383,0.035985,0.021494,-0.053586,0.026282,0.026279,-0.0096823,-0.37699,0.2836,0.06468,0.022948,0.038262,-0.025384,-0.032497,0.022411,0.039476,-0.0099704,-0.00068025,-0.0071476,0.0031657,0.0023595,0.00090213,-0.014191,-0.0013278,-0.0042642,0.00025771,0.00015174,-0.00088338
0.13,0.022583,-0.032847,-0.013625,0.40436,0.23695,-0.12545,-0.0040338,-0.047533,-0.02398,0.036418,0.021342,-0.054014,0.027513,0.026087,-0.0089198,-0.37445,0.28408,0.057229,0.024206,0.038266,-0.024863,-0.032258,0.022693,0.039431,-0.0099816,-0.00068784,-0.0071527,0.0030334,0.0016683,0.00080855,-0.014194,-0.0013334,-0.0043321,0.00025012,0.00012159,-0.00089914
0.14,0.023392,-0.033704,-0.013557,0.41067,0.23823,-0.12695,-0.002661,-0.048668,-0.024185,0.036846,0.021176,-0.054396,0.028625,0.025859,-0.0082313,-0.37198,0.28432,0.049852,0.025277,0.038215,-0.024384,-0.031992,0.02301,0.039404,-0.0099937,-0.00069616,-0.0071576,0.0029145,0.0010287,0.00069334,-0.014197,-0.0013402,-0.0044012,0.00024307,9.4342e-05,-0.00091443
0.15,0.024057,-0.034547,-0.0136,0.41728,0.23995,-0.12848,-0.0014584,-0.049778,-0.024438,0.037252,0.02099,-0.054699,0.029619,0.025597,-0.0076164,-0.36955,0.28431,0.042625,0.026157,0.038108,-0.023946,-0.031702,0.023358,0.039387,-0.010006,-0.00070521,-0.0071621,0.002809,0.00044628,0.00055553,-0.014201,-0.0013481,-0.004471,0.00023665,6.9983e-05,-0.00092904
0.16,0.024568,-0.035357,-0.013748,0.42392,0.24188,-0.13001,-0.00042548,-0.050834,-0.024732,0.03762,0.020775,-0.054891,0.0305,0.025301,-0.0070744,-0.36713,0.28399,0.035602,0.026849,0.037942,-0.023552,-0.031391,0.023731,0.039374,-0.010019,-0.00071499,-0.0071661,0.0027169,-7.3441e-05,0.00039423,-0.014203,-0.0013573,-0.0045409,0.00023095,4.8478e-05,-0.00094276
0.17,0.024937,-0.036137,-0.014,0.43056,0.2441,-0.13157,0.00044666,-0.05184,-0.025078,0.037959,0.020547,-0.054973,0.031283,0.02498,-0.0066039,-0.36479,0.28347,0.02884,0.027366,0.037729,-0.023207,-0.03107,0.024134,0.03937,-0.010032,-0.00072553,-0.0071692,0.0026384,-0.00053023,0.000209,-0.014205,-0.0013678,-0.0046104,0.00022607,2.9687e-05,-0.00095542
0.18,0.025181,-0.03689,-0.014353,0.43717,0.2467,-0.13318,0.0011656,-0.052802,-0.025482,0.038277,0.020319,-0.054952,0.031981,0.024639,-0.0061992,-0.3625,0.28274,0.022381,0.02773,0.037475,-0.022913,-0.030747,0.024569,0.039379,-0.010045,-0.00073689,-0.0071714,0.0025739,-0.00092548,-5.1093e-07,-0.014205,-0.0013798,-0.0046791,0.00022214,1.3448e-05,-0.00096693
0.19,0.025308,-0.037614,-0.014801,0.44363,0.24966,-0.13482,0.0017378,-0.053716,-0.02594,0.038574,0.020095,-0.054828,0.032601,0.02428,-0.005852,-0.36021,0.28176,0.016246,0.027957,0.037181,-0.022662,-0.030421,0.025029,0.039396,-0.010057,-0.00074908,-0.0071728,0.0025236,-0.0012609,-0.00023433,-0.014205,-0.0013933,-0.0047467,0.00021926,-3.586e-07,-0.00097719
0.2,0.025329,-0.038309,-0.015337,0.4499,0.25296,-0.13647,0.0021745,-0.054584,-0.026456,0.038854,0.019882,-0.054607,0.033152,0.023905,-0.0055557,-0.35789,0.28053,0.010449,0.028058,0.03685,-0.02245,-0.030092,0.025508,0.039417,-0.01007,-0.00076206,-0.0071732,0.0024878,-0.0015386,-0.00049216,-0.014203,-0.0014084,-0.004813,0.00021746,-1.1833e-05,-0.000986
0.21,0.025259,-0.038976,-0.015954,0.45599,0.25663,-0.13812,0.002489,-0.055409,-0.027032,0.039121,0.019692,-0.054294,0.033646,0.023518,-0.0053034,-0.35555,0.27912,0.0050074,0.02805,0.036487,-0.022275,-0.029766,0.026009,0.039442,-0.010081,-0.00077584,-0.0071728,0.0024664,-0.0017616,-0.00077309,-0.0142,-0.0014249,-0.004878,0.00021681,-2.1097e-05,-0.00099318
0.22,0.025114,-0.039618,-0.016647,0.46188,0.26067,-0.13974,0.0026957,-0.056197,-0.02767,0.039382,0.01953,-0.053898,0.034096,0.023124,-0.0050882,-0.35319,0.27756,-8.7158e-05,0.027948,0.0361,-0.022132,-0.029445,0.026527,0.03947,-0.010093,-0.0007904,-0.0071716,0.0024596,-0.001933,-0.0010762,-0.014195,-0.0014431,-0.0049415,0.00021732,-2.8277e-05,-0.00099855
0.23,0.024908,-0.040234,-0.017407,0.46756,0.26506,-0.14131,0.0028107,-0.056951,-0.02837,0.039638,0.019404,-0.053423,0.034514,0.022728,-0.0049029,-0.35083,0.27586,-0.0048504,0.02777,0.035697,-0.022016,-0.029133,0.02706,0.039501,-0.010103,-0.00080572,-0.0071696,0.0024674,-0.0020564,-0.0014,-0.014189,-0.0014629,-0.0050034,0.00021904,-3.3511e-05,-0.0010019
