t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.11192,0,16.111,0,0,0,0,0
0.01,0.16111,-1.5602e-06,-1.5597e-05,-6.9969e-05,-0.11201,-6.7808e-06,16.111,-4.4188e-05,-0.00080478,-0.009914,-0.010048,0.00076146
0.02,0.32223,-5.2437e-06,-5.8618e-05,-0.00037061,-0.11235,-6.5085e-06,16.111,-0.00013574,-0.0028441,-0.038584,-0.038592,0.0033163
0.03,0.48334,-9.5552e-06,-0.00012341,-0.001038,-0.11305,3.1739e-05,16.111,-0.00021314,-0.0055558,-0.084404,-0.08323,0.0080704
0.04,0.64445,-1.2999e-05,-0.00020433,-0.0022083,-0.11421,0.00013888,16.111,-0.00021488,-0.0083775,-0.14576,-0.14156,0.015429
0.05,0.80556,-1.408e-05,-0.00029571,-0.0040176,-0.11594,0.00034585,16.11,-7.9426e-05,-0.010747,-0.22106,-0.21119,0.025799
0.06,0.96665,-1.1302e-05,-0.00039191,-0.006602,-0.11836,0.00068355,16.109,0.00025473,-0.012102,-0.30868,-0.2897,0.039585
0.07,1.1277,-3.1704e-06,-0.00048727,-0.010098,-0.12156,0.0011829,16.107,0.00084909,-0.01188,-0.40702,-0.37471,0.057193
0.08,1.2888,1.1811e-05,-0.00057615,-0.014641,-0.12567,0.0018749,16.105,0.0017652,-0.0095194,-0.51447,-0.46381,0.079029
0.09,1.4498,3.4467e-05,-0.00064424,-0.020328,-0.13073,0.0027992,16.101,0.0031077,-0.0040325,-0.62525,-0.55109,0.10503
0.1,1.6108,6.8506e-05,-0.00063137,-0.027026,-0.13655,0.0040109,16.097,0.0051609,0.006616,-0.72172,-0.62121,0.13324
0.11,1.7718,0.00012653,-0.00048503,-0.034605,-0.14298,0.0055155,16.091,0.0081063,0.022527,-0.80315,-0.67389,0.16293
0.12,1.9326,0.00022175,-0.00015545,-0.042949,-0.14987,0.0073135,16.084,0.012109,0.043591,-0.87079,-0.71051,0.19356
0.13,2.0934,0.00036738,0.00040717,-0.051939,-0.15709,0.0094058,16.076,0.017334,0.069699,-0.92589,-0.73245,0.22458
0.14,2.2542,0.00057665,0.0012526,-0.061456,-0.16451,0.011793,16.066,0.023946,0.10074,-0.96968,-0.74109,0.25546
0.15,2.4148,0.00086277,0.0024306,-0.071384,-0.17197,0.014475,16.055,0.032111,0.13661,-1.0034,-0.73784,0.28565
0.16,2.5752,0.001239,0.003991,-0.081604,-0.17935,0.017454,16.042,0.041992,0.1772,-1.0284,-0.72407,0.31459
0.17,2.7356,0.0017187,0.005984,-0.091999,-0.1865,0.020729,16.028,0.053755,0.22237,-1.0457,-0.70121,0.34176
0.18,2.8958,0.0023244,0.0084634,-0.10249,-0.19334,0.024274,16.012,0.067504,0.27131,-1.0549,-0.67212,0.36645
0.19,3.0558,0.0030781,0.011455,-0.11302,-0.19985,0.028053,15.995,0.083218,0.32328,-1.0561,-0.63859,0.38846
0.2,3.2157,0.0039983,0.014976,-0.12353,-0.20602,0.032038,15.976,0.10086,0.37781,-1.0498,-0.60162,0.40773
0.21,3.3753,0.0051035,0.019043,-0.13396,-0.21183,0.036201,15.956,0.12039,0.43445,-1.0366,-0.56219,0.42421
0.22,3.5348,0.0064123,0.023671,-0.14424,-0.21726,0.040513,15.935,0.14178,0.49274,-1.0173,-0.52128,0.43786
0.23,3.694,0.0079432,0.028878,-0.15432,-0.2223,0.044946,15.913,0.16498,0.5522,-0.99237,-0.47989,0.44864
0.24,3.8531,0.0097148,0.034679,-0.16413,-0.22694,0.049472,15.89,0.18996,0.61239,-0.96253,-0.43899,0.45649
0.25,4.0119,0.011746,0.041091,-0.17361,-0.23116,0.054062,15.867,0.21669,0.67284,-0.92841,-0.39959,0.46138
0.26,4.1704,0.014055,0.048122,-0.1827,-0.23497,0.058686,15.843,0.24508,0.73304,-0.89028,-0.36293,0.46341
0.27,4.3287,0.016659,0.055757,-0.19138,-0.23844,0.063315,15.818,0.27494,0.79263,-0.84787,-0.33006,0.46301
0.28,4.4867,0.019569,0.063984,-0.19961,-0.24159,0.067927,15.793,0.30616,0.85148,-0.80152,-0.30095,0.4603
0.29,4.6445,0.022795,0.072793,-0.20737,-0.24447,0.072504,15.767,0.33861,0.90945,-0.75158,-0.27559,0.45541
0.3,4.8021,0.026347,0.082172,-0.21463,-0.24711,0.077026,15.742,0.37218,0.96641,-0.69841,-0.25393,0.44849
0.31,4.9594,0.030238,0.092113,-0.22134,-0.24956,0.081472,15.716,0.40673,1.0222,-0.64236,-0.23595,0.43966
0.32,5.1164,0.034476,0.1026,-0.22749,-0.25184,0.085823,15.69,0.44215,1.0768,-0.58377,-0.22161,0.42906
